County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,19.9
Baldwin County,Alabama,01,003,27.2
Barbour County,Alabama,01,005,25.0
Bibb County,Alabama,01,007,22.4
Blount County,Alabama,01,009,24.5
Bullock County,Alabama,01,011,23.5
Butler County,Alabama,01,013,26.8
Calhoun County,Alabama,01,015,24.1
Chambers County,Alabama,01,017,25.7
Cherokee County,Alabama,01,019,30.1
Chilton County,Alabama,01,021,22.4
Choctaw County,Alabama,01,023,30.0
Clarke County,Alabama,01,025,26.0
Clay County,Alabama,01,027,26.6
Cleburne County,Alabama,01,029,26.0
Coffee County,Alabama,01,031,22.2
Colbert County,Alabama,01,033,26.7
Conecuh County,Alabama,01,035,31.0
Coosa County,Alabama,01,037,29.6
Covington County,Alabama,01,039,28.3
Crenshaw County,Alabama,01,041,26.4
Cullman County,Alabama,01,043,24.9
Dale County,Alabama,01,045,22.2
Dallas County,Alabama,01,047,24.3
DeKalb County,Alabama,01,049,22.9
Elmore County,Alabama,01,051,21.0
Escambia County,Alabama,01,053,24.4
Etowah County,Alabama,01,055,25.4
Fayette County,Alabama,01,057,28.1
Franklin County,Alabama,01,059,23.4
Geneva County,Alabama,01,061,26.7
Greene County,Alabama,01,063,29.1
Hale County,Alabama,01,065,26.6
Henry County,Alabama,01,067,29.1
Houston County,Alabama,01,069,23.3
Jackson County,Alabama,01,071,26.6
Jefferson County,Alabama,01,073,22.0
Lamar County,Alabama,01,075,28.9
Lauderdale County,Alabama,01,077,26.5
Lawrence County,Alabama,01,079,25.2
Lee County,Alabama,01,081,16.5
Limestone County,Alabama,01,083,21.1
Lowndes County,Alabama,01,085,25.7
Macon County,Alabama,01,087,26.2
Madison County,Alabama,01,089,20.7
Marengo County,Alabama,01,091,26.8
Marion County,Alabama,01,093,27.4
Marshall County,Alabama,01,095,23.2
Mobile County,Alabama,01,097,22.4
Monroe County,Alabama,01,099,25.8
Montgomery County,Alabama,01,101,20.6
Morgan County,Alabama,01,103,23.7
Perry County,Alabama,01,105,25.5
Pickens County,Alabama,01,107,25.3
Pike County,Alabama,01,109,20.2
Randolph County,Alabama,01,111,29.5
Russell County,Alabama,01,113,20.0
Saint Clair County,Alabama,01,115,22.2
Shelby County,Alabama,01,117,21.2
Sumter County,Alabama,01,119,23.9
Talladega County,Alabama,01,121,24.8
Tallapoosa County,Alabama,01,123,29.0
Tuscaloosa County,Alabama,01,125,18.8
Walker County,Alabama,01,127,25.9
Washington County,Alabama,01,129,26.8
Wilcox County,Alabama,01,131,26.6
Winston County,Alabama,01,133,28.1
Anchorage Municipality,Alaska,02,020,16.1
Bethel Census Area,Alaska,02,050,12.4
Bristol Bay Borough,Alaska,02,060,19.0
Fairbanks North Star Borough,Alaska,02,090,15.3
Haines Borough,Alaska,02,100,30.2
Juneau City and Borough,Alaska,02,110,19.2
Kenai Peninsula Borough,Alaska,02,122,24.4
Kodiak Island Borough,Alaska,02,150,17.0
Matanuska-Susitna Borough,Alaska,02,170,17.4
Nome Census Area,Alaska,02,180,11.5
North Slope Borough,Alaska,02,185,12.2
Sitka City and Borough,Alaska,02,220,21.7
Southeast Fairbanks Census Area,Alaska,02,240,20.1
Valdez-Cordova Census Area,Alaska,02,261,22.5
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,11.7
Aleutians East Borough,Alaska,02,013,14.8
Aleutians West Census Area,Alaska,02,016,12.3
Dillingham Census Area,Alaska,02,070,15.8
Lake and Peninsula Borough,Alaska,02,164,15.1
Denali Borough,Alaska,02,068,22.7
Yukon-Koyukuk Census Area,Alaska,02,290,20.7
Hoonah-Angoon Census Area,Alaska,02,105,31.3
