County,State,mean_life_expectancy,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,75.8778642323899,01,001,91.1
Baldwin County,Alabama,77.9130697620398,01,003,88.2
Barbour County,Alabama,74.9198636240141,01,005,87.0
Bibb County,Alabama,73.6673305057905,01,007,91.0
Blount County,Alabama,75.0352199305904,01,009,88.8
Bullock County,Alabama,74.0743945438457,01,011,83.3
Butler County,Alabama,73.7224421194177,01,013,88.2
Calhoun County,Alabama,73.2983281711204,01,015,89.1
Chambers County,Alabama,74.35653924479,01,017,88.2
Cherokee County,Alabama,74.35852627411,01,019,90.5
Chilton County,Alabama,74.0413531729133,01,021,84.2
Choctaw County,Alabama,74.2486999564165,01,023,88.5
Clarke County,Alabama,74.5765529742926,01,025,86.7
Clay County,Alabama,74.369383765865,01,027,87.1
Cleburne County,Alabama,73.9771106499581,01,029,86.2
Coffee County,Alabama,76.3011829926155,01,031,89.3
Colbert County,Alabama,74.3929774045908,01,033,90.9
Conecuh County,Alabama,73.4218703928667,01,035,80.9
Coosa County,Alabama,75.1413818724986,01,037,87.4
Covington County,Alabama,74.1371294582595,01,039,87.6
Crenshaw County,Alabama,74.0180136364953,01,041,88.7
Cullman County,Alabama,74.3769894915807,01,043,85.5
Dale County,Alabama,75.5523047608571,01,045,86.9
Dallas County,Alabama,71.9735127187965,01,047,87.5
DeKalb County,Alabama,74.4934976817947,01,049,84.0
Elmore County,Alabama,75.7757161449512,01,051,91.2
Escambia County,Alabama,73.1630074988594,01,053,82.4
Etowah County,Alabama,73.053355135026,01,055,87.9
Fayette County,Alabama,73.6581554932797,01,057,91.6
Franklin County,Alabama,73.3754326341656,01,059,85.9
Geneva County,Alabama,74.4234456628163,01,061,85.3
Greene County,Alabama,73.9562928242995,01,063,86.0
Hale County,Alabama,73.7872404003688,01,065,88.9
Henry County,Alabama,75.4295227396512,01,067,88.5
Houston County,Alabama,76.107335428337,01,069,87.9
Jackson County,Alabama,73.4224281684067,01,071,88.1
Jefferson County,Alabama,74.6861744174914,01,073,89.1
Lamar County,Alabama,74.3621045612881,01,075,87.3
Lauderdale County,Alabama,76.0319979262066,01,077,89.0
Lawrence County,Alabama,73.765357848758,01,079,89.0
Lee County,Alabama,77.5109882075979,01,081,90.5
Limestone County,Alabama,77.2763641772968,01,083,87.5
Lowndes County,Alabama,71.8951633690497,01,085,87.3
Macon County,Alabama,73.090134567349,01,087,89.2
Madison County,Alabama,77.5122550397981,01,089,89.7
Marengo County,Alabama,73.54245764648,01,091,87.8
Marion County,Alabama,74.0145601745605,01,093,90.4
Marshall County,Alabama,74.0554552221729,01,095,84.6
Mobile County,Alabama,74.8448680449495,01,097,86.8
Monroe County,Alabama,74.7048197454091,01,099,83.6
Montgomery County,Alabama,75.9247713547993,01,101,87.9
Morgan County,Alabama,75.2816176346909,01,103,87.4
Perry County,Alabama,72.2207426684408,01,105,84.6
Pickens County,Alabama,74.3841278449026,01,107,88.9
Pike County,Alabama,74.9075976437267,01,109,89.4
Randolph County,Alabama,74.1995203731576,01,111,88.1
Russell County,Alabama,73.8166201926909,01,113,84.8
Saint Clair County,Alabama,74.931099486946,01,115,91.0
Shelby County,Alabama,79.9329869213868,01,117,91.8
Sumter County,Alabama,74.3710053760309,01,119,81.8
Talladega County,Alabama,73.4265194965138,01,121,88.9
Tallapoosa County,Alabama,74.8367340685609,01,123,89.3
Tuscaloosa County,Alabama,76.1222396683925,01,125,90.3
Walker County,Alabama,70.313647599106,01,127,87.4
Washington County,Alabama,74.2666042086814,01,129,86.3
Wilcox County,Alabama,71.4893330327934,01,131,84.8
Winston County,Alabama,74.3483369616355,01,133,87.1
Anchorage Municipality,Alaska,78.9414080782189,02,020,85.5
Bethel Census Area,Alaska,72.4470915674431,02,050,74.9
Bristol Bay Borough,Alaska,75.6282235384974,02,060,79.6
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,88.4
Haines Borough,Alaska,81.3439033397237,02,100,76.7
Juneau City and Borough,Alaska,80.1511541046263,02,110,87.7
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,79.8
Kodiak Island Borough,Alaska,79.6808969333594,02,150,77.3
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,82.6
Nome Census Area,Alaska,70.7266373275761,02,180,73.2
North Slope Borough,Alaska,75.2944708808568,02,185,75.1
Sitka City and Borough,Alaska,80.0851648320793,02,220,81.4
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,78.2
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,79.1
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,68.9
Aleutians East Borough,Alaska,83.9668552562973,02,013,48.0
Aleutians West Census Area,Alaska,83.9668552562973,02,016,78.7
Dillingham Census Area,Alaska,73.902430273866,02,070,74.2
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,66.1
Denali Borough,Alaska,73.7545978405956,02,068,76.8
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,64.7
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,74.0
Skagway Municipality,Alaska,80.6333971268856,02,230,76.6
Yakutat City and Borough,Alaska,80.6333971268856,02,282,81.0
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,84.5
Petersburg Borough,Alaska,78.7599035617588,02,195,84.4
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,68.8
Wrangell City and Borough,Alaska,78.7599035617588,02,275,81.9
Apache County,Arizona,72.5861795747435,04,001,76.4
Cochise County,Arizona,77.8381814457557,04,003,89.9
Coconino County,Arizona,78.7310637809859,04,005,83.6
Gila County,Arizona,74.5194372043746,04,007,86.0
Graham County,Arizona,77.0588505436379,04,009,88.7
Greenlee County,Arizona,78.2700423686553,04,011,88.5
Maricopa County,Arizona,79.7975632543799,04,013,86.3
Mohave County,Arizona,75.0984277272029,04,015,86.0
Navajo County,Arizona,74.0172421905699,04,017,83.2
Pima County,Arizona,78.7473891386961,04,019,87.7
Pinal County,Arizona,80.8872234047816,04,021,88.4
Santa Cruz County,Arizona,81.6928524316121,04,023,84.5
Yavapai County,Arizona,78.2013767088911,04,025,87.2
La Paz County,Arizona,81.1323584179148,04,012,87.8
Yuma County,Arizona,81.1323584179148,04,027,82.0
Arkansas County,Arkansas,73.5078340747071,05,001,90.5
Ashley County,Arkansas,74.1018929294341,05,003,87.8
Baxter County,Arkansas,75.9668160004689,05,005,90.8
Benton County,Arkansas,79.3662392360665,05,007,88.5
Boone County,Arkansas,76.2052538764821,05,009,88.6
Bradley County,Arkansas,73.6321012263139,05,011,85.7
Calhoun County,Arkansas,74.2742607709339,05,013,87.8
Carroll County,Arkansas,76.8819075049595,05,015,83.4
Chicot County,Arkansas,73.3238474544558,05,017,87.2
Clark County,Arkansas,75.3882863851655,05,019,88.9
Clay County,Arkansas,72.9811894014708,05,021,88.2
Cleburne County,Arkansas,75.8127585008705,05,023,86.2
Cleveland County,Arkansas,74.8939886154834,05,025,90.5
Columbia County,Arkansas,74.0855795655613,05,027,88.4
Conway County,Arkansas,74.754414371743,05,029,89.1
Craighead County,Arkansas,76.0817250967884,05,031,86.4
Crawford County,Arkansas,75.6766406592927,05,033,87.2
Crittenden County,Arkansas,72.5637861678559,05,035,88.5
Cross County,Arkansas,73.2244878594942,05,037,89.6
Dallas County,Arkansas,73.4422555480321,05,039,88.5
Desha County,Arkansas,72.6462159118589,05,041,88.5
Drew County,Arkansas,75.1951468080834,05,043,87.3
Faulkner County,Arkansas,76.4874032503551,05,045,88.3
Franklin County,Arkansas,74.4845723172756,05,047,90.2
Fulton County,Arkansas,74.9094662928843,05,049,88.6
Garland County,Arkansas,74.6472657226993,05,051,85.3
Grant County,Arkansas,75.4770090781045,05,053,90.9
Greene County,Arkansas,74.1589164965496,05,055,88.2
Hempstead County,Arkansas,75.1979646501176,05,057,85.4
Hot Spring County,Arkansas,74.4999020548917,05,059,88.2
Howard County,Arkansas,73.932743414837,05,061,84.8
Independence County,Arkansas,75.597642844104,05,063,87.0
Izard County,Arkansas,75.3232023880092,05,065,86.9
Jackson County,Arkansas,73.2755006173174,05,067,86.3
Jefferson County,Arkansas,73.3573657986794,05,069,89.5
Johnson County,Arkansas,75.708328154088,05,071,87.1
Lafayette County,Arkansas,74.1087285476435,05,073,86.3
Lawrence County,Arkansas,73.8666511091755,05,075,87.3
Lee County,Arkansas,73.2898101789483,05,077,85.7
Lincoln County,Arkansas,74.8737212942846,05,079,87.3
Little River County,Arkansas,74.0887659563583,05,081,86.9
Logan County,Arkansas,74.3392486202055,05,083,89.9
Lonoke County,Arkansas,74.8597538055158,05,085,89.9
Madison County,Arkansas,75.3760684364268,05,087,85.1
Marion County,Arkansas,75.2302699143187,05,089,88.9
Miller County,Arkansas,74.464750313759,05,091,84.4
Mississippi County,Arkansas,71.5808568937905,05,093,86.2
Monroe County,Arkansas,72.5512464018065,05,095,85.8
Montgomery County,Arkansas,75.7333292628795,05,097,85.3
Nevada County,Arkansas,74.1305169224004,05,099,85.2
Newton County,Arkansas,76.8481553354379,05,101,86.6
Ouachita County,Arkansas,72.9330993978912,05,103,89.6
Perry County,Arkansas,74.9408602678681,05,105,89.6
Phillips County,Arkansas,71.0370074249924,05,107,84.6
Pike County,Arkansas,74.8391656898764,05,109,85.1
Poinsett County,Arkansas,71.2771472412706,05,111,86.1
Polk County,Arkansas,74.8970397900164,05,113,85.0
Pope County,Arkansas,76.4300136434993,05,115,88.3
Prairie County,Arkansas,75.5071739186967,05,117,87.9
Pulaski County,Arkansas,75.8807017523375,05,119,88.4
Randolph County,Arkansas,74.4503944893886,05,121,86.2
Saint Francis County,Arkansas,74.2814678477732,05,123,85.3
Saline County,Arkansas,77.1945795984751,05,125,91.3
Scott County,Arkansas,74.7762367047787,05,127,89.6
Searcy County,Arkansas,75.209341850468,05,129,86.7
Sebastian County,Arkansas,75.7412578528108,05,131,86.3
Sevier County,Arkansas,75.0335734317659,05,133,81.4
Sharp County,Arkansas,73.8718009909941,05,135,85.4
Stone County,Arkansas,75.9810049570156,05,137,88.3
Union County,Arkansas,73.1547114216788,05,139,86.9
Van Buren County,Arkansas,76.1235890134709,05,141,84.6
Washington County,Arkansas,77.842915624892,05,143,86.5
White County,Arkansas,75.2602189004461,05,145,87.7
Woodruff County,Arkansas,72.6191345768075,05,147,83.7
Yell County,Arkansas,74.3789291508417,05,149,87.4
Alameda County,California,82.1501481156434,06,001,91.6
Alpine County,California,78.7141694777777,06,003,85.2
Amador County,California,79.6289913494107,06,005,93.0
Butte County,California,77.5105736588065,06,007,89.3
Calaveras County,California,79.3962210334918,06,009,91.7
Colusa County,California,79.8683726910953,06,011,84.4
Contra Costa County,California,81.820905224195,06,013,91.5
Del Norte County,California,75.3686655248315,06,015,89.2
El Dorado County,California,81.4317611841157,06,017,92.4
Fresno County,California,78.4598027402172,06,019,85.8
Glenn County,California,77.4678250112228,06,021,85.5
Humboldt County,California,76.7743480124378,06,023,85.6
Imperial County,California,80.7733344280559,06,025,85.2
Inyo County,California,79.2496428941011,06,027,89.7
Kern County,California,77.1131579275637,06,029,86.7
Kings County,California,79.3576346699736,06,031,87.3
Lake County,California,74.8583185356204,06,033,85.4
Lassen County,California,78.1832914319916,06,035,91.8
Los Angeles County,California,81.5672419912865,06,037,84.1
Madera County,California,78.9932943575827,06,039,85.7
Marin County,California,84.5696953393942,06,041,93.6
Mariposa County,California,80.0692648230514,06,043,92.7
Mendocino County,California,78.5297725160372,06,045,87.4
Merced County,California,78.5160140959399,06,047,87.0
Modoc County,California,77.3676287645249,06,049,85.6
Mono County,California,84.9099794657506,06,051,80.1
Monterey County,California,81.9215612488998,06,053,83.9
Napa County,California,81.1717905624185,06,055,90.9
Nevada County,California,81.0737790934898,06,057,88.8
Orange County,California,82.5515884259936,06,059,87.7
Placer County,California,81.6415657950364,06,061,92.3
Plumas County,California,78.4309252153192,06,063,89.7
Riverside County,California,80.3460832691874,06,065,85.3
Sacramento County,California,79.0908345914297,06,067,89.6
San Benito County,California,81.7030195794554,06,069,88.6
San Bernardino County,California,78.3619715863638,06,071,85.9
San Diego County,California,81.6053443891293,06,073,87.8
San Francisco County,California,82.9715287689956,06,075,93.1
San Joaquin County,California,78.1059218431169,06,077,88.3
San Luis Obispo County,California,81.2878144166655,06,079,89.9
San Mateo County,California,84.0123323762231,06,081,92.8
Santa Barbara County,California,81.6454722199999,06,083,86.4
Santa Clara County,California,83.9160943086229,06,085,92.3
Santa Cruz County,California,81.9961564120804,06,087,89.8
Shasta County,California,75.8154731112947,06,089,88.4
Sierra County,California,78.6673415441736,06,091,91.9
Siskiyou County,California,76.2815852028519,06,093,90.1
Solano County,California,79.6679789808252,06,095,90.8
Sonoma County,California,81.4949042107213,06,097,89.9
Stanislaus County,California,77.7558204850156,06,099,88.5
Sutter County,California,78.425992865714,06,101,86.8
Tehama County,California,77.156038711692,06,103,89.2
Trinity County,California,76.476377604325,06,105,83.6
Tulare County,California,78.0600422756,06,107,85.1
Tuolumne County,California,78.5207303713631,06,109,91.3
Ventura County,California,81.8451328376878,06,111,87.7
Yolo County,California,80.902034743803,06,113,90.6
Yuba County,California,75.7450257040619,06,115,87.8
Alamosa County,Colorado,75.771887610673,08,003,86.9
Archuleta County,Colorado,81.6414378243916,08,007,79.7
Baca County,Colorado,76.9965655550903,08,009,87.0
Bent County,Colorado,75.7641542661414,08,011,85.2
Chaffee County,Colorado,81.2002092122488,08,015,86.9
Cheyenne County,Colorado,78.8841561398334,08,017,82.3
Clear Creek County,Colorado,82.2134532225974,08,019,90.8
Conejos County,Colorado,76.3307341255663,08,021,84.3
Costilla County,Colorado,76.7769601558707,08,023,85.8
Crowley County,Colorado,77.1719431023493,08,025,89.6
Custer County,Colorado,81.0944165093847,08,027,83.3
Delta County,Colorado,77.9358229078402,08,029,84.0
Dolores County,Colorado,79.3628695960052,08,033,89.7
Douglas County,Colorado,83.4601212130212,08,035,95.7
Eagle County,Colorado,88.2928566275646,08,037,81.6
Elbert County,Colorado,81.4849215372713,08,039,92.6
El Paso County,Colorado,78.9786695180627,08,041,90.6
Fremont County,Colorado,77.137998463904,08,043,90.3
Garfield County,Colorado,80.5212296945579,08,045,76.5
Gilpin County,Colorado,81.1262138403668,08,047,89.4
Grand County,Colorado,83.5860252464151,08,049,82.4
Gunnison County,Colorado,82.632977713167,08,051,86.8
Huerfano County,Colorado,75.6325634414296,08,055,86.6
Jackson County,Colorado,79.6337211914158,08,057,87.8
Kiowa County,Colorado,77.5284594449532,08,061,88.6
Kit Carson County,Colorado,79.2319755865927,08,063,84.3
Lake County,Colorado,81.4714622277775,08,065,83.4
La Plata County,Colorado,81.6596562998791,08,067,87.1
Larimer County,Colorado,81.5083109395379,08,069,91.5
Las Animas County,Colorado,76.3309843460437,08,071,89.0
Lincoln County,Colorado,78.6842812775749,08,073,93.5
Logan County,Colorado,79.2200596051251,08,075,87.0
Mesa County,Colorado,78.3937721412894,08,077,87.3
Moffat County,Colorado,78.1221748148496,08,081,85.9
Montezuma County,Colorado,77.1367714339189,08,083,80.6
Montrose County,Colorado,79.2461641337684,08,085,85.1
Morgan County,Colorado,78.13439908772,08,087,90.6
Otero County,Colorado,75.1401575306602,08,089,87.4
Ouray County,Colorado,84.0203909090915,08,091,87.6
Park County,Colorado,82.7078121177392,08,093,88.4
Phillips County,Colorado,80.0902373229648,08,095,86.9
Pitkin County,Colorado,90.470655000783,08,097,86.3
Prowers County,Colorado,76.7338690354723,08,099,87.3
Pueblo County,Colorado,76.4534159713537,08,101,90.6
Rio Blanco County,Colorado,78.8510030730045,08,103,89.6
Rio Grande County,Colorado,76.7006333576077,08,105,85.9
Routt County,Colorado,83.0859439169025,08,107,88.5
Saguache County,Colorado,79.549357835051,08,109,75.2
San Miguel County,Colorado,85.8934808652553,08,113,87.6
Sedgwick County,Colorado,77.6908466567926,08,115,88.0
Summit County,Colorado,90.7599342440293,08,117,80.5
Teller County,Colorado,80.4060865096973,08,119,91.4
Washington County,Colorado,79.5359214085342,08,121,92.1
Yuma County,Colorado,78.8699502657181,08,125,84.9
Adams County,Colorado,80.2432338592034,08,001,84.4
Arapahoe County,Colorado,80.2432338592034,08,005,88.6
Boulder County,Colorado,80.2432338592034,08,013,92.6
Broomfield County,Colorado,80.2432338592034,08,014,94.5
Denver County,Colorado,80.2432338592034,08,031,87.0
Jefferson County,Colorado,80.2432338592034,08,059,92.0
Weld County,Colorado,80.2432338592034,08,123,89.0
Fairfield County,Connecticut,82.5933818002003,09,001,89.9
Hartford County,Connecticut,80.2119442590321,09,003,94.1
Litchfield County,Connecticut,80.4021916136219,09,005,94.0
Middlesex County,Connecticut,81.0821212220154,09,007,95.0
New Haven County,Connecticut,80.061944421033,09,009,92.9
New London County,Connecticut,79.9198566902699,09,011,94.6
Tolland County,Connecticut,81.718649046245,09,013,96.0
Windham County,Connecticut,78.8145339848324,09,015,93.7
Kent County,Delaware,77.2142387207649,10,001,92.2
New Castle County,Delaware,78.329504469616,10,003,93.1
Sussex County,Delaware,78.511223894838,10,005,91.4
