County,State,mean_life_expectancy,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,76.3458016126412,01,001,10565.0
Baldwin County,Alabama,78.1131187069305,01,003,19764.0
Barbour County,Alabama,74.7743309934985,01,005,12266.0
Bibb County,Alabama,73.7903133744892,01,007,5018.0
Blount County,Alabama,75.013449464969,01,009,862.0
Bullock County,Alabama,73.6842860486569,01,011,7893.0
Butler County,Alabama,73.9019445955979,01,013,9055.0
Calhoun County,Alabama,73.4088629777792,01,015,23676.0
Chambers County,Alabama,74.5258741295021,01,017,13319.0
Cherokee County,Alabama,74.4293661472186,01,019,1267.0
Chilton County,Alabama,74.3574576379216,01,021,4148.0
Choctaw County,Alabama,74.5791676770029,01,023,5590.0
Clarke County,Alabama,74.8950304256062,01,025,11173.0
Clay County,Alabama,74.5316289536644,01,027,1977.0
Cleburne County,Alabama,74.3862420952093,01,029,393.0
Coffee County,Alabama,76.3613073583135,01,031,8829.0
Colbert County,Alabama,74.531880399761,01,033,8615.0
Conecuh County,Alabama,73.5208362803517,01,035,5971.0
Coosa County,Alabama,75.5688098046964,01,037,3713.0
Covington County,Alabama,74.094051609186,01,039,4826.0
Crenshaw County,Alabama,74.1434109951944,01,041,3198.0
Cullman County,Alabama,74.4187888904678,01,043,998.0
Dale County,Alabama,75.6212203924387,01,045,9749.0
Dallas County,Alabama,72.300300454957,01,047,28210.0
DeKalb County,Alabama,74.664298896307,01,049,1004.0
Elmore County,Alabama,76.0666411732753,01,051,17402.0
Escambia County,Alabama,73.1785510386588,01,053,11920.0
Etowah County,Alabama,73.310801891145,01,055,16212.0
Fayette County,Alabama,73.7501826390878,01,057,1978.0
Franklin County,Alabama,73.6994529156054,01,059,1388.0
Geneva County,Alabama,74.2429861050731,01,061,2529.0
Greene County,Alabama,74.0541627291715,01,063,6713.0
Hale County,Alabama,73.8211347225773,01,065,8748.0
Henry County,Alabama,75.5345409164455,01,067,4749.0
Houston County,Alabama,76.2003724907021,01,069,28078.0
Jackson County,Alabama,73.4860798339663,01,071,1799.0
Jefferson County,Alabama,74.8266754858777,01,073,281702.0
Lamar County,Alabama,74.6405751275356,01,075,1558.0
Lauderdale County,Alabama,76.2332477342409,01,077,9364.0
Lawrence County,Alabama,73.8448626457253,01,079,3627.0
Lee County,Alabama,77.6449270835747,01,081,36675.0
Limestone County,Alabama,77.5937481419663,01,083,12468.0
Lowndes County,Alabama,72.0555793694128,01,085,7601.0
Macon County,Alabama,73.143855116616,01,087,15740.0
Madison County,Alabama,77.6056196958447,01,089,86012.0
Marengo County,Alabama,73.5140531961641,01,091,10518.0
Marion County,Alabama,74.2254868593688,01,093,1097.0
Marshall County,Alabama,74.360519855914,01,095,2456.0
Mobile County,Alabama,74.9863591340308,01,097,147434.0
Monroe County,Alabama,74.9978896242308,01,099,8927.0
Montgomery County,Alabama,76.1656562262215,01,101,130866.0
Morgan County,Alabama,75.4261590776826,01,103,15228.0
Perry County,Alabama,72.770250342339,01,105,6588.0
Pickens County,Alabama,74.6249282141329,01,107,8367.0
Pike County,Alabama,75.0187640137986,01,109,12697.0
Randolph County,Alabama,74.3982802569113,01,111,4547.0
Russell County,Alabama,73.6803490665368,01,113,24957.0
Saint Clair County,Alabama,75.0107121083288,01,115,8252.0
Shelby County,Alabama,80.205250224518,01,117,25455.0
Sumter County,Alabama,74.7139987528402,01,119,9346.0
Talladega County,Alabama,73.5793518144223,01,121,26010.0
Tallapoosa County,Alabama,74.9365477647865,01,123,11145.0
Tuscaloosa County,Alabama,76.5059658159458,01,125,65260.0
Walker County,Alabama,70.5636130208947,01,127,4007.0
Washington County,Alabama,74.6032396661542,01,129,4086.0
Wilcox County,Alabama,71.5241341237713,01,131,7511.0
Winston County,Alabama,74.7102062206126,01,133,90.0
Anchorage Municipality,Alaska,79.167117979683,02,020,16439.0
Bethel Census Area,Alaska,72.53346154146,02,050,119.0
Bristol Bay Borough,Alaska,76.2417287283227,02,060,4.0
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,4493.0
Haines Borough,Alaska,82.3340851154886,02,100,1.0
Juneau City and Borough,Alaska,80.7356793660287,02,110,325.0
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,370.0
Kodiak Island Borough,Alaska,80.3116543907809,02,150,36.0
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,1121.0
Nome Census Area,Alaska,70.7530594988732,02,180,89.0
North Slope Borough,Alaska,75.8434189819725,02,185,84.0
Sitka City and Borough,Alaska,80.454277274944,02,220,103.0
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,47.0
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,25.0
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,87.0
Aleutians East Borough,Alaska,84.54019994971,02,013,144.0
Aleutians West Census Area,Alaska,84.54019994971,02,016,246.0
Dillingham Census Area,Alaska,74.2728982123458,02,070,67.0
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,9.0
Denali Borough,Alaska,74.5030411727533,02,068,18.0
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,7.0
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,68.0
Skagway Municipality,Alaska,81.2101394560811,02,230,13.0
Yakutat City and Borough,Alaska,81.2101394560811,02,282,2.0
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,103.0
Petersburg Borough,Alaska,79.3321255610105,02,195,23.0
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,24.0
Wrangell City and Borough,Alaska,79.3321255610105,02,275,2.0
Apache County,Arizona,72.3010290005178,04,001,513.0
Cochise County,Arizona,77.8408033972637,04,003,4734.0
Coconino County,Arizona,78.8052809079821,04,005,1869.0
Gila County,Arizona,74.3746289869468,04,007,317.0
Graham County,Arizona,77.1556460234304,04,009,752.0
Greenlee County,Arizona,78.3645024836664,04,011,213.0
Maricopa County,Arizona,79.7386604099472,04,013,232690.0
Mohave County,Arizona,75.0984065448903,04,015,2262.0
Navajo County,Arizona,73.7972740690661,04,017,964.0
Pima County,Arizona,78.7518294309296,04,019,35973.0
Pinal County,Arizona,81.2155424915528,04,021,18782.0
Santa Cruz County,Arizona,81.7071020187176,04,023,248.0
Yavapai County,Arizona,78.051524295411,04,025,1274.0
La Paz County,Arizona,81.2378999209795,04,012,170.0
Yuma County,Arizona,81.2378999209795,04,027,4498.0
Arkansas County,Arkansas,73.699664085667,05,001,4677.0
Ashley County,Arkansas,74.0622583712188,05,003,5273.0
Baxter County,Arkansas,76.0355516425297,05,005,74.0
Benton County,Arkansas,79.5515977691344,05,007,4359.0
Boone County,Arkansas,76.2920818267331,05,009,156.0
Bradley County,Arkansas,73.9154085027933,05,011,3176.0
Calhoun County,Arkansas,74.7753643476493,05,013,1125.0
Carroll County,Arkansas,77.2088767175722,05,015,335.0
Chicot County,Arkansas,73.4191359082146,05,017,5861.0
Clark County,Arkansas,75.9107071055062,05,019,5374.0
Clay County,Arkansas,73.0282818142332,05,021,93.0
Cleburne County,Arkansas,75.8897883042267,05,023,140.0
Cleveland County,Arkansas,74.9601675422995,05,025,924.0
Columbia County,Arkansas,74.3920918341417,05,027,8351.0
Conway County,Arkansas,74.8124099395122,05,029,2282.0
Craighead County,Arkansas,76.2618331131667,05,031,14622.0
Crawford County,Arkansas,76.0303039795828,05,033,978.0
Crittenden County,Arkansas,72.9678543864573,05,035,23789.0
Cross County,Arkansas,73.2798919731548,05,037,3308.0
Dallas County,Arkansas,73.7130043686649,05,039,3093.0
Desha County,Arkansas,72.7276609628183,05,041,5596.0
Drew County,Arkansas,75.2211103202167,05,043,5333.0
Faulkner County,Arkansas,76.5427391151303,05,045,13904.0
Franklin County,Arkansas,74.6633798673886,05,047,172.0
Fulton County,Arkansas,75.0726412158052,05,049,71.0
Garland County,Arkansas,74.6917741981376,05,051,8031.0
Grant County,Arkansas,75.3837861639195,05,053,541.0
Greene County,Arkansas,74.2408679220059,05,055,720.0
Hempstead County,Arkansas,75.3276249243193,05,057,6713.0
Hot Spring County,Arkansas,74.4739215374817,05,059,4032.0
Howard County,Arkansas,74.2175286904666,05,061,2761.0
Independence County,Arkansas,75.9418583152842,05,063,693.0
Izard County,Arkansas,75.4317695846984,05,065,254.0
Jackson County,Arkansas,73.3266666408661,05,067,2143.0
Jefferson County,Arkansas,73.3590923821139,05,069,39889.0
Johnson County,Arkansas,75.8064818743859,05,071,424.0
Lafayette County,Arkansas,74.6587982386832,05,073,2533.0
Lawrence County,Arkansas,74.0656088368156,05,075,173.0
Lee County,Arkansas,73.3490156735839,05,077,5313.0
Lincoln County,Arkansas,75.1131078790431,05,079,4292.0
Little River County,Arkansas,74.1807882572467,05,081,2762.0
Logan County,Arkansas,74.4320848649481,05,083,293.0
Lonoke County,Arkansas,74.9345664780834,05,085,4379.0
Madison County,Arkansas,75.5976399371591,05,087,87.0
Marion County,Arkansas,75.4429778062734,05,089,145.0
Miller County,Arkansas,74.6268522519816,05,091,10844.0
Mississippi County,Arkansas,71.4920842695116,05,093,15070.0
Monroe County,Arkansas,72.4674227246369,05,095,2897.0
Montgomery County,Arkansas,75.793052336322,05,097,20.0
Nevada County,Arkansas,74.2958611849283,05,099,2927.0
Newton County,Arkansas,77.1907959033018,05,101,2.0
Ouachita County,Arkansas,73.0491101838795,05,103,9904.0
Perry County,Arkansas,75.0236567504255,05,105,196.0
Phillips County,Arkansas,71.1931915908736,05,107,11921.0
Pike County,Arkansas,75.0824421118564,05,109,355.0
Poinsett County,Arkansas,71.3031716770786,05,111,1149.0
Polk County,Arkansas,75.2198849618385,05,113,91.0
Pope County,Arkansas,76.6203759107694,05,115,1895.0
Prairie County,Arkansas,75.966819358482,05,117,1073.0
Pulaski County,Arkansas,76.0611102581848,05,119,143508.0
Randolph County,Arkansas,74.3973999793014,05,121,201.0
Saint Francis County,Arkansas,74.1021367670649,05,123,14624.0
Saline County,Arkansas,77.1843392125055,05,125,8293.0
Scott County,Arkansas,74.7730329022547,05,127,28.0
Searcy County,Arkansas,75.2517345364764,05,129,54.0
Sebastian County,Arkansas,75.9956131141566,05,131,8877.0
Sevier County,Arkansas,75.4897788457826,05,133,874.0
Sharp County,Arkansas,73.8772637972242,05,135,119.0
Stone County,Arkansas,76.1304929728617,05,137,9.0
Union County,Arkansas,73.4174077792713,05,139,12972.0
Van Buren County,Arkansas,76.1831675574109,05,141,81.0
Washington County,Arkansas,77.990955582861,05,143,8149.0
White County,Arkansas,75.3891115505783,05,145,3206.0
Woodruff County,Arkansas,72.862006974415,05,147,1845.0
Yell County,Arkansas,74.6715621808677,05,149,542.0
Alameda County,California,82.5117230510974,06,001,177135.0
Alpine County,California,78.6184132405496,06,003,9.0
Amador County,California,79.6700527007408,06,005,790.0
Butte County,California,77.5510398533407,06,007,3477.0
Calaveras County,California,79.4937097704614,06,009,302.0
Colusa County,California,79.8121558402712,06,011,362.0
Contra Costa County,California,82.1166155136634,06,013,97333.0
Del Norte County,California,75.5876660864016,06,015,785.0
El Dorado County,California,81.7175928361167,06,017,1494.0
Fresno County,California,78.5774233152407,06,019,47372.0
Glenn County,California,77.3237108142528,06,021,255.0
Humboldt County,California,76.9699850790142,06,023,1585.0
Imperial County,California,80.8834382757586,06,025,4591.0
Inyo County,California,79.4082290287002,06,027,161.0
Kern County,California,77.1798988763483,06,029,48179.0
Kings County,California,79.5158893403858,06,031,9687.0
Lake County,California,74.9388266144901,06,033,1562.0
Lassen County,California,78.2889851142427,06,035,2738.0
Los Angeles County,California,81.7722051489058,06,037,823987.0
Madera County,California,79.1324957900949,06,039,5026.0
