County,State,mean_life_expectancy,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,75.7292435880376,01,001,137900
Baldwin County,Alabama,77.9271776584132,01,003,172900
Barbour County,Alabama,75.726345615993,01,005,88700
Bibb County,Alabama,73.8549042153188,01,007,91600
Blount County,Alabama,75.7031620249924,01,009,115200
Bullock County,Alabama,74.5147146410295,01,011,73900
Butler County,Alabama,74.0029270174073,01,013,73500
Calhoun County,Alabama,73.7720318613506,01,015,101900
Chambers County,Alabama,74.4618272098825,01,017,78000
Cherokee County,Alabama,74.9073645339479,01,019,99900
Chilton County,Alabama,74.1680381073103,01,021,103700
Choctaw County,Alabama,75.0330369420346,01,023,59300
Clarke County,Alabama,75.3627746026001,01,025,84800
Clay County,Alabama,74.5556200097281,01,027,80600
Cleburne County,Alabama,74.0892819227667,01,029,91300
Coffee County,Alabama,76.8920779757569,01,031,126400
Colbert County,Alabama,74.7919396971864,01,033,101500
Conecuh County,Alabama,73.9629702481659,01,035,74200
Coosa County,Alabama,75.1116367329605,01,037,74500
Covington County,Alabama,75.0377160434361,01,039,86700
Crenshaw County,Alabama,74.4090115093279,01,041,70000
Cullman County,Alabama,75.0285246631596,01,043,104700
Dale County,Alabama,76.2376078137941,01,045,96100
Dallas County,Alabama,72.3485612905477,01,047,73700
DeKalb County,Alabama,74.9900686798499,01,049,89400
Elmore County,Alabama,75.972036154942,01,051,143900
Escambia County,Alabama,74.0158797821032,01,053,85300
Etowah County,Alabama,73.2531150461842,01,055,101200
Fayette County,Alabama,74.2005416942204,01,057,72600
Franklin County,Alabama,73.4441492092538,01,059,82000
Geneva County,Alabama,75.2391510545445,01,061,79400
Greene County,Alabama,74.6190084135484,01,063,77200
Hale County,Alabama,74.1705015045921,01,065,80300
Henry County,Alabama,75.8618642097371,01,067,100400
Houston County,Alabama,76.6654865118704,01,069,122000
Jackson County,Alabama,73.8971307190983,01,071,92000
Jefferson County,Alabama,74.9923234793925,01,073,142300
Lamar County,Alabama,74.6375257695077,01,075,69900
Lauderdale County,Alabama,76.3717334494033,01,077,111900
Lawrence County,Alabama,74.0874083511881,01,079,96600
Lee County,Alabama,77.5552230695894,01,081,149300
Limestone County,Alabama,77.5349339425497,01,083,132500
Lowndes County,Alabama,72.5169545782714,01,085,70200
Macon County,Alabama,73.472029298343,01,087,77500
Madison County,Alabama,77.7777375113583,01,089,163300
Marengo County,Alabama,74.31817729379,01,091,89500
Marion County,Alabama,74.3185965980805,01,093,76400
Marshall County,Alabama,74.2594225666453,01,095,109800
Mobile County,Alabama,74.9254454523935,01,097,125400
Monroe County,Alabama,75.3055057626381,01,099,76600
Montgomery County,Alabama,76.0363412800295,01,101,123500
Morgan County,Alabama,75.7692598409346,01,103,121100
Perry County,Alabama,72.0683801705565,01,105,63500
Pickens County,Alabama,74.4214021607815,01,107,82500
Pike County,Alabama,75.324182967647,01,109,101600
Randolph County,Alabama,74.4748298659528,01,111,89100
Russell County,Alabama,74.2849040636452,01,113,102000
Saint Clair County,Alabama,75.1409064937624,01,115,132600
