County,State,mean_life_expectancy,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,76.3458016126412,01,001,32.6
Baldwin County,Alabama,78.1131187069305,01,003,27.6
Barbour County,Alabama,74.7743309934985,01,005,35.7
Bibb County,Alabama,73.7903133744892,01,007,47.3
Blount County,Alabama,75.013449464969,01,009,34.0
Bullock County,Alabama,73.6842860486569,01,011,39.7
Butler County,Alabama,73.9019445955979,01,013,43.9
Calhoun County,Alabama,73.4088629777792,01,015,32.4
Chambers County,Alabama,74.5258741295021,01,017,38.4
Cherokee County,Alabama,74.4293661472186,01,019,38.3
Chilton County,Alabama,74.3574576379216,01,021,44.1
Choctaw County,Alabama,74.5791676770029,01,023,38.2
Clarke County,Alabama,74.8950304256062,01,025,43.7
Clay County,Alabama,74.5316289536644,01,027,36.3
Cleburne County,Alabama,74.3862420952093,01,029,39.6
Coffee County,Alabama,76.3613073583135,01,031,27.9
Colbert County,Alabama,74.531880399761,01,033,36.0
Conecuh County,Alabama,73.5208362803517,01,035,48.8
Coosa County,Alabama,75.5688098046964,01,037,38.6
Covington County,Alabama,74.094051609186,01,039,35.4
Crenshaw County,Alabama,74.1434109951944,01,041,38.8
Cullman County,Alabama,74.4187888904678,01,043,35.6
Dale County,Alabama,75.6212203924387,01,045,32.7
Dallas County,Alabama,72.300300454957,01,047,35.2
DeKalb County,Alabama,74.664298896307,01,049,33.3
Elmore County,Alabama,76.0666411732753,01,051,32.8
Escambia County,Alabama,73.1785510386588,01,053,44.5
Etowah County,Alabama,73.310801891145,01,055,32.9
Fayette County,Alabama,73.7501826390878,01,057,41.5
Franklin County,Alabama,73.6994529156054,01,059,36.8
Geneva County,Alabama,74.2429861050731,01,061,37.2
Greene County,Alabama,74.0541627291715,01,063,36.8
Hale County,Alabama,73.8211347225773,01,065,42.6
Henry County,Alabama,75.5345409164455,01,067,33.5
Houston County,Alabama,76.2003724907021,01,069,31.6
Jackson County,Alabama,73.4860798339663,01,071,40.8
Jefferson County,Alabama,74.8266754858777,01,073,26.8
Lamar County,Alabama,74.6405751275356,01,075,39.9
Lauderdale County,Alabama,76.2332477342409,01,077,36.0
Lawrence County,Alabama,73.8448626457253,01,079,41.5
Lee County,Alabama,77.6449270835747,01,081,24.1
Limestone County,Alabama,77.5937481419663,01,083,30.3
Lowndes County,Alabama,72.0555793694128,01,085,38.6
Macon County,Alabama,73.143855116616,01,087,30.1
Madison County,Alabama,77.6056196958447,01,089,20.8
Marengo County,Alabama,73.5140531961641,01,091,39.8
Marion County,Alabama,74.2254868593688,01,093,34.8
Marshall County,Alabama,74.360519855914,01,095,31.1
Mobile County,Alabama,74.9863591340308,01,097,33.5
Monroe County,Alabama,74.9978896242308,01,099,46.1
Montgomery County,Alabama,76.1656562262215,01,101,25.5
Morgan County,Alabama,75.4261590776826,01,103,29.6
Perry County,Alabama,72.770250342339,01,105,39.4
Pickens County,Alabama,74.6249282141329,01,107,36.7
Pike County,Alabama,75.0187640137986,01,109,33.3
Randolph County,Alabama,74.3982802569113,01,111,36.3
Russell County,Alabama,73.6803490665368,01,113,32.3
Saint Clair County,Alabama,75.0107121083288,01,115,36.0
Shelby County,Alabama,80.205250224518,01,117,20.3
Sumter County,Alabama,74.7139987528402,01,119,37.8
Talladega County,Alabama,73.5793518144223,01,121,34.9
Tallapoosa County,Alabama,74.9365477647865,01,123,32.9
Tuscaloosa County,Alabama,76.5059658159458,01,125,29.9
Walker County,Alabama,70.5636130208947,01,127,37.1
Washington County,Alabama,74.6032396661542,01,129,43.2
Wilcox County,Alabama,71.5241341237713,01,131,40.3
Winston County,Alabama,74.7102062206126,01,133,37.4
Anchorage Municipality,Alaska,79.167117979683,02,020,23.8
Bethel Census Area,Alaska,72.53346154146,02,050,45.2
Bristol Bay Borough,Alaska,76.2417287283227,02,060,34.9
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,22.3
Haines Borough,Alaska,82.3340851154886,02,100,30.0
Juneau City and Borough,Alaska,80.7356793660287,02,110,20.4
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,32.2
Kodiak Island Borough,Alaska,80.3116543907809,02,150,31.3
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,32.2
Nome Census Area,Alaska,70.7530594988732,02,180,42.9
North Slope Borough,Alaska,75.8434189819725,02,185,43.0
Sitka City and Borough,Alaska,80.454277274944,02,220,28.3
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,32.6
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,32.7
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,47.3
Aleutians East Borough,Alaska,84.54019994971,02,013,40.2
Aleutians West Census Area,Alaska,84.54019994971,02,016,40.5
Dillingham Census Area,Alaska,74.2728982123458,02,070,39.2
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,41.9
Denali Borough,Alaska,74.5030411727533,02,068,26.1
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,40.3
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,35.6
Skagway Municipality,Alaska,81.2101394560811,02,230,23.4
Yakutat City and Borough,Alaska,81.2101394560811,02,282,38.4
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,29.9
Petersburg Borough,Alaska,79.3321255610105,02,195,31.9
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,37.3
Wrangell City and Borough,Alaska,79.3321255610105,02,275,37.6
Apache County,Arizona,72.3010290005178,04,001,33.1
Cochise County,Arizona,77.8408033972637,04,003,23.5
Coconino County,Arizona,78.8052809079821,04,005,21.4
Gila County,Arizona,74.3746289869468,04,007,28.6
Graham County,Arizona,77.1556460234304,04,009,29.9
Greenlee County,Arizona,78.3645024836664,04,011,36.2
Maricopa County,Arizona,79.7386604099472,04,013,22.6
Mohave County,Arizona,75.0984065448903,04,015,34.8
Navajo County,Arizona,73.7972740690661,04,017,30.1
Pima County,Arizona,78.7518294309296,04,019,22.5
Pinal County,Arizona,81.2155424915528,04,021,29.7
Santa Cruz County,Arizona,81.7071020187176,04,023,27.2
Yavapai County,Arizona,78.051524295411,04,025,25.7
La Paz County,Arizona,81.2378999209795,04,012,33.0
Yuma County,Arizona,81.2378999209795,04,027,25.9
Arkansas County,Arkansas,73.699664085667,05,001,38.3
Ashley County,Arkansas,74.0622583712188,05,003,39.9
Baxter County,Arkansas,76.0355516425297,05,005,35.0
Benton County,Arkansas,79.5515977691344,05,007,29.1
Boone County,Arkansas,76.2920818267331,05,009,33.8
Bradley County,Arkansas,73.9154085027933,05,011,41.6
Calhoun County,Arkansas,74.7753643476493,05,013,43.6
Carroll County,Arkansas,77.2088767175722,05,015,34.6
Chicot County,Arkansas,73.4191359082146,05,017,39.2
Clark County,Arkansas,75.9107071055062,05,019,30.5
Clay County,Arkansas,73.0282818142332,05,021,41.2
Cleburne County,Arkansas,75.8897883042267,05,023,40.7
Cleveland County,Arkansas,74.9601675422995,05,025,47.2
Columbia County,Arkansas,74.3920918341417,05,027,39.9
Conway County,Arkansas,74.8124099395122,05,029,43.4
Craighead County,Arkansas,76.2618331131667,05,031,34.1
Crawford County,Arkansas,76.0303039795828,05,033,37.4
Crittenden County,Arkansas,72.9678543864573,05,035,35.0
Cross County,Arkansas,73.2798919731548,05,037,41.5
Dallas County,Arkansas,73.7130043686649,05,039,43.4
Desha County,Arkansas,72.7276609628183,05,041,44.0
Drew County,Arkansas,75.2211103202167,05,043,35.4
Faulkner County,Arkansas,76.5427391151303,05,045,30.5
Franklin County,Arkansas,74.6633798673886,05,047,40.1
Fulton County,Arkansas,75.0726412158052,05,049,37.2
Garland County,Arkansas,74.6917741981376,05,051,31.5
Grant County,Arkansas,75.3837861639195,05,053,44.2
Greene County,Arkansas,74.2408679220059,05,055,44.2
Hempstead County,Arkansas,75.3276249243193,05,057,36.9
Hot Spring County,Arkansas,74.4739215374817,05,059,39.6
Howard County,Arkansas,74.2175286904666,05,061,37.3
Independence County,Arkansas,75.9418583152842,05,063,35.8
Izard County,Arkansas,75.4317695846984,05,065,37.8
Jackson County,Arkansas,73.3266666408661,05,067,41.1
Jefferson County,Arkansas,73.3590923821139,05,069,38.5
Johnson County,Arkansas,75.8064818743859,05,071,41.2
Lafayette County,Arkansas,74.6587982386832,05,073,41.3
Lawrence County,Arkansas,74.0656088368156,05,075,40.4
Lee County,Arkansas,73.3490156735839,05,077,40.8
Lincoln County,Arkansas,75.1131078790431,05,079,50.3
Little River County,Arkansas,74.1807882572467,05,081,42.7
Logan County,Arkansas,74.4320848649481,05,083,45.0
Lonoke County,Arkansas,74.9345664780834,05,085,35.1
Madison County,Arkansas,75.5976399371591,05,087,45.6
Marion County,Arkansas,75.4429778062734,05,089,36.8
Miller County,Arkansas,74.6268522519816,05,091,35.9
Mississippi County,Arkansas,71.4920842695116,05,093,38.6
Monroe County,Arkansas,72.4674227246369,05,095,43.0
Montgomery County,Arkansas,75.793052336322,05,097,36.5
Nevada County,Arkansas,74.2958611849283,05,099,43.8
Newton County,Arkansas,77.1907959033018,05,101,40.8
Ouachita County,Arkansas,73.0491101838795,05,103,41.6
Perry County,Arkansas,75.0236567504255,05,105,40.7
Phillips County,Arkansas,71.1931915908736,05,107,30.1
Pike County,Arkansas,75.0824421118564,05,109,38.9
Poinsett County,Arkansas,71.3031716770786,05,111,44.3
Polk County,Arkansas,75.2198849618385,05,113,37.4
Pope County,Arkansas,76.6203759107694,05,115,35.5
Prairie County,Arkansas,75.966819358482,05,117,40.0
Pulaski County,Arkansas,76.0611102581848,05,119,26.2
Randolph County,Arkansas,74.3973999793014,05,121,35.6
Saint Francis County,Arkansas,74.1021367670649,05,123,38.8
Saline County,Arkansas,77.1843392125055,05,125,31.5
Scott County,Arkansas,74.7730329022547,05,127,43.0
Searcy County,Arkansas,75.2517345364764,05,129,45.1
Sebastian County,Arkansas,75.9956131141566,05,131,32.0
Sevier County,Arkansas,75.4897788457826,05,133,36.1
Sharp County,Arkansas,73.8772637972242,05,135,42.0
Stone County,Arkansas,76.1304929728617,05,137,36.3
Union County,Arkansas,73.4174077792713,05,139,35.2
Van Buren County,Arkansas,76.1831675574109,05,141,43.9
Washington County,Arkansas,77.990955582861,05,143,26.3
White County,Arkansas,75.3891115505783,05,145,38.4
Woodruff County,Arkansas,72.862006974415,05,147,42.5
Yell County,Arkansas,74.6715621808677,05,149,40.9
Alameda County,California,82.5117230510974,06,001,17.6
Alpine County,California,78.6184132405496,06,003,28.7
Amador County,California,79.6700527007408,06,005,28.7
Butte County,California,77.5510398533407,06,007,22.7
Calaveras County,California,79.4937097704614,06,009,27.6
Colusa County,California,79.8121558402712,06,011,23.7
Contra Costa County,California,82.1166155136634,06,013,17.6
Del Norte County,California,75.5876660864016,06,015,31.5
El Dorado County,California,81.7175928361167,06,017,21.2
Fresno County,California,78.5774233152407,06,019,22.9
Glenn County,California,77.3237108142528,06,021,28.2
Humboldt County,California,76.9699850790142,06,023,23.5
Imperial County,California,80.8834382757586,06,025,24.5
Inyo County,California,79.4082290287002,06,027,29.3
Kern County,California,77.1798988763483,06,029,27.7
Kings County,California,79.5158893403858,06,031,25.5
Lake County,California,74.9388266144901,06,033,30.1
Lassen County,California,78.2889851142427,06,035,33.2
Los Angeles County,California,81.7722051489058,06,037,20.7
Madera County,California,79.1324957900949,06,039,25.0
Marin County,California,85.0172356317939,06,041,10.9
Mariposa County,California,80.0918795754373,06,043,26.5
Mendocino County,California,78.8622505182297,06,045,25.8
Merced County,California,78.6740314276637,06,047,25.8
Modoc County,California,77.2922317763807,06,049,32.3
Mono County,California,85.3082290449747,06,051,22.8
Monterey County,California,82.0510756660361,06,053,20.4
Napa County,California,81.4546639927278,06,055,18.0
Nevada County,California,81.1772572867672,06,057,18.4
Orange County,California,82.7692260205684,06,059,17.1
Placer County,California,81.8330268106076,06,061,18.2
Plumas County,California,78.4717776495267,06,063,25.2
Riverside County,California,80.5162407320043,06,065,26.9
Sacramento County,California,79.3400394926971,06,067,22.3
San Benito County,California,81.8119632950539,06,069,24.8
San Bernardino County,California,78.4608787343935,06,071,26.5
San Diego County,California,81.8152724349575,06,073,18.4
San Francisco County,California,83.2321058302004,06,075,12.3
San Joaquin County,California,78.22543142894,06,077,28.2
San Luis Obispo County,California,81.3157003484936,06,079,19.8
San Mateo County,California,84.3845629127664,06,081,15.0
Santa Barbara County,California,81.7643311735787,06,083,17.9
Santa Clara County,California,84.2543556639128,06,085,14.5
Santa Cruz County,California,82.4374330425814,06,087,15.8
Shasta County,California,76.0083184102708,06,089,24.8
Sierra County,California,78.7559184759067,06,091,26.6
Siskiyou County,California,76.3397555392635,06,093,25.5
Solano County,California,79.9136116310706,06,095,23.3
Sonoma County,California,81.7938284667815,06,097,18.8
Stanislaus County,California,77.7850070672191,06,099,28.6
Sutter County,California,78.5169447108835,06,101,23.9
Tehama County,California,77.2351720137537,06,103,30.7
Trinity County,California,76.4541995192134,06,105,33.4
Tulare County,California,78.1677031872242,06,107,26.0
Tuolumne County,California,78.6328973173773,06,109,28.4
Ventura County,California,82.0434292248645,06,111,18.9
Yolo County,California,81.0912989720667,06,113,18.5
Yuba County,California,75.7914021288201,06,115,23.1
Alamosa County,Colorado,75.9550396158801,08,003,27.3
Archuleta County,Colorado,81.8918030047636,08,007,21.5
Baca County,Colorado,77.3383444138467,08,009,27.3
Bent County,Colorado,75.9748616124026,08,011,48.6
Chaffee County,Colorado,81.4641560038579,08,015,26.7
Cheyenne County,Colorado,78.6879955565073,08,017,36.4
Clear Creek County,Colorado,82.6610229885307,08,019,20.9
Conejos County,Colorado,76.4373705834421,08,021,32.4
Costilla County,Colorado,77.0920679641841,08,023,23.8
Crowley County,Colorado,76.8847458813323,08,025,41.7
Custer County,Colorado,81.3761757630446,08,027,21.0
Delta County,Colorado,78.0299071880757,08,029,38.2
Dolores County,Colorado,79.4560888187491,08,033,38.3
Douglas County,Colorado,83.6399311898685,08,035,12.2
Eagle County,Colorado,88.7167159091399,08,037,15.7
Elbert County,Colorado,81.8237081925238,08,039,24.6
El Paso County,Colorado,78.8347552744772,08,041,20.2
Fremont County,Colorado,77.2051035308431,08,043,39.8
Garfield County,Colorado,80.6819634064959,08,045,28.5
Gilpin County,Colorado,81.7945176234942,08,047,22.0
Grand County,Colorado,84.0098966721527,08,049,26.5
Gunnison County,Colorado,82.913042229065,08,051,16.0
Huerfano County,Colorado,75.4585720983573,08,055,28.7
Jackson County,Colorado,79.59835257654,08,057,29.6
Kiowa County,Colorado,77.3704120148078,08,061,38.0
Kit Carson County,Colorado,79.5622504984928,08,063,37.7
Lake County,Colorado,82.0248236188546,08,065,27.1
La Plata County,Colorado,81.9648873514121,08,067,20.3
Larimer County,Colorado,81.6003124510936,08,069,19.2
Las Animas County,Colorado,76.5856454888699,08,071,28.8
Lincoln County,Colorado,78.552506862319,08,073,53.1
Logan County,Colorado,79.4270063355196,08,075,32.7
Mesa County,Colorado,78.3834696871957,08,077,27.3
Moffat County,Colorado,78.3900592917377,08,081,40.4
Montezuma County,Colorado,77.4763661365105,08,083,29.4
Montrose County,Colorado,79.5886762336159,08,085,31.8
Morgan County,Colorado,78.2634199069944,08,087,31.1
Otero County,Colorado,75.1862520954706,08,089,29.2
Ouray County,Colorado,84.2141800769531,08,091,18.2
Park County,Colorado,82.8974961064367,08,093,29.9
Phillips County,Colorado,80.5145148117585,08,095,27.6
Pitkin County,Colorado,91.3769660058971,08,097,14.8
Prowers County,Colorado,76.8437289856315,08,099,25.9
Pueblo County,Colorado,76.4093117151939,08,101,28.7
Rio Blanco County,Colorado,78.8548637165788,08,103,33.7
Rio Grande County,Colorado,76.8193945628893,08,105,30.2
Routt County,Colorado,83.4376463460472,08,107,19.7
Saguache County,Colorado,79.6752296378427,08,109,29.8
San Miguel County,Colorado,86.3598650866599,08,113,15.2
Sedgwick County,Colorado,77.7498097799942,08,115,30.0
Summit County,Colorado,91.6203651627367,08,117,19.0
Teller County,Colorado,80.6009263302177,08,119,25.5
Washington County,Colorado,79.4354096367131,08,121,32.0
Yuma County,Colorado,79.0815160968291,08,125,33.5
Adams County,Colorado,80.5457104115307,08,001,28.4
Arapahoe County,Colorado,80.5457104115307,08,005,20.7
Boulder County,Colorado,80.5457104115307,08,013,12.3
Broomfield County,Colorado,80.5457104115307,08,014,14.7
Denver County,Colorado,80.5457104115307,08,031,17.0
Jefferson County,Colorado,80.5457104115307,08,059,20.6
Weld County,Colorado,80.5457104115307,08,123,27.5
Fairfield County,Connecticut,82.7977032113756,09,001,21.7
Hartford County,Connecticut,80.2331635773284,09,003,26.9
Litchfield County,Connecticut,80.3658992109622,09,005,29.7
Middlesex County,Connecticut,81.247531185785,09,007,26.1
New Haven County,Connecticut,80.122180105688,09,009,30.9
New London County,Connecticut,79.826808998402,09,011,29.8
Tolland County,Connecticut,81.7788690174239,09,013,27.5
Windham County,Connecticut,78.8197586759148,09,015,33.0
Kent County,Delaware,77.2112341918458,10,001,33.2
New Castle County,Delaware,78.2865084160653,10,003,30.6
Sussex County,Delaware,78.5673807823887,10,005,32.8
Alachua County,Florida,78.4535602220354,12,001,21.7
Baker County,Florida,74.9514582037514,12,003,42.8
Bay County,Florida,75.7253025508484,12,005,31.4
Bradford County,Florida,75.0073944133113,12,007,39.7
Brevard County,Florida,77.2716340365655,12,009,28.6
Broward County,Florida,80.4755284438197,12,011,27.4
Calhoun County,Florida,74.6914495357496,12,013,41.9
Charlotte County,Florida,80.1348066988875,12,015,33.8
Citrus County,Florida,75.1336556402493,12,017,38.3
Clay County,Florida,77.1640126531372,12,019,31.6
Collier County,Florida,84.9489435983752,12,021,25.4
Columbia County,Florida,74.9542147993122,12,023,36.1
Miami-Dade County,Florida,81.0909251968586,12,086,27.7
DeSoto County,Florida,79.1692556409631,12,027,43.1
Dixie County,Florida,74.5193170945958,12,029,44.7
Duval County,Florida,75.6970284676225,12,031,27.9
Escambia County,Florida,74.9537469330096,12,033,27.3
Flagler County,Florida,78.8020239192313,12,035,33.9
Franklin County,Florida,75.9928495625828,12,037,35.7
Gadsden County,Florida,75.3416140743242,12,039,36.6
Gilchrist County,Florida,76.6196658152052,12,041,42.2
Glades County,Florida,80.213599524511,12,043,40.6
Gulf County,Florida,76.31210239981,12,045,37.3
Hamilton County,Florida,75.1836206795715,12,047,44.0
Hardee County,Florida,78.2553790330659,12,049,47.9
Hendry County,Florida,77.0832219158998,12,051,34.8
Hernando County,Florida,76.4160896851137,12,053,36.4
Highlands County,Florida,78.2770855206328,12,055,38.0
Hillsborough County,Florida,78.7539862110352,12,057,27.1
Holmes County,Florida,72.9734087683611,12,059,39.0
Indian River County,Florida,80.0688913457515,12,061,29.7
Jackson County,Florida,74.4322343859382,12,063,37.4
Jefferson County,Florida,76.9589195702897,12,065,33.3
Lafayette County,Florida,76.8777569268263,12,067,40.8
Lake County,Florida,78.2469781435388,12,069,32.9
Lee County,Florida,81.5729772276075,12,071,30.8
Leon County,Florida,79.0301737876123,12,073,19.1
Levy County,Florida,74.7957604460706,12,075,41.1
Liberty County,Florida,75.7134300877082,12,077,47.9
Madison County,Florida,75.0211610783484,12,079,38.1
Manatee County,Florida,80.4145051875017,12,081,30.4
Marion County,Florida,75.9104693910342,12,083,37.5
Martin County,Florida,81.3154961822022,12,085,25.2
Monroe County,Florida,79.8589989128447,12,087,27.3
Nassau County,Florida,77.2494441968309,12,089,32.7
Okaloosa County,Florida,77.4373108710462,12,091,24.7
Okeechobee County,Florida,75.9744426993115,12,093,38.4
Orange County,Florida,79.6595177084295,12,095,24.5
Osceola County,Florida,78.9109833340189,12,097,31.9
Palm Beach County,Florida,81.4781513545173,12,099,24.5
Pasco County,Florida,77.209084296734,12,101,33.1
Pinellas County,Florida,78.4281181387948,12,103,28.3
Polk County,Florida,77.8067617494822,12,105,35.4
Putnam County,Florida,73.901215098391,12,107,40.7
Saint Johns County,Florida,80.7073688844269,12,109,21.4
Saint Lucie County,Florida,79.4596418043113,12,111,33.7
Santa Rosa County,Florida,77.3915324879814,12,113,27.2
Sarasota County,Florida,81.0591538508499,12,115,29.1
Seminole County,Florida,79.9049694273451,12,117,21.7
Sumter County,Florida,80.4754543414289,12,119,30.2
Suwannee County,Florida,75.1589535656509,12,121,39.3
Taylor County,Florida,74.7285796616171,12,123,43.3
Union County,Florida,67.7658357745847,12,125,37.9
Volusia County,Florida,76.3372145765431,12,127,32.2
Wakulla County,Florida,76.4018685621857,12,129,35.9
Walton County,Florida,77.6910869065515,12,131,27.6
Washington County,Florida,72.8104666515528,12,133,41.5
Appling County,Georgia,74.1097615751301,13,001,38.3
Atkinson County,Georgia,73.5443620196483,13,003,40.3
Bacon County,Georgia,72.6255878368236,13,005,41.9
Baker County,Georgia,77.2147827275408,13,007,38.9
Baldwin County,Georgia,75.9591221129701,13,009,36.4
Banks County,Georgia,76.8075277666983,13,011,40.6
Barrow County,Georgia,76.6625325239611,13,013,34.4
Bartow County,Georgia,76.4675113465904,13,015,33.0
Ben Hill County,Georgia,73.0822171824974,13,017,44.2
Berrien County,Georgia,74.4055440206896,13,019,42.3
Bibb County,Georgia,73.8807694893633,13,021,31.6
Bleckley County,Georgia,75.8889059006946,13,023,41.7
Brantley County,Georgia,74.4239219349596,13,025,46.6
Brooks County,Georgia,74.7858557927481,13,027,38.1
Bryan County,Georgia,76.1882691853995,13,029,25.6
Bulloch County,Georgia,77.005128319724,13,031,27.3
Burke County,Georgia,73.9364629181846,13,033,37.4
Butts County,Georgia,74.038792732603,13,035,44.0
Calhoun County,Georgia,74.4490104932185,13,037,39.3
Camden County,Georgia,78.0381542177322,13,039,31.5
Candler County,Georgia,73.5454730234984,13,043,36.1
Carroll County,Georgia,75.3050871542808,13,045,33.2
Catoosa County,Georgia,77.7463764116626,13,047,32.4
Charlton County,Georgia,76.401462816314,13,049,39.1
Chatham County,Georgia,77.6961215377425,13,051,24.3
Chattahoochee County,Georgia,77.3047046244563,13,053,25.9
Chattooga County,Georgia,73.540698248083,13,055,38.7
Cherokee County,Georgia,80.0614584461507,13,057,22.8
Clarke County,Georgia,78.885669773019,13,059,21.1
Clay County,Georgia,74.0815653772769,13,061,42.3
Clayton County,Georgia,76.698286556638,13,063,32.9
Clinch County,Georgia,72.462441517972,13,065,31.7
Cobb County,Georgia,80.4588649148347,13,067,18.7
Coffee County,Georgia,74.4493273658183,13,069,38.6
Colquitt County,Georgia,74.1088665777009,13,071,39.4
Columbia County,Georgia,80.1413477711469,13,073,24.9
Cook County,Georgia,74.4180129870213,13,075,34.4
Coweta County,Georgia,78.5194372038008,13,077,28.6
Crawford County,Georgia,75.6413346632261,13,079,39.4
Crisp County,Georgia,74.6751370900589,13,081,39.1
Dade County,Georgia,75.3267305299081,13,083,35.8
Dawson County,Georgia,78.1651309282708,13,085,28.6
Decatur County,Georgia,73.6932293189229,13,087,36.1
DeKalb County,Georgia,80.1708909176351,13,089,20.8
Dodge County,Georgia,75.2115210970033,13,091,42.3
Dooly County,Georgia,78.3861163186296,13,093,39.6
Dougherty County,Georgia,74.4307031989871,13,095,29.0
Douglas County,Georgia,77.6118621931012,13,097,30.7
Early County,Georgia,73.4100397646834,13,099,36.0
Echols County,Georgia,77.3138543207156,13,101,38.2
Effingham County,Georgia,76.5227017348973,13,103,37.8
Elbert County,Georgia,74.4652122951677,13,105,43.1
Emanuel County,Georgia,72.8374850896249,13,107,42.9
Evans County,Georgia,74.9623415964071,13,109,37.5
Fannin County,Georgia,77.3602030871136,13,111,34.3
Fayette County,Georgia,81.0336445526931,13,113,20.7
Floyd County,Georgia,75.0961301003414,13,115,33.1
Forsyth County,Georgia,81.9106821070703,13,117,16.6
Franklin County,Georgia,73.9741040026346,13,119,40.1
Fulton County,Georgia,79.2621914216746,13,121,18.3
Gilmer County,Georgia,78.0716109761037,13,123,36.4
Glascock County,Georgia,73.4032244860579,13,125,42.1
Glynn County,Georgia,77.4064219080965,13,127,27.0
