County,State,mean_life_expectancy,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,75.8778642323899,01,001,141000.0
Baldwin County,Alabama,77.9130697620398,01,003,173400.0
Barbour County,Alabama,74.9198636240141,01,005,90300.0
Bibb County,Alabama,73.6673305057905,01,007,97200.0
Blount County,Alabama,75.0352199305904,01,009,124200.0
Bullock County,Alabama,74.0743945438457,01,011,68000.0
Butler County,Alabama,73.7224421194177,01,013,83000.0
Calhoun County,Alabama,73.2983281711204,01,015,107900.0
Chambers County,Alabama,74.35653924479,01,017,83000.0
Cherokee County,Alabama,74.35852627411,01,019,112500.0
Chilton County,Alabama,74.0413531729133,01,021,99100.0
Choctaw County,Alabama,74.2486999564165,01,023,64600.0
Clarke County,Alabama,74.5765529742926,01,025,85900.0
Clay County,Alabama,74.369383765865,01,027,90000.0
Cleburne County,Alabama,73.9771106499581,01,029,108100.0
Coffee County,Alabama,76.3011829926155,01,031,142800.0
Colbert County,Alabama,74.3929774045908,01,033,102500.0
Conecuh County,Alabama,73.4218703928667,01,035,72300.0
Coosa County,Alabama,75.1413818724986,01,037,76500.0
Covington County,Alabama,74.1371294582595,01,039,93700.0
Crenshaw County,Alabama,74.0180136364953,01,041,77600.0
Cullman County,Alabama,74.3769894915807,01,043,118700.0
Dale County,Alabama,75.5523047608571,01,045,103800.0
Dallas County,Alabama,71.9735127187965,01,047,81000.0
DeKalb County,Alabama,74.4934976817947,01,049,99600.0
Elmore County,Alabama,75.7757161449512,01,051,152500.0
Escambia County,Alabama,73.1630074988594,01,053,93900.0
Etowah County,Alabama,73.053355135026,01,055,101900.0
Fayette County,Alabama,73.6581554932797,01,057,76400.0
Franklin County,Alabama,73.3754326341656,01,059,87000.0
Geneva County,Alabama,74.4234456628163,01,061,81500.0
Greene County,Alabama,73.9562928242995,01,063,68100.0
Hale County,Alabama,73.7872404003688,01,065,89400.0
Henry County,Alabama,75.4295227396512,01,067,101800.0
Houston County,Alabama,76.107335428337,01,069,124800.0
Jackson County,Alabama,73.4224281684067,01,071,103800.0
Jefferson County,Alabama,74.6861744174914,01,073,145700.0
Lamar County,Alabama,74.3621045612881,01,075,71100.0
Lauderdale County,Alabama,76.0319979262066,01,077,124100.0
Lawrence County,Alabama,73.765357848758,01,079,97600.0
Lee County,Alabama,77.5109882075979,01,081,156400.0
Limestone County,Alabama,77.2763641772968,01,083,142500.0
Lowndes County,Alabama,71.8951633690497,01,085,68900.0
Macon County,Alabama,73.090134567349,01,087,77000.0
Madison County,Alabama,77.5122550397981,01,089,171200.0
Marengo County,Alabama,73.54245764648,01,091,87900.0
Marion County,Alabama,74.0145601745605,01,093,85500.0
Marshall County,Alabama,74.0554552221729,01,095,115700.0
Mobile County,Alabama,74.8448680449495,01,097,123500.0
Monroe County,Alabama,74.7048197454091,01,099,87700.0
Montgomery County,Alabama,75.9247713547993,01,101,122000.0
Morgan County,Alabama,75.2816176346909,01,103,124900.0
Perry County,Alabama,72.2207426684408,01,105,73700.0
Pickens County,Alabama,74.3841278449026,01,107,89100.0
Pike County,Alabama,74.9075976437267,01,109,102300.0
Randolph County,Alabama,74.1995203731576,01,111,85600.0
Russell County,Alabama,73.8166201926909,01,113,114000.0
Saint Clair County,Alabama,74.931099486946,01,115,142800.0
Shelby County,Alabama,79.9329869213868,01,117,195400.0
Sumter County,Alabama,74.3710053760309,01,119,73400.0
Talladega County,Alabama,73.4265194965138,01,121,94200.0
Tallapoosa County,Alabama,74.8367340685609,01,123,105200.0
Tuscaloosa County,Alabama,76.1222396683925,01,125,160000.0
Walker County,Alabama,70.313647599106,01,127,84800.0
Washington County,Alabama,74.2666042086814,01,129,81100.0
Wilcox County,Alabama,71.4893330327934,01,131,81600.0
