County,State,mean_life_expectancy,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,75.8778642323899,01,001,34.3
Baldwin County,Alabama,77.9130697620398,01,003,28.7
Barbour County,Alabama,74.9198636240141,01,005,34.9
Bibb County,Alabama,73.6673305057905,01,007,41.8
Blount County,Alabama,75.0352199305904,01,009,32.9
Bullock County,Alabama,74.0743945438457,01,011,34.1
Butler County,Alabama,73.7224421194177,01,013,39.9
Calhoun County,Alabama,73.2983281711204,01,015,32.1
Chambers County,Alabama,74.35653924479,01,017,39.4
Cherokee County,Alabama,74.35852627411,01,019,36.0
Chilton County,Alabama,74.0413531729133,01,021,41.3
Choctaw County,Alabama,74.2486999564165,01,023,37.3
Clarke County,Alabama,74.5765529742926,01,025,45.1
Clay County,Alabama,74.369383765865,01,027,34.6
Cleburne County,Alabama,73.9771106499581,01,029,38.0
Coffee County,Alabama,76.3011829926155,01,031,29.3
Colbert County,Alabama,74.3929774045908,01,033,34.8
Conecuh County,Alabama,73.4218703928667,01,035,46.2
Coosa County,Alabama,75.1413818724986,01,037,36.3
Covington County,Alabama,74.1371294582595,01,039,34.4
Crenshaw County,Alabama,74.0180136364953,01,041,38.5
Cullman County,Alabama,74.3769894915807,01,043,35.1
Dale County,Alabama,75.5523047608571,01,045,33.1
Dallas County,Alabama,71.9735127187965,01,047,36.5
DeKalb County,Alabama,74.4934976817947,01,049,34.3
Elmore County,Alabama,75.7757161449512,01,051,35.4
Escambia County,Alabama,73.1630074988594,01,053,43.4
Etowah County,Alabama,73.053355135026,01,055,32.5
Fayette County,Alabama,73.6581554932797,01,057,39.0
Franklin County,Alabama,73.3754326341656,01,059,36.7
Geneva County,Alabama,74.4234456628163,01,061,36.0
Greene County,Alabama,73.9562928242995,01,063,41.0
Hale County,Alabama,73.7872404003688,01,065,42.8
Henry County,Alabama,75.4295227396512,01,067,36.1
Houston County,Alabama,76.107335428337,01,069,32.1
Jackson County,Alabama,73.4224281684067,01,071,41.1
Jefferson County,Alabama,74.6861744174914,01,073,26.5
Lamar County,Alabama,74.3621045612881,01,075,35.4
Lauderdale County,Alabama,76.0319979262066,01,077,34.6
Lawrence County,Alabama,73.765357848758,01,079,39.9
Lee County,Alabama,77.5109882075979,01,081,24.5
Limestone County,Alabama,77.2763641772968,01,083,32.0
Lowndes County,Alabama,71.8951633690497,01,085,37.7
