County,State,mean_life_expectancy,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,75.836928054027,01,001,136200
Baldwin County,Alabama,77.8587885068867,01,003,168600
Barbour County,Alabama,75.6039658679806,01,005,89200
Bibb County,Alabama,73.8813807110977,01,007,90500
Blount County,Alabama,75.6352536319274,01,009,117100
Bullock County,Alabama,74.4021306908516,01,011,70600
Butler County,Alabama,73.935514642706,01,013,74700
Calhoun County,Alabama,73.6916993651565,01,015,100600
Chambers County,Alabama,74.3709084353389,01,017,81200
Cherokee County,Alabama,74.7690226049665,01,019,99400
Chilton County,Alabama,74.2037941937705,01,021,102600
Choctaw County,Alabama,74.7667739361553,01,023,58200
Clarke County,Alabama,75.3078949980348,01,025,85600
Clay County,Alabama,74.5125281044463,01,027,79900
Cleburne County,Alabama,74.2119718397456,01,029,100800
Coffee County,Alabama,76.8029854382398,01,031,131000
Colbert County,Alabama,74.7012544694018,01,033,99300
Conecuh County,Alabama,73.8578396157111,01,035,69600
Coosa County,Alabama,75.0708584990442,01,037,75100
Covington County,Alabama,74.939706372746,01,039,88800
Crenshaw County,Alabama,74.4540874550923,01,041,70800
Cullman County,Alabama,74.9509513238576,01,043,106100
Dale County,Alabama,76.1296959155196,01,045,99400
Dallas County,Alabama,72.2967105227705,01,047,75700
DeKalb County,Alabama,74.7966732959206,01,049,93400
Elmore County,Alabama,75.8412881424909,01,051,144600
Escambia County,Alabama,73.8523605614612,01,053,84100
Etowah County,Alabama,73.3079475598584,01,055,100000
Fayette County,Alabama,74.057058159905,01,057,71400
Franklin County,Alabama,73.349841367943,01,059,82300
Geneva County,Alabama,75.2540134208833,01,061,78100
Greene County,Alabama,74.5251950347399,01,063,72700
Hale County,Alabama,74.2120689147012,01,065,79900
Henry County,Alabama,75.9013490151937,01,067,97000
Houston County,Alabama,76.6049969181304,01,069,122300
Jackson County,Alabama,73.6075996652594,01,071,93400
Jefferson County,Alabama,75.0012975222472,01,073,140800
Lamar County,Alabama,74.594659571128,01,075,66800
Lauderdale County,Alabama,76.2574810844103,01,077,114300
Lawrence County,Alabama,74.025639809588,01,079,94200
Lee County,Alabama,77.641756133286,01,081,146900
Limestone County,Alabama,77.4567118555822,01,083,134500
Lowndes County,Alabama,72.451572085185,01,085,71400
Macon County,Alabama,73.4913418644572,01,087,75700
Madison County,Alabama,77.772209501297,01,089,164500
Marengo County,Alabama,74.1333674215399,01,091,89600
Marion County,Alabama,74.2996624676483,01,093,78700
Marshall County,Alabama,74.2650814854454,01,095,114000
Mobile County,Alabama,75.0140519651065,01,097,124300
Monroe County,Alabama,74.9403376152072,01,099,76900
Montgomery County,Alabama,76.0742035748331,01,101,122900
Morgan County,Alabama,75.7687418754051,01,103,120500
Perry County,Alabama,72.4458737373582,01,105,58000
Pickens County,Alabama,74.3989386831643,01,107,81900
Pike County,Alabama,75.3843799599901,01,109,101000
Randolph County,Alabama,74.6272688359767,01,111,88600
Russell County,Alabama,74.4625975354371,01,113,104400
Saint Clair County,Alabama,75.1354509099959,01,115,134600
Shelby County,Alabama,79.7687496224489,01,117,193000
Sumter County,Alabama,74.3343686399483,01,119,74100
Talladega County,Alabama,73.6825216143372,01,121,92600
Tallapoosa County,Alabama,75.2077207940106,01,123,94900
Tuscaloosa County,Alabama,76.1412472106416,01,125,153300
Walker County,Alabama,70.8637922877104,01,127,82100
Washington County,Alabama,74.6734179457892,01,129,83900
Wilcox County,Alabama,72.2374261679305,01,131,67000
Winston County,Alabama,74.2153646411101,01,133,82500
