County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,10257.0
Baldwin County,Alabama,01,003,17907.0
Barbour County,Alabama,01,005,12565.0
Bibb County,Alabama,01,007,4797.0
Blount County,Alabama,01,009,885.0
Bullock County,Alabama,01,011,7640.0
Butler County,Alabama,01,013,8975.0
Calhoun County,Alabama,01,015,24396.0
Chambers County,Alabama,01,017,13722.0
Cherokee County,Alabama,01,019,1283.0
Chilton County,Alabama,01,021,4484.0
Choctaw County,Alabama,01,023,5896.0
Clarke County,Alabama,01,025,11401.0
Clay County,Alabama,01,027,1986.0
Cleburne County,Alabama,01,029,430.0
Coffee County,Alabama,01,031,8671.0
Colbert County,Alabama,01,033,8712.0
Conecuh County,Alabama,01,035,5821.0
Coosa County,Alabama,01,037,3524.0
Covington County,Alabama,01,039,4868.0
Crenshaw County,Alabama,01,041,3269.0
Cullman County,Alabama,01,043,1096.0
Dale County,Alabama,01,045,9712.0
Dallas County,Alabama,01,047,29758.0
DeKalb County,Alabama,01,049,1279.0
Elmore County,Alabama,01,051,16631.0
Escambia County,Alabama,01,053,12361.0
Etowah County,Alabama,01,055,16000.0
Fayette County,Alabama,01,057,2088.0
Franklin County,Alabama,01,059,1545.0
Geneva County,Alabama,01,061,2605.0
Greene County,Alabama,01,063,7107.0
Hale County,Alabama,01,065,8995.0
Henry County,Alabama,01,067,4777.0
Houston County,Alabama,01,069,26960.0
Jackson County,Alabama,01,071,1715.0
Jefferson County,Alabama,01,073,278587.0
Lamar County,Alabama,01,075,1659.0
Lauderdale County,Alabama,01,077,9228.0
Lawrence County,Alabama,01,079,3751.0
Lee County,Alabama,01,081,34142.0
Limestone County,Alabama,01,083,11133.0
Lowndes County,Alabama,01,085,8060.0
Macon County,Alabama,01,087,16738.0
Madison County,Alabama,01,089,82307.0
Marengo County,Alabama,01,091,10512.0
Marion County,Alabama,01,093,1129.0
Marshall County,Alabama,01,095,1703.0
Mobile County,Alabama,01,097,144637.0
Monroe County,Alabama,01,099,9449.0
Montgomery County,Alabama,01,101,127389.0
Morgan County,Alabama,01,103,14413.0
Perry County,Alabama,01,105,6974.0
Pickens County,Alabama,01,107,8387.0
Pike County,Alabama,01,109,12103.0
Randolph County,Alabama,01,111,4555.0
Russell County,Alabama,01,113,23836.0
Saint Clair County,Alabama,01,115,7952.0
Shelby County,Alabama,01,117,23050.0
Sumter County,Alabama,01,119,9811.0
Talladega County,Alabama,01,121,26046.0
Tallapoosa County,Alabama,01,123,11457.0
Tuscaloosa County,Alabama,01,125,60376.0
Walker County,Alabama,01,127,3764.0
Washington County,Alabama,01,129,4169.0
Wilcox County,Alabama,01,131,8205.0
Winston County,Alabama,01,133,168.0
