County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,466.0
Baldwin County,Alabama,01,003,1790.0
Barbour County,Alabama,01,005,241.0
Bibb County,Alabama,01,007,193.0
Blount County,Alabama,01,009,205.0
Bullock County,Alabama,01,011,68.0
Butler County,Alabama,01,013,220.0
Calhoun County,Alabama,01,015,976.0
Chambers County,Alabama,01,017,457.0
Cherokee County,Alabama,01,019,321.0
Chilton County,Alabama,01,021,326.0
Choctaw County,Alabama,01,023,129.0
Clarke County,Alabama,01,025,291.0
Clay County,Alabama,01,027,47.0
Cleburne County,Alabama,01,029,110.0
Coffee County,Alabama,01,031,425.0
Colbert County,Alabama,01,033,422.0
Conecuh County,Alabama,01,035,89.0
Coosa County,Alabama,01,037,19.0
Covington County,Alabama,01,039,271.0
Crenshaw County,Alabama,01,041,120.0
Cullman County,Alabama,01,043,597.0
Dale County,Alabama,01,045,612.0
Dallas County,Alabama,01,047,493.0
DeKalb County,Alabama,01,049,477.0
Elmore County,Alabama,01,051,747.0
Escambia County,Alabama,01,053,360.0
Etowah County,Alabama,01,055,918.0
Fayette County,Alabama,01,057,119.0
Franklin County,Alabama,01,059,243.0
Geneva County,Alabama,01,061,229.0
Greene County,Alabama,01,063,110.0
Hale County,Alabama,01,065,55.0
Henry County,Alabama,01,067,29.0
Houston County,Alabama,01,069,1057.0
Jackson County,Alabama,01,071,441.0
Jefferson County,Alabama,01,073,7779.0
Lamar County,Alabama,01,075,45.0
Lauderdale County,Alabama,01,077,796.0
Lawrence County,Alabama,01,079,120.0
Lee County,Alabama,01,081,1336.0
Limestone County,Alabama,01,083,704.0
Lowndes County,Alabama,01,085,95.0
Macon County,Alabama,01,087,183.0
Madison County,Alabama,01,089,3354.0
Marengo County,Alabama,01,091,97.0
Marion County,Alabama,01,093,274.0
Marshall County,Alabama,01,095,696.0
Mobile County,Alabama,01,097,4447.0
Monroe County,Alabama,01,099,69.0
Montgomery County,Alabama,01,101,2417.0
Morgan County,Alabama,01,103,1007.0
Perry County,Alabama,01,105,112.0
Pickens County,Alabama,01,107,132.0
Pike County,Alabama,01,109,418.0
Randolph County,Alabama,01,111,202.0
Russell County,Alabama,01,113,808.0
Saint Clair County,Alabama,01,115,413.0
Shelby County,Alabama,01,117,1340.0
Sumter County,Alabama,01,119,110.0
Talladega County,Alabama,01,121,774.0
Tallapoosa County,Alabama,01,123,479.0
Tuscaloosa County,Alabama,01,125,1516.0
Walker County,Alabama,01,127,406.0
Washington County,Alabama,01,129,68.0
Wilcox County,Alabama,01,131,74.0
Winston County,Alabama,01,133,116.0
Anchorage Municipality,Alaska,02,020,4221.0
Bethel Census Area,Alaska,02,050,128.0
Bristol Bay Borough,Alaska,02,060,12.0
Fairbanks North Star Borough,Alaska,02,090,1438.0
Haines Borough,Alaska,02,100,28.0
Juneau City and Borough,Alaska,02,110,466.0
Kenai Peninsula Borough,Alaska,02,122,371.0
Kodiak Island Borough,Alaska,02,150,115.0
Matanuska-Susitna Borough,Alaska,02,170,553.0
Nome Census Area,Alaska,02,180,93.0
North Slope Borough,Alaska,02,185,36.0
Sitka City and Borough,Alaska,02,220,76.0
Southeast Fairbanks Census Area,Alaska,02,240,52.0
Valdez-Cordova Census Area,Alaska,02,261,14.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,31.0
Aleutians East Borough,Alaska,02,013,21.0
Aleutians West Census Area,Alaska,02,016,30.0
Dillingham Census Area,Alaska,02,070,41.0
Lake and Peninsula Borough,Alaska,02,164,5.0
Denali Borough,Alaska,02,068,2.0
Yukon-Koyukuk Census Area,Alaska,02,290,20.0
Hoonah-Angoon Census Area,Alaska,02,105,13.0
Skagway Municipality,Alaska,02,230,17.0
Yakutat City and Borough,Alaska,02,282,15.0
