County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,10538.0
Baldwin County,Alabama,01,003,19718.0
Barbour County,Alabama,01,005,12066.0
Bibb County,Alabama,01,007,5014.0
Blount County,Alabama,01,009,928.0
Bullock County,Alabama,01,011,7666.0
Butler County,Alabama,01,013,9001.0
Calhoun County,Alabama,01,015,23830.0
Chambers County,Alabama,01,017,13316.0
Cherokee County,Alabama,01,019,1191.0
Chilton County,Alabama,01,021,4041.0
Choctaw County,Alabama,01,023,5500.0
Clarke County,Alabama,01,025,11044.0
Clay County,Alabama,01,027,2075.0
Cleburne County,Alabama,01,029,410.0
Coffee County,Alabama,01,031,8733.0
Colbert County,Alabama,01,033,8872.0
Conecuh County,Alabama,01,035,5919.0
Coosa County,Alabama,01,037,3615.0
Covington County,Alabama,01,039,5018.0
Crenshaw County,Alabama,01,041,3228.0
Cullman County,Alabama,01,043,1073.0
Dale County,Alabama,01,045,10000.0
Dallas County,Alabama,01,047,27693.0
DeKalb County,Alabama,01,049,1039.0
Elmore County,Alabama,01,051,17449.0
Escambia County,Alabama,01,053,11878.0
Etowah County,Alabama,01,055,16330.0
Fayette County,Alabama,01,057,1948.0
Franklin County,Alabama,01,059,1385.0
Geneva County,Alabama,01,061,2538.0
Greene County,Alabama,01,063,6618.0
Hale County,Alabama,01,065,8796.0
Henry County,Alabama,01,067,4565.0
Houston County,Alabama,01,069,28157.0
Jackson County,Alabama,01,071,1809.0
Jefferson County,Alabama,01,073,283311.0
Lamar County,Alabama,01,075,1479.0
Lauderdale County,Alabama,01,077,9596.0
Lawrence County,Alabama,01,079,3502.0
Lee County,Alabama,01,081,36920.0
Limestone County,Alabama,01,083,13028.0
Lowndes County,Alabama,01,085,7522.0
Macon County,Alabama,01,087,15560.0
Madison County,Alabama,01,089,88011.0
Marengo County,Alabama,01,091,10348.0
Marion County,Alabama,01,093,1070.0
Marshall County,Alabama,01,095,2549.0
Mobile County,Alabama,01,097,148050.0
Monroe County,Alabama,01,099,9026.0
Montgomery County,Alabama,01,101,131408.0
Morgan County,Alabama,01,103,15230.0
Perry County,Alabama,01,105,6491.0
Pickens County,Alabama,01,107,8134.0
Pike County,Alabama,01,109,12277.0
Randolph County,Alabama,01,111,4622.0
Russell County,Alabama,01,113,25300.0
Saint Clair County,Alabama,01,115,8447.0
Shelby County,Alabama,01,117,25878.0
Sumter County,Alabama,01,119,9204.0
Talladega County,Alabama,01,121,26215.0
Tallapoosa County,Alabama,01,123,11123.0
Tuscaloosa County,Alabama,01,125,66307.0
Walker County,Alabama,01,127,3961.0
Washington County,Alabama,01,129,3894.0
Wilcox County,Alabama,01,131,7410.0
Winston County,Alabama,01,133,174.0
Anchorage Municipality,Alaska,02,020,16341.0
Bethel Census Area,Alaska,02,050,135.0
Bristol Bay Borough,Alaska,02,060,5.0
Fairbanks North Star Borough,Alaska,02,090,4412.0
Haines Borough,Alaska,02,100,0.0
Juneau City and Borough,Alaska,02,110,320.0
Kenai Peninsula Borough,Alaska,02,122,365.0
Kodiak Island Borough,Alaska,02,150,46.0
Matanuska-Susitna Borough,Alaska,02,170,1299.0
Nome Census Area,Alaska,02,180,95.0
North Slope Borough,Alaska,02,185,151.0
Sitka City and Borough,Alaska,02,220,80.0
Southeast Fairbanks Census Area,Alaska,02,240,45.0
Valdez-Cordova Census Area,Alaska,02,261,35.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,94.0
Aleutians East Borough,Alaska,02,013,142.0
Aleutians West Census Area,Alaska,02,016,191.0
Dillingham Census Area,Alaska,02,070,79.0
Lake and Peninsula Borough,Alaska,02,164,16.0
Denali Borough,Alaska,02,068,26.0
Yukon-Koyukuk Census Area,Alaska,02,290,4.0
Hoonah-Angoon Census Area,Alaska,02,105,68.0
Skagway Municipality,Alaska,02,230,44.0
Yakutat City and Borough,Alaska,02,282,5.0
Ketchikan Gateway Borough,Alaska,02,130,104.0
Petersburg Borough,Alaska,02,195,33.0
Prince of Wales-Hyder Census Area,Alaska,02,198,29.0
Wrangell City and Borough,Alaska,02,275,1.0
Apache County,Arizona,04,001,373.0
Cochise County,Arizona,04,003,5132.0
Coconino County,Arizona,04,005,1742.0
Gila County,Arizona,04,007,375.0
Graham County,Arizona,04,009,744.0
Greenlee County,Arizona,04,011,209.0
Maricopa County,Arizona,04,013,243640.0
Mohave County,Arizona,04,015,2217.0
Navajo County,Arizona,04,017,1005.0
Pima County,Arizona,04,019,36581.0
Pinal County,Arizona,04,021,18915.0
Santa Cruz County,Arizona,04,023,301.0
Yavapai County,Arizona,04,025,1495.0
La Paz County,Arizona,04,012,200.0
Yuma County,Arizona,04,027,4533.0
Arkansas County,Arkansas,05,001,4636.0
Ashley County,Arkansas,05,003,5150.0
Baxter County,Arkansas,05,005,67.0
Benton County,Arkansas,05,007,4541.0
Boone County,Arkansas,05,009,125.0
Bradley County,Arkansas,05,011,3135.0
Calhoun County,Arkansas,05,013,1125.0
Carroll County,Arkansas,05,015,289.0
Chicot County,Arkansas,05,017,5724.0
Clark County,Arkansas,05,019,5434.0
Clay County,Arkansas,05,021,100.0
Cleburne County,Arkansas,05,023,98.0
Cleveland County,Arkansas,05,025,1040.0
Columbia County,Arkansas,05,027,8592.0
Conway County,Arkansas,05,029,2167.0
Craighead County,Arkansas,05,031,15614.0
Crawford County,Arkansas,05,033,993.0
Crittenden County,Arkansas,05,035,23352.0
Cross County,Arkansas,05,037,3141.0
Dallas County,Arkansas,05,039,3148.0
Desha County,Arkansas,05,041,5456.0
Drew County,Arkansas,05,043,5289.0
Faulkner County,Arkansas,05,045,14094.0
Franklin County,Arkansas,05,047,174.0
Fulton County,Arkansas,05,049,58.0
Garland County,Arkansas,05,051,8092.0
Grant County,Arkansas,05,053,482.0
Greene County,Arkansas,05,055,864.0
Hempstead County,Arkansas,05,057,6582.0
Hot Spring County,Arkansas,05,059,3834.0
Howard County,Arkansas,05,061,2779.0
Independence County,Arkansas,05,063,720.0
Izard County,Arkansas,05,065,248.0
Jackson County,Arkansas,05,067,2091.0
Jefferson County,Arkansas,05,069,39165.0
Johnson County,Arkansas,05,071,421.0
Lafayette County,Arkansas,05,073,2448.0
Lawrence County,Arkansas,05,075,186.0
Lee County,Arkansas,05,077,5108.0
Lincoln County,Arkansas,05,079,4106.0
Little River County,Arkansas,05,081,2710.0
Logan County,Arkansas,05,083,298.0
Lonoke County,Arkansas,05,085,4110.0
Madison County,Arkansas,05,087,49.0
Marion County,Arkansas,05,089,80.0
Miller County,Arkansas,05,091,10789.0
Mississippi County,Arkansas,05,093,14212.0
Monroe County,Arkansas,05,095,3030.0
Montgomery County,Arkansas,05,097,30.0
Nevada County,Arkansas,05,099,2884.0
Newton County,Arkansas,05,101,2.0
Ouachita County,Arkansas,05,103,9923.0
Perry County,Arkansas,05,105,69.0
Phillips County,Arkansas,05,107,11750.0
Pike County,Arkansas,05,109,439.0
Poinsett County,Arkansas,05,111,1093.0
Polk County,Arkansas,05,113,95.0
Pope County,Arkansas,05,115,1909.0
Prairie County,Arkansas,05,117,1017.0
Pulaski County,Arkansas,05,119,144802.0
Randolph County,Arkansas,05,121,192.0
Saint Francis County,Arkansas,05,123,13845.0
Saline County,Arkansas,05,125,8518.0
Scott County,Arkansas,05,127,25.0
