County,State,mean_life_expectancy,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,75.7284893496437,01,001,9508
Baldwin County,Alabama,77.8266077389985,01,003,16613
Barbour County,Alabama,75.8419733495584,01,005,12911
Bibb County,Alabama,73.7054319135083,01,007,3450
Blount County,Alabama,75.7534073356519,01,009,716
Bullock County,Alabama,74.1878555422018,01,011,8110
Butler County,Alabama,73.7942747470726,01,013,8969
Calhoun County,Alabama,73.7141138064562,01,015,23928
Chambers County,Alabama,74.2114088602915,01,017,13527
Cherokee County,Alabama,74.939245488683,01,019,1202
Chilton County,Alabama,74.1196504152812,01,021,4052
Choctaw County,Alabama,75.0365582510592,01,023,6064
Clarke County,Alabama,75.4688528363398,01,025,10990
Clay County,Alabama,74.6375360717315,01,027,2160
Cleburne County,Alabama,74.1098063725025,01,029,606
Coffee County,Alabama,76.6753737695232,01,031,8377
Colbert County,Alabama,75.0527971236638,01,033,8745
Conecuh County,Alabama,74.2911586115853,01,035,6189
Coosa County,Alabama,75.226495991597,01,037,3874
Covington County,Alabama,74.9876206618781,01,039,4837
Crenshaw County,Alabama,74.4134467139757,01,041,2901
Cullman County,Alabama,75.0615131095318,01,043,729
Dale County,Alabama,76.3776327012046,01,045,9888
Dallas County,Alabama,72.194894622946,01,047,30322
DeKalb County,Alabama,74.9326878731946,01,049,1120
Elmore County,Alabama,76.0549835788085,01,051,15611
Escambia County,Alabama,74.0725339506569,01,053,11936
Etowah County,Alabama,73.3996908564453,01,055,15658
Fayette County,Alabama,74.0149767995414,01,057,1954
Franklin County,Alabama,73.7394410955062,01,059,1329
Geneva County,Alabama,75.4172958217931,01,061,2711
Greene County,Alabama,74.8685230692577,01,063,7444
Hale County,Alabama,73.9966180629542,01,065,9570
Henry County,Alabama,75.7246477387624,01,067,5021
Houston County,Alabama,76.5737904802643,01,069,25150
Jackson County,Alabama,74.0563044756205,01,071,1786
Jefferson County,Alabama,74.7820532769035,01,073,274357
Lamar County,Alabama,74.6933066413968,01,075,1804
Lauderdale County,Alabama,76.6078053607857,01,077,9395
Lawrence County,Alabama,74.4321291064937,01,079,3842
Lee County,Alabama,77.3142074688178,01,081,30775
Limestone County,Alabama,77.3549249793374,01,083,10043
Lowndes County,Alabama,72.6625382940929,01,085,8566
Macon County,Alabama,73.3766639403125,01,087,18038
Madison County,Alabama,77.6812736418888,01,089,76057
Marengo County,Alabama,74.7186845507189,01,091,11309
Marion County,Alabama,74.2762724525403,01,093,892
Marshall County,Alabama,74.4303321466104,01,095,1471
Mobile County,Alabama,74.8490100340767,01,097,140847
Monroe County,Alabama,74.8209930251298,01,099,9474
Montgomery County,Alabama,75.9003460869045,01,101,122759
Morgan County,Alabama,75.8347370895523,01,103,13893
Perry County,Alabama,72.2544446304324,01,105,7368
Pickens County,Alabama,74.43577342249,01,107,8400
Pike County,Alabama,75.1264956715983,01,109,11663
Randolph County,Alabama,74.4091051150035,01,111,4781
Russell County,Alabama,74.0105358163694,01,113,21484
Saint Clair County,Alabama,75.0632830286239,01,115,6906
