County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,75.7292435880376,01,001,25253
Baldwin County,Alabama,77.9271776584132,01,003,26769
Barbour County,Alabama,75.726345615993,01,005,16532
Bibb County,Alabama,73.8549042153188,01,007,17611
Blount County,Alabama,75.7031620249924,01,009,21155
Bullock County,Alabama,74.5147146410295,01,011,19822
Butler County,Alabama,74.0029270174073,01,013,17564
Calhoun County,Alabama,73.7720318613506,01,015,20881
Chambers County,Alabama,74.4618272098825,01,017,18478
Cherokee County,Alabama,74.9073645339479,01,019,22472
Chilton County,Alabama,74.1680381073103,01,021,21132
Choctaw County,Alabama,75.0330369420346,01,023,19354
Clarke County,Alabama,75.3627746026001,01,025,19563
Clay County,Alabama,74.5556200097281,01,027,18136
Cleburne County,Alabama,74.0892819227667,01,029,19049
Coffee County,Alabama,76.8920779757569,01,031,23441
Colbert County,Alabama,74.7919396971864,01,033,22186
Conecuh County,Alabama,73.9629702481659,01,035,16648
Coosa County,Alabama,75.1116367329605,01,037,18855
Covington County,Alabama,75.0377160434361,01,039,20153
Crenshaw County,Alabama,74.4090115093279,01,041,21480
Cullman County,Alabama,75.0285246631596,01,043,20653
Dale County,Alabama,76.2376078137941,01,045,22707
Dallas County,Alabama,72.3485612905477,01,047,16907
DeKalb County,Alabama,74.9900686798499,01,049,18494
Elmore County,Alabama,75.972036154942,01,051,24007
Escambia County,Alabama,74.0158797821032,01,053,16294
Etowah County,Alabama,73.2531150461842,01,055,20672
Fayette County,Alabama,74.2005416942204,01,057,18675
Franklin County,Alabama,73.4441492092538,01,059,19282
Geneva County,Alabama,75.2391510545445,01,061,19393
Greene County,Alabama,74.6190084135484,01,063,15062
Hale County,Alabama,74.1705015045921,01,065,17210
Henry County,Alabama,75.8618642097371,01,067,20897
Houston County,Alabama,76.6654865118704,01,069,23375
Jackson County,Alabama,73.8971307190983,01,071,20101
Jefferson County,Alabama,74.9923234793925,01,073,26760
Lamar County,Alabama,74.6375257695077,01,075,21410
Lauderdale County,Alabama,76.3717334494033,01,077,22833
Lawrence County,Alabama,74.0874083511881,01,079,20315
Lee County,Alabama,77.5552230695894,01,081,23162
Limestone County,Alabama,77.5349339425497,01,083,24872
Lowndes County,Alabama,72.5169545782714,01,085,17895
Macon County,Alabama,73.472029298343,01,087,16402
Madison County,Alabama,77.7777375113583,01,089,31367
Marengo County,Alabama,74.31817729379,01,091,20208
Marion County,Alabama,74.3185965980805,01,093,18610
Marshall County,Alabama,74.2594225666453,01,095,20480
Mobile County,Alabama,74.9254454523935,01,097,22581
Monroe County,Alabama,75.3055057626381,01,099,16943
Montgomery County,Alabama,76.0363412800295,01,101,24765
Morgan County,Alabama,75.7692598409346,01,103,23809
Perry County,Alabama,72.0683801705565,01,105,14527
Pickens County,Alabama,74.4214021607815,01,107,17024
Pike County,Alabama,75.324182967647,01,109,19380
Randolph County,Alabama,74.4748298659528,01,111,19817
Russell County,Alabama,74.2849040636452,01,113,18792
Saint Clair County,Alabama,75.1409064937624,01,115,23144
Shelby County,Alabama,79.6179282707985,01,117,34081
Sumter County,Alabama,74.3938821811206,01,119,13951
Talladega County,Alabama,73.5547810443691,01,121,18744
Tallapoosa County,Alabama,75.2700066121829,01,123,21609
Tuscaloosa County,Alabama,75.9567690035619,01,125,22487
Walker County,Alabama,71.0086526303479,01,127,20689
Washington County,Alabama,74.7671249776603,01,129,20797
Wilcox County,Alabama,72.1727031543216,01,131,13163
Winston County,Alabama,74.1868543786886,01,133,19099
Anchorage Municipality,Alaska,78.7324733774199,02,020,36145
Bethel Census Area,Alaska,72.9375771624196,02,050,19055
Bristol Bay Borough,Alaska,75.4523499871574,02,060,37150
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,32344
Haines Borough,Alaska,79.7853560050767,02,100,29141
Juneau City and Borough,Alaska,79.6549904893737,02,110,37917
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,30789
Kodiak Island Borough,Alaska,78.9325295918541,02,150,27865
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,29465
Nome Census Area,Alaska,71.2209696012473,02,180,19942
North Slope Borough,Alaska,75.1130295005676,02,185,41712
Sitka City and Borough,Alaska,79.6650631553651,02,220,32162
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,28833
Valdez-Cordova Census Area,Alaska,77.7789732408076,02,261,33094
Wade Hampton Census Area,Alaska,69.3213264483902,02,270,11380
Northwest Arctic Borough,Alaska,73.3099569505481,02,188,21902
Aleutians East Borough,Alaska,83.2497136811526,02,013,24932
Aleutians West Census Area,Alaska,83.2497136811526,02,016,32014
Dillingham Census Area,Alaska,73.8738696625887,02,070,22066
Lake and Peninsula Borough,Alaska,73.8738696625887,02,164,22087
Denali Borough,Alaska,73.4675000952053,02,068,38621
Yukon-Koyukuk Census Area,Alaska,73.4675000952053,02,290,20109
Hoonah-Angoon Census Area,Alaska,80.4521604465035,02,105,28288
