County,State,mean_life_expectancy,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,76.0246312323304,01,001,13.7
Baldwin County,Alabama,77.8952429034613,01,003,11.8
Barbour County,Alabama,74.6572190352659,01,005,27.2
Bibb County,Alabama,73.6342805287431,01,007,15.2
Blount County,Alabama,74.8974607079908,01,009,15.6
Bullock County,Alabama,73.7079253175275,01,011,28.5
Butler County,Alabama,73.7151229204611,01,013,24.4
Calhoun County,Alabama,73.3078477077272,01,015,18.6
Chambers County,Alabama,74.2425871374709,01,017,18.8
Cherokee County,Alabama,74.3480110237785,01,019,16.1
Chilton County,Alabama,74.1052560370855,01,021,19.4
Choctaw County,Alabama,74.2757388369681,01,023,22.3
Clarke County,Alabama,74.6238045774491,01,025,25.3
Clay County,Alabama,74.3591398533707,01,027,19.1
Cleburne County,Alabama,74.0840978801744,01,029,19.1
Coffee County,Alabama,76.2048720238035,01,031,16.1
Colbert County,Alabama,74.2982544702841,01,033,16.8
Conecuh County,Alabama,73.3561349626999,01,035,26.4
Coosa County,Alabama,75.3441712856155,01,037,14.4
Covington County,Alabama,74.078109873637,01,039,17.6
Crenshaw County,Alabama,73.9820921275375,01,041,17.6
Cullman County,Alabama,74.3545019878194,01,043,16.4
Dale County,Alabama,75.4733509430588,01,045,19.6
Dallas County,Alabama,72.03447738714,01,047,31.9
DeKalb County,Alabama,74.524309920443,01,049,21.5
Elmore County,Alabama,75.8544515314726,01,051,13.5
Escambia County,Alabama,73.1026233420298,01,053,23.8
Etowah County,Alabama,73.023382014908,01,055,17.9
Fayette County,Alabama,73.6468181376117,01,057,18.1
Franklin County,Alabama,73.4916922949218,01,059,23.0
Geneva County,Alabama,74.2527953119664,01,061,22.5
Greene County,Alabama,73.8570082667757,01,063,38.8
Hale County,Alabama,73.6467181824322,01,065,26.1
Henry County,Alabama,75.4887946207952,01,067,13.7
Houston County,Alabama,76.032673861126,01,069,18.5
Jackson County,Alabama,73.3946413725398,01,071,19.0
Jefferson County,Alabama,74.5743774281111,01,073,17.6
Lamar County,Alabama,74.3774503003945,01,075,23.1
Lauderdale County,Alabama,76.0388971623086,01,077,16.3
Lawrence County,Alabama,73.6788440834402,01,079,16.6
Lee County,Alabama,77.5526205196881,01,081,22.0
Limestone County,Alabama,77.3036396921757,01,083,14.8
Lowndes County,Alabama,71.8712681595456,01,085,30.2
Macon County,Alabama,72.9264822618015,01,087,25.9
Madison County,Alabama,77.4457800370199,01,089,13.6
Marengo County,Alabama,73.4699638933891,01,091,25.6
Marion County,Alabama,74.0260626515723,01,093,17.6
Marshall County,Alabama,74.044529414402,01,095,21.0
Mobile County,Alabama,74.832531869489,01,097,19.3
Monroe County,Alabama,74.6472436418514,01,099,33.7
Montgomery County,Alabama,75.8639742828833,01,101,20.8
Morgan County,Alabama,75.2271704532966,01,103,16.6
Perry County,Alabama,72.388930405107,01,105,41.9
Pickens County,Alabama,74.4608285703048,01,107,22.9
Pike County,Alabama,74.9526888282757,01,109,26.3
Randolph County,Alabama,74.2303989397729,01,111,18.7
Russell County,Alabama,73.5167015561246,01,113,20.9
Saint Clair County,Alabama,74.7414911385038,01,115,13.7
Shelby County,Alabama,79.9439409572104,01,117,8.3
Sumter County,Alabama,74.3379744715151,01,119,36.0
Talladega County,Alabama,73.3972425657916,01,121,19.3
Tallapoosa County,Alabama,74.8751981595403,01,123,21.2
Tuscaloosa County,Alabama,76.2628239560412,01,125,17.3
Walker County,Alabama,70.3120931463706,01,127,21.5
Washington County,Alabama,74.379913964713,01,129,22.0
Wilcox County,Alabama,71.4192185766012,01,131,31.9
Winston County,Alabama,74.31731572053,01,133,18.7
Anchorage Municipality,Alaska,78.8427395859197,02,020,8.1
Bethel Census Area,Alaska,72.3773195918739,02,050,27.0
Bristol Bay Borough,Alaska,75.8312576360195,02,060,7.1
Fairbanks North Star Borough,Alaska,79.8531882449376,02,090,7.7
Haines Borough,Alaska,81.6301311834033,02,100,8.4
Juneau City and Borough,Alaska,80.4330971073059,02,110,7.4
Kenai Peninsula Borough,Alaska,78.3677604150779,02,122,11.0
