County,State,State_FIPS,County_FIPS,total_population_race
Santa Cruz County,California,06,087,262340
Shasta County,California,06,089,177693
Sierra County,California,06,091,3163
Siskiyou County,California,06,093,44673
Solano County,California,06,095,414209
Sonoma County,California,06,097,483456
Stanislaus County,California,06,099,515115
Sutter County,California,06,101,94615
Tehama County,California,06,103,63200
Trinity County,California,06,105,13693
Tulare County,California,06,107,441877
Tuolumne County,California,06,109,55205
Ventura County,California,06,111,822794
Yolo County,California,06,113,200873
Yuba County,California,06,115,72244
Alamosa County,Colorado,08,003,15750
Archuleta County,Colorado,08,007,12109
Baca County,Colorado,08,009,3783
Bent County,Colorado,08,011,6192
Chaffee County,Colorado,08,015,17879
Cheyenne County,Colorado,08,017,2095
Clear Creek County,Colorado,08,019,9059
Conejos County,Colorado,08,021,8241
Costilla County,Colorado,08,023,3556
Crowley County,Colorado,08,025,5747
Custer County,Colorado,08,027,4208
Delta County,Colorado,08,029,30710
Dolores County,Colorado,08,033,1806
Douglas County,Colorado,08,035,286883
Eagle County,Colorado,08,037,51850
Elbert County,Colorado,08,039,23058
El Paso County,Colorado,08,041,622816
Fremont County,Colorado,08,043,47006
Garfield County,Colorado,08,045,56330
Gilpin County,Colorado,08,047,5358
Grand County,Colorado,08,049,14608
Gunnison County,Colorado,08,051,15385
Huerfano County,Colorado,08,055,6730
Jackson County,Colorado,08,057,1397
Kiowa County,Colorado,08,061,1393
Kit Carson County,Colorado,08,063,8210
Lake County,Colorado,08,065,7372
La Plata County,Colorado,08,067,51443
Larimer County,Colorado,08,069,300870
Las Animas County,Colorado,08,071,15385
Lincoln County,Colorado,08,073,5443
Logan County,Colorado,08,075,22541
Mesa County,Colorado,08,077,146562
Moffat County,Colorado,08,081,13547
Montezuma County,Colorado,08,083,25424
Montrose County,Colorado,08,085,40994
Morgan County,Colorado,08,087,28200
Otero County,Colorado,08,089,18791
Ouray County,Colorado,08,091,4445
Park County,Colorado,08,093,16168
Phillips County,Colorado,08,095,4380
Pitkin County,Colorado,08,097,17000
Prowers County,Colorado,08,099,12539
Pueblo County,Colorado,08,101,159072
Rio Blanco County,Colorado,08,103,6728
Rio Grande County,Colorado,08,105,11925
Routt County,Colorado,08,107,23385
Saguache County,Colorado,08,109,6189
San Miguel County,Colorado,08,113,7432
Sedgwick County,Colorado,08,115,2389
Summit County,Colorado,08,117,27753
Teller County,Colorado,08,119,23163
Washington County,Colorado,08,121,4796
Yuma County,Colorado,08,125,10032
Adams County,Colorado,08,001,442996
Arapahoe County,Colorado,08,005,574357
Boulder County,Colorado,08,013,297218
Broomfield County,Colorado,08,014,55913
Denver County,Colorado,08,031,604356
Jefferson County,Colorado,08,059,536095
Weld County,Colorado,08,123,253552
Fairfield County,Connecticut,09,001,918892
Hartford County,Connecticut,09,003,893504
Litchfield County,Connecticut,09,005,189277
Middlesex County,Connecticut,09,007,165639
New Haven County,Connecticut,09,009,860995
New London County,Connecticut,09,011,273723
Tolland County,Connecticut,09,013,152137
Windham County,Connecticut,09,015,118046
Kent County,Delaware,10,001,162785
New Castle County,Delaware,10,003,539665
Sussex County,Delaware,10,005,197681
Alachua County,Florida,12,001,247973
Baker County,Florida,12,003,27010
Bay County,Florida,12,005,168957
Bradford County,Florida,12,007,28404
Brevard County,Florida,12,009,544019
Broward County,Florida,12,011,1761993
Calhoun County,Florida,12,013,14639
Charlotte County,Florida,12,015,160380
Citrus County,Florida,12,017,140805
Clay County,Florida,12,019,190891
Collier County,Florida,12,021,323548
Columbia County,Florida,12,023,67546
Miami-Dade County,Florida,12,086,2512219
DeSoto County,Florida,12,027,34628
Dixie County,Florida,12,029,16301
Duval County,Florida,12,031,866431
Escambia County,Florida,12,033,298864
Flagler County,Florida,12,035,95987
Franklin County,Florida,12,037,11545
Gadsden County,Florida,12,039,46823
Gilchrist County,Florida,12,041,16880
Glades County,Florida,12,043,12952
Gulf County,Florida,12,045,15796
Hamilton County,Florida,12,047,14728
Hardee County,Florida,12,049,27347
Hendry County,Florida,12,051,38669
Hernando County,Florida,12,053,172784
Highlands County,Florida,12,055,98734
Hillsborough County,Florida,12,057,1238365
Holmes County,Florida,12,059,19971
Indian River County,Florida,12,061,138203
Jackson County,Florida,12,063,49589
Jefferson County,Florida,12,065,14564
Lafayette County,Florida,12,067,8668
Lake County,Florida,12,069,297995
Lee County,Florida,12,071,624155
Leon County,Florida,12,073,276506
Levy County,Florida,12,075,40541
Liberty County,Florida,12,077,8300
Madison County,Florida,12,079,19187
Manatee County,Florida,12,081,324834
Marion County,Florida,12,083,331987
Martin County,Florida,12,085,146497
Monroe County,Florida,12,087,73475
Nassau County,Florida,12,089,73303
Okaloosa County,Florida,12,091,183400
Okeechobee County,Florida,12,093,39779
Orange County,Florida,12,095,1153795
Osceola County,Florida,12,097,272355
Palm Beach County,Florida,12,099,1324085
Pasco County,Florida,12,101,465276
Pinellas County,Florida,12,103,917389
Polk County,Florida,12,105,604562
Putnam County,Florida,12,107,74224
Saint Johns County,Florida,12,109,191495
Saint Lucie County,Florida,12,111,278246
Santa Rosa County,Florida,12,113,153086
Sarasota County,Florida,12,115,380479
Seminole County,Florida,12,117,423389
Sumter County,Florida,12,119,94240
Suwannee County,Florida,12,121,42287
Taylor County,Florida,12,123,22561
Union County,Florida,12,125,15400
Volusia County,Florida,12,127,495581
Wakulla County,Florida,12,129,30449
Walton County,Florida,12,131,55349
Washington County,Florida,12,133,24732
Appling County,Georgia,13,001,18279
Atkinson County,Georgia,13,003,8355
Bacon County,Georgia,13,005,11124
Baker County,Georgia,13,007,3483
Baldwin County,Georgia,13,009,46378
Banks County,Georgia,13,011,18250
Barrow County,Georgia,13,013,69136
Bartow County,Georgia,13,015,99872
Ben Hill County,Georgia,13,017,17612
Berrien County,Georgia,13,019,19131
Bibb County,Georgia,13,021,155560
Bleckley County,Georgia,13,023,13009
Brantley County,Georgia,13,025,18279
Brooks County,Georgia,13,027,16066
Bryan County,Georgia,13,029,30616
Bulloch County,Georgia,13,031,70360
Burke County,Georgia,13,033,23242
Butts County,Georgia,13,035,23671
Calhoun County,Georgia,13,037,6581
Camden County,Georgia,13,039,50435
Candler County,Georgia,13,043,11007
Carroll County,Georgia,13,045,110750
Catoosa County,Georgia,13,047,64226
Charlton County,Georgia,13,049,12954
Chatham County,Georgia,13,051,266344
Chattahoochee County,Georgia,13,053,11917
Chattooga County,Georgia,13,055,25905
Cherokee County,Georgia,13,057,215014
Clarke County,Georgia,13,059,117762
Clay County,Georgia,13,061,3174
Clayton County,Georgia,13,063,262066
Clinch County,Georgia,13,065,6800
Cobb County,Georgia,13,067,691820
Coffee County,Georgia,13,069,42566
Colquitt County,Georgia,13,071,45531
Columbia County,Georgia,13,073,124665
Cook County,Georgia,13,075,17073
Coweta County,Georgia,13,077,127212
Crawford County,Georgia,13,079,12701
Crisp County,Georgia,13,081,23460
Dade County,Georgia,13,083,16598
Dawson County,Georgia,13,085,22246
Decatur County,Georgia,13,087,27815
DeKalb County,Georgia,13,089,694671
Dodge County,Georgia,13,091,21509
Dooly County,Georgia,13,093,14528
Dougherty County,Georgia,13,095,94591
Douglas County,Georgia,13,097,132124
Early County,Georgia,13,099,10928
Echols County,Georgia,13,101,4024
Effingham County,Georgia,13,103,52203
Elbert County,Georgia,13,105,20103
Emanuel County,Georgia,13,107,22600
Evans County,Georgia,13,109,10935
Fannin County,Georgia,13,111,23554
Fayette County,Georgia,13,113,106525
Floyd County,Georgia,13,115,96204
Forsyth County,Georgia,13,117,177103
Franklin County,Georgia,13,119,22070
Fulton County,Georgia,13,121,929535
Gilmer County,Georgia,13,123,28232
Glascock County,Georgia,13,125,3082
Glynn County,Georgia,13,127,79628
Gordon County,Georgia,13,129,55192
Grady County,Georgia,13,131,25068
Greene County,Georgia,13,133,15988
Gwinnett County,Georgia,13,135,810624
Habersham County,Georgia,13,137,43038
Hall County,Georgia,13,139,180831
Hancock County,Georgia,13,141,9422
Haralson County,Georgia,13,143,28627
Harris County,Georgia,13,145,31870
Hart County,Georgia,13,147,25277
Heard County,Georgia,13,149,11756
Henry County,Georgia,13,151,203185
Houston County,Georgia,13,153,140699
Irwin County,Georgia,13,155,9646
Jackson County,Georgia,13,157,60268
Jasper County,Georgia,13,159,13786
Jeff Davis County,Georgia,13,161,14972
Jefferson County,Georgia,13,163,16817
Jenkins County,Georgia,13,165,8477
Johnson County,Georgia,13,167,9981
Jones County,Georgia,13,169,28638
Lamar County,Georgia,13,171,18151
Lanier County,Georgia,13,173,10066
Laurens County,Georgia,13,175,48264
Lee County,Georgia,13,177,28449
Liberty County,Georgia,13,179,64663
Lincoln County,Georgia,13,181,7962
Long County,Georgia,13,183,14488
Lowndes County,Georgia,13,185,109730
Lumpkin County,Georgia,13,187,30040
McDuffie County,Georgia,13,189,21762
McIntosh County,Georgia,13,191,14119
Macon County,Georgia,13,193,14552
Madison County,Georgia,13,195,27988
Marion County,Georgia,13,197,8615
Meriwether County,Georgia,13,199,21966
Miller County,Georgia,13,201,6094
Mitchell County,Georgia,13,205,23510
Monroe County,Georgia,13,207,26376
Montgomery County,Georgia,13,209,9054
Morgan County,Georgia,13,211,17919
Murray County,Georgia,13,213,39635
Muscogee County,Georgia,13,215,191278
Newton County,Georgia,13,217,100047
Oconee County,Georgia,13,219,32814
Oglethorpe County,Georgia,13,221,14745
Paulding County,Georgia,13,223,141846
Peach County,Georgia,13,225,27531
Pickens County,Georgia,13,227,29445
Pierce County,Georgia,13,229,18631
Pike County,Georgia,13,231,17765
Polk County,Georgia,13,233,41350
Pulaski County,Georgia,13,235,11801
Putnam County,Georgia,13,237,21184
Quitman County,Georgia,13,239,2542
Rabun County,Georgia,13,241,16297
Randolph County,Georgia,13,243,7596
Richmond County,Georgia,13,245,200337
Rockdale County,Georgia,13,247,85008
Schley County,Georgia,13,249,4963
Screven County,Georgia,13,251,14574
Seminole County,Georgia,13,253,8815
Spalding County,Georgia,13,255,63979
Stephens County,Georgia,13,257,26003
Stewart County,Georgia,13,259,5991
Sumter County,Georgia,13,261,32425
Talbot County,Georgia,13,263,6772
Taliaferro County,Georgia,13,265,1674
Tattnall County,Georgia,13,267,25023
Taylor County,Georgia,13,269,8700
Telfair County,Georgia,13,271,16312
Terrell County,Georgia,13,273,9365
Thomas County,Georgia,13,275,44715
Tift County,Georgia,13,277,40430
Toombs County,Georgia,13,279,27270
Towns County,Georgia,13,281,10491
Treutlen County,Georgia,13,283,6851
Troup County,Georgia,13,285,67146
Turner County,Georgia,13,287,8834
Twiggs County,Georgia,13,289,8984
Union County,Georgia,13,291,21344
Upson County,Georgia,13,293,27061
Walker County,Georgia,13,295,68463
Walton County,Georgia,13,297,83771
Ware County,Georgia,13,299,36099
Warren County,Georgia,13,301,5788
Washington County,Georgia,13,303,21092
Wayne County,Georgia,13,305,30157
Webster County,Georgia,13,307,2773
Wheeler County,Georgia,13,309,7572
White County,Georgia,13,311,27141
Whitfield County,Georgia,13,313,102152
Wilcox County,Georgia,13,315,9142
Wilkes County,Georgia,13,317,10398
Wilkinson County,Georgia,13,319,9577
Worth County,Georgia,13,321,21746
Hawaii County,Hawaii,15,001,185399
Honolulu County,Hawaii,15,003,955215
Kauai County,Hawaii,15,007,67113
Kalawao County,Hawaii,15,005,66
Maui County,Hawaii,15,009,154937
Ada County,Idaho,16,001,394961
Adams County,Idaho,16,003,3976
Bannock County,Idaho,16,005,82584
Bear Lake County,Idaho,16,007,5977
Benewah County,Idaho,16,009,9247
Bingham County,Idaho,16,011,45312
Blaine County,Idaho,16,013,21323
Boise County,Idaho,16,015,7014
Bonner County,Idaho,16,017,40806
Bonneville County,Idaho,16,019,104177
Boundary County,Idaho,16,021,10857
Butte County,Idaho,16,023,2828
Camas County,Idaho,16,025,1276
Canyon County,Idaho,16,027,189396
Caribou County,Idaho,16,029,6872
Cassia County,Idaho,16,031,22813
Clearwater County,Idaho,16,035,8679
Custer County,Idaho,16,037,4338
Elmore County,Idaho,16,039,26655
Franklin County,Idaho,16,041,12739
Fremont County,Idaho,16,043,13123
Gem County,Idaho,16,045,16768
Gooding County,Idaho,16,047,15327
Idaho County,Idaho,16,049,16215
Jefferson County,Idaho,16,051,25940
Jerome County,Idaho,16,053,22140
Kootenai County,Idaho,16,055,139083
Latah County,Idaho,16,057,37365
Lemhi County,Idaho,16,059,7892
Lewis County,Idaho,16,061,3818
Lincoln County,Idaho,16,063,5167
Madison County,Idaho,16,065,37311
Minidoka County,Idaho,16,067,19909
Nez Perce County,Idaho,16,069,39226
Oneida County,Idaho,16,071,4236
Owyhee County,Idaho,16,073,11479
Payette County,Idaho,16,075,22614
Power County,Idaho,16,077,7717
Shoshone County,Idaho,16,079,12797
Teton County,Idaho,16,081,10007
Twin Falls County,Idaho,16,083,77122
Valley County,Idaho,16,085,9793
Washington County,Idaho,16,087,10144
Adams County,Illinois,17,001,67098
Alexander County,Illinois,17,003,8147
Bond County,Illinois,17,005,17762
Boone County,Illinois,17,007,54141
Brown County,Illinois,17,009,6913
Bureau County,Illinois,17,011,34798
Calhoun County,Illinois,17,013,5065
Carroll County,Illinois,17,015,15338
Cass County,Illinois,17,017,13570
Champaign County,Illinois,17,019,200931
Christian County,Illinois,17,021,34805
Clark County,Illinois,17,023,16353
Clay County,Illinois,17,025,13828
Clinton County,Illinois,17,027,37793
Coles County,Illinois,17,029,53683
Cook County,Illinois,17,031,5197677
Crawford County,Illinois,17,033,19777
Cumberland County,Illinois,17,035,11044
DeKalb County,Illinois,17,037,104820
De Witt County,Illinois,17,039,16562
Douglas County,Illinois,17,041,19908
DuPage County,Illinois,17,043,918608
Edgar County,Illinois,17,045,18513
Edwards County,Illinois,17,047,6691
Effingham County,Illinois,17,049,34258
Fayette County,Illinois,17,051,22082
Ford County,Illinois,17,053,14045
Franklin County,Illinois,17,055,39518
Fulton County,Illinois,17,057,36989
Gallatin County,Illinois,17,059,5592
Greene County,Illinois,17,061,13828
Grundy County,Illinois,17,063,49870
Hamilton County,Illinois,17,065,8430
Hancock County,Illinois,17,067,19063
Hardin County,Illinois,17,069,4315
Henderson County,Illinois,17,071,7275
Henry County,Illinois,17,073,50378
Iroquois County,Illinois,17,075,29689
Jackson County,Illinois,17,077,59992
Jasper County,Illinois,17,079,9707
Jefferson County,Illinois,17,081,38908
Jersey County,Illinois,17,083,22939
Jo Daviess County,Illinois,17,085,22663
Johnson County,Illinois,17,087,12653
Kane County,Illinois,17,089,514891
Kankakee County,Illinois,17,091,113170
Kendall County,Illinois,17,093,114226
Knox County,Illinois,17,095,52698
Lake County,Illinois,17,097,701282
LaSalle County,Illinois,17,099,113688
Lawrence County,Illinois,17,101,16778
Lee County,Illinois,17,103,35778
Livingston County,Illinois,17,105,38903
Logan County,Illinois,17,107,30278
McDonough County,Illinois,17,109,32568
McHenry County,Illinois,17,111,308163
McLean County,Illinois,17,113,169689
Macon County,Illinois,17,115,110558
Macoupin County,Illinois,17,117,47712
Madison County,Illinois,17,119,268586
Marion County,Illinois,17,121,39319
Marshall County,Illinois,17,123,12567
Mason County,Illinois,17,125,14636
Massac County,Illinois,17,127,15370
Menard County,Illinois,17,129,12728
Mercer County,Illinois,17,131,16421
Monroe County,Illinois,17,133,33003
Montgomery County,Illinois,17,135,29977
Morgan County,Illinois,17,137,35544
Moultrie County,Illinois,17,139,14844
Ogle County,Illinois,17,141,53378
Peoria County,Illinois,17,143,186399
Perry County,Illinois,17,145,22287
Piatt County,Illinois,17,147,16679
Pike County,Illinois,17,149,16436
Pope County,Illinois,17,151,4399
Pulaski County,Illinois,17,153,6107
Putnam County,Illinois,17,155,5968
Randolph County,Illinois,17,157,33353
Richland County,Illinois,17,159,16181
Rock Island County,Illinois,17,161,147504
Saint Clair County,Illinois,17,163,268873
Saline County,Illinois,17,165,24975
Sangamon County,Illinois,17,167,197474
Schuyler County,Illinois,17,169,7499
Scott County,Illinois,17,171,5322
Shelby County,Illinois,17,173,22316
Stark County,Illinois,17,175,5983
Stephenson County,Illinois,17,177,47532
Tazewell County,Illinois,17,179,135201
Union County,Illinois,17,181,17799
Vermilion County,Illinois,17,183,81463
Wabash County,Illinois,17,185,11935
Warren County,Illinois,17,187,17723
Washington County,Illinois,17,189,14692
Wayne County,Illinois,17,191,16727
White County,Illinois,17,193,14686
Whiteside County,Illinois,17,195,58400
Will County,Illinois,17,197,677669
Williamson County,Illinois,17,199,66335
Winnebago County,Illinois,17,201,294433
Woodford County,Illinois,17,203,38736
Adams County,Indiana,18,001,34343
Allen County,Indiana,18,003,355940
Bartholomew County,Indiana,18,005,77297
Benton County,Indiana,18,007,8816
Blackford County,Indiana,18,009,12742
Boone County,Indiana,18,011,56823
Brown County,Indiana,18,013,15181
Carroll County,Indiana,18,015,20105
Cass County,Indiana,18,017,38875
Clark County,Indiana,18,019,110100
Clay County,Indiana,18,021,26908
Clinton County,Indiana,18,023,33179
Crawford County,Indiana,18,025,10702
Daviess County,Indiana,18,027,31604
Dearborn County,Indiana,18,029,49904
Decatur County,Indiana,18,031,25772
DeKalb County,Indiana,18,033,42218
Delaware County,Indiana,18,035,117459
Dubois County,Indiana,18,037,41995
Elkhart County,Indiana,18,039,198214
Fayette County,Indiana,18,041,24220
Floyd County,Indiana,18,043,74601
Fountain County,Indiana,18,045,17212
Franklin County,Indiana,18,047,23108
Fulton County,Indiana,18,049,20762
Gibson County,Indiana,18,051,33437
Grant County,Indiana,18,053,69886
Greene County,Indiana,18,055,33032
Hamilton County,Indiana,18,057,276098
Hancock County,Indiana,18,059,69778
Harrison County,Indiana,18,061,39102
Hendricks County,Indiana,18,063,145880
Henry County,Indiana,18,065,49381
Howard County,Indiana,18,067,82914
Huntington County,Indiana,18,069,37144
Jackson County,Indiana,18,071,42414
Jasper County,Indiana,18,073,33369
Jay County,Indiana,18,075,21353
Jefferson County,Indiana,18,077,32501
Jennings County,Indiana,18,079,28373
Johnson County,Indiana,18,081,140033
Knox County,Indiana,18,083,38392
Kosciusko County,Indiana,18,085,77328
LaGrange County,Indiana,18,087,37284
Lake County,Indiana,18,089,495230
LaPorte County,Indiana,18,091,111335
Lawrence County,Indiana,18,093,46131
Madison County,Indiana,18,095,131244
Marion County,Indiana,18,097,904535
Marshall County,Indiana,18,099,47045
Martin County,Indiana,18,101,10300
Miami County,Indiana,18,103,36850
Monroe County,Indiana,18,105,138048
Montgomery County,Indiana,18,107,38207
Morgan County,Indiana,18,109,69033
Newton County,Indiana,18,111,14199
Noble County,Indiana,18,113,47547
Ohio County,Indiana,18,115,6093
Orange County,Indiana,18,117,19828
Owen County,Indiana,18,119,21583
Parke County,Indiana,18,121,17251
Perry County,Indiana,18,123,19408
Pike County,Indiana,18,125,12849
Porter County,Indiana,18,127,164386
Posey County,Indiana,18,129,25840
Pulaski County,Indiana,18,131,13395
Putnam County,Indiana,18,133,37995
Randolph County,Indiana,18,135,26101
Ripley County,Indiana,18,137,28702
Rush County,Indiana,18,139,17349
Saint Joseph County,Indiana,18,141,266785
Scott County,Indiana,18,143,24044
Shelby County,Indiana,18,145,44435
Spencer County,Indiana,18,147,20948
Starke County,Indiana,18,149,23310
Steuben County,Indiana,18,151,34116
Sullivan County,Indiana,18,153,21379
Switzerland County,Indiana,18,155,10509
Tippecanoe County,Indiana,18,157,173317
