County,State,mean_life_expectancy,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,76.0923839492951,01,001,0.41
Baldwin County,Alabama,77.9590260303945,01,003,0.4517
Barbour County,Alabama,75.723760010315,01,005,0.4608
Bibb County,Alabama,74.0704786684836,01,007,0.4365
Blount County,Alabama,75.57623817677,01,009,0.4134
Bullock County,Alabama,73.9667452558383,01,011,0.446
Butler County,Alabama,74.1879513563979,01,013,0.4591
Calhoun County,Alabama,73.7500629106712,01,015,0.4545
Chambers County,Alabama,74.4744393001101,01,017,0.5023
Cherokee County,Alabama,74.8083588255097,01,019,0.4658
Chilton County,Alabama,74.361687582335,01,021,0.4517
Choctaw County,Alabama,74.767407753043,01,023,0.4866
Clarke County,Alabama,75.234900184891,01,025,0.5249
Clay County,Alabama,74.7573360142862,01,027,0.4373
Cleburne County,Alabama,74.1228766542021,01,029,0.4432
Coffee County,Alabama,76.7812212244236,01,031,0.4474
Colbert County,Alabama,74.7421988900332,01,033,0.4361
Conecuh County,Alabama,73.8726045151823,01,035,0.4952
Coosa County,Alabama,75.2580877653134,01,037,0.4341
Covington County,Alabama,74.8659701913572,01,039,0.4637
Crenshaw County,Alabama,74.4189555245288,01,041,0.4589
Cullman County,Alabama,74.9300732935393,01,043,0.4582
Dale County,Alabama,75.9998085962609,01,045,0.434
Dallas County,Alabama,72.1686309532854,01,047,0.5281
DeKalb County,Alabama,74.7318781453857,01,049,0.4431
Elmore County,Alabama,75.9399909370708,01,051,0.4103
Escambia County,Alabama,73.7808302047218,01,053,0.4742
Etowah County,Alabama,73.3708247850727,01,055,0.4458
Fayette County,Alabama,74.0659626546655,01,057,0.467
Franklin County,Alabama,73.5137577154115,01,059,0.4386
Geneva County,Alabama,75.0218977493571,01,061,0.448
Greene County,Alabama,74.4811078615176,01,063,0.4876
Hale County,Alabama,74.1560323615994,01,065,0.5082
Henry County,Alabama,75.7543594558265,01,067,0.4402
Houston County,Alabama,76.559115914522,01,069,0.473
Jackson County,Alabama,73.5264035395202,01,071,0.4473
Jefferson County,Alabama,74.9798554080244,01,073,0.497
Lamar County,Alabama,74.7116839103121,01,075,0.4345
Lauderdale County,Alabama,76.1300402688184,01,077,0.4615
Lawrence County,Alabama,73.989537746666,01,079,0.4247
Lee County,Alabama,77.5595991086487,01,081,0.4937
Limestone County,Alabama,77.4754459389285,01,083,0.4541
Lowndes County,Alabama,72.2634055675833,01,085,0.5281
Macon County,Alabama,73.4904632643591,01,087,0.4703
Madison County,Alabama,77.8536736827048,01,089,0.4701
Marengo County,Alabama,74.0363714016051,01,091,0.5402
Marion County,Alabama,74.4921559001086,01,093,0.4711
Marshall County,Alabama,74.1039393352051,01,095,0.4659
Mobile County,Alabama,75.1117597992232,01,097,0.4732
Monroe County,Alabama,75.0245488974323,01,099,0.492
Montgomery County,Alabama,76.1126905968678,01,101,0.4771
Morgan County,Alabama,75.7548165522007,01,103,0.4488
