County,State,mean_life_expectancy,State_FIPS,County_FIPS,bachelors_and_above_percentage
Autauga County,Alabama,76.0246312323304,01,001,25.0
Baldwin County,Alabama,77.8952429034613,01,003,30.7
Barbour County,Alabama,74.6572190352659,01,005,12.0
Bibb County,Alabama,73.6342805287431,01,007,13.2
Blount County,Alabama,74.8974607079908,01,009,13.1
Bullock County,Alabama,73.7079253175275,01,011,13.4
Butler County,Alabama,73.7151229204611,01,013,16.1
Calhoun County,Alabama,73.3078477077272,01,015,17.9
Chambers County,Alabama,74.2425871374709,01,017,13.3
Cherokee County,Alabama,74.3480110237785,01,019,12.5
Chilton County,Alabama,74.1052560370855,01,021,15.1
Choctaw County,Alabama,74.2757388369681,01,023,11.6
Clarke County,Alabama,74.6238045774491,01,025,13.0
Clay County,Alabama,74.3591398533707,01,027,10.3
Cleburne County,Alabama,74.0840978801744,01,029,12.4
Coffee County,Alabama,76.2048720238035,01,031,22.7
Colbert County,Alabama,74.2982544702841,01,033,18.8
Conecuh County,Alabama,73.3561349626999,01,035,8.8
Coosa County,Alabama,75.3441712856155,01,037,11.0
Covington County,Alabama,74.078109873637,01,039,15.5
Crenshaw County,Alabama,73.9820921275375,01,041,16.3
Cullman County,Alabama,74.3545019878194,01,043,14.9
Dale County,Alabama,75.4733509430588,01,045,16.8
Dallas County,Alabama,72.03447738714,01,047,14.2
DeKalb County,Alabama,74.524309920443,01,049,13.0
Elmore County,Alabama,75.8544515314726,01,051,22.8
Escambia County,Alabama,73.1026233420298,01,053,12.1
Etowah County,Alabama,73.023382014908,01,055,16.9
Fayette County,Alabama,73.6468181376117,01,057,14.6
Franklin County,Alabama,73.4916922949218,01,059,13.4
Geneva County,Alabama,74.2527953119664,01,061,11.1
Greene County,Alabama,73.8570082667757,01,063,11.4
Hale County,Alabama,73.6467181824322,01,065,14.4
Henry County,Alabama,75.4887946207952,01,067,17.1
Houston County,Alabama,76.032673861126,01,069,20.9
Jackson County,Alabama,73.3946413725398,01,071,13.4
Jefferson County,Alabama,74.5743774281111,01,073,31.9
Lamar County,Alabama,74.3774503003945,01,075,13.3
Lauderdale County,Alabama,76.0388971623086,01,077,22.5
Lawrence County,Alabama,73.6788440834402,01,079,10.2
Lee County,Alabama,77.5526205196881,01,081,34.9
Limestone County,Alabama,77.3036396921757,01,083,24.6
Lowndes County,Alabama,71.8712681595456,01,085,13.7
Macon County,Alabama,72.9264822618015,01,087,20.1
Madison County,Alabama,77.4457800370199,01,089,40.6
Marengo County,Alabama,73.4699638933891,01,091,15.4
Marion County,Alabama,74.0260626515723,01,093,13.4
Marshall County,Alabama,74.044529414402,01,095,17.7
Mobile County,Alabama,74.832531869489,01,097,23.0
Monroe County,Alabama,74.6472436418514,01,099,12.5
Montgomery County,Alabama,75.8639742828833,01,101,32.3
Morgan County,Alabama,75.2271704532966,01,103,20.9
Perry County,Alabama,72.388930405107,01,105,16.9
Pickens County,Alabama,74.4608285703048,01,107,11.8
Pike County,Alabama,74.9526888282757,01,109,24.7
Randolph County,Alabama,74.2303989397729,01,111,14.6
Russell County,Alabama,73.5167015561246,01,113,16.9
Saint Clair County,Alabama,74.7414911385038,01,115,16.0
Shelby County,Alabama,79.9439409572104,01,117,42.2
Sumter County,Alabama,74.3379744715151,01,119,18.2
Talladega County,Alabama,73.3972425657916,01,121,13.6
Tallapoosa County,Alabama,74.8751981595403,01,123,18.2
Tuscaloosa County,Alabama,76.2628239560412,01,125,30.2
Walker County,Alabama,70.3120931463706,01,127,11.1
Washington County,Alabama,74.379913964713,01,129,10.7
Wilcox County,Alabama,71.4192185766012,01,131,12.0
Winston County,Alabama,74.31731572053,01,133,12.9
Anchorage Municipality,Alaska,78.8427395859197,02,020,34.6
Bethel Census Area,Alaska,72.3773195918739,02,050,12.6
Bristol Bay Borough,Alaska,75.8312576360195,02,060,20.3
