County,State,mean_life_expectancy,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,75.836928054027,01,001,851
Baldwin County,Alabama,77.8587885068867,01,003,876
Barbour County,Alabama,75.6039658679806,01,005,587
Bibb County,Alabama,73.8813807110977,01,007,568
Blount County,Alabama,75.6352536319274,01,009,600
Bullock County,Alabama,74.4021306908516,01,011,492
Butler County,Alabama,73.935514642706,01,013,560
Calhoun County,Alabama,73.6916993651565,01,015,615
Chambers County,Alabama,74.3709084353389,01,017,635
Cherokee County,Alabama,74.7690226049665,01,019,609
Chilton County,Alabama,74.2037941937705,01,021,626
Choctaw County,Alabama,74.7667739361553,01,023,593
Clarke County,Alabama,75.3078949980348,01,025,479
Clay County,Alabama,74.5125281044463,01,027,424
Cleburne County,Alabama,74.2119718397456,01,029,574
Coffee County,Alabama,76.8029854382398,01,031,647
Colbert County,Alabama,74.7012544694018,01,033,617
Conecuh County,Alabama,73.8578396157111,01,035,525
Coosa County,Alabama,75.0708584990442,01,037,574
Covington County,Alabama,74.939706372746,01,039,579
Crenshaw County,Alabama,74.4540874550923,01,041,505
Cullman County,Alabama,74.9509513238576,01,043,605
Dale County,Alabama,76.1296959155196,01,045,616
Dallas County,Alabama,72.2967105227705,01,047,537
DeKalb County,Alabama,74.7966732959206,01,049,518
Elmore County,Alabama,75.8412881424909,01,051,774
Escambia County,Alabama,73.8523605614612,01,053,582
Etowah County,Alabama,73.3079475598584,01,055,615
Fayette County,Alabama,74.057058159905,01,057,451
Franklin County,Alabama,73.349841367943,01,059,527
Geneva County,Alabama,75.2540134208833,01,061,573
Greene County,Alabama,74.5251950347399,01,063,428
Hale County,Alabama,74.2120689147012,01,065,426
Henry County,Alabama,75.9013490151937,01,067,545
Houston County,Alabama,76.6049969181304,01,069,663
Jackson County,Alabama,73.6075996652594,01,071,516
Jefferson County,Alabama,75.0012975222472,01,073,809
Lamar County,Alabama,74.594659571128,01,075,447
Lauderdale County,Alabama,76.2574810844103,01,077,588
Lawrence County,Alabama,74.025639809588,01,079,531
Lee County,Alabama,77.641756133286,01,081,767
Limestone County,Alabama,77.4567118555822,01,083,615
Lowndes County,Alabama,72.451572085185,01,085,534
Macon County,Alabama,73.4913418644572,01,087,584
Madison County,Alabama,77.772209501297,01,089,744
Marengo County,Alabama,74.1333674215399,01,091,527
Marion County,Alabama,74.2996624676483,01,093,477
Marshall County,Alabama,74.2650814854454,01,095,594
Mobile County,Alabama,75.0140519651065,01,097,756
Monroe County,Alabama,74.9403376152072,01,099,536
Montgomery County,Alabama,76.0742035748331,01,101,812
Morgan County,Alabama,75.7687418754051,01,103,603
Perry County,Alabama,72.4458737373582,01,105,461
Pickens County,Alabama,74.3989386831643,01,107,412
Pike County,Alabama,75.3843799599901,01,109,587
Randolph County,Alabama,74.6272688359767,01,111,588
