County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Families
Autauga County,Alabama,75.7292435880376,01,001,14258
Baldwin County,Alabama,77.9271776584132,01,003,52117
Barbour County,Alabama,75.726345615993,01,005,6394
Bibb County,Alabama,73.8549042153188,01,007,5488
Blount County,Alabama,75.7031620249924,01,009,15590
Bullock County,Alabama,74.5147146410295,01,011,2414
Butler County,Alabama,74.0029270174073,01,013,5380
Calhoun County,Alabama,73.7720318613506,01,015,30453
Chambers County,Alabama,74.4618272098825,01,017,9002
Cherokee County,Alabama,74.9073645339479,01,019,8554
Chilton County,Alabama,74.1680381073103,01,021,11964
Choctaw County,Alabama,75.0330369420346,01,023,3475
Clarke County,Alabama,75.3627746026001,01,025,6407
Clay County,Alabama,74.5556200097281,01,027,3902
Cleburne County,Alabama,74.0892819227667,01,029,3991
Coffee County,Alabama,76.8920779757569,01,031,13089
Colbert County,Alabama,74.7919396971864,01,033,15258
Conecuh County,Alabama,73.9629702481659,01,035,3294
Coosa County,Alabama,75.1116367329605,01,037,2986
Covington County,Alabama,75.0377160434361,01,039,10232
Crenshaw County,Alabama,74.4090115093279,01,041,3738
Cullman County,Alabama,75.0285246631596,01,043,22509
Dale County,Alabama,76.2376078137941,01,045,12994
Dallas County,Alabama,72.3485612905477,01,047,10056
DeKalb County,Alabama,74.9900686798499,01,049,18746
Elmore County,Alabama,75.972036154942,01,051,20866
Escambia County,Alabama,74.0158797821032,01,053,9572
Etowah County,Alabama,73.2531150461842,01,055,28246
Fayette County,Alabama,74.2005416942204,01,057,4901
Franklin County,Alabama,73.4441492092538,01,059,8847
Geneva County,Alabama,75.2391510545445,01,061,7557
Greene County,Alabama,74.6190084135484,01,063,2008
Hale County,Alabama,74.1705015045921,01,065,3830
Henry County,Alabama,75.8618642097371,01,067,4873
Houston County,Alabama,76.6654865118704,01,069,26289
Jackson County,Alabama,73.8971307190983,01,071,14810
Jefferson County,Alabama,74.9923234793925,01,073,166280
Lamar County,Alabama,74.6375257695077,01,075,4486
Lauderdale County,Alabama,76.3717334494033,01,077,25106
Lawrence County,Alabama,74.0874083511881,01,079,9822
Lee County,Alabama,77.5552230695894,01,081,32934
Limestone County,Alabama,77.5349339425497,01,083,22640
Lowndes County,Alabama,72.5169545782714,01,085,2808
Macon County,Alabama,73.472029298343,01,087,4976
Madison County,Alabama,77.7777375113583,01,089,85939
Marengo County,Alabama,74.31817729379,01,091,5799
Marion County,Alabama,74.3185965980805,01,093,9059
Marshall County,Alabama,74.2594225666453,01,095,24284
Mobile County,Alabama,74.9254454523935,01,097,105597
Monroe County,Alabama,75.3055057626381,01,099,6030
Montgomery County,Alabama,76.0363412800295,01,101,56784
Morgan County,Alabama,75.7692598409346,01,103,32238
Perry County,Alabama,72.0683801705565,01,105,2525
Pickens County,Alabama,74.4214021607815,01,107,5400
Pike County,Alabama,75.324182967647,01,109,7735
Randolph County,Alabama,74.4748298659528,01,111,5841
Russell County,Alabama,74.2849040636452,01,113,13106
Saint Clair County,Alabama,75.1409064937624,01,115,23177
Shelby County,Alabama,79.6179282707985,01,117,53172
Sumter County,Alabama,74.3938821811206,01,119,3131
Talladega County,Alabama,73.5547810443691,01,121,22290
Tallapoosa County,Alabama,75.2700066121829,01,123,11492
Tuscaloosa County,Alabama,75.9567690035619,01,125,43456
Walker County,Alabama,71.0086526303479,01,127,18258
Washington County,Alabama,74.7671249776603,01,129,4933
Wilcox County,Alabama,72.1727031543216,01,131,2548
Winston County,Alabama,74.1868543786886,01,133,6608
Anchorage Municipality,Alaska,78.7324733774199,02,020,69461
Bethel Census Area,Alaska,72.9375771624196,02,050,3194
Bristol Bay Borough,Alaska,75.4523499871574,02,060,258
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,23968
Haines Borough,Alaska,79.7853560050767,02,100,718
Juneau City and Borough,Alaska,79.6549904893737,02,110,7955
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,14326
Kodiak Island Borough,Alaska,78.9325295918541,02,150,3266
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,22477
Nome Census Area,Alaska,71.2209696012473,02,180,1966
North Slope Borough,Alaska,75.1130295005676,02,185,1368
