County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Age
Autauga County,Alabama,76.5932651350438,01,001,38.2
Baldwin County,Alabama,78.2935223384932,01,003,43.0
Barbour County,Alabama,74.8145320945807,01,005,40.4
Bibb County,Alabama,73.9200538034534,01,007,40.9
Blount County,Alabama,75.0291855488467,01,009,40.7
Bullock County,Alabama,73.9493288862537,01,011,40.2
Butler County,Alabama,74.1389189035864,01,013,40.8
Calhoun County,Alabama,73.5629066906819,01,015,39.6
Chambers County,Alabama,74.7026464205289,01,017,42.0
Cherokee County,Alabama,74.6131502945787,01,019,46.5
Chilton County,Alabama,74.5859698133504,01,021,38.7
Choctaw County,Alabama,74.6284355949225,01,023,46.3
Clarke County,Alabama,75.0999434901388,01,025,42.5
Clay County,Alabama,74.701948975265,01,027,43.3
Cleburne County,Alabama,74.7558638422596,01,029,43.1
Coffee County,Alabama,76.3997264684506,01,031,39.3
Colbert County,Alabama,74.5331789579054,01,033,42.4
Conecuh County,Alabama,73.8841768203255,01,035,44.8
Coosa County,Alabama,75.7384814528474,01,037,48.4
Covington County,Alabama,74.2115895055701,01,039,43.3
Crenshaw County,Alabama,74.3548048141269,01,041,41.7
Cullman County,Alabama,74.5626540622359,01,043,40.8
Dale County,Alabama,75.5818368193645,01,045,37.3
Dallas County,Alabama,72.4762524056376,01,047,39.6
DeKalb County,Alabama,74.9432497939268,01,049,39.5
Elmore County,Alabama,76.2158567842262,01,051,38.7
Escambia County,Alabama,73.3131687800953,01,053,40.0
Etowah County,Alabama,73.3604926263926,01,055,41.4
Fayette County,Alabama,74.0421749009191,01,057,43.7
Franklin County,Alabama,74.0661703364282,01,059,38.6
Geneva County,Alabama,74.3981355513722,01,061,43.2
Greene County,Alabama,74.0544180583619,01,063,40.9
Hale County,Alabama,74.195380885004,01,065,40.5
Henry County,Alabama,75.6447400375483,01,067,44.4
Houston County,Alabama,76.2430325268057,01,069,40.1
Jackson County,Alabama,73.6828553298684,01,071,43.1
Jefferson County,Alabama,74.8621541773249,01,073,37.7
Lamar County,Alabama,74.8683149184064,01,075,44.8
Lauderdale County,Alabama,76.2969405417653,01,077,41.0
Lawrence County,Alabama,74.0450227399105,01,079,42.4
Lee County,Alabama,77.9139576690325,01,081,31.9
Limestone County,Alabama,77.6675828538061,01,083,39.7
Lowndes County,Alabama,72.074118169288,01,085,42.0
Macon County,Alabama,73.257603254685,01,087,38.6
Madison County,Alabama,77.7641916190152,01,089,38.5
Marengo County,Alabama,73.5254347483341,01,091,42.2
Marion County,Alabama,74.6258695781583,01,093,44.3
Marshall County,Alabama,74.5877863503167,01,095,38.8
Mobile County,Alabama,75.3368060857871,01,097,37.9
Monroe County,Alabama,75.1270770002995,01,099,43.3
Montgomery County,Alabama,76.4216275471708,01,101,36.4
Morgan County,Alabama,75.4863635328123,01,103,40.6
Perry County,Alabama,73.1742532055544,01,105,36.9
Pickens County,Alabama,74.8142448398232,01,107,42.2
Pike County,Alabama,75.2422168626359,01,109,31.2
Randolph County,Alabama,74.6401983680838,01,111,43.4
Russell County,Alabama,73.8179782797389,01,113,36.3
Saint Clair County,Alabama,75.2553895649825,01,115,40.3
Shelby County,Alabama,80.4641938071101,01,117,39.3
Sumter County,Alabama,74.9804619366111,01,119,35.6
Talladega County,Alabama,73.8695996345704,01,121,41.3
Tallapoosa County,Alabama,75.1740848507411,01,123,44.7
Tuscaloosa County,Alabama,76.6889893454644,01,125,33.0
Walker County,Alabama,70.6271114963763,01,127,42.1
Washington County,Alabama,74.8365149840162,01,129,43.7
Wilcox County,Alabama,71.8708091393013,01,131,40.5
Winston County,Alabama,74.940147608181,01,133,45.2
Anchorage Municipality,Alaska,79.3865194176634,02,020,33.6
Bethel Census Area,Alaska,72.7950243111552,02,050,27.3
Bristol Bay Borough,Alaska,76.6332466885107,02,060,42.9
Fairbanks North Star Borough,Alaska,80.6262503620013,02,090,31.3
Haines Borough,Alaska,83.0150521479304,02,100,44.7
Juneau City and Borough,Alaska,81.2261376714925,02,110,38.1
Kenai Peninsula Borough,Alaska,78.9204662278644,02,122,40.8
