County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%)
Autauga County,Alabama,76.0037780188588,01,001,87.2
Baldwin County,Alabama,77.883491815899,01,003,89.5
Barbour County,Alabama,75.0673228497808,01,005,73.3
Bibb County,Alabama,73.9292406132677,01,007,80.7
Blount County,Alabama,75.4045795365122,01,009,78.5
Bullock County,Alabama,73.9942587358532,01,011,64.9
Butler County,Alabama,73.8747097831596,01,013,77.8
Calhoun County,Alabama,73.4914898222883,01,015,80.9
Chambers County,Alabama,74.3558450542163,01,017,78.9
Cherokee County,Alabama,74.3869269438084,01,019,79.5
Chilton County,Alabama,74.1846042084152,01,021,78.4
Choctaw County,Alabama,74.4079125158607,01,023,76.4
Clarke County,Alabama,75.0600852353112,01,025,80.5
Clay County,Alabama,74.5433505768891,01,027,75.1
Cleburne County,Alabama,73.9868040627659,01,029,75.1
Coffee County,Alabama,76.3605391350353,01,031,84.6
Colbert County,Alabama,74.4371800102949,01,033,83.9
Conecuh County,Alabama,73.5347778763338,01,035,78.1
Coosa County,Alabama,75.1708542815166,01,037,74.1
Covington County,Alabama,74.5258130018285,01,039,79.8
Crenshaw County,Alabama,74.3461382236033,01,041,78.0
Cullman County,Alabama,74.594611891369,01,043,81.8
Dale County,Alabama,75.8955853753065,01,045,85.4
Dallas County,Alabama,72.0822622575986,01,047,78.1
DeKalb County,Alabama,74.708246577618,01,049,72.4
Elmore County,Alabama,75.7371836971991,01,051,86.6
Escambia County,Alabama,73.4683660064676,01,053,79.9
Etowah County,Alabama,73.1955443341744,01,055,82.5
Fayette County,Alabama,73.9431045571677,01,057,77.6
Franklin County,Alabama,73.589235938182,01,059,74.6
Geneva County,Alabama,74.6570847479417,01,061,79.0
Greene County,Alabama,74.2538349549859,01,063,75.9
Hale County,Alabama,73.9653852957873,01,065,80.7
Henry County,Alabama,75.6190349537947,01,067,78.8
Houston County,Alabama,76.3382467172531,01,069,84.7
Jackson County,Alabama,73.4843045744864,01,071,76.9
Jefferson County,Alabama,74.806564666839,01,073,88.4
Lamar County,Alabama,74.4774859000498,01,075,77.4
Lauderdale County,Alabama,75.9992408194207,01,077,84.3
Lawrence County,Alabama,73.7066029348587,01,079,78.9
Lee County,Alabama,77.5898607027561,01,081,88.6
Limestone County,Alabama,77.3894821829376,01,083,83.1
Lowndes County,Alabama,72.0601797573648,01,085,74.1
Macon County,Alabama,73.2131086140897,01,087,81.4
Madison County,Alabama,77.542194549947,01,089,90.7
Marengo County,Alabama,73.8566544196385,01,091,84.6
Marion County,Alabama,74.1929234345737,01,093,78.1
Marshall County,Alabama,74.0778968695931,01,095,77.5
Mobile County,Alabama,74.9316859921305,01,097,85.3
Monroe County,Alabama,74.6797751742885,01,099,80.8
Montgomery County,Alabama,75.9457637313632,01,101,85.4
Morgan County,Alabama,75.4240194723048,01,103,82.8
Perry County,Alabama,72.5719425521565,01,105,74.6
Pickens County,Alabama,74.2789980479796,01,107,78.7
Pike County,Alabama,75.1713243378534,01,109,79.7
Randolph County,Alabama,74.3483287431609,01,111,75.7
Russell County,Alabama,73.9955853835697,01,113,82.3
Saint Clair County,Alabama,74.9401222127531,01,115,83.2
Shelby County,Alabama,79.8710141007163,01,117,91.4
Sumter County,Alabama,74.1681754789273,01,119,78.3
Talladega County,Alabama,73.4032144228388,01,121,79.3
Tallapoosa County,Alabama,74.9865840695302,01,123,79.8
Tuscaloosa County,Alabama,76.1685915869627,01,125,87.0
Walker County,Alabama,70.4970068309202,01,127,78.3
Washington County,Alabama,74.5099724381317,01,129,80.5
Wilcox County,Alabama,71.6706696339144,01,131,77.4
Winston County,Alabama,74.3226672753976,01,133,74.4
Anchorage Municipality,Alaska,78.7971775250135,02,020,93.0
Bethel Census Area,Alaska,72.760049452657,02,050,79.0
Bristol Bay Borough,Alaska,75.7106106970199,02,060,92.0
Fairbanks North Star Borough,Alaska,79.6096657350875,02,090,94.4
Haines Borough,Alaska,80.9337426747029,02,100,95.4
Juneau City and Borough,Alaska,80.1067083342921,02,110,94.8
Kenai Peninsula Borough,Alaska,78.4351200208393,02,122,93.4
