County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Age
Autauga County,Alabama,76.0246312323304,01,001,37.8
Baldwin County,Alabama,77.8952429034613,01,003,42.6
Barbour County,Alabama,74.6572190352659,01,005,39.7
Bibb County,Alabama,73.6342805287431,01,007,39.8
Blount County,Alabama,74.8974607079908,01,009,40.9
Bullock County,Alabama,73.7079253175275,01,011,40.8
Butler County,Alabama,73.7151229204611,01,013,40.7
Calhoun County,Alabama,73.3078477077272,01,015,39.1
Chambers County,Alabama,74.2425871374709,01,017,43.0
Cherokee County,Alabama,74.3480110237785,01,019,46.1
Chilton County,Alabama,74.1052560370855,01,021,38.9
Choctaw County,Alabama,74.2757388369681,01,023,45.8
Clarke County,Alabama,74.6238045774491,01,025,42.2
Clay County,Alabama,74.3591398533707,01,027,43.8
Cleburne County,Alabama,74.0840978801744,01,029,41.7
Coffee County,Alabama,76.2048720238035,01,031,39.3
Colbert County,Alabama,74.2982544702841,01,033,42.5
Conecuh County,Alabama,73.3561349626999,01,035,44.5
Coosa County,Alabama,75.3441712856155,01,037,45.9
Covington County,Alabama,74.078109873637,01,039,43.4
Crenshaw County,Alabama,73.9820921275375,01,041,41.4
Cullman County,Alabama,74.3545019878194,01,043,40.6
Dale County,Alabama,75.4733509430588,01,045,37.1
Dallas County,Alabama,72.03447738714,01,047,39.3
DeKalb County,Alabama,74.524309920443,01,049,39.0
Elmore County,Alabama,75.8544515314726,01,051,38.5
Escambia County,Alabama,73.1026233420298,01,053,39.6
Etowah County,Alabama,73.023382014908,01,055,40.9
Fayette County,Alabama,73.6468181376117,01,057,43.6
Franklin County,Alabama,73.4916922949218,01,059,37.7
Geneva County,Alabama,74.2527953119664,01,061,42.7
Greene County,Alabama,73.8570082667757,01,063,42.0
Hale County,Alabama,73.6467181824322,01,065,39.8
Henry County,Alabama,75.4887946207952,01,067,43.5
Houston County,Alabama,76.032673861126,01,069,39.6
Jackson County,Alabama,73.3946413725398,01,071,43.0
Jefferson County,Alabama,74.5743774281111,01,073,37.6
Lamar County,Alabama,74.3774503003945,01,075,44.5
Lauderdale County,Alabama,76.0388971623086,01,077,41.5
Lawrence County,Alabama,73.6788440834402,01,079,42.0
Lee County,Alabama,77.5526205196881,01,081,31.0
Limestone County,Alabama,77.3036396921757,01,083,39.1
Lowndes County,Alabama,71.8712681595456,01,085,40.7
Macon County,Alabama,72.9264822618015,01,087,38.0
Madison County,Alabama,77.4457800370199,01,089,38.2
Marengo County,Alabama,73.4699638933891,01,091,42.1
Marion County,Alabama,74.0260626515723,01,093,44.1
Marshall County,Alabama,74.044529414402,01,095,38.8
Mobile County,Alabama,74.832531869489,01,097,37.3
Monroe County,Alabama,74.6472436418514,01,099,41.7
Montgomery County,Alabama,75.8639742828833,01,101,35.9
Morgan County,Alabama,75.2271704532966,01,103,40.1
Perry County,Alabama,72.388930405107,01,105,37.6
Pickens County,Alabama,74.4608285703048,01,107,42.1
Pike County,Alabama,74.9526888282757,01,109,31.4
Randolph County,Alabama,74.2303989397729,01,111,42.7
Russell County,Alabama,73.5167015561246,01,113,35.3
Saint Clair County,Alabama,74.7414911385038,01,115,40.1
Shelby County,Alabama,79.9439409572104,01,117,38.5
Sumter County,Alabama,74.3379744715151,01,119,35.9
Talladega County,Alabama,73.3972425657916,01,121,40.6
Tallapoosa County,Alabama,74.8751981595403,01,123,43.3
Tuscaloosa County,Alabama,76.2628239560412,01,125,32.3
Walker County,Alabama,70.3120931463706,01,127,42.3
Washington County,Alabama,74.379913964713,01,129,43.5
Wilcox County,Alabama,71.4192185766012,01,131,40.5
Winston County,Alabama,74.31731572053,01,133,44.6
Anchorage Municipality,Alaska,78.8427395859197,02,020,33.1
Bethel Census Area,Alaska,72.3773195918739,02,050,26.9
Bristol Bay Borough,Alaska,75.8312576360195,02,060,41.8
Fairbanks North Star Borough,Alaska,79.8531882449376,02,090,31.0
Haines Borough,Alaska,81.6301311834033,02,100,45.0
Juneau City and Borough,Alaska,80.4330971073059,02,110,38.0
Kenai Peninsula Borough,Alaska,78.3677604150779,02,122,40.6
Kodiak Island Borough,Alaska,79.8324510978969,02,150,33.1
Matanuska-Susitna Borough,Alaska,78.4961228596649,02,170,34.9
Nome Census Area,Alaska,70.4964319256222,02,180,27.9
North Slope Borough,Alaska,75.4604638102837,02,185,34.6
Sitka City and Borough,Alaska,80.0877625456278,02,220,38.9
Southeast Fairbanks Census Area,Alaska,77.3779098522792,02,240,36.6
Valdez-Cordova Census Area,Alaska,78.9328153281328,02,261,40.0
Wade Hampton Census Area,Alaska,67.9859126754132,02,270,
Northwest Arctic Borough,Alaska,72.237114207438,02,188,26.6
Aleutians East Borough,Alaska,84.1950647120622,02,013,42.7
Aleutians West Census Area,Alaska,84.1950647120622,02,016,37.7
Dillingham Census Area,Alaska,73.937488710631,02,070,30.1
Lake and Peninsula Borough,Alaska,73.937488710631,02,164,32.3
Denali Borough,Alaska,73.9553492576129,02,068,38.4
Yukon-Koyukuk Census Area,Alaska,73.9553492576129,02,290,34.7
Hoonah-Angoon Census Area,Alaska,80.749870087287,02,105,48.9
Skagway Municipality,Alaska,80.749870087287,02,230,42.9
Yakutat City and Borough,Alaska,80.749870087287,02,282,39.4
Ketchikan Gateway Borough,Alaska,78.870520839502,02,130,39.5
Petersburg Borough,Alaska,78.870520839502,02,195,41.7
Prince of Wales-Hyder Census Area,Alaska,78.870520839502,02,198,41.0
Wrangell City and Borough,Alaska,78.870520839502,02,275,49.1
Apache County,Arizona,72.2408515337713,04,001,34.2
Cochise County,Arizona,77.7961940778469,04,003,40.5
Coconino County,Arizona,78.5702279856415,04,005,30.6
Gila County,Arizona,74.1269913666399,04,007,49.3
Graham County,Arizona,76.9440705172127,04,009,33.1
Greenlee County,Arizona,78.1978326048683,04,011,33.4
Maricopa County,Arizona,79.6563218537266,04,013,36.0
Mohave County,Arizona,74.9338228939162,04,015,50.4
Navajo County,Arizona,73.8300467164729,04,017,35.9
Pima County,Arizona,78.6548008107775,04,019,38.2
Pinal County,Arizona,80.8637745945733,04,021,38.5
Santa Cruz County,Arizona,81.5659007827293,04,023,36.6
Yavapai County,Arizona,78.0019889385203,04,025,52.2
La Paz County,Arizona,81.1244263390012,04,012,56.0
Yuma County,Arizona,81.1244263390012,04,027,34.1
Arkansas County,Arkansas,73.5043452669212,05,001,40.9
Ashley County,Arkansas,73.9253722421542,05,003,41.8
Baxter County,Arkansas,75.9597914129396,05,005,51.8
Benton County,Arkansas,79.3162674700135,05,007,35.2
Boone County,Arkansas,76.1204721411668,05,009,42.2
Bradley County,Arkansas,73.6787408686852,05,011,40.6
Calhoun County,Arkansas,74.5306926339902,05,013,45.2
Carroll County,Arkansas,76.8382013939385,05,015,44.6
Chicot County,Arkansas,73.3117463375035,05,017,43.3
Clark County,Arkansas,75.5224420894244,05,019,33.8
Clay County,Arkansas,72.8559680875974,05,021,43.4
Cleburne County,Arkansas,75.7051992678076,05,023,48.9
Cleveland County,Arkansas,74.8589626853021,05,025,42.6
Columbia County,Arkansas,74.1079710416384,05,027,36.2
Conway County,Arkansas,74.695878166784,05,029,41.2
Craighead County,Arkansas,76.2037097312571,05,031,34.0
Crawford County,Arkansas,75.7157396241204,05,033,38.7
Crittenden County,Arkansas,72.6251939385932,05,035,35.0
Cross County,Arkansas,73.1602124341335,05,037,40.7
Dallas County,Arkansas,73.3735532648729,05,039,43.7
Desha County,Arkansas,72.4752962604024,05,041,40.2
Drew County,Arkansas,75.0673773726032,05,043,36.5
Faulkner County,Arkansas,76.4182309752644,05,045,32.3
Franklin County,Arkansas,74.4373222870369,05,047,41.4
Fulton County,Arkansas,74.9193229812661,05,049,48.1
Garland County,Arkansas,74.6309366391751,05,051,44.7
Grant County,Arkansas,75.3698091973697,05,053,39.9
Greene County,Arkansas,74.0996452052536,05,055,37.7
Hempstead County,Arkansas,75.1266368361279,05,057,38.9
Hot Spring County,Arkansas,74.2281769368533,05,059,41.7
Howard County,Arkansas,73.8919511396459,05,061,38.5
Independence County,Arkansas,75.5988097794403,05,063,39.8
Izard County,Arkansas,75.2554983306065,05,065,48.0
