County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Families (Single Mother)
Autauga County,Alabama,75.836928054027,01,001,1654
Baldwin County,Alabama,77.8587885068867,01,003,4376
Barbour County,Alabama,75.6039658679806,01,005,1003
Bibb County,Alabama,73.8813807110977,01,007,589
Blount County,Alabama,75.6352536319274,01,009,1214
Bullock County,Alabama,74.4021306908516,01,011,366
Butler County,Alabama,73.935514642706,01,013,852
Calhoun County,Alabama,73.6916993651565,01,015,3323
Chambers County,Alabama,74.3709084353389,01,017,1473
Cherokee County,Alabama,74.7690226049665,01,019,800
Chilton County,Alabama,74.2037941937705,01,021,1185
Choctaw County,Alabama,74.7667739361553,01,023,382
Clarke County,Alabama,75.3078949980348,01,025,1053
Clay County,Alabama,74.5125281044463,01,027,502
Cleburne County,Alabama,74.2119718397456,01,029,329
Coffee County,Alabama,76.8029854382398,01,031,1600
Colbert County,Alabama,74.7012544694018,01,033,1461
Conecuh County,Alabama,73.8578396157111,01,035,455
Coosa County,Alabama,75.0708584990442,01,037,257
Covington County,Alabama,74.939706372746,01,039,1283
Crenshaw County,Alabama,74.4540874550923,01,041,468
Cullman County,Alabama,74.9509513238576,01,043,2055
Dale County,Alabama,76.1296959155196,01,045,1585
Dallas County,Alabama,72.2967105227705,01,047,2175
DeKalb County,Alabama,74.7966732959206,01,049,1327
Elmore County,Alabama,75.8412881424909,01,051,2122
Escambia County,Alabama,73.8523605614612,01,053,1325
Etowah County,Alabama,73.3079475598584,01,055,3107
Fayette County,Alabama,74.057058159905,01,057,455
Franklin County,Alabama,73.349841367943,01,059,726
Geneva County,Alabama,75.2540134208833,01,061,831
Greene County,Alabama,74.5251950347399,01,063,394
Hale County,Alabama,74.2120689147012,01,065,851
Henry County,Alabama,75.9013490151937,01,067,491
Houston County,Alabama,76.6049969181304,01,069,3697
Jackson County,Alabama,73.6075996652594,01,071,1206
Jefferson County,Alabama,75.0012975222472,01,073,24631
Lamar County,Alabama,74.594659571128,01,075,501
Lauderdale County,Alabama,76.2574810844103,01,077,2414
Lawrence County,Alabama,74.025639809588,01,079,950
Lee County,Alabama,77.641756133286,01,081,3412
Limestone County,Alabama,77.4567118555822,01,083,2159
Lowndes County,Alabama,72.451572085185,01,085,545
Macon County,Alabama,73.4913418644572,01,087,1103
Madison County,Alabama,77.772209501297,01,089,9008
Marengo County,Alabama,74.1333674215399,01,091,883
Marion County,Alabama,74.2996624676483,01,093,871
Marshall County,Alabama,74.2650814854454,01,095,2545
Mobile County,Alabama,75.0140519651065,01,097,15334
Monroe County,Alabama,74.9403376152072,01,099,828
Montgomery County,Alabama,76.0742035748331,01,101,10905
Morgan County,Alabama,75.7687418754051,01,103,3451
Perry County,Alabama,72.4458737373582,01,105,470
Pickens County,Alabama,74.3989386831643,01,107,943
Pike County,Alabama,75.3843799599901,01,109,1322
Randolph County,Alabama,74.6272688359767,01,111,771
Russell County,Alabama,74.4625975354371,01,113,2479
Saint Clair County,Alabama,75.1354509099959,01,115,1879
Shelby County,Alabama,79.7687496224489,01,117,4084
Sumter County,Alabama,74.3343686399483,01,119,638
Talladega County,Alabama,73.6825216143372,01,121,3043
Tallapoosa County,Alabama,75.2077207940106,01,123,1287
Tuscaloosa County,Alabama,76.1412472106416,01,125,5668
Walker County,Alabama,70.8637922877104,01,127,1848
Washington County,Alabama,74.6734179457892,01,129,359
Wilcox County,Alabama,72.2374261679305,01,131,495
Winston County,Alabama,74.2153646411101,01,133,518
Anchorage Municipality,Alaska,78.7538192744483,02,020,8396
Bethel Census Area,Alaska,72.9162299270473,02,050,315
Bristol Bay Borough,Alaska,75.4655368308601,02,060,24
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,2480
Haines Borough,Alaska,80.3402659326086,02,100,51
Juneau City and Borough,Alaska,79.7513085001443,02,110,838
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,1254
Kodiak Island Borough,Alaska,79.2674018916655,02,150,341
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,1835
Nome Census Area,Alaska,71.0874958002656,02,180,352
North Slope Borough,Alaska,75.2725719185953,02,185,256
Sitka City and Borough,Alaska,79.5125431994159,02,220,206
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,116
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,241
Wade Hampton Census Area,Alaska,69.129042588567,02,270,273
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,213
Aleutians East Borough,Alaska,83.5166512642875,02,013,43
Aleutians West Census Area,Alaska,83.5166512642875,02,016,53
Dillingham Census Area,Alaska,73.7920691867546,02,070,105
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,62
Denali Borough,Alaska,73.5699219653651,02,068,7
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,204
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,43
Skagway Municipality,Alaska,80.374241032238,02,230,6
Yakutat City and Borough,Alaska,80.374241032238,02,282,27
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,349
Petersburg Borough,Alaska,78.2808420907731,02,195,73
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,186
Wrangell City and Borough,Alaska,78.2808420907731,02,275,81
Apache County,Arizona,73.5831561418625,04,001,1891
Cochise County,Arizona,78.5093583618516,04,003,3669
Coconino County,Arizona,79.1783967754568,04,005,3489
Gila County,Arizona,75.4683450305506,04,007,1062
Graham County,Arizona,77.4666536416568,04,009,843
Greenlee County,Arizona,78.6626921330292,04,011,218
Maricopa County,Arizona,80.2239065499369,04,013,108137
Mohave County,Arizona,75.5732188036138,04,015,3925
Navajo County,Arizona,75.2513758313513,04,017,3495
Pima County,Arizona,79.2068381779827,04,019,27001
Pinal County,Arizona,80.9037956408188,04,021,8490
Santa Cruz County,Arizona,82.0079464280884,04,023,1553
Yavapai County,Arizona,78.6615151890778,04,025,3869
La Paz County,Arizona,81.3901815824637,04,012,569
Yuma County,Arizona,81.3901815824637,04,027,6516
Arkansas County,Arkansas,73.8156973399201,05,001,512
Ashley County,Arkansas,74.527033712992,05,003,709
Baxter County,Arkansas,76.2122281368992,05,005,913
Benton County,Arkansas,79.3617722496715,05,007,4990
Boone County,Arkansas,76.5714079641579,05,009,999
Bradley County,Arkansas,73.9928167351683,05,011,328
Calhoun County,Arkansas,75.0101834551434,05,013,129
Carroll County,Arkansas,76.9212348790936,05,015,654
Chicot County,Arkansas,73.4958825931558,05,017,487
Clark County,Arkansas,75.4277256789478,05,019,712
Clay County,Arkansas,73.4772580278363,05,021,421
Cleburne County,Arkansas,76.4332102428103,05,023,574
Cleveland County,Arkansas,75.3899386050606,05,025,268
Columbia County,Arkansas,74.4778597853245,05,027,1079
Conway County,Arkansas,75.3211173537385,05,029,768
Craighead County,Arkansas,76.1849034187585,05,031,3482
Crawford County,Arkansas,75.6323094688717,05,033,1781
Crittenden County,Arkansas,73.0807663455022,05,035,2742
Cross County,Arkansas,73.6102929568663,05,037,531
Dallas County,Arkansas,73.9447963982835,05,039,149
Desha County,Arkansas,73.1929803551693,05,041,663
Drew County,Arkansas,75.6142342376879,05,043,746
Faulkner County,Arkansas,76.874980748974,05,045,3035
Franklin County,Arkansas,74.8461541973117,05,047,400
Fulton County,Arkansas,75.4429142733183,05,049,238
Garland County,Arkansas,75.0982760087787,05,051,2664
Grant County,Arkansas,75.6273873667791,05,053,368
Greene County,Arkansas,74.4557946872778,05,055,1150
Hempstead County,Arkansas,75.0798934829681,05,057,890
Hot Spring County,Arkansas,74.7699312058851,05,059,807
Howard County,Arkansas,74.3104978429413,05,061,650
Independence County,Arkansas,75.55292051348,05,063,1117
Izard County,Arkansas,75.6857060417369,05,065,318
Jackson County,Arkansas,73.5645257013294,05,067,500
Jefferson County,Arkansas,73.8804417043154,05,069,3027
Johnson County,Arkansas,76.0679421315981,05,071,676
Lafayette County,Arkansas,73.9732457610778,05,073,187
Lawrence County,Arkansas,74.1944235430574,05,075,299
Lee County,Arkansas,73.6656526371685,05,077,349
Lincoln County,Arkansas,75.6620100556507,05,079,509
Little River County,Arkansas,74.1904867610063,05,081,455
Logan County,Arkansas,74.7110052677721,05,083,530
Lonoke County,Arkansas,75.2681135595378,05,085,1978
Madison County,Arkansas,75.5147457725886,05,087,291
Marion County,Arkansas,75.4990392659523,05,089,215
Miller County,Arkansas,74.9160232473299,05,091,1355
Mississippi County,Arkansas,72.3314425790971,05,093,1931
Monroe County,Arkansas,72.9273164936148,05,095,225
Montgomery County,Arkansas,76.1909321334472,05,097,182
Nevada County,Arkansas,74.3108502571174,05,099,287
