County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%)
Autauga County,Alabama,76.5932651350438,01,001,88.5
Baldwin County,Alabama,78.2935223384932,01,003,90.8
Barbour County,Alabama,74.8145320945807,01,005,73.2
Bibb County,Alabama,73.9200538034534,01,007,79.1
Blount County,Alabama,75.0291855488467,01,009,80.5
Bullock County,Alabama,73.9493288862537,01,011,74.7
Butler County,Alabama,74.1389189035864,01,013,85.0
Calhoun County,Alabama,73.5629066906819,01,015,84.4
Chambers County,Alabama,74.7026464205289,01,017,81.6
Cherokee County,Alabama,74.6131502945787,01,019,81.6
Chilton County,Alabama,74.5859698133504,01,021,81.8
Choctaw County,Alabama,74.6284355949225,01,023,81.4
Clarke County,Alabama,75.0999434901388,01,025,80.6
Clay County,Alabama,74.701948975265,01,027,76.7
Cleburne County,Alabama,74.7558638422596,01,029,79.0
Coffee County,Alabama,76.3997264684506,01,031,85.9
Colbert County,Alabama,74.5331789579054,01,033,85.2
Conecuh County,Alabama,73.8841768203255,01,035,84.3
Coosa County,Alabama,75.7384814528474,01,037,80.0
Covington County,Alabama,74.2115895055701,01,039,83.4
Crenshaw County,Alabama,74.3548048141269,01,041,79.2
Cullman County,Alabama,74.5626540622359,01,043,81.6
Dale County,Alabama,75.5818368193645,01,045,86.1
Dallas County,Alabama,72.4762524056376,01,047,81.8
DeKalb County,Alabama,74.9432497939268,01,049,74.8
Elmore County,Alabama,76.2158567842262,01,051,86.6
Escambia County,Alabama,73.3131687800953,01,053,81.1
Etowah County,Alabama,73.3604926263926,01,055,84.6
Fayette County,Alabama,74.0421749009191,01,057,82.6
Franklin County,Alabama,74.0661703364282,01,059,77.2
Geneva County,Alabama,74.3981355513722,01,061,80.3
Greene County,Alabama,74.0544180583619,01,063,79.2
Hale County,Alabama,74.195380885004,01,065,84.0
Henry County,Alabama,75.6447400375483,01,067,79.4
Houston County,Alabama,76.2430325268057,01,069,86.0
Jackson County,Alabama,73.6828553298684,01,071,83.2
Jefferson County,Alabama,74.8621541773249,01,073,90.1
Lamar County,Alabama,74.8683149184064,01,075,82.3
Lauderdale County,Alabama,76.2969405417653,01,077,87.4
Lawrence County,Alabama,74.0450227399105,01,079,79.3
Lee County,Alabama,77.9139576690325,01,081,90.9
Limestone County,Alabama,77.6675828538061,01,083,84.7
Lowndes County,Alabama,72.074118169288,01,085,78.3
Macon County,Alabama,73.257603254685,01,087,81.8
Madison County,Alabama,77.7641916190152,01,089,91.7
Marengo County,Alabama,73.5254347483341,01,091,83.8
Marion County,Alabama,74.6258695781583,01,093,79.6
Marshall County,Alabama,74.5877863503167,01,095,81.6
Mobile County,Alabama,75.3368060857871,01,097,86.5
Monroe County,Alabama,75.1270770002995,01,099,85.6
Montgomery County,Alabama,76.4216275471708,01,101,86.7
Morgan County,Alabama,75.4863635328123,01,103,84.1
Perry County,Alabama,73.1742532055544,01,105,82.8
Pickens County,Alabama,74.8142448398232,01,107,81.5
Pike County,Alabama,75.2422168626359,01,109,85.0
Randolph County,Alabama,74.6401983680838,01,111,79.6
Russell County,Alabama,73.8179782797389,01,113,83.8
Saint Clair County,Alabama,75.2553895649825,01,115,84.6
Shelby County,Alabama,80.4641938071101,01,117,92.7
Sumter County,Alabama,74.9804619366111,01,119,86.7
Talladega County,Alabama,73.8695996345704,01,121,80.3
Tallapoosa County,Alabama,75.1740848507411,01,123,80.7
Tuscaloosa County,Alabama,76.6889893454644,01,125,88.3
Walker County,Alabama,70.6271114963763,01,127,81.8
Washington County,Alabama,74.8365149840162,01,129,82.6
Wilcox County,Alabama,71.8708091393013,01,131,76.5
Winston County,Alabama,74.940147608181,01,133,78.8
Anchorage Municipality,Alaska,79.3865194176634,02,020,93.9
Bethel Census Area,Alaska,72.7950243111552,02,050,80.9
Bristol Bay Borough,Alaska,76.6332466885107,02,060,94.0
Fairbanks North Star Borough,Alaska,80.6262503620013,02,090,94.5
Haines Borough,Alaska,83.0150521479304,02,100,97.5
