County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Families
Autauga County,Alabama,75.836928054027,01,001,14132
Baldwin County,Alabama,77.8587885068867,01,003,51903
Barbour County,Alabama,75.6039658679806,01,005,6062
Bibb County,Alabama,73.8813807110977,01,007,5337
Blount County,Alabama,75.6352536319274,01,009,15667
Bullock County,Alabama,74.4021306908516,01,011,2389
Butler County,Alabama,73.935514642706,01,013,5346
Calhoun County,Alabama,73.6916993651565,01,015,29999
Chambers County,Alabama,74.3709084353389,01,017,8999
Cherokee County,Alabama,74.7690226049665,01,019,8384
Chilton County,Alabama,74.2037941937705,01,021,12109
Choctaw County,Alabama,74.7667739361553,01,023,3552
Clarke County,Alabama,75.3078949980348,01,025,6219
Clay County,Alabama,74.5125281044463,01,027,3920
Cleburne County,Alabama,74.2119718397456,01,029,4036
Coffee County,Alabama,76.8029854382398,01,031,12998
Colbert County,Alabama,74.7012544694018,01,033,15112
Conecuh County,Alabama,73.8578396157111,01,035,3438
Coosa County,Alabama,75.0708584990442,01,037,2891
Covington County,Alabama,74.939706372746,01,039,10292
Crenshaw County,Alabama,74.4540874550923,01,041,3700
Cullman County,Alabama,74.9509513238576,01,043,22418
Dale County,Alabama,76.1296959155196,01,045,12785
Dallas County,Alabama,72.2967105227705,01,047,9770
DeKalb County,Alabama,74.7966732959206,01,049,18179
Elmore County,Alabama,75.8412881424909,01,051,20863
Escambia County,Alabama,73.8523605614612,01,053,9321
Etowah County,Alabama,73.3079475598584,01,055,27863
Fayette County,Alabama,74.057058159905,01,057,4814
Franklin County,Alabama,73.349841367943,01,059,8797
Geneva County,Alabama,75.2540134208833,01,061,7684
Greene County,Alabama,74.5251950347399,01,063,1991
Hale County,Alabama,74.2120689147012,01,065,3923
Henry County,Alabama,75.9013490151937,01,067,4835
Houston County,Alabama,76.6049969181304,01,069,26581
Jackson County,Alabama,73.6075996652594,01,071,14635
Jefferson County,Alabama,75.0012975222472,01,073,166244
Lamar County,Alabama,74.594659571128,01,075,4435
Lauderdale County,Alabama,76.2574810844103,01,077,25263
Lawrence County,Alabama,74.025639809588,01,079,9576
Lee County,Alabama,77.641756133286,01,081,33438
Limestone County,Alabama,77.4567118555822,01,083,23059
Lowndes County,Alabama,72.451572085185,01,085,2621
Macon County,Alabama,73.4913418644572,01,087,5079
Madison County,Alabama,77.772209501297,01,089,87328
Marengo County,Alabama,74.1333674215399,01,091,5734
Marion County,Alabama,74.2996624676483,01,093,8912
Marshall County,Alabama,74.2650814854454,01,095,24209
Mobile County,Alabama,75.0140519651065,01,097,104815
Monroe County,Alabama,74.9403376152072,01,099,5653
Montgomery County,Alabama,76.0742035748331,01,101,57030
Morgan County,Alabama,75.7687418754051,01,103,31975
Perry County,Alabama,72.4458737373582,01,105,2307
Pickens County,Alabama,74.3989386831643,01,107,5221
Pike County,Alabama,75.3843799599901,01,109,7900
Randolph County,Alabama,74.6272688359767,01,111,6133
Russell County,Alabama,74.4625975354371,01,113,13510
Saint Clair County,Alabama,75.1354509099959,01,115,23181
Shelby County,Alabama,79.7687496224489,01,117,53404
Sumter County,Alabama,74.3343686399483,01,119,3179
Talladega County,Alabama,73.6825216143372,01,121,22367
Tallapoosa County,Alabama,75.2077207940106,01,123,11634
Tuscaloosa County,Alabama,76.1412472106416,01,125,44487
Walker County,Alabama,70.8637922877104,01,127,18082
Washington County,Alabama,74.6734179457892,01,129,4834
Wilcox County,Alabama,72.2374261679305,01,131,2572
Winston County,Alabama,74.2153646411101,01,133,6560
Anchorage Municipality,Alaska,78.7538192744483,02,020,69974
Bethel Census Area,Alaska,72.9162299270473,02,050,3226
Bristol Bay Borough,Alaska,75.4655368308601,02,060,261
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,22895
Haines Borough,Alaska,80.3402659326086,02,100,673
Juneau City and Borough,Alaska,79.7513085001443,02,110,8012
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,14479
Kodiak Island Borough,Alaska,79.2674018916655,02,150,3403
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,22437
Nome Census Area,Alaska,71.0874958002656,02,180,2077
North Slope Borough,Alaska,75.2725719185953,02,185,1432
Sitka City and Borough,Alaska,79.5125431994159,02,220,2308
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,1563
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,2571
Wade Hampton Census Area,Alaska,69.129042588567,02,270,1451
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,1464
Aleutians East Borough,Alaska,83.5166512642875,02,013,279
Aleutians West Census Area,Alaska,83.5166512642875,02,016,623
Dillingham Census Area,Alaska,73.7920691867546,02,070,875
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,381
Denali Borough,Alaska,73.5699219653651,02,068,414
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,1222
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,578
Skagway Municipality,Alaska,80.374241032238,02,230,228
Yakutat City and Borough,Alaska,80.374241032238,02,282,161
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,3343
Petersburg Borough,Alaska,78.2808420907731,02,195,955
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,1436
Wrangell City and Borough,Alaska,78.2808420907731,02,275,646
Apache County,Arizona,73.5831561418625,04,001,12996
Cochise County,Arizona,78.5093583618516,04,003,32607
Coconino County,Arizona,79.1783967754568,04,005,29860
Gila County,Arizona,75.4683450305506,04,007,13546
Graham County,Arizona,77.4666536416568,04,009,8050
Greenlee County,Arizona,78.6626921330292,04,011,2431
Maricopa County,Arizona,80.2239065499369,04,013,930395
Mohave County,Arizona,75.5732188036138,04,015,51645
Navajo County,Arizona,75.2513758313513,04,017,24763
Pima County,Arizona,79.2068381779827,04,019,238028
Pinal County,Arizona,80.9037956408188,04,021,89831
Santa Cruz County,Arizona,82.0079464280884,04,023,11376
Yavapai County,Arizona,78.6615151890778,04,025,56865
La Paz County,Arizona,81.3901815824637,04,012,6348
Yuma County,Arizona,81.3901815824637,04,027,54380
Arkansas County,Arkansas,73.8156973399201,05,001,5206
Ashley County,Arkansas,74.527033712992,05,003,6078
Baxter County,Arkansas,76.2122281368992,05,005,12120
Benton County,Arkansas,79.3617722496715,05,007,61061
Boone County,Arkansas,76.5714079641579,05,009,10732
Bradley County,Arkansas,73.9928167351683,05,011,3234
Calhoun County,Arkansas,75.0101834551434,05,013,1357
Carroll County,Arkansas,76.9212348790936,05,015,7501
Chicot County,Arkansas,73.4958825931558,05,017,2942
Clark County,Arkansas,75.4277256789478,05,019,5354
Clay County,Arkansas,73.4772580278363,05,021,4397
Cleburne County,Arkansas,76.4332102428103,05,023,7166
