County,State,mean_life_expectancy,State_FIPS,County_FIPS,Hispanic Population
Autauga County,Alabama,75.8778642323899,01,001,1416.0
Baldwin County,Alabama,77.9130697620398,01,003,8712.0
Barbour County,Alabama,74.9198636240141,01,005,1147.0
Bibb County,Alabama,73.6673305057905,01,007,502.0
Blount County,Alabama,75.0352199305904,01,009,5036.0
Bullock County,Alabama,74.0743945438457,01,011,13.0
Butler County,Alabama,73.7224421194177,01,013,253.0
Calhoun County,Alabama,73.2983281711204,01,015,3982.0
Chambers County,Alabama,74.35653924479,01,017,148.0
Cherokee County,Alabama,74.35852627411,01,019,405.0
Chilton County,Alabama,74.0413531729133,01,021,3341.0
Choctaw County,Alabama,74.2486999564165,01,023,74.0
Clarke County,Alabama,74.5765529742926,01,025,43.0
Clay County,Alabama,74.369383765865,01,027,419.0
Cleburne County,Alabama,73.9771106499581,01,029,349.0
Coffee County,Alabama,76.3011829926155,01,031,3344.0
Colbert County,Alabama,74.3929774045908,01,033,1306.0
Conecuh County,Alabama,73.4218703928667,01,035,224.0
Coosa County,Alabama,75.1413818724986,01,037,140.0
Covington County,Alabama,74.1371294582595,01,039,578.0
Crenshaw County,Alabama,74.0180136364953,01,041,234.0
Cullman County,Alabama,74.3769894915807,01,043,3426.0
Dale County,Alabama,75.5523047608571,01,045,2921.0
Dallas County,Alabama,71.9735127187965,01,047,397.0
DeKalb County,Alabama,74.4934976817947,01,049,9942.0
Elmore County,Alabama,75.7757161449512,01,051,2268.0
Escambia County,Alabama,73.1630074988594,01,053,780.0
Etowah County,Alabama,73.053355135026,01,055,3752.0
Fayette County,Alabama,73.6581554932797,01,057,144.0
Franklin County,Alabama,73.3754326341656,01,059,5057.0
Geneva County,Alabama,74.4234456628163,01,061,992.0
Greene County,Alabama,73.9562928242995,01,063,53.0
Hale County,Alabama,73.7872404003688,01,065,183.0
Henry County,Alabama,75.4295227396512,01,067,435.0
Houston County,Alabama,76.107335428337,01,069,3311.0
Jackson County,Alabama,73.4224281684067,01,071,1435.0
Jefferson County,Alabama,74.6861744174914,01,073,24316.0
Lamar County,Alabama,74.3621045612881,01,075,201.0
Lauderdale County,Alabama,76.0319979262066,01,077,2217.0
Lawrence County,Alabama,73.765357848758,01,079,691.0
Lee County,Alabama,77.5109882075979,01,081,5681.0
Limestone County,Alabama,77.2763641772968,01,083,5135.0
Lowndes County,Alabama,71.8951633690497,01,085,50.0
Macon County,Alabama,73.090134567349,01,087,324.0
Madison County,Alabama,77.5122550397981,01,089,16362.0
Marengo County,Alabama,73.54245764648,01,091,190.0
Marion County,Alabama,74.0145601745605,01,093,726.0
Marshall County,Alabama,74.0554552221729,01,095,12210.0
Mobile County,Alabama,74.8448680449495,01,097,10957.0
Monroe County,Alabama,74.7048197454091,01,099,136.0
Montgomery County,Alabama,75.9247713547993,01,101,7530.0
Morgan County,Alabama,75.2816176346909,01,103,9339.0
Perry County,Alabama,72.2207426684408,01,105,94.0
Pickens County,Alabama,74.3841278449026,01,107,486.0
Pike County,Alabama,74.9075976437267,01,109,730.0
Randolph County,Alabama,74.1995203731576,01,111,661.0
Russell County,Alabama,73.8166201926909,01,113,2974.0
Saint Clair County,Alabama,74.931099486946,01,115,1961.0
Shelby County,Alabama,79.9329869213868,01,117,11861.0
Sumter County,Alabama,74.3710053760309,01,119,39.0
Talladega County,Alabama,73.4265194965138,01,121,1752.0
Tallapoosa County,Alabama,74.8367340685609,01,123,988.0
Tuscaloosa County,Alabama,76.1222396683925,01,125,6666.0
Walker County,Alabama,70.313647599106,01,127,1483.0
Washington County,Alabama,74.2666042086814,01,129,219.0
Wilcox County,Alabama,71.4893330327934,01,131,62.0
Winston County,Alabama,74.3483369616355,01,133,700.0
Anchorage Municipality,Alaska,78.9414080782189,02,020,26091.0
Bethel Census Area,Alaska,72.4470915674431,02,050,359.0
Bristol Bay Borough,Alaska,75.6282235384974,02,060,46.0
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,7486.0
Haines Borough,Alaska,81.3439033397237,02,100,41.0
Juneau City and Borough,Alaska,80.1511541046263,02,110,2048.0
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,2214.0
Kodiak Island Borough,Alaska,79.6808969333594,02,150,1211.0
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,4463.0
Nome Census Area,Alaska,70.7266373275761,02,180,212.0
North Slope Borough,Alaska,75.2944708808568,02,185,371.0
Sitka City and Borough,Alaska,80.0851648320793,02,220,556.0
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,353.0
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,444.0
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,163.0
Aleutians East Borough,Alaska,83.9668552562973,02,013,331.0
Aleutians West Census Area,Alaska,83.9668552562973,02,016,790.0
Dillingham Census Area,Alaska,73.902430273866,02,070,147.0
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,29.0
Denali Borough,Alaska,73.7545978405956,02,068,17.0
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,107.0
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,105.0
Skagway Municipality,Alaska,80.6333971268856,02,230,64.0
Yakutat City and Borough,Alaska,80.6333971268856,02,282,18.0
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,634.0
Petersburg Borough,Alaska,78.7599035617588,02,195,331.0
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,221.0
Wrangell City and Borough,Alaska,78.7599035617588,02,275,72.0
Apache County,Arizona,72.5861795747435,04,001,4303.0
Cochise County,Arizona,77.8381814457557,04,003,44097.0
Coconino County,Arizona,78.7310637809859,04,005,18930.0
Gila County,Arizona,74.5194372043746,04,007,9864.0
Graham County,Arizona,77.0588505436379,04,009,12046.0
Greenlee County,Arizona,78.2700423686553,04,011,4290.0
Maricopa County,Arizona,79.7975632543799,04,013,1238292.0
Mohave County,Arizona,75.0984277272029,04,015,31987.0
Navajo County,Arizona,74.0172421905699,04,017,11957.0
Pima County,Arizona,78.7473891386961,04,019,362265.0
Pinal County,Arizona,80.8872234047816,04,021,116072.0
Santa Cruz County,Arizona,81.6928524316121,04,023,38736.0
Yavapai County,Arizona,78.2013767088911,04,025,30722.0
La Paz County,Arizona,81.1323584179148,04,012,5316.0
Yuma County,Arizona,81.1323584179148,04,027,125972.0
Arkansas County,Arkansas,73.5078340747071,05,001,556.0
Ashley County,Arkansas,74.1018929294341,05,003,1080.0
Baxter County,Arkansas,75.9668160004689,05,005,836.0
Benton County,Arkansas,79.3662392360665,05,007,39405.0
Boone County,Arkansas,76.2052538764821,05,009,859.0
Bradley County,Arkansas,73.6321012263139,05,011,1573.0
Calhoun County,Arkansas,74.2742607709339,05,013,198.0
Carroll County,Arkansas,76.8819075049595,05,015,4021.0
Chicot County,Arkansas,73.3238474544558,05,017,578.0
Clark County,Arkansas,75.3882863851655,05,019,1013.0
Clay County,Arkansas,72.9811894014708,05,021,275.0
Cleburne County,Arkansas,75.8127585008705,05,023,615.0
Cleveland County,Arkansas,74.8939886154834,05,025,189.0
Columbia County,Arkansas,74.0855795655613,05,027,619.0
Conway County,Arkansas,74.754414371743,05,029,790.0
Craighead County,Arkansas,76.0817250967884,05,031,4856.0
Crawford County,Arkansas,75.6766406592927,05,033,4328.0
Crittenden County,Arkansas,72.5637861678559,05,035,1151.0
Cross County,Arkansas,73.2244878594942,05,037,322.0
Dallas County,Arkansas,73.4422555480321,05,039,229.0
Desha County,Arkansas,72.6462159118589,05,041,642.0
Drew County,Arkansas,75.1951468080834,05,043,551.0
Faulkner County,Arkansas,76.4874032503551,05,045,4754.0
Franklin County,Arkansas,74.4845723172756,05,047,501.0
Fulton County,Arkansas,74.9094662928843,05,049,158.0
Garland County,Arkansas,74.6472657226993,05,051,5064.0
Grant County,Arkansas,75.4770090781045,05,053,168.0
Greene County,Arkansas,74.1589164965496,05,055,1144.0
Hempstead County,Arkansas,75.1979646501176,05,057,2782.0
Hot Spring County,Arkansas,74.4999020548917,05,059,1093.0
Howard County,Arkansas,73.932743414837,05,061,1538.0
Independence County,Arkansas,75.597642844104,05,063,2221.0
Izard County,Arkansas,75.3232023880092,05,065,254.0
Jackson County,Arkansas,73.2755006173174,05,067,469.0
Jefferson County,Arkansas,73.3573657986794,05,069,1369.0
Johnson County,Arkansas,75.708328154088,05,071,3474.0
Lafayette County,Arkansas,74.1087285476435,05,073,71.0
Lawrence County,Arkansas,73.8666511091755,05,075,209.0
Lee County,Arkansas,73.2898101789483,05,077,144.0
Lincoln County,Arkansas,74.8737212942846,05,079,501.0
Little River County,Arkansas,74.0887659563583,05,081,404.0
Logan County,Arkansas,74.3392486202055,05,083,593.0
Lonoke County,Arkansas,74.8597538055158,05,085,2895.0
Madison County,Arkansas,75.3760684364268,05,087,827.0
Marion County,Arkansas,75.2302699143187,05,089,344.0
Miller County,Arkansas,74.464750313759,05,091,1266.0
Mississippi County,Arkansas,71.5808568937905,05,093,1725.0
Monroe County,Arkansas,72.5512464018065,05,095,181.0
Montgomery County,Arkansas,75.7333292628795,05,097,355.0
Nevada County,Arkansas,74.1305169224004,05,099,26.0
Newton County,Arkansas,76.8481553354379,05,101,86.0
Ouachita County,Arkansas,72.9330993978912,05,103,494.0
Perry County,Arkansas,74.9408602678681,05,105,243.0
Phillips County,Arkansas,71.0370074249924,05,107,332.0
Pike County,Arkansas,74.8391656898764,05,109,727.0
Poinsett County,Arkansas,71.2771472412706,05,111,665.0
Polk County,Arkansas,74.8970397900164,05,113,1278.0
Pope County,Arkansas,76.4300136434993,05,115,5175.0
Prairie County,Arkansas,75.5071739186967,05,117,34.0
Pulaski County,Arkansas,75.8807017523375,05,119,23294.0
Randolph County,Arkansas,74.4503944893886,05,121,312.0
Saint Francis County,Arkansas,74.2814678477732,05,123,1260.0
Saline County,Arkansas,77.1945795984751,05,125,4895.0
Scott County,Arkansas,74.7762367047787,05,127,786.0
Searcy County,Arkansas,75.209341850468,05,129,107.0
Sebastian County,Arkansas,75.7412578528108,05,131,17041.0
Sevier County,Arkansas,75.0335734317659,05,133,5560.0
Sharp County,Arkansas,73.8718009909941,05,135,355.0
Stone County,Arkansas,75.9810049570156,05,137,213.0
Union County,Arkansas,73.1547114216788,05,139,1486.0
Van Buren County,Arkansas,76.1235890134709,05,141,488.0
Washington County,Arkansas,77.842915624892,05,143,35554.0
White County,Arkansas,75.2602189004461,05,145,3214.0
Woodruff County,Arkansas,72.6191345768075,05,147,43.0
Yell County,Arkansas,74.3789291508417,05,149,4191.0
Alameda County,California,82.1501481156434,06,001,362070.0
Alpine County,California,78.7141694777777,06,003,92.0
Amador County,California,79.6289913494107,06,005,4822.0
Butte County,California,77.5105736588065,06,007,34503.0
Calaveras County,California,79.3962210334918,06,009,5028.0
Colusa County,California,79.8683726910953,06,011,12351.0
Contra Costa County,California,81.820905224195,06,013,277676.0
Del Norte County,California,75.3686655248315,06,015,5326.0
El Dorado County,California,81.4317611841157,06,017,22868.0
Fresno County,California,78.4598027402172,06,019,501136.0
Glenn County,California,77.4678250112228,06,021,11255.0
Humboldt County,California,76.7743480124378,06,023,14530.0
Imperial County,California,80.7733344280559,06,025,147880.0
Inyo County,California,79.2496428941011,06,027,3867.0
Kern County,California,77.1131579275637,06,029,449747.0
Kings County,California,79.3576346699736,06,031,79862.0
Lake County,California,74.8583185356204,06,033,12086.0
Lassen County,California,78.1832914319916,06,035,5880.0
Los Angeles County,California,81.5672419912865,06,037,4861648.0
Madera County,California,78.9932943575827,06,039,86265.0
Marin County,California,84.5696953393942,06,041,40943.0
Mariposa County,California,80.0692648230514,06,043,1789.0
Mendocino County,California,78.5297725160372,06,045,20955.0
Merced County,California,78.5160140959399,06,047,152475.0
Modoc County,California,77.3676287645249,06,049,1335.0
Mono County,California,84.9099794657506,06,051,3865.0
Monterey County,California,81.9215612488998,06,053,247084.0
Napa County,California,81.1717905624185,06,055,47164.0
Nevada County,California,81.0737790934898,06,057,9019.0
Orange County,California,82.5515884259936,06,059,1070553.0
Placer County,California,81.6415657950364,06,061,49904.0
Plumas County,California,78.4309252153192,06,063,1578.0
Riverside County,California,80.3460832691874,06,065,1102968.0
Sacramento County,California,79.0908345914297,06,067,332967.0
San Benito County,California,81.7030195794554,06,069,33864.0
San Bernardino County,California,78.3619715863638,06,071,1089104.0
San Diego County,California,81.6053443891293,06,073,1076319.0
