County,State,mean_life_expectancy,State_FIPS,County_FIPS,White Population
Autauga County,Alabama,76.0923839492951,01,001,43011.0
Baldwin County,Alabama,77.9590260303945,01,003,165673.0
Barbour County,Alabama,75.723760010315,01,005,12806.0
Bibb County,Alabama,74.0704786684836,01,007,17379.0
Blount County,Alabama,75.57623817677,01,009,54927.0
Bullock County,Alabama,73.9667452558383,01,011,2803.0
Butler County,Alabama,74.1879513563979,01,013,11204.0
Calhoun County,Alabama,73.7500629106712,01,015,88125.0
Chambers County,Alabama,74.4744393001101,01,017,19771.0
Cherokee County,Alabama,74.8083588255097,01,019,24207.0
Chilton County,Alabama,74.361687582335,01,021,37018.0
Choctaw County,Alabama,74.767407753043,01,023,7558.0
Clarke County,Alabama,75.234900184891,01,025,13613.0
Clay County,Alabama,74.7573360142862,01,027,11150.0
Cleburne County,Alabama,74.1228766542021,01,029,14095.0
Coffee County,Alabama,76.7812212244236,01,031,39064.0
Colbert County,Alabama,74.7421988900332,01,033,43356.0
Conecuh County,Alabama,73.8726045151823,01,035,6778.0
Coosa County,Alabama,75.2580877653134,01,037,7549.0
Covington County,Alabama,74.8659701913572,01,039,32025.0
Crenshaw County,Alabama,74.4189555245288,01,041,10007.0
Cullman County,Alabama,74.9300732935393,01,043,77079.0
Dale County,Alabama,75.9998085962609,01,045,37509.0
Dallas County,Alabama,72.1686309532854,01,047,12318.0
DeKalb County,Alabama,74.7318781453857,01,049,62960.0
Elmore County,Alabama,75.9399909370708,01,051,60602.0
Escambia County,Alabama,73.7808302047218,01,053,23633.0
Etowah County,Alabama,73.3708247850727,01,055,84904.0
Fayette County,Alabama,74.0659626546655,01,057,14663.0
Franklin County,Alabama,73.5137577154115,01,059,28420.0
Geneva County,Alabama,75.0218977493571,01,061,23215.0
Greene County,Alabama,74.4811078615176,01,063,1559.0
Hale County,Alabama,74.1560323615994,01,065,6133.0
Henry County,Alabama,75.7543594558265,01,067,12050.0
Houston County,Alabama,76.559115914522,01,069,72001.0
Jackson County,Alabama,73.5264035395202,01,071,48395.0
Jefferson County,Alabama,74.9798554080244,01,073,349052.0
Lamar County,Alabama,74.7116839103121,01,075,12460.0
Lauderdale County,Alabama,76.1300402688184,01,077,80695.0
Lawrence County,Alabama,73.989537746666,01,079,26344.0
Lee County,Alabama,77.5595991086487,01,081,104328.0
Limestone County,Alabama,77.4754459389285,01,083,70843.0
Lowndes County,Alabama,72.2634055675833,01,085,2820.0
Macon County,Alabama,73.4904632643591,01,087,3377.0
Madison County,Alabama,77.8536736827048,01,089,236921.0
Marengo County,Alabama,74.0363714016051,01,091,9623.0
Marion County,Alabama,74.4921559001086,01,093,28674.0
Marshall County,Alabama,74.1039393352051,01,095,87082.0
Mobile County,Alabama,75.1117597992232,01,097,249439.0
Monroe County,Alabama,75.0245488974323,01,099,12436.0
Montgomery County,Alabama,76.1126905968678,01,101,90109.0
Morgan County,Alabama,75.7548165522007,01,103,99065.0
Perry County,Alabama,72.5637425616024,01,105,3110.0
Pickens County,Alabama,74.4392811093029,01,107,11012.0
Pike County,Alabama,75.2623836523974,01,109,19497.0
Randolph County,Alabama,74.7053091696992,01,111,17491.0
Russell County,Alabama,74.3805861878772,01,113,30610.0
Saint Clair County,Alabama,75.1216644950582,01,115,75106.0
Shelby County,Alabama,79.9186609893026,01,117,164508.0
Sumter County,Alabama,74.4570441053706,01,119,3322.0
Talladega County,Alabama,73.6869492872818,01,121,53259.0
Tallapoosa County,Alabama,75.1270284243972,01,123,29076.0
Tuscaloosa County,Alabama,76.2841722904781,01,125,132211.0
Walker County,Alabama,70.7322477452283,01,127,60224.0
Washington County,Alabama,74.6503643642396,01,129,11225.0
Wilcox County,Alabama,72.0305770620779,01,131,3082.0
Winston County,Alabama,74.5222642002393,01,133,23330.0
Anchorage Municipality,Alaska,78.9022024656191,02,020,195593.0
Bethel Census Area,Alaska,72.9844076508492,02,050,2043.0
Bristol Bay Borough,Alaska,75.8752123759168,02,060,561.0
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,76755.0
Haines Borough,Alaska,81.5832545334811,02,100,2076.0
Juneau City and Borough,Alaska,80.0410654674188,02,110,22362.0
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,47751.0
Kodiak Island Borough,Alaska,79.5249195452452,02,150,7606.0
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,79273.0
Nome Census Area,Alaska,71.1118591784878,02,180,1690.0
North Slope Borough,Alaska,75.4534450228025,02,185,3156.0
Sitka City and Borough,Alaska,79.8800680903336,02,220,5897.0
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,5675.0
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,7086.0
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,317.0
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,921.0
Aleutians East Borough,Alaska,83.6895218542177,02,013,747.0
Aleutians West Census Area,Alaska,83.6895218542177,02,016,1849.0
Dillingham Census Area,Alaska,74.0829453697083,02,070,926.0
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,333.0
Denali Borough,Alaska,73.8895242313275,02,068,1780.0
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,1265.0
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,1065.0
Skagway Municipality,Alaska,80.6002714993476,02,230,792.0
Yakutat City and Borough,Alaska,80.6002714993476,02,282,240.0
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,9349.0
Petersburg Borough,Alaska,78.483859022547,02,195,2373.0
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,3000.0
Wrangell City and Borough,Alaska,78.483859022547,02,275,1714.0
Apache County,Arizona,73.5730101249103,04,001,16881.0
Cochise County,Arizona,78.4493453995009,04,003,104360.0
Coconino County,Arizona,79.1262342389113,04,005,84667.0
Gila County,Arizona,75.2769023094933,04,007,42170.0
Graham County,Arizona,77.4673057827607,04,009,28436.0
Greenlee County,Arizona,78.8069444314949,04,011,7590.0
Maricopa County,Arizona,80.1983661565339,04,013,3162279.0
Mohave County,Arizona,75.4575819953017,04,015,180836.0
Navajo County,Arizona,74.9438441304313,04,017,52875.0
Pima County,Arizona,79.1994643325826,04,019,782395.0
Pinal County,Arizona,81.00600317497,04,021,309920.0
Santa Cruz County,Arizona,82.1001879296229,04,023,35779.0
Yavapai County,Arizona,78.6665178423471,04,025,196410.0
La Paz County,Arizona,81.3387718155153,04,012,14617.0
Yuma County,Arizona,81.3387718155153,04,027,154867.0
Arkansas County,Arkansas,73.8595673933612,05,001,13643.0
Ashley County,Arkansas,74.4883652123264,05,003,15124.0
Baxter County,Arkansas,76.2516267748183,05,005,39830.0
Benton County,Arkansas,79.4059652057882,05,007,204379.0
Boone County,Arkansas,76.5795522414594,05,009,35846.0
Bradley County,Arkansas,74.0452396036787,05,011,6835.0
Calhoun County,Arkansas,75.0978238246715,05,013,3895.0
Carroll County,Arkansas,77.1207588475348,05,015,25845.0
Chicot County,Arkansas,73.7092556075907,05,017,4844.0
Clark County,Arkansas,75.5507566291671,05,019,16706.0
Clay County,Arkansas,73.4648065193879,05,021,15101.0
Cleburne County,Arkansas,76.2661790660477,05,023,25026.0
Cleveland County,Arkansas,75.3480894669705,05,025,7367.0
Columbia County,Arkansas,74.6838399967277,05,027,14641.0
Conway County,Arkansas,75.4448351198573,05,029,18145.0
Craighead County,Arkansas,76.2131160171002,05,031,82354.0
Crawford County,Arkansas,75.743439597931,05,033,56515.0
Crittenden County,Arkansas,73.0028156081488,05,035,23000.0
Cross County,Arkansas,73.6777390034632,05,037,13221.0
Dallas County,Arkansas,73.9263258901165,05,039,4422.0
Desha County,Arkansas,73.4276736608831,05,041,6209.0
Drew County,Arkansas,75.5138970499214,05,043,12961.0
Faulkner County,Arkansas,76.9073679000959,05,045,99701.0
Franklin County,Arkansas,75.0304629963768,05,047,17093.0
Fulton County,Arkansas,75.4479638785258,05,049,11854.0
Garland County,Arkansas,75.0910563247615,05,051,82155.0
Grant County,Arkansas,75.8549997601848,05,053,17064.0
Greene County,Arkansas,74.5883419533341,05,055,41459.0
Hempstead County,Arkansas,75.0816457515582,05,057,14841.0
Hot Spring County,Arkansas,74.674457659159,05,059,28644.0
Howard County,Arkansas,74.5248817797813,05,061,9398.0
Independence County,Arkansas,75.818962809451,05,063,34874.0
Izard County,Arkansas,75.5224554466382,05,065,12939.0
Jackson County,Arkansas,73.4906835570058,05,067,14208.0
Jefferson County,Arkansas,73.7452633122832,05,069,31287.0
Johnson County,Arkansas,76.0184647706335,05,071,23793.0
Lafayette County,Arkansas,74.2310473910241,05,073,4551.0
Lawrence County,Arkansas,74.1199788657354,05,075,16716.0
Lee County,Arkansas,73.7502943427827,05,077,4283.0
Lincoln County,Arkansas,75.4553403866795,05,079,9447.0
Little River County,Arkansas,74.1885922604194,05,081,9558.0
Logan County,Arkansas,74.7690105799881,05,083,20635.0
Lonoke County,Arkansas,75.2359220612144,05,085,62852.0
Madison County,Arkansas,75.6663513769671,05,087,14956.0
Marion County,Arkansas,75.5962916062646,05,089,15979.0
Miller County,Arkansas,74.8835906326357,05,091,31251.0
Mississippi County,Arkansas,72.1102865682895,05,093,28513.0
Monroe County,Arkansas,72.8831990296179,05,095,4431.0
Montgomery County,Arkansas,76.3127945367472,05,097,8776.0
Nevada County,Arkansas,74.2558254291586,05,099,5978.0
Newton County,Arkansas,77.256810854711,05,101,7755.0
Ouachita County,Arkansas,73.4859440403868,05,103,14580.0
Perry County,Arkansas,75.2161291747456,05,105,9784.0
Phillips County,Arkansas,71.3295020847569,05,107,7606.0
Pike County,Arkansas,75.3612335128047,05,109,10026.0
Poinsett County,Arkansas,71.8549037872847,05,111,21807.0
Polk County,Arkansas,75.2614485975633,05,113,18949.0
Pope County,Arkansas,76.6058991104863,05,115,56921.0
Prairie County,Arkansas,75.782559047161,05,117,7321.0
Pulaski County,Arkansas,76.1795129989355,05,119,230370.0
Randolph County,Arkansas,74.9895162117781,05,121,17160.0
Saint Francis County,Arkansas,74.2474039903728,05,123,12228.0
Saline County,Arkansas,77.3960857547918,05,125,101651.0
Scott County,Arkansas,75.2749649430301,05,127,9866.0
Searcy County,Arkansas,76.0184922982395,05,129,7721.0
Sebastian County,Arkansas,75.8356293882159,05,131,104542.0
Sevier County,Arkansas,75.1099628253174,05,133,11255.0
Sharp County,Arkansas,74.3655114172071,05,135,16417.0
Stone County,Arkansas,76.4680154726822,05,137,12350.0
Union County,Arkansas,73.531738985156,05,139,26552.0
Van Buren County,Arkansas,76.3230678398837,05,141,16347.0
Washington County,Arkansas,78.0525791787306,05,143,166745.0
White County,Arkansas,75.3684739400756,05,145,71425.0
Woodruff County,Arkansas,72.9691657863222,05,147,4951.0
Yell County,Arkansas,74.9489492833161,05,149,18599.0
Alameda County,California,81.9574601824784,06,001,707017.0
Alpine County,California,79.1446091671374,06,003,854.0
Amador County,California,79.8676286856863,06,005,32551.0
Butte County,California,77.9166897330305,06,007,185077.0
Calaveras County,California,79.7392007377838,06,009,41129.0
Colusa County,California,80.0718304385206,06,011,17439.0
Contra Costa County,California,81.7294599306854,06,013,671384.0
Del Norte County,California,75.9903836947179,06,015,21437.0
El Dorado County,California,81.4213825961216,06,017,158367.0
Fresno County,California,78.6231883737308,06,019,555967.0
Glenn County,California,77.838340878587,06,021,23858.0
Humboldt County,California,77.0034274971952,06,023,110595.0
Imperial County,California,80.9437764733412,06,025,120826.0
Inyo County,California,79.4013711406659,06,027,15267.0
Kern County,California,77.4155560118422,06,029,632452.0
Kings County,California,79.3394443531957,06,031,106922.0
Lake County,California,75.2601471981006,06,033,51591.0
Lassen County,California,78.5878680298779,06,035,24131.0
Los Angeles County,California,81.6088919970855,06,037,5329333.0
Madera County,California,79.0356091221892,06,039,125830.0
Marin County,California,84.3889101013875,06,041,203975.0
Mariposa County,California,80.4146626674398,06,043,15850.0
Mendocino County,California,78.7539965198557,06,045,72141.0
Merced County,California,78.7699495167401,06,047,168794.0
Modoc County,California,77.9703785616707,06,049,8396.0
Mono County,California,85.1387867187453,06,051,11993.0
Monterey County,California,82.0187429129939,06,053,319839.0
Napa County,California,81.1951616905384,06,055,107543.0
Nevada County,California,81.3087317219083,06,057,91335.0
Orange County,California,82.5275699941024,06,059,1942675.0
Placer County,California,81.5788607115974,06,061,303509.0
Plumas County,California,78.5240261319388,06,063,17273.0
Riverside County,California,80.5356107538776,06,065,1480532.0
Sacramento County,California,79.2359862466345,06,067,865905.0
San Benito County,California,81.8447025218421,06,069,48133.0
San Bernardino County,California,78.6008851539483,06,071,1306230.0
San Diego County,California,81.6354754382568,06,073,2259494.0
San Francisco County,California,82.7273768509478,06,075,410245.0
San Joaquin County,California,78.2052741778494,06,077,405458.0
San Luis Obispo County,California,81.4165855283812,06,079,231961.0
San Mateo County,California,83.8167556579334,06,081,417138.0
Santa Barbara County,California,81.762921966888,06,083,319490.0
Santa Clara County,California,83.7459727060519,06,085,907336.0
Santa Cruz County,California,81.7431879819541,06,087,215832.0
Shasta County,California,76.1366803244793,06,089,155559.0
Sierra County,California,79.1154203499916,06,091,2793.0
Siskiyou County,California,76.7123533175491,06,093,38114.0
Solano County,California,79.7765697132744,06,095,226669.0
Sonoma County,California,81.3537531397856,06,097,387044.0
Stanislaus County,California,78.0404081273513,06,099,396628.0
Sutter County,California,78.8647497761071,06,101,65256.0
Tehama County,California,77.6815646677451,06,103,54972.0
Trinity County,California,76.9779522244668,06,105,11917.0
Tulare County,California,78.2919831279741,06,107,365823.0
Tuolumne County,California,78.9180681770885,06,109,47833.0
Ventura County,California,81.8702489506106,06,111,649278.0
Yolo County,California,80.8212815975969,06,113,134790.0
Yuba County,California,75.9620177615393,06,115,51133.0
Alamosa County,Colorado,76.4520030136314,08,003,13666.0
Archuleta County,Colorado,81.4521899731809,08,007,10629.0
Baca County,Colorado,77.5486412990339,08,009,3575.0
