County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate
Autauga County,Alabama,76.5932651350438,01,001,15.2
Baldwin County,Alabama,78.2935223384932,01,003,10.4
Barbour County,Alabama,74.8145320945807,01,005,30.7
Bibb County,Alabama,73.9200538034534,01,007,18.1
Blount County,Alabama,75.0291855488467,01,009,13.6
Bullock County,Alabama,73.9493288862537,01,011,28.9
Butler County,Alabama,74.1389189035864,01,013,22.5
Calhoun County,Alabama,73.5629066906819,01,015,17.9
Chambers County,Alabama,74.7026464205289,01,017,17.3
Cherokee County,Alabama,74.6131502945787,01,019,13.9
Chilton County,Alabama,74.5859698133504,01,021,19.1
Choctaw County,Alabama,74.6284355949225,01,023,23.3
Clarke County,Alabama,75.0999434901388,01,025,23.2
Clay County,Alabama,74.701948975265,01,027,17.9
Cleburne County,Alabama,74.7558638422596,01,029,17.3
Coffee County,Alabama,76.3997264684506,01,031,15.1
Colbert County,Alabama,74.5331789579054,01,033,15.5
Conecuh County,Alabama,73.8841768203255,01,035,17.6
Coosa County,Alabama,75.7384814528474,01,037,13.5
Covington County,Alabama,74.2115895055701,01,039,18.6
Crenshaw County,Alabama,74.3548048141269,01,041,15.2
Cullman County,Alabama,74.5626540622359,01,043,14.9
Dale County,Alabama,75.5818368193645,01,045,17.6
Dallas County,Alabama,72.4762524056376,01,047,29.1
DeKalb County,Alabama,74.9432497939268,01,049,21.1
Elmore County,Alabama,76.2158567842262,01,051,11.5
Escambia County,Alabama,73.3131687800953,01,053,22.2
Etowah County,Alabama,73.3604926263926,01,055,17.4
Fayette County,Alabama,74.0421749009191,01,057,19.4
Franklin County,Alabama,74.0661703364282,01,059,19.4
Geneva County,Alabama,74.3981355513722,01,061,22.0
Greene County,Alabama,74.0544180583619,01,063,38.1
Hale County,Alabama,74.195380885004,01,065,24.2
Henry County,Alabama,75.6447400375483,01,067,13.8
Houston County,Alabama,76.2430325268057,01,069,18.2
Jackson County,Alabama,73.6828553298684,01,071,18.6
Jefferson County,Alabama,74.8621541773249,01,073,16.0
Lamar County,Alabama,74.8683149184064,01,075,20.6
Lauderdale County,Alabama,76.2969405417653,01,077,14.6
Lawrence County,Alabama,74.0450227399105,01,079,18.0
Lee County,Alabama,77.9139576690325,01,081,19.6
Limestone County,Alabama,77.6675828538061,01,083,13.6
Lowndes County,Alabama,72.074118169288,01,085,26.8
Macon County,Alabama,73.257603254685,01,087,24.4
Madison County,Alabama,77.7641916190152,01,089,12.5
Marengo County,Alabama,73.5254347483341,01,091,21.9
Marion County,Alabama,74.6258695781583,01,093,17.5
Marshall County,Alabama,74.5877863503167,01,095,20.3
Mobile County,Alabama,75.3368060857871,01,097,18.8
Monroe County,Alabama,75.1270770002995,01,099,27.9
Montgomery County,Alabama,76.4216275471708,01,101,19.4
Morgan County,Alabama,75.4863635328123,01,103,14.6
Perry County,Alabama,73.1742532055544,01,105,30.8
Pickens County,Alabama,74.8142448398232,01,107,22.7
Pike County,Alabama,75.2422168626359,01,109,24.4
Randolph County,Alabama,74.6401983680838,01,111,16.9
Russell County,Alabama,73.8179782797389,01,113,20.7
Saint Clair County,Alabama,75.2553895649825,01,115,12.2
Shelby County,Alabama,80.4641938071101,01,117,7.5
Sumter County,Alabama,74.9804619366111,01,119,31.8
Talladega County,Alabama,73.8695996345704,01,121,19.1
Tallapoosa County,Alabama,75.1740848507411,01,123,18.9
Tuscaloosa County,Alabama,76.6889893454644,01,125,17.7
Walker County,Alabama,70.6271114963763,01,127,18.1
Washington County,Alabama,74.8365149840162,01,129,21.1
Wilcox County,Alabama,71.8708091393013,01,131,30.1
Winston County,Alabama,74.940147608181,01,133,17.6
Anchorage Municipality,Alaska,79.3865194176634,02,020,9.0
Bethel Census Area,Alaska,72.7950243111552,02,050,28.3
Bristol Bay Borough,Alaska,76.6332466885107,02,060,7.2
Fairbanks North Star Borough,Alaska,80.6262503620013,02,090,8.0
Haines Borough,Alaska,83.0150521479304,02,100,11.3
Juneau City and Borough,Alaska,81.2261376714925,02,110,7.7
Kenai Peninsula Borough,Alaska,78.9204662278644,02,122,12.1
Kodiak Island Borough,Alaska,80.7900989550181,02,150,7.8
Matanuska-Susitna Borough,Alaska,79.1898406557226,02,170,10.3
Nome Census Area,Alaska,70.84535552875,02,180,21.5
North Slope Borough,Alaska,75.9546291142911,02,185,10.1
Sitka City and Borough,Alaska,80.8518144560272,02,220,8.7
Southeast Fairbanks Census Area,Alaska,77.9794410796304,02,240,10.9
Valdez-Cordova Census Area,Alaska,79.5744180540543,02,261,7.8
Wade Hampton Census Area,Alaska,68.5618044992559,02,270,
Northwest Arctic Borough,Alaska,72.7862703824079,02,188,26.1
Aleutians East Borough,Alaska,84.863880134356,02,013,13.8
Aleutians West Census Area,Alaska,84.863880134356,02,016,6.8
