County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter)
Autauga County,Alabama,75.836928054027,01,001,498
Baldwin County,Alabama,77.8587885068867,01,003,1176
Barbour County,Alabama,75.6039658679806,01,005,621
Bibb County,Alabama,73.8813807110977,01,007,140
Blount County,Alabama,75.6352536319274,01,009,391
Bullock County,Alabama,74.4021306908516,01,011,275
Butler County,Alabama,73.935514642706,01,013,559
Calhoun County,Alabama,73.6916993651565,01,015,1832
Chambers County,Alabama,74.3709084353389,01,017,705
Cherokee County,Alabama,74.7690226049665,01,019,248
Chilton County,Alabama,74.2037941937705,01,021,425
Choctaw County,Alabama,74.7667739361553,01,023,210
Clarke County,Alabama,75.3078949980348,01,025,623
Clay County,Alabama,74.5125281044463,01,027,216
Cleburne County,Alabama,74.2119718397456,01,029,168
Coffee County,Alabama,76.8029854382398,01,031,807
Colbert County,Alabama,74.7012544694018,01,033,912
Conecuh County,Alabama,73.8578396157111,01,035,251
Coosa County,Alabama,75.0708584990442,01,037,156
Covington County,Alabama,74.939706372746,01,039,531
Crenshaw County,Alabama,74.4540874550923,01,041,257
Cullman County,Alabama,74.9509513238576,01,043,990
Dale County,Alabama,76.1296959155196,01,045,832
Dallas County,Alabama,72.2967105227705,01,047,1792
DeKalb County,Alabama,74.7966732959206,01,049,515
Elmore County,Alabama,75.8412881424909,01,051,657
Escambia County,Alabama,73.8523605614612,01,053,467
Etowah County,Alabama,73.3079475598584,01,055,1413
Fayette County,Alabama,74.057058159905,01,057,549
Franklin County,Alabama,73.349841367943,01,059,554
Geneva County,Alabama,75.2540134208833,01,061,445
Greene County,Alabama,74.5251950347399,01,063,253
Hale County,Alabama,74.2120689147012,01,065,348
Henry County,Alabama,75.9013490151937,01,067,237
Houston County,Alabama,76.6049969181304,01,069,1677
Jackson County,Alabama,73.6075996652594,01,071,492
Jefferson County,Alabama,75.0012975222472,01,073,15663
Lamar County,Alabama,74.594659571128,01,075,314
Lauderdale County,Alabama,76.2574810844103,01,077,1482
Lawrence County,Alabama,74.025639809588,01,079,331
Lee County,Alabama,77.641756133286,01,081,2004
Limestone County,Alabama,77.4567118555822,01,083,813
Lowndes County,Alabama,72.451572085185,01,085,287
Macon County,Alabama,73.4913418644572,01,087,787
Madison County,Alabama,77.772209501297,01,089,4835
