County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate
Autauga County,Alabama,75.8778642323899,01,001,5.6
Baldwin County,Alabama,77.9130697620398,01,003,6.3
Barbour County,Alabama,74.9198636240141,01,005,12.8
Bibb County,Alabama,73.6673305057905,01,007,7.1
Blount County,Alabama,75.0352199305904,01,009,6.0
Bullock County,Alabama,74.0743945438457,01,011,13.3
Butler County,Alabama,73.7224421194177,01,013,9.8
Calhoun County,Alabama,73.2983281711204,01,015,11.7
Chambers County,Alabama,74.35653924479,01,017,7.5
Cherokee County,Alabama,74.35852627411,01,019,5.9
Chilton County,Alabama,74.0413531729133,01,021,7.9
Choctaw County,Alabama,74.2486999564165,01,023,13.6
Clarke County,Alabama,74.5765529742926,01,025,17.1
Clay County,Alabama,74.369383765865,01,027,6.6
Cleburne County,Alabama,73.9771106499581,01,029,7.2
Coffee County,Alabama,76.3011829926155,01,031,6.2
Colbert County,Alabama,74.3929774045908,01,033,7.5
Conecuh County,Alabama,73.4218703928667,01,035,20.4
Coosa County,Alabama,75.1413818724986,01,037,12.6
Covington County,Alabama,74.1371294582595,01,039,10.7
Crenshaw County,Alabama,74.0180136364953,01,041,7.4
Cullman County,Alabama,74.3769894915807,01,043,6.1
Dale County,Alabama,75.5523047608571,01,045,10.4
Dallas County,Alabama,71.9735127187965,01,047,14.9
DeKalb County,Alabama,74.4934976817947,01,049,6.3
Elmore County,Alabama,75.7757161449512,01,051,7.5
Escambia County,Alabama,73.1630074988594,01,053,15.2
Etowah County,Alabama,73.053355135026,01,055,8.5
Fayette County,Alabama,73.6581554932797,01,057,8.8
Franklin County,Alabama,73.3754326341656,01,059,9.7
Geneva County,Alabama,74.4234456628163,01,061,10.3
Greene County,Alabama,73.9562928242995,01,063,18.2
Hale County,Alabama,73.7872404003688,01,065,12.1
Henry County,Alabama,75.4295227396512,01,067,7.5
Houston County,Alabama,76.107335428337,01,069,8.1
Jackson County,Alabama,73.4224281684067,01,071,8.6
Jefferson County,Alabama,74.6861744174914,01,073,8.2
Lamar County,Alabama,74.3621045612881,01,075,9.5
Lauderdale County,Alabama,76.0319979262066,01,077,7.6
Lawrence County,Alabama,73.765357848758,01,079,8.3
Lee County,Alabama,77.5109882075979,01,081,6.1
Limestone County,Alabama,77.2763641772968,01,083,7.9
Lowndes County,Alabama,71.8951633690497,01,085,12.3
Macon County,Alabama,73.090134567349,01,087,15.0
Madison County,Alabama,77.5122550397981,01,089,7.3
Marengo County,Alabama,73.54245764648,01,091,14.1
Marion County,Alabama,74.0145601745605,01,093,7.6
Marshall County,Alabama,74.0554552221729,01,095,7.2
Mobile County,Alabama,74.8448680449495,01,097,8.7
Monroe County,Alabama,74.7048197454091,01,099,21.8
Montgomery County,Alabama,75.9247713547993,01,101,8.4
Morgan County,Alabama,75.2816176346909,01,103,8.9
Perry County,Alabama,72.2207426684408,01,105,11.7
Pickens County,Alabama,74.3841278449026,01,107,12.3
Pike County,Alabama,74.9075976437267,01,109,9.7
Randolph County,Alabama,74.1995203731576,01,111,8.0
Russell County,Alabama,73.8166201926909,01,113,9.4
Saint Clair County,Alabama,74.931099486946,01,115,6.4
Shelby County,Alabama,79.9329869213868,01,117,4.6
Sumter County,Alabama,74.3710053760309,01,119,15.3
Talladega County,Alabama,73.4265194965138,01,121,12.0
Tallapoosa County,Alabama,74.8367340685609,01,123,9.8
Tuscaloosa County,Alabama,76.1222396683925,01,125,7.0
Walker County,Alabama,70.313647599106,01,127,11.0
Washington County,Alabama,74.2666042086814,01,129,16.1
Wilcox County,Alabama,71.4893330327934,01,131,20.4
Winston County,Alabama,74.3483369616355,01,133,8.7
Anchorage Municipality,Alaska,78.9414080782189,02,020,6.0
Bethel Census Area,Alaska,72.4470915674431,02,050,19.3
Bristol Bay Borough,Alaska,75.6282235384974,02,060,5.7
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,8.5
Haines Borough,Alaska,81.3439033397237,02,100,3.8
Juneau City and Borough,Alaska,80.1511541046263,02,110,4.9
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,8.7
Kodiak Island Borough,Alaska,79.6808969333594,02,150,3.6
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,9.9
Nome Census Area,Alaska,70.7266373275761,02,180,17.4
North Slope Borough,Alaska,75.2944708808568,02,185,10.0
Sitka City and Borough,Alaska,80.0851648320793,02,220,4.5
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,9.4
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,9.0
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,22.6
Aleutians East Borough,Alaska,83.9668552562973,02,013,2.6
Aleutians West Census Area,Alaska,83.9668552562973,02,016,1.1
Dillingham Census Area,Alaska,73.902430273866,02,070,11.2
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,11.7
Denali Borough,Alaska,73.7545978405956,02,068,1.2
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,18.4
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,10.2
Skagway Municipality,Alaska,80.6333971268856,02,230,6.7
Yakutat City and Borough,Alaska,80.6333971268856,02,282,7.1
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,7.6
Petersburg Borough,Alaska,78.7599035617588,02,195,5.8
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,13.6
Wrangell City and Borough,Alaska,78.7599035617588,02,275,7.2
Apache County,Arizona,72.5861795747435,04,001,15.8
Cochise County,Arizona,77.8381814457557,04,003,8.6
Coconino County,Arizona,78.7310637809859,04,005,8.2
Gila County,Arizona,74.5194372043746,04,007,12.1
Graham County,Arizona,77.0588505436379,04,009,14.4
Greenlee County,Arizona,78.2700423686553,04,011,8.9
Maricopa County,Arizona,79.7975632543799,04,013,6.8
Mohave County,Arizona,75.0984277272029,04,015,11.7
Navajo County,Arizona,74.0172421905699,04,017,18.5
Pima County,Arizona,78.7473891386961,04,019,9.2
Pinal County,Arizona,80.8872234047816,04,021,9.4
Santa Cruz County,Arizona,81.6928524316121,04,023,9.7
Yavapai County,Arizona,78.2013767088911,04,025,8.5
La Paz County,Arizona,81.1323584179148,04,012,10.6
Yuma County,Arizona,81.1323584179148,04,027,12.5
Arkansas County,Arkansas,73.5078340747071,05,001,9.1
Ashley County,Arkansas,74.1018929294341,05,003,10.0
Baxter County,Arkansas,75.9668160004689,05,005,6.2
Benton County,Arkansas,79.3662392360665,05,007,3.4
Boone County,Arkansas,76.2052538764821,05,009,8.4
Bradley County,Arkansas,73.6321012263139,05,011,11.0
Calhoun County,Arkansas,74.2742607709339,05,013,6.8
Carroll County,Arkansas,76.8819075049595,05,015,6.0
Chicot County,Arkansas,73.3238474544558,05,017,10.8
Clark County,Arkansas,75.3882863851655,05,019,7.9
Clay County,Arkansas,72.9811894014708,05,021,7.0
Cleburne County,Arkansas,75.8127585008705,05,023,8.5
Cleveland County,Arkansas,74.8939886154834,05,025,8.9
Columbia County,Arkansas,74.0855795655613,05,027,9.3
Conway County,Arkansas,74.754414371743,05,029,7.2
Craighead County,Arkansas,76.0817250967884,05,031,6.3
Crawford County,Arkansas,75.6766406592927,05,033,7.1
Crittenden County,Arkansas,72.5637861678559,05,035,9.1
Cross County,Arkansas,73.2244878594942,05,037,7.5
Dallas County,Arkansas,73.4422555480321,05,039,7.1
Desha County,Arkansas,72.6462159118589,05,041,12.8
Drew County,Arkansas,75.1951468080834,05,043,12.9
Faulkner County,Arkansas,76.4874032503551,05,045,5.8
Franklin County,Arkansas,74.4845723172756,05,047,8.8
Fulton County,Arkansas,74.9094662928843,05,049,7.3
Garland County,Arkansas,74.6472657226993,05,051,9.1
Grant County,Arkansas,75.4770090781045,05,053,8.0
Greene County,Arkansas,74.1589164965496,05,055,8.2
Hempstead County,Arkansas,75.1979646501176,05,057,8.3
Hot Spring County,Arkansas,74.4999020548917,05,059,6.8
Howard County,Arkansas,73.932743414837,05,061,7.4
Independence County,Arkansas,75.597642844104,05,063,6.7
Izard County,Arkansas,75.3232023880092,05,065,9.6
Jackson County,Arkansas,73.2755006173174,05,067,7.7
Jefferson County,Arkansas,73.3573657986794,05,069,9.7
Johnson County,Arkansas,75.708328154088,05,071,5.7
Lafayette County,Arkansas,74.1087285476435,05,073,11.1
