County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Household Income
Autauga County,Alabama,76.0246312323304,01,001,55317.0
Baldwin County,Alabama,77.8952429034613,01,003,52562.0
Barbour County,Alabama,74.6572190352659,01,005,33368.0
Bibb County,Alabama,73.6342805287431,01,007,43404.0
Blount County,Alabama,74.8974607079908,01,009,47412.0
Bullock County,Alabama,73.7079253175275,01,011,29655.0
Butler County,Alabama,73.7151229204611,01,013,36326.0
Calhoun County,Alabama,73.3078477077272,01,015,43686.0
Chambers County,Alabama,74.2425871374709,01,017,37342.0
Cherokee County,Alabama,74.3480110237785,01,019,40041.0
Chilton County,Alabama,74.1052560370855,01,021,43501.0
Choctaw County,Alabama,74.2757388369681,01,023,32122.0
Clarke County,Alabama,74.6238045774491,01,025,33827.0
Clay County,Alabama,74.3591398533707,01,027,37287.0
Cleburne County,Alabama,74.0840978801744,01,029,37396.0
Coffee County,Alabama,76.2048720238035,01,031,49821.0
Colbert County,Alabama,74.2982544702841,01,033,45477.0
Conecuh County,Alabama,73.3561349626999,01,035,30434.0
Coosa County,Alabama,75.3441712856155,01,037,34792.0
Covington County,Alabama,74.078109873637,01,039,39467.0
Crenshaw County,Alabama,73.9820921275375,01,041,38937.0
Cullman County,Alabama,74.3545019878194,01,043,40997.0
Dale County,Alabama,75.4733509430588,01,045,44711.0
Dallas County,Alabama,72.03447738714,01,047,30065.0
DeKalb County,Alabama,74.524309920443,01,049,38842.0
Elmore County,Alabama,75.8544515314726,01,051,54981.0
Escambia County,Alabama,73.1026233420298,01,053,35026.0
Etowah County,Alabama,73.023382014908,01,055,42064.0
Fayette County,Alabama,73.6468181376117,01,057,36541.0
Franklin County,Alabama,73.4916922949218,01,059,39501.0
Geneva County,Alabama,74.2527953119664,01,061,39293.0
Greene County,Alabama,73.8570082667757,01,063,20954.0
Hale County,Alabama,73.6467181824322,01,065,34679.0
Henry County,Alabama,75.4887946207952,01,067,45569.0
Houston County,Alabama,76.032673861126,01,069,42803.0
Jackson County,Alabama,73.3946413725398,01,071,39281.0
Jefferson County,Alabama,74.5743774281111,01,073,49321.0
Lamar County,Alabama,74.3774503003945,01,075,36016.0
Lauderdale County,Alabama,76.0388971623086,01,077,44888.0
Lawrence County,Alabama,73.6788440834402,01,079,43779.0
Lee County,Alabama,77.5526205196881,01,081,47564.0
Limestone County,Alabama,77.3036396921757,01,083,52831.0
Lowndes County,Alabama,71.8712681595456,01,085,29785.0
Macon County,Alabama,72.9264822618015,01,087,32308.0
Madison County,Alabama,77.4457800370199,01,089,61318.0
Marengo County,Alabama,73.4699638933891,01,091,32255.0
Marion County,Alabama,74.0260626515723,01,093,35719.0
Marshall County,Alabama,74.044529414402,01,095,41104.0
Mobile County,Alabama,74.832531869489,01,097,45802.0
Monroe County,Alabama,74.6472436418514,01,099,26036.0
Montgomery County,Alabama,75.8639742828833,01,101,46545.0
Morgan County,Alabama,75.2271704532966,01,103,47529.0
Perry County,Alabama,72.388930405107,01,105,22973.0
Pickens County,Alabama,74.4608285703048,01,107,36220.0
Pike County,Alabama,74.9526888282757,01,109,35684.0
Randolph County,Alabama,74.2303989397729,01,111,39485.0
Russell County,Alabama,73.5167015561246,01,113,38988.0
Saint Clair County,Alabama,74.7414911385038,01,115,53483.0
Shelby County,Alabama,79.9439409572104,01,117,74063.0
Sumter County,Alabama,74.3379744715151,01,119,21663.0
Talladega County,Alabama,73.3972425657916,01,121,39219.0
Tallapoosa County,Alabama,74.8751981595403,01,123,42181.0
