County,State,mean_life_expectancy,State_FIPS,County_FIPS,Gini Index
Autauga County,Alabama,76.3458016126412,01,001,0.4602
Baldwin County,Alabama,78.1131187069305,01,003,0.4609
Barbour County,Alabama,74.7743309934985,01,005,0.4731
Bibb County,Alabama,73.7903133744892,01,007,0.4294
Blount County,Alabama,75.013449464969,01,009,0.4331
Bullock County,Alabama,73.6842860486569,01,011,0.5174
Butler County,Alabama,73.9019445955979,01,013,0.4708
Calhoun County,Alabama,73.4088629777792,01,015,0.4676
Chambers County,Alabama,74.5258741295021,01,017,0.4568
Cherokee County,Alabama,74.4293661472186,01,019,0.4539
Chilton County,Alabama,74.3574576379216,01,021,0.4845
Choctaw County,Alabama,74.5791676770029,01,023,0.4809
Clarke County,Alabama,74.8950304256062,01,025,0.5185
Clay County,Alabama,74.5316289536644,01,027,0.4684
Cleburne County,Alabama,74.3862420952093,01,029,0.4622
Coffee County,Alabama,76.3613073583135,01,031,0.4427
Colbert County,Alabama,74.531880399761,01,033,0.4496
Conecuh County,Alabama,73.5208362803517,01,035,0.4354
Coosa County,Alabama,75.5688098046964,01,037,0.4646
Covington County,Alabama,74.094051609186,01,039,0.4553
Crenshaw County,Alabama,74.1434109951944,01,041,0.504
Cullman County,Alabama,74.4187888904678,01,043,0.4548
Dale County,Alabama,75.6212203924387,01,045,0.45
Dallas County,Alabama,72.300300454957,01,047,0.4885
DeKalb County,Alabama,74.664298896307,01,049,0.4748
Elmore County,Alabama,76.0666411732753,01,051,0.4359
Escambia County,Alabama,73.1785510386588,01,053,0.4823
Etowah County,Alabama,73.310801891145,01,055,0.4483
Fayette County,Alabama,73.7501826390878,01,057,0.4635
Franklin County,Alabama,73.6994529156054,01,059,0.4224
Geneva County,Alabama,74.2429861050731,01,061,0.4413
Greene County,Alabama,74.0541627291715,01,063,0.5041
Hale County,Alabama,73.8211347225773,01,065,0.5071
Henry County,Alabama,75.5345409164455,01,067,0.435
Houston County,Alabama,76.2003724907021,01,069,0.4808
Jackson County,Alabama,73.4860798339663,01,071,0.4616
Jefferson County,Alabama,74.8266754858777,01,073,0.4996
Lamar County,Alabama,74.6405751275356,01,075,0.4623
Lauderdale County,Alabama,76.2332477342409,01,077,0.4672
Lawrence County,Alabama,73.8448626457253,01,079,0.4389
Lee County,Alabama,77.6449270835747,01,081,0.5081
Limestone County,Alabama,77.5937481419663,01,083,0.4509
Lowndes County,Alabama,72.0555793694128,01,085,0.4999
Macon County,Alabama,73.143855116616,01,087,0.5145
Madison County,Alabama,77.6056196958447,01,089,0.4673
Marengo County,Alabama,73.5140531961641,01,091,0.5386
Marion County,Alabama,74.2254868593688,01,093,0.4596
Marshall County,Alabama,74.360519855914,01,095,0.4805
Mobile County,Alabama,74.9863591340308,01,097,0.4765
Monroe County,Alabama,74.9978896242308,01,099,0.5477
Montgomery County,Alabama,76.1656562262215,01,101,0.4929
Morgan County,Alabama,75.4261590776826,01,103,0.4511
Perry County,Alabama,72.770250342339,01,105,0.479
Pickens County,Alabama,74.6249282141329,01,107,0.4997
Pike County,Alabama,75.0187640137986,01,109,0.5343
Randolph County,Alabama,74.3982802569113,01,111,0.4733
Russell County,Alabama,73.6803490665368,01,113,0.454
Saint Clair County,Alabama,75.0107121083288,01,115,0.4068
Shelby County,Alabama,80.205250224518,01,117,0.4344
Sumter County,Alabama,74.7139987528402,01,119,0.5469
Talladega County,Alabama,73.5793518144223,01,121,0.4584
Tallapoosa County,Alabama,74.9365477647865,01,123,0.4617
Tuscaloosa County,Alabama,76.5059658159458,01,125,0.463
Walker County,Alabama,70.5636130208947,01,127,0.4587
Washington County,Alabama,74.6032396661542,01,129,0.4684
Wilcox County,Alabama,71.5241341237713,01,131,0.5108
Winston County,Alabama,74.7102062206126,01,133,0.4517
Anchorage Municipality,Alaska,79.167117979683,02,020,0.4251
Bethel Census Area,Alaska,72.53346154146,02,050,0.4446
Bristol Bay Borough,Alaska,76.2417287283227,02,060,0.3911
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,0.4061
Haines Borough,Alaska,82.3340851154886,02,100,0.3796
Juneau City and Borough,Alaska,80.7356793660287,02,110,0.3947
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,0.4322
Kodiak Island Borough,Alaska,80.3116543907809,02,150,0.3869
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,0.4171
Nome Census Area,Alaska,70.7530594988732,02,180,0.4294
North Slope Borough,Alaska,75.8434189819725,02,185,0.4156
Sitka City and Borough,Alaska,80.454277274944,02,220,0.4222
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,0.3858
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,0.4226
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,0.4375
Aleutians East Borough,Alaska,84.54019994971,02,013,0.3987
Aleutians West Census Area,Alaska,84.54019994971,02,016,0.3628
Dillingham Census Area,Alaska,74.2728982123458,02,070,0.4285
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,0.4318
Denali Borough,Alaska,74.5030411727533,02,068,0.3631
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,0.4666
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,0.3914
Skagway Municipality,Alaska,81.2101394560811,02,230,0.3224
Yakutat City and Borough,Alaska,81.2101394560811,02,282,0.3498
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,0.4161
Petersburg Borough,Alaska,79.3321255610105,02,195,0.4388
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,0.4139
Wrangell City and Borough,Alaska,79.3321255610105,02,275,0.4071
Apache County,Arizona,72.3010290005178,04,001,0.495
Cochise County,Arizona,77.8408033972637,04,003,0.4404
Coconino County,Arizona,78.8052809079821,04,005,0.4654
Gila County,Arizona,74.3746289869468,04,007,0.4451
Graham County,Arizona,77.1556460234304,04,009,0.4049
Greenlee County,Arizona,78.3645024836664,04,011,0.3908
Maricopa County,Arizona,79.7386604099472,04,013,0.4666
Mohave County,Arizona,75.0984065448903,04,015,0.4451
Navajo County,Arizona,73.7972740690661,04,017,0.4751
Pima County,Arizona,78.7518294309296,04,019,0.4713
Pinal County,Arizona,81.2155424915528,04,021,0.4235
Santa Cruz County,Arizona,81.7071020187176,04,023,0.4933
Yavapai County,Arizona,78.051524295411,04,025,0.4462
La Paz County,Arizona,81.2378999209795,04,012,0.4663
Yuma County,Arizona,81.2378999209795,04,027,0.4462
Arkansas County,Arkansas,73.699664085667,05,001,0.4963
Ashley County,Arkansas,74.0622583712188,05,003,0.476
Baxter County,Arkansas,76.0355516425297,05,005,0.4539
Benton County,Arkansas,79.5515977691344,05,007,0.4549
Boone County,Arkansas,76.2920818267331,05,009,0.4451
Bradley County,Arkansas,73.9154085027933,05,011,0.4603
Calhoun County,Arkansas,74.7753643476493,05,013,0.4266
Carroll County,Arkansas,77.2088767175722,05,015,0.4572
Chicot County,Arkansas,73.4191359082146,05,017,0.5579
Clark County,Arkansas,75.9107071055062,05,019,0.4509
Clay County,Arkansas,73.0282818142332,05,021,0.4574
Cleburne County,Arkansas,75.8897883042267,05,023,0.4582
Cleveland County,Arkansas,74.9601675422995,05,025,0.4418
Columbia County,Arkansas,74.3920918341417,05,027,0.4974
Conway County,Arkansas,74.8124099395122,05,029,0.4675
Craighead County,Arkansas,76.2618331131667,05,031,0.493
Crawford County,Arkansas,76.0303039795828,05,033,0.4456
Crittenden County,Arkansas,72.9678543864573,05,035,0.4568
Cross County,Arkansas,73.2798919731548,05,037,0.4752
Dallas County,Arkansas,73.7130043686649,05,039,0.4104
Desha County,Arkansas,72.7276609628183,05,041,0.4642
Drew County,Arkansas,75.2211103202167,05,043,0.4806
Faulkner County,Arkansas,76.5427391151303,05,045,0.4615
Franklin County,Arkansas,74.6633798673886,05,047,0.448
Fulton County,Arkansas,75.0726412158052,05,049,0.4311
Garland County,Arkansas,74.6917741981376,05,051,0.4881
Grant County,Arkansas,75.3837861639195,05,053,0.4394
Greene County,Arkansas,74.2408679220059,05,055,0.417
Hempstead County,Arkansas,75.3276249243193,05,057,0.4257
Hot Spring County,Arkansas,74.4739215374817,05,059,0.4369
Howard County,Arkansas,74.2175286904666,05,061,0.5284
Independence County,Arkansas,75.9418583152842,05,063,0.45
Izard County,Arkansas,75.4317695846984,05,065,0.4257
Jackson County,Arkansas,73.3266666408661,05,067,0.5031
Jefferson County,Arkansas,73.3590923821139,05,069,0.4695
Johnson County,Arkansas,75.8064818743859,05,071,0.4427
Lafayette County,Arkansas,74.6587982386832,05,073,0.5762
Lawrence County,Arkansas,74.0656088368156,05,075,0.4358
Lee County,Arkansas,73.3490156735839,05,077,0.4992
Lincoln County,Arkansas,75.1131078790431,05,079,0.4452
Little River County,Arkansas,74.1807882572467,05,081,0.4643
Logan County,Arkansas,74.4320848649481,05,083,0.4486
Lonoke County,Arkansas,74.9345664780834,05,085,0.4052
Madison County,Arkansas,75.5976399371591,05,087,0.4787
Marion County,Arkansas,75.4429778062734,05,089,0.4433
Miller County,Arkansas,74.6268522519816,05,091,0.4662
Mississippi County,Arkansas,71.4920842695116,05,093,0.4622
Monroe County,Arkansas,72.4674227246369,05,095,0.4699
Montgomery County,Arkansas,75.793052336322,05,097,0.4524
Nevada County,Arkansas,74.2958611849283,05,099,0.414
Newton County,Arkansas,77.1907959033018,05,101,0.4312
Ouachita County,Arkansas,73.0491101838795,05,103,0.477
Perry County,Arkansas,75.0236567504255,05,105,0.4031
Phillips County,Arkansas,71.1931915908736,05,107,0.4925
Pike County,Arkansas,75.0824421118564,05,109,0.4352
Poinsett County,Arkansas,71.3031716770786,05,111,0.4161
Polk County,Arkansas,75.2198849618385,05,113,0.4377
Pope County,Arkansas,76.6203759107694,05,115,0.464
Prairie County,Arkansas,75.966819358482,05,117,0.44
Pulaski County,Arkansas,76.0611102581848,05,119,0.5025
Randolph County,Arkansas,74.3973999793014,05,121,0.4593
Saint Francis County,Arkansas,74.1021367670649,05,123,0.4729
Saline County,Arkansas,77.1843392125055,05,125,0.3983
Scott County,Arkansas,74.7730329022547,05,127,0.4325
Searcy County,Arkansas,75.2517345364764,05,129,0.4693
Sebastian County,Arkansas,75.9956131141566,05,131,0.4781
Sevier County,Arkansas,75.4897788457826,05,133,0.4221
Sharp County,Arkansas,73.8772637972242,05,135,0.4758
Stone County,Arkansas,76.1304929728617,05,137,0.4595
Union County,Arkansas,73.4174077792713,05,139,0.4739
Van Buren County,Arkansas,76.1831675574109,05,141,0.445
Washington County,Arkansas,77.990955582861,05,143,0.4967
White County,Arkansas,75.3891115505783,05,145,0.4731
Woodruff County,Arkansas,72.862006974415,05,147,0.4949
Yell County,Arkansas,74.6715621808677,05,149,0.4501
Alameda County,California,82.5117230510974,06,001,0.4624
Alpine County,California,78.6184132405496,06,003,0.4967
