County,State,mean_life_expectancy,State_FIPS,County_FIPS,Rent Burden Count (+50%)
Autauga County,Alabama,75.836928054027,01,001,1033
Baldwin County,Alabama,77.8587885068867,01,003,3902
Barbour County,Alabama,75.6039658679806,01,005,693
Bibb County,Alabama,73.8813807110977,01,007,361
Blount County,Alabama,75.6352536319274,01,009,601
Bullock County,Alabama,74.4021306908516,01,011,244
Butler County,Alabama,73.935514642706,01,013,570
Calhoun County,Alabama,73.6916993651565,01,015,3440
Chambers County,Alabama,74.3709084353389,01,017,1256
Cherokee County,Alabama,74.7690226049665,01,019,497
Chilton County,Alabama,74.2037941937705,01,021,895
Choctaw County,Alabama,74.7667739361553,01,023,141
Clarke County,Alabama,75.3078949980348,01,025,401
Clay County,Alabama,74.5125281044463,01,027,192
Cleburne County,Alabama,74.2119718397456,01,029,157
Coffee County,Alabama,76.8029854382398,01,031,1244
Colbert County,Alabama,74.7012544694018,01,033,1233
Conecuh County,Alabama,73.8578396157111,01,035,234
Coosa County,Alabama,75.0708584990442,01,037,139
Covington County,Alabama,74.939706372746,01,039,749
Crenshaw County,Alabama,74.4540874550923,01,041,295
Cullman County,Alabama,74.9509513238576,01,043,1633
Dale County,Alabama,76.1296959155196,01,045,1262
Dallas County,Alabama,72.2967105227705,01,047,1559
DeKalb County,Alabama,74.7966732959206,01,049,672
Elmore County,Alabama,75.8412881424909,01,051,1231
Escambia County,Alabama,73.8523605614612,01,053,835
Etowah County,Alabama,73.3079475598584,01,055,2069
Fayette County,Alabama,74.057058159905,01,057,295
Franklin County,Alabama,73.349841367943,01,059,677
Geneva County,Alabama,75.2540134208833,01,061,537
Greene County,Alabama,74.5251950347399,01,063,85
Hale County,Alabama,74.2120689147012,01,065,281
Henry County,Alabama,75.9013490151937,01,067,212
Houston County,Alabama,76.6049969181304,01,069,3027
Jackson County,Alabama,73.6075996652594,01,071,544
Jefferson County,Alabama,75.0012975222472,01,073,25279
Lamar County,Alabama,74.594659571128,01,075,294
Lauderdale County,Alabama,76.2574810844103,01,077,2933
Lawrence County,Alabama,74.025639809588,01,079,371
Lee County,Alabama,77.641756133286,01,081,6546
Limestone County,Alabama,77.4567118555822,01,083,1407
Lowndes County,Alabama,72.451572085185,01,085,181
Macon County,Alabama,73.4913418644572,01,087,790
Madison County,Alabama,77.772209501297,01,089,8703
Marengo County,Alabama,74.1333674215399,01,091,417
Marion County,Alabama,74.2996624676483,01,093,422
Marshall County,Alabama,74.2650814854454,01,095,1622
Mobile County,Alabama,75.0140519651065,01,097,14182
Monroe County,Alabama,74.9403376152072,01,099,482
Montgomery County,Alabama,76.0742035748331,01,101,10171
Morgan County,Alabama,75.7687418754051,01,103,2457
Perry County,Alabama,72.4458737373582,01,105,165
Pickens County,Alabama,74.3989386831643,01,107,475
Pike County,Alabama,75.3843799599901,01,109,1654
Randolph County,Alabama,74.6272688359767,01,111,673
Russell County,Alabama,74.4625975354371,01,113,1583
Saint Clair County,Alabama,75.1354509099959,01,115,1116
Shelby County,Alabama,79.7687496224489,01,117,2532
Sumter County,Alabama,74.3343686399483,01,119,587
Talladega County,Alabama,73.6825216143372,01,121,1936
Tallapoosa County,Alabama,75.2077207940106,01,123,969
Tuscaloosa County,Alabama,76.1412472106416,01,125,7244
Walker County,Alabama,70.8637922877104,01,127,1109
Washington County,Alabama,74.6734179457892,01,129,120
Wilcox County,Alabama,72.2374261679305,01,131,194
Winston County,Alabama,74.2153646411101,01,133,439
Anchorage Municipality,Alaska,78.7538192744483,02,020,7841
Bethel Census Area,Alaska,72.9162299270473,02,050,137
Bristol Bay Borough,Alaska,75.4655368308601,02,060,10
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,3202
Haines Borough,Alaska,80.3402659326086,02,100,75
Juneau City and Borough,Alaska,79.7513085001443,02,110,671
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,947
Kodiak Island Borough,Alaska,79.2674018916655,02,150,342
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,1562
Nome Census Area,Alaska,71.0874958002656,02,180,124
North Slope Borough,Alaska,75.2725719185953,02,185,51
Sitka City and Borough,Alaska,79.5125431994159,02,220,402
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,127
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,87
Wade Hampton Census Area,Alaska,69.129042588567,02,270,29
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,70
Aleutians East Borough,Alaska,83.5166512642875,02,013,16
Aleutians West Census Area,Alaska,83.5166512642875,02,016,57
Dillingham Census Area,Alaska,73.7920691867546,02,070,47
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,5
Denali Borough,Alaska,73.5699219653651,02,068,22
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,56
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,43
Skagway Municipality,Alaska,80.374241032238,02,230,10
Yakutat City and Borough,Alaska,80.374241032238,02,282,12
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,409
Petersburg Borough,Alaska,78.2808420907731,02,195,85
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,55
Wrangell City and Borough,Alaska,78.2808420907731,02,275,50
Apache County,Arizona,73.5831561418625,04,001,728
Cochise County,Arizona,78.5093583618516,04,003,3109
Coconino County,Arizona,79.1783967754568,04,005,5337
Gila County,Arizona,75.4683450305506,04,007,936
Graham County,Arizona,77.4666536416568,04,009,634
Greenlee County,Arizona,78.6626921330292,04,011,104
Maricopa County,Arizona,80.2239065499369,04,013,125691
Mohave County,Arizona,75.5732188036138,04,015,5535
Navajo County,Arizona,75.2513758313513,04,017,1984
Pima County,Arizona,79.2068381779827,04,019,38469
Pinal County,Arizona,80.9037956408188,04,021,6596
Santa Cruz County,Arizona,82.0079464280884,04,023,1291
Yavapai County,Arizona,78.6615151890778,04,025,7149
La Paz County,Arizona,81.3901815824637,04,012,278
Yuma County,Arizona,81.3901815824637,04,027,4340
Arkansas County,Arkansas,73.8156973399201,05,001,330
Ashley County,Arkansas,74.527033712992,05,003,281
Baxter County,Arkansas,76.2122281368992,05,005,839
Benton County,Arkansas,79.3617722496715,05,007,3909
Boone County,Arkansas,76.5714079641579,05,009,629
Bradley County,Arkansas,73.9928167351683,05,011,397
Calhoun County,Arkansas,75.0101834551434,05,013,75
Carroll County,Arkansas,76.9212348790936,05,015,596
Chicot County,Arkansas,73.4958825931558,05,017,319
Clark County,Arkansas,75.4277256789478,05,019,981
Clay County,Arkansas,73.4772580278363,05,021,280
Cleburne County,Arkansas,76.4332102428103,05,023,471
Cleveland County,Arkansas,75.3899386050606,05,025,105
Columbia County,Arkansas,74.4778597853245,05,027,733
Conway County,Arkansas,75.3211173537385,05,029,642
Craighead County,Arkansas,76.1849034187585,05,031,3978
Crawford County,Arkansas,75.6323094688717,05,033,1386
Crittenden County,Arkansas,73.0807663455022,05,035,2310
Cross County,Arkansas,73.6102929568663,05,037,437
Dallas County,Arkansas,73.9447963982835,05,039,147
Desha County,Arkansas,73.1929803551693,05,041,401
Drew County,Arkansas,75.6142342376879,05,043,822
Faulkner County,Arkansas,76.874980748974,05,045,3329
Franklin County,Arkansas,74.8461541973117,05,047,334
Fulton County,Arkansas,75.4429142733183,05,049,190
Garland County,Arkansas,75.0982760087787,05,051,3065
Grant County,Arkansas,75.6273873667791,05,053,215
Greene County,Arkansas,74.4557946872778,05,055,1326
Hempstead County,Arkansas,75.0798934829681,05,057,814
Hot Spring County,Arkansas,74.7699312058851,05,059,654
Howard County,Arkansas,74.3104978429413,05,061,296
Independence County,Arkansas,75.55292051348,05,063,1045
Izard County,Arkansas,75.6857060417369,05,065,230
Jackson County,Arkansas,73.5645257013294,05,067,483
Jefferson County,Arkansas,73.8804417043154,05,069,2757
Johnson County,Arkansas,76.0679421315981,05,071,681
Lafayette County,Arkansas,73.9732457610778,05,073,119
Lawrence County,Arkansas,74.1944235430574,05,075,407
Lee County,Arkansas,73.6656526371685,05,077,310
Lincoln County,Arkansas,75.6620100556507,05,079,232
Little River County,Arkansas,74.1904867610063,05,081,159
Logan County,Arkansas,74.7110052677721,05,083,339
Lonoke County,Arkansas,75.2681135595378,05,085,1021
Madison County,Arkansas,75.5147457725886,05,087,225
Marion County,Arkansas,75.4990392659523,05,089,257
Miller County,Arkansas,74.9160232473299,05,091,1413
Mississippi County,Arkansas,72.3314425790971,05,093,1650
Monroe County,Arkansas,72.9273164936148,05,095,359
Montgomery County,Arkansas,76.1909321334472,05,097,130
