County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Occupied Households
Autauga County,Alabama,75.836928054027,01,001,20071
Baldwin County,Alabama,77.8587885068867,01,003,73283
Barbour County,Alabama,75.6039658679806,01,005,9200
Bibb County,Alabama,73.8813807110977,01,007,7091
Blount County,Alabama,75.6352536319274,01,009,21108
Bullock County,Alabama,74.4021306908516,01,011,3741
Butler County,Alabama,73.935514642706,01,013,8235
Calhoun County,Alabama,73.6916993651565,01,015,45196
Chambers County,Alabama,74.3709084353389,01,017,13722
Cherokee County,Alabama,74.7690226049665,01,019,11656
Chilton County,Alabama,74.2037941937705,01,021,16232
Choctaw County,Alabama,74.7667739361553,01,023,5518
Clarke County,Alabama,75.3078949980348,01,025,9631
Clay County,Alabama,74.5125281044463,01,027,5649
Cleburne County,Alabama,74.2119718397456,01,029,5601
Coffee County,Alabama,76.8029854382398,01,031,18820
Colbert County,Alabama,74.7012544694018,01,033,22260
Conecuh County,Alabama,73.8578396157111,01,035,4994
Coosa County,Alabama,75.0708584990442,01,037,4506
Covington County,Alabama,74.939706372746,01,039,15041
Crenshaw County,Alabama,74.4540874550923,01,041,5601
Cullman County,Alabama,74.9509513238576,01,043,31342
Dale County,Alabama,76.1296959155196,01,045,19345
Dallas County,Alabama,72.2967105227705,01,047,16173
DeKalb County,Alabama,74.7966732959206,01,049,24923
Elmore County,Alabama,75.8412881424909,01,051,28324
Escambia County,Alabama,73.8523605614612,01,053,13681
Etowah County,Alabama,73.3079475598584,01,055,40217
Fayette County,Alabama,74.057058159905,01,057,6956
Franklin County,Alabama,73.349841367943,01,059,12437
Geneva County,Alabama,75.2540134208833,01,061,10945
Greene County,Alabama,74.5251950347399,01,063,3264
Hale County,Alabama,74.2120689147012,01,065,5969
Henry County,Alabama,75.9013490151937,01,067,7001
Houston County,Alabama,76.6049969181304,01,069,39250
Jackson County,Alabama,73.6075996652594,01,071,20765
Jefferson County,Alabama,75.0012975222472,01,073,259634
Lamar County,Alabama,74.594659571128,01,075,6084
Lauderdale County,Alabama,76.2574810844103,01,077,38458
Lawrence County,Alabama,74.025639809588,01,079,13382
Lee County,Alabama,77.641756133286,01,081,55864
Limestone County,Alabama,77.4567118555822,01,083,31794
Lowndes County,Alabama,72.451572085185,01,085,4212
Macon County,Alabama,73.4913418644572,01,087,8107
Madison County,Alabama,77.772209501297,01,089,132975
Marengo County,Alabama,74.1333674215399,01,091,8464
Marion County,Alabama,74.2996624676483,01,093,12700
Marshall County,Alabama,74.2650814854454,01,095,34250
Mobile County,Alabama,75.0140519651065,01,097,155178
Monroe County,Alabama,74.9403376152072,01,099,8333
Montgomery County,Alabama,76.0742035748331,01,101,88844
Morgan County,Alabama,75.7687418754051,01,103,46192
Perry County,Alabama,72.4458737373582,01,105,3400
Pickens County,Alabama,74.3989386831643,01,107,7926
Pike County,Alabama,75.3843799599901,01,109,12959
Randolph County,Alabama,74.6272688359767,01,111,9013
Russell County,Alabama,74.4625975354371,01,113,21142
Saint Clair County,Alabama,75.1354509099959,01,115,31353
Shelby County,Alabama,79.7687496224489,01,117,74144
Sumter County,Alabama,74.3343686399483,01,119,5060
Talladega County,Alabama,73.6825216143372,01,121,31486
Tallapoosa County,Alabama,75.2077207940106,01,123,16373
Tuscaloosa County,Alabama,76.1412472106416,01,125,67882
Walker County,Alabama,70.8637922877104,01,127,25751
Washington County,Alabama,74.6734179457892,01,129,6620
Wilcox County,Alabama,72.2374261679305,01,131,3866
Winston County,Alabama,74.2153646411101,01,133,9489
Anchorage Municipality,Alaska,78.7538192744483,02,020,105208
Bethel Census Area,Alaska,72.9162299270473,02,050,4358
Bristol Bay Borough,Alaska,75.4655368308601,02,060,384
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,35588
Haines Borough,Alaska,80.3402659326086,02,100,1245
Juneau City and Borough,Alaska,79.7513085001443,02,110,12099
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,21720
Kodiak Island Borough,Alaska,79.2674018916655,02,150,4501
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,31123
Nome Census Area,Alaska,71.0874958002656,02,180,2797
North Slope Borough,Alaska,75.2725719185953,02,185,1990
Sitka City and Borough,Alaska,79.5125431994159,02,220,3554
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,2326
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,3424
Wade Hampton Census Area,Alaska,69.129042588567,02,270,1744
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,1828
Aleutians East Borough,Alaska,83.5166512642875,02,013,435
Aleutians West Census Area,Alaska,83.5166512642875,02,016,1033
Dillingham Census Area,Alaska,73.7920691867546,02,070,1339
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,508
Denali Borough,Alaska,73.5699219653651,02,068,716
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,2056
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,930
Skagway Municipality,Alaska,80.374241032238,02,230,412
Yakutat City and Borough,Alaska,80.374241032238,02,282,254
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,5295
Petersburg Borough,Alaska,78.2808420907731,02,195,1643
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,2240
Wrangell City and Borough,Alaska,78.2808420907731,02,275,1149
Apache County,Arizona,73.5831561418625,04,001,19055
Cochise County,Arizona,78.5093583618516,04,003,49174
Coconino County,Arizona,79.1783967754568,04,005,46198
Gila County,Arizona,75.4683450305506,04,007,20601
Graham County,Arizona,77.4666536416568,04,009,11031
Greenlee County,Arizona,78.6626921330292,04,011,3386
Maricopa County,Arizona,80.2239065499369,04,013,1411727
Mohave County,Arizona,75.5732188036138,04,015,80230
Navajo County,Arizona,75.2513758313513,04,017,34343
Pima County,Arizona,79.2068381779827,04,019,384041
Pinal County,Arizona,80.9037956408188,04,021,123733
Santa Cruz County,Arizona,82.0079464280884,04,023,15078
