County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Families (Single Mother)
Autauga County,Alabama,75.8778642323899,01,001,1250.0
Baldwin County,Alabama,77.9130697620398,01,003,3464.0
Barbour County,Alabama,74.9198636240141,01,005,999.0
Bibb County,Alabama,73.6673305057905,01,007,381.0
Blount County,Alabama,75.0352199305904,01,009,1197.0
Bullock County,Alabama,74.0743945438457,01,011,397.0
Butler County,Alabama,73.7224421194177,01,013,757.0
Calhoun County,Alabama,73.2983281711204,01,015,3841.0
Chambers County,Alabama,74.35653924479,01,017,1136.0
Cherokee County,Alabama,74.35852627411,01,019,726.0
Chilton County,Alabama,74.0413531729133,01,021,1057.0
Choctaw County,Alabama,74.2486999564165,01,023,407.0
Clarke County,Alabama,74.5765529742926,01,025,606.0
Clay County,Alabama,74.369383765865,01,027,476.0
Cleburne County,Alabama,73.9771106499581,01,029,260.0
Coffee County,Alabama,76.3011829926155,01,031,1546.0
Colbert County,Alabama,74.3929774045908,01,033,1435.0
Conecuh County,Alabama,73.4218703928667,01,035,471.0
Coosa County,Alabama,75.1413818724986,01,037,164.0
Covington County,Alabama,74.1371294582595,01,039,1012.0
Crenshaw County,Alabama,74.0180136364953,01,041,494.0
Cullman County,Alabama,74.3769894915807,01,043,1638.0
Dale County,Alabama,75.5523047608571,01,045,1337.0
Dallas County,Alabama,71.9735127187965,01,047,2131.0
DeKalb County,Alabama,74.4934976817947,01,049,1649.0
Elmore County,Alabama,75.7757161449512,01,051,2203.0
Escambia County,Alabama,73.1630074988594,01,053,971.0
Etowah County,Alabama,73.053355135026,01,055,2735.0
Fayette County,Alabama,73.6581554932797,01,057,295.0
Franklin County,Alabama,73.3754326341656,01,059,804.0
Geneva County,Alabama,74.4234456628163,01,061,844.0
Greene County,Alabama,73.9562928242995,01,063,355.0
Hale County,Alabama,73.7872404003688,01,065,564.0
Henry County,Alabama,75.4295227396512,01,067,407.0
Houston County,Alabama,76.107335428337,01,069,3609.0
Jackson County,Alabama,73.4224281684067,01,071,1055.0
Jefferson County,Alabama,74.6861744174914,01,073,24602.0
Lamar County,Alabama,74.3621045612881,01,075,410.0
Lauderdale County,Alabama,76.0319979262066,01,077,2563.0
Lawrence County,Alabama,73.765357848758,01,079,703.0
Lee County,Alabama,77.5109882075979,01,081,4583.0
