County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Families (Single Mother)
Autauga County,Alabama,75.7292435880376,01,001,1562
Baldwin County,Alabama,77.9271776584132,01,003,4626
Barbour County,Alabama,75.726345615993,01,005,1045
Bibb County,Alabama,73.8549042153188,01,007,536
Blount County,Alabama,75.7031620249924,01,009,1069
Bullock County,Alabama,74.5147146410295,01,011,420
Butler County,Alabama,74.0029270174073,01,013,925
Calhoun County,Alabama,73.7720318613506,01,015,3345
Chambers County,Alabama,74.4618272098825,01,017,1328
Cherokee County,Alabama,74.9073645339479,01,019,687
Chilton County,Alabama,74.1680381073103,01,021,1250
Choctaw County,Alabama,75.0330369420346,01,023,489
Clarke County,Alabama,75.3627746026001,01,025,999
Clay County,Alabama,74.5556200097281,01,027,422
Cleburne County,Alabama,74.0892819227667,01,029,352
Coffee County,Alabama,76.8920779757569,01,031,1428
Colbert County,Alabama,74.7919396971864,01,033,1483
Conecuh County,Alabama,73.9629702481659,01,035,450
Coosa County,Alabama,75.1116367329605,01,037,296
Covington County,Alabama,75.0377160434361,01,039,1361
Crenshaw County,Alabama,74.4090115093279,01,041,427
Cullman County,Alabama,75.0285246631596,01,043,1993
Dale County,Alabama,76.2376078137941,01,045,1552
Dallas County,Alabama,72.3485612905477,01,047,2231
DeKalb County,Alabama,74.9900686798499,01,049,1636
Elmore County,Alabama,75.972036154942,01,051,2289
Escambia County,Alabama,74.0158797821032,01,053,1430
Etowah County,Alabama,73.2531150461842,01,055,2950
Fayette County,Alabama,74.2005416942204,01,057,409
Franklin County,Alabama,73.4441492092538,01,059,709
Geneva County,Alabama,75.2391510545445,01,061,970
Greene County,Alabama,74.6190084135484,01,063,468
Hale County,Alabama,74.1705015045921,01,065,822
Henry County,Alabama,75.8618642097371,01,067,494
Houston County,Alabama,76.6654865118704,01,069,3570
Jackson County,Alabama,73.8971307190983,01,071,1091
Jefferson County,Alabama,74.9923234793925,01,073,24300
Lamar County,Alabama,74.6375257695077,01,075,497
Lauderdale County,Alabama,76.3717334494033,01,077,2379
Lawrence County,Alabama,74.0874083511881,01,079,957
Lee County,Alabama,77.5552230695894,01,081,3401
Limestone County,Alabama,77.5349339425497,01,083,2190
Lowndes County,Alabama,72.5169545782714,01,085,497
Macon County,Alabama,73.472029298343,01,087,1136
Madison County,Alabama,77.7777375113583,01,089,8943
Marengo County,Alabama,74.31817729379,01,091,893
Marion County,Alabama,74.3185965980805,01,093,802
Marshall County,Alabama,74.2594225666453,01,095,2307
Mobile County,Alabama,74.9254454523935,01,097,15733
Monroe County,Alabama,75.3055057626381,01,099,950
Montgomery County,Alabama,76.0363412800295,01,101,10531
Morgan County,Alabama,75.7692598409346,01,103,3330
Perry County,Alabama,72.0683801705565,01,105,481
Pickens County,Alabama,74.4214021607815,01,107,891
Pike County,Alabama,75.324182967647,01,109,1264
Randolph County,Alabama,74.4748298659528,01,111,741
Russell County,Alabama,74.2849040636452,01,113,2479
Saint Clair County,Alabama,75.1409064937624,01,115,2162
Shelby County,Alabama,79.6179282707985,01,117,4161
Sumter County,Alabama,74.3938821811206,01,119,717
Talladega County,Alabama,73.5547810443691,01,121,3257
Tallapoosa County,Alabama,75.2700066121829,01,123,1306
Tuscaloosa County,Alabama,75.9567690035619,01,125,5331
Walker County,Alabama,71.0086526303479,01,127,1755
Washington County,Alabama,74.7671249776603,01,129,373
Wilcox County,Alabama,72.1727031543216,01,131,541
Winston County,Alabama,74.1868543786886,01,133,512
Anchorage Municipality,Alaska,78.7324733774199,02,020,8733
Bethel Census Area,Alaska,72.9375771624196,02,050,330
Bristol Bay Borough,Alaska,75.4523499871574,02,060,22
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,2576
Haines Borough,Alaska,79.7853560050767,02,100,37
Juneau City and Borough,Alaska,79.6549904893737,02,110,967
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,1343
Kodiak Island Borough,Alaska,78.9325295918541,02,150,370
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,1864
Nome Census Area,Alaska,71.2209696012473,02,180,298
North Slope Borough,Alaska,75.1130295005676,02,185,234
Sitka City and Borough,Alaska,79.6650631553651,02,220,174
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,102
