County,State,mean_life_expectancy,State_FIPS,County_FIPS,Rent Burden Count (+50%)
Autauga County,Alabama,76.5932651350438,01,001,1443.0
Baldwin County,Alabama,78.2935223384932,01,003,3792.0
Barbour County,Alabama,74.8145320945807,01,005,755.0
Bibb County,Alabama,73.9200538034534,01,007,379.0
Blount County,Alabama,75.0291855488467,01,009,683.0
Bullock County,Alabama,73.9493288862537,01,011,292.0
Butler County,Alabama,74.1389189035864,01,013,299.0
Calhoun County,Alabama,73.5629066906819,01,015,2660.0
Chambers County,Alabama,74.7026464205289,01,017,652.0
Cherokee County,Alabama,74.6131502945787,01,019,245.0
Chilton County,Alabama,74.5859698133504,01,021,699.0
Choctaw County,Alabama,74.6284355949225,01,023,123.0
Clarke County,Alabama,75.0999434901388,01,025,278.0
Clay County,Alabama,74.701948975265,01,027,128.0
Cleburne County,Alabama,74.7558638422596,01,029,120.0
Coffee County,Alabama,76.3997264684506,01,031,1188.0
Colbert County,Alabama,74.5331789579054,01,033,1078.0
Conecuh County,Alabama,73.8841768203255,01,035,100.0
Coosa County,Alabama,75.7384814528474,01,037,77.0
Covington County,Alabama,74.2115895055701,01,039,781.0
Crenshaw County,Alabama,74.3548048141269,01,041,127.0
Cullman County,Alabama,74.5626540622359,01,043,1105.0
Dale County,Alabama,75.5818368193645,01,045,1260.0
Dallas County,Alabama,72.4762524056376,01,047,1614.0
DeKalb County,Alabama,74.9432497939268,01,049,1162.0
Elmore County,Alabama,76.2158567842262,01,051,1609.0
Escambia County,Alabama,73.3131687800953,01,053,542.0
Etowah County,Alabama,73.3604926263926,01,055,1833.0
Fayette County,Alabama,74.0421749009191,01,057,291.0
Franklin County,Alabama,74.0661703364282,01,059,283.0
Geneva County,Alabama,74.3981355513722,01,061,578.0
Greene County,Alabama,74.0544180583619,01,063,207.0
Hale County,Alabama,74.195380885004,01,065,243.0
Henry County,Alabama,75.6447400375483,01,067,228.0
Houston County,Alabama,76.2430325268057,01,069,2891.0
Jackson County,Alabama,73.6828553298684,01,071,477.0
Jefferson County,Alabama,74.8621541773249,01,073,22731.0
Lamar County,Alabama,74.8683149184064,01,075,192.0
Lauderdale County,Alabama,76.2969405417653,01,077,2102.0
Lawrence County,Alabama,74.0450227399105,01,079,314.0
Lee County,Alabama,77.9139576690325,01,081,6105.0
Limestone County,Alabama,77.6675828538061,01,083,1239.0
Lowndes County,Alabama,72.074118169288,01,085,212.0
Macon County,Alabama,73.257603254685,01,087,554.0
Madison County,Alabama,77.7641916190152,01,089,9422.0
Marengo County,Alabama,73.5254347483341,01,091,368.0
Marion County,Alabama,74.6258695781583,01,093,404.0
Marshall County,Alabama,74.5877863503167,01,095,1741.0
Mobile County,Alabama,75.3368060857871,01,097,13318.0
Monroe County,Alabama,75.1270770002995,01,099,331.0
Montgomery County,Alabama,76.4216275471708,01,101,10008.0
Morgan County,Alabama,75.4863635328123,01,103,2303.0
Perry County,Alabama,73.1742532055544,01,105,104.0
Pickens County,Alabama,74.8142448398232,01,107,290.0
Pike County,Alabama,75.2422168626359,01,109,1258.0
Randolph County,Alabama,74.6401983680838,01,111,448.0
Russell County,Alabama,73.8179782797389,01,113,2277.0
Saint Clair County,Alabama,75.2553895649825,01,115,864.0
Shelby County,Alabama,80.4641938071101,01,117,2730.0
Sumter County,Alabama,74.9804619366111,01,119,407.0
Talladega County,Alabama,73.8695996345704,01,121,1679.0
Tallapoosa County,Alabama,75.1740848507411,01,123,749.0
Tuscaloosa County,Alabama,76.6889893454644,01,125,6909.0
Walker County,Alabama,70.6271114963763,01,127,1200.0
Washington County,Alabama,74.8365149840162,01,129,98.0
Wilcox County,Alabama,71.8708091393013,01,131,102.0
Winston County,Alabama,74.940147608181,01,133,206.0
Anchorage Municipality,Alaska,79.3865194176634,02,020,8264.0
Bethel Census Area,Alaska,72.7950243111552,02,050,196.0
Bristol Bay Borough,Alaska,76.6332466885107,02,060,6.0
Fairbanks North Star Borough,Alaska,80.6262503620013,02,090,2735.0
Haines Borough,Alaska,83.0150521479304,02,100,23.0
Juneau City and Borough,Alaska,81.2261376714925,02,110,768.0
Kenai Peninsula Borough,Alaska,78.9204662278644,02,122,1091.0
Kodiak Island Borough,Alaska,80.7900989550181,02,150,278.0
Matanuska-Susitna Borough,Alaska,79.1898406557226,02,170,1604.0
Nome Census Area,Alaska,70.84535552875,02,180,119.0
North Slope Borough,Alaska,75.9546291142911,02,185,117.0
Sitka City and Borough,Alaska,80.8518144560272,02,220,289.0
Southeast Fairbanks Census Area,Alaska,77.9794410796304,02,240,57.0
Valdez-Cordova Census Area,Alaska,79.5744180540543,02,261,76.0
Wade Hampton Census Area,Alaska,68.5618044992559,02,270,
Northwest Arctic Borough,Alaska,72.7862703824079,02,188,51.0
Aleutians East Borough,Alaska,84.863880134356,02,013,39.0
Aleutians West Census Area,Alaska,84.863880134356,02,016,32.0
Dillingham Census Area,Alaska,74.5502413308315,02,070,39.0
Lake and Peninsula Borough,Alaska,74.5502413308315,02,164,4.0
Denali Borough,Alaska,74.9741404048799,02,068,6.0
Yukon-Koyukuk Census Area,Alaska,74.9741404048799,02,290,49.0
Hoonah-Angoon Census Area,Alaska,81.5456543521652,02,105,12.0
Skagway Municipality,Alaska,81.5456543521652,02,230,5.0
Yakutat City and Borough,Alaska,81.5456543521652,02,282,4.0
Ketchikan Gateway Borough,Alaska,79.753892368488,02,130,468.0
Petersburg Borough,Alaska,79.753892368488,02,195,80.0
