County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter)
Autauga County,Alabama,76.0923839492951,01,001,611.0
Baldwin County,Alabama,77.9590260303945,01,003,1259.0
Barbour County,Alabama,75.723760010315,01,005,518.0
Bibb County,Alabama,74.0704786684836,01,007,138.0
Blount County,Alabama,75.57623817677,01,009,478.0
Bullock County,Alabama,73.9667452558383,01,011,341.0
Butler County,Alabama,74.1879513563979,01,013,446.0
Calhoun County,Alabama,73.7500629106712,01,015,1635.0
Chambers County,Alabama,74.4744393001101,01,017,782.0
Cherokee County,Alabama,74.8083588255097,01,019,199.0
Chilton County,Alabama,74.361687582335,01,021,376.0
Choctaw County,Alabama,74.767407753043,01,023,216.0
Clarke County,Alabama,75.234900184891,01,025,736.0
Clay County,Alabama,74.7573360142862,01,027,192.0
Cleburne County,Alabama,74.1228766542021,01,029,139.0
Coffee County,Alabama,76.7812212244236,01,031,634.0
Colbert County,Alabama,74.7421988900332,01,033,884.0
Conecuh County,Alabama,73.8726045151823,01,035,226.0
Coosa County,Alabama,75.2580877653134,01,037,180.0
Covington County,Alabama,74.8659701913572,01,039,424.0
Crenshaw County,Alabama,74.4189555245288,01,041,147.0
Cullman County,Alabama,74.9300732935393,01,043,931.0
Dale County,Alabama,75.9998085962609,01,045,806.0
Dallas County,Alabama,72.1686309532854,01,047,1706.0
DeKalb County,Alabama,74.7318781453857,01,049,656.0
Elmore County,Alabama,75.9399909370708,01,051,609.0
Escambia County,Alabama,73.7808302047218,01,053,469.0
Etowah County,Alabama,73.3708247850727,01,055,1638.0
Fayette County,Alabama,74.0659626546655,01,057,652.0
Franklin County,Alabama,73.5137577154115,01,059,560.0
Geneva County,Alabama,75.0218977493571,01,061,475.0
Greene County,Alabama,74.4811078615176,01,063,247.0
Hale County,Alabama,74.1560323615994,01,065,424.0
Henry County,Alabama,75.7543594558265,01,067,214.0
Houston County,Alabama,76.559115914522,01,069,1708.0
Jackson County,Alabama,73.5264035395202,01,071,521.0
Jefferson County,Alabama,74.9798554080244,01,073,15195.0
Lamar County,Alabama,74.7116839103121,01,075,296.0
Lauderdale County,Alabama,76.1300402688184,01,077,1586.0
Lawrence County,Alabama,73.989537746666,01,079,297.0
Lee County,Alabama,77.5595991086487,01,081,2352.0
Limestone County,Alabama,77.4754459389285,01,083,753.0
Lowndes County,Alabama,72.2634055675833,01,085,293.0
Macon County,Alabama,73.4904632643591,01,087,755.0
Madison County,Alabama,77.8536736827048,01,089,4668.0
Marengo County,Alabama,74.0363714016051,01,091,726.0
Marion County,Alabama,74.4921559001086,01,093,481.0
Marshall County,Alabama,74.1039393352051,01,095,1321.0
Mobile County,Alabama,75.1117597992232,01,097,7958.0
Monroe County,Alabama,75.0245488974323,01,099,632.0
Montgomery County,Alabama,76.1126905968678,01,101,5510.0
Morgan County,Alabama,75.7548165522007,01,103,1810.0
Perry County,Alabama,72.5637425616024,01,105,292.0
Pickens County,Alabama,74.4392811093029,01,107,537.0
Pike County,Alabama,75.2623836523974,01,109,918.0
Randolph County,Alabama,74.7053091696992,01,111,365.0
Russell County,Alabama,74.3805861878772,01,113,1289.0
Saint Clair County,Alabama,75.1216644950582,01,115,335.0
Shelby County,Alabama,79.9186609893026,01,117,1103.0
Sumter County,Alabama,74.4570441053706,01,119,399.0
Talladega County,Alabama,73.6869492872818,01,121,1549.0
Tallapoosa County,Alabama,75.1270284243972,01,123,898.0
Tuscaloosa County,Alabama,76.2841722904781,01,125,3185.0
Walker County,Alabama,70.7322477452283,01,127,710.0
Washington County,Alabama,74.6503643642396,01,129,104.0
Wilcox County,Alabama,72.0305770620779,01,131,248.0
Winston County,Alabama,74.5222642002393,01,133,309.0
Anchorage Municipality,Alaska,78.9022024656191,02,020,5022.0
Bethel Census Area,Alaska,72.9844076508492,02,050,871.0
Bristol Bay Borough,Alaska,75.8752123759168,02,060,33.0
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,1699.0
Haines Borough,Alaska,81.5832545334811,02,100,35.0
Juneau City and Borough,Alaska,80.0410654674188,02,110,831.0
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,906.0
Kodiak Island Borough,Alaska,79.5249195452452,02,150,161.0
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,622.0
Nome Census Area,Alaska,71.1118591784878,02,180,731.0
North Slope Borough,Alaska,75.4534450228025,02,185,460.0
Sitka City and Borough,Alaska,79.8800680903336,02,220,369.0
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,72.0
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,120.0
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,341.0
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,597.0
Aleutians East Borough,Alaska,83.6895218542177,02,013,65.0
Aleutians West Census Area,Alaska,83.6895218542177,02,016,119.0
Dillingham Census Area,Alaska,74.0829453697083,02,070,248.0
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,104.0
Denali Borough,Alaska,73.8895242313275,02,068,0.0
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,365.0
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,101.0
Skagway Municipality,Alaska,80.6002714993476,02,230,22.0
Yakutat City and Borough,Alaska,80.6002714993476,02,282,20.0
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,538.0
Petersburg Borough,Alaska,78.483859022547,02,195,115.0
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,144.0
Wrangell City and Borough,Alaska,78.483859022547,02,275,91.0
Apache County,Arizona,73.5730101249103,04,001,319.0
Cochise County,Arizona,78.4493453995009,04,003,1955.0
Coconino County,Arizona,79.1262342389113,04,005,1902.0
Gila County,Arizona,75.2769023094933,04,007,831.0
Graham County,Arizona,77.4673057827607,04,009,352.0
Greenlee County,Arizona,78.8069444314949,04,011,76.0
Maricopa County,Arizona,80.1983661565339,04,013,76281.0
Mohave County,Arizona,75.4575819953017,04,015,2913.0
Navajo County,Arizona,74.9438441304313,04,017,1515.0
Pima County,Arizona,79.1994643325826,04,019,25766.0
Pinal County,Arizona,81.00600317497,04,021,3380.0
Santa Cruz County,Arizona,82.1001879296229,04,023,744.0
Yavapai County,Arizona,78.6665178423471,04,025,3321.0
La Paz County,Arizona,81.3387718155153,04,012,440.0
Yuma County,Arizona,81.3387718155153,04,027,2407.0
Arkansas County,Arkansas,73.8595673933612,05,001,460.0
Ashley County,Arkansas,74.4883652123264,05,003,312.0
Baxter County,Arkansas,76.2516267748183,05,005,584.0
Benton County,Arkansas,79.4059652057882,05,007,1737.0
Boone County,Arkansas,76.5795522414594,05,009,553.0
Bradley County,Arkansas,74.0452396036787,05,011,370.0
Calhoun County,Arkansas,75.0978238246715,05,013,48.0
