County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Families
Autauga County,Alabama,76.3458016126412,01,001,15161.0
Baldwin County,Alabama,78.1131187069305,01,003,51359.0
Barbour County,Alabama,74.7743309934985,01,005,6030.0
Bibb County,Alabama,73.7903133744892,01,007,4947.0
Blount County,Alabama,75.013449464969,01,009,15104.0
Bullock County,Alabama,73.6842860486569,01,011,2481.0
Butler County,Alabama,73.9019445955979,01,013,4429.0
Calhoun County,Alabama,73.4088629777792,01,015,30833.0
Chambers County,Alabama,74.5258741295021,01,017,8659.0
Cherokee County,Alabama,74.4293661472186,01,019,7332.0
Chilton County,Alabama,74.3574576379216,01,021,11926.0
Choctaw County,Alabama,74.5791676770029,01,023,3510.0
Clarke County,Alabama,74.8950304256062,01,025,6034.0
Clay County,Alabama,74.5316289536644,01,027,3643.0
Cleburne County,Alabama,74.3862420952093,01,029,3860.0
Coffee County,Alabama,76.3613073583135,01,031,13583.0
Colbert County,Alabama,74.531880399761,01,033,14768.0
Conecuh County,Alabama,73.5208362803517,01,035,2887.0
Coosa County,Alabama,75.5688098046964,01,037,2664.0
Covington County,Alabama,74.094051609186,01,039,10124.0
Crenshaw County,Alabama,74.1434109951944,01,041,3424.0
Cullman County,Alabama,74.4187888904678,01,043,21303.0
Dale County,Alabama,75.6212203924387,01,045,12586.0
Dallas County,Alabama,72.300300454957,01,047,10564.0
DeKalb County,Alabama,74.664298896307,01,049,18413.0
Elmore County,Alabama,76.0666411732753,01,051,20959.0
Escambia County,Alabama,73.1785510386588,01,053,8213.0
Etowah County,Alabama,73.310801891145,01,055,26139.0
Fayette County,Alabama,73.7501826390878,01,057,4812.0
Franklin County,Alabama,73.6994529156054,01,059,7702.0
Geneva County,Alabama,74.2429861050731,01,061,7220.0
Greene County,Alabama,74.0541627291715,01,063,1630.0
Hale County,Alabama,73.8211347225773,01,065,3560.0
Henry County,Alabama,75.5345409164455,01,067,4477.0
Houston County,Alabama,76.2003724907021,01,069,25733.0
Jackson County,Alabama,73.4860798339663,01,071,14410.0
Jefferson County,Alabama,74.8266754858777,01,073,164836.0
Lamar County,Alabama,74.6405751275356,01,075,4052.0
Lauderdale County,Alabama,76.2332477342409,01,077,24868.0
Lawrence County,Alabama,73.8448626457253,01,079,9325.0
Lee County,Alabama,77.6449270835747,01,081,37391.0
Limestone County,Alabama,77.5937481419663,01,083,22767.0
Lowndes County,Alabama,72.0555793694128,01,085,2865.0
Macon County,Alabama,73.143855116616,01,087,4379.0
Madison County,Alabama,77.6056196958447,01,089,93386.0
Marengo County,Alabama,73.5140531961641,01,091,4148.0
Marion County,Alabama,74.2254868593688,01,093,8419.0
Marshall County,Alabama,74.360519855914,01,095,23910.0
Mobile County,Alabama,74.9863591340308,01,097,101776.0
Monroe County,Alabama,74.9978896242308,01,099,4994.0
Montgomery County,Alabama,76.1656562262215,01,101,56034.0
Morgan County,Alabama,75.4261590776826,01,103,31202.0
Perry County,Alabama,72.770250342339,01,105,1588.0
Pickens County,Alabama,74.6249282141329,01,107,4935.0
Pike County,Alabama,75.0187640137986,01,109,6509.0
Randolph County,Alabama,74.3982802569113,01,111,5870.0
Russell County,Alabama,73.6803490665368,01,113,14510.0
Saint Clair County,Alabama,75.0107121083288,01,115,23270.0
Shelby County,Alabama,80.205250224518,01,117,56022.0
Sumter County,Alabama,74.7139987528402,01,119,2680.0
Talladega County,Alabama,73.5793518144223,01,121,20921.0
Tallapoosa County,Alabama,74.9365477647865,01,123,11339.0
Tuscaloosa County,Alabama,76.5059658159458,01,125,47281.0
Walker County,Alabama,70.5636130208947,01,127,17379.0
Washington County,Alabama,74.6032396661542,01,129,4220.0
Wilcox County,Alabama,71.5241341237713,01,131,2246.0
Winston County,Alabama,74.7102062206126,01,133,6304.0
Anchorage Municipality,Alaska,79.167117979683,02,020,70176.0
Bethel Census Area,Alaska,72.53346154146,02,050,3478.0
Bristol Bay Borough,Alaska,76.2417287283227,02,060,209.0
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,24057.0
Haines Borough,Alaska,82.3340851154886,02,100,612.0
Juneau City and Borough,Alaska,80.7356793660287,02,110,7610.0
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,13666.0
Kodiak Island Borough,Alaska,80.3116543907809,02,150,3000.0
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,21695.0
Nome Census Area,Alaska,70.7530594988732,02,180,2175.0
North Slope Borough,Alaska,75.8434189819725,02,185,1472.0
Sitka City and Borough,Alaska,80.454277274944,02,220,2129.0
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,1476.0
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,1867.0
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,1394.0
Aleutians East Borough,Alaska,84.54019994971,02,013,538.0
Aleutians West Census Area,Alaska,84.54019994971,02,016,716.0
Dillingham Census Area,Alaska,74.2728982123458,02,070,1017.0
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,285.0
Denali Borough,Alaska,74.5030411727533,02,068,316.0
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,1151.0
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,517.0
Skagway Municipality,Alaska,81.2101394560811,02,230,201.0
Yakutat City and Borough,Alaska,81.2101394560811,02,282,136.0
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,3397.0
Petersburg Borough,Alaska,79.3321255610105,02,195,763.0
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,1515.0
Wrangell City and Borough,Alaska,79.3321255610105,02,275,650.0
Apache County,Arizona,72.3010290005178,04,001,13759.0
Cochise County,Arizona,77.8408033972637,04,003,32319.0
Coconino County,Arizona,78.8052809079821,04,005,29278.0
Gila County,Arizona,74.3746289869468,04,007,13715.0
Graham County,Arizona,77.1556460234304,04,009,7604.0
Greenlee County,Arizona,78.3645024836664,04,011,2379.0
Maricopa County,Arizona,79.7386604099472,04,013,996345.0
Mohave County,Arizona,75.0984065448903,04,015,54107.0
Navajo County,Arizona,73.7972740690661,04,017,23917.0
Pima County,Arizona,78.7518294309296,04,019,246861.0
Pinal County,Arizona,81.2155424915528,04,021,95847.0
Santa Cruz County,Arizona,81.7071020187176,04,023,11626.0
Yavapai County,Arizona,78.051524295411,04,025,60712.0
La Paz County,Arizona,81.2378999209795,04,012,5303.0
Yuma County,Arizona,81.2378999209795,04,027,54354.0
Arkansas County,Arkansas,73.699664085667,05,001,4727.0
Ashley County,Arkansas,74.0622583712188,05,003,5432.0
Baxter County,Arkansas,76.0355516425297,05,005,12104.0
Benton County,Arkansas,79.5515977691344,05,007,68778.0
Boone County,Arkansas,76.2920818267331,05,009,10351.0
Bradley County,Arkansas,73.9154085027933,05,011,2909.0
Calhoun County,Arkansas,74.7753643476493,05,013,1364.0
Carroll County,Arkansas,77.2088767175722,05,015,7337.0
Chicot County,Arkansas,73.4191359082146,05,017,2836.0
Clark County,Arkansas,75.9107071055062,05,019,5359.0
Clay County,Arkansas,73.0282818142332,05,021,4099.0
Cleburne County,Arkansas,75.8897883042267,05,023,7266.0
Cleveland County,Arkansas,74.9601675422995,05,025,2294.0
Columbia County,Arkansas,74.3920918341417,05,027,5759.0
Conway County,Arkansas,74.8124099395122,05,029,5649.0
Craighead County,Arkansas,76.2618331131667,05,031,26481.0
Crawford County,Arkansas,76.0303039795828,05,033,17328.0
Crittenden County,Arkansas,72.9678543864573,05,035,12027.0
Cross County,Arkansas,73.2798919731548,05,037,4679.0
Dallas County,Arkansas,73.7130043686649,05,039,1913.0
Desha County,Arkansas,72.7276609628183,05,041,3339.0
Drew County,Arkansas,75.2211103202167,05,043,4474.0
Faulkner County,Arkansas,76.5427391151303,05,045,28494.0
Franklin County,Arkansas,74.6633798673886,05,047,4699.0
Fulton County,Arkansas,75.0726412158052,05,049,3520.0
Garland County,Arkansas,74.6917741981376,05,051,25362.0
Grant County,Arkansas,75.3837861639195,05,053,5094.0
Greene County,Arkansas,74.2408679220059,05,055,12104.0
Hempstead County,Arkansas,75.3276249243193,05,057,5543.0
Hot Spring County,Arkansas,74.4739215374817,05,059,8874.0
Howard County,Arkansas,74.2175286904666,05,061,3393.0
Independence County,Arkansas,75.9418583152842,05,063,9977.0
Izard County,Arkansas,75.4317695846984,05,065,3398.0
Jackson County,Arkansas,73.3266666408661,05,067,3622.0
Jefferson County,Arkansas,73.3590923821139,05,069,16316.0
Johnson County,Arkansas,75.8064818743859,05,071,6821.0
Lafayette County,Arkansas,74.6587982386832,05,073,1816.0
Lawrence County,Arkansas,74.0656088368156,05,075,4463.0
Lee County,Arkansas,73.3490156735839,05,077,2111.0
Lincoln County,Arkansas,75.1131078790431,05,079,2806.0
Little River County,Arkansas,74.1807882572467,05,081,3290.0
Logan County,Arkansas,74.4320848649481,05,083,6137.0
Lonoke County,Arkansas,74.9345664780834,05,085,20173.0
Madison County,Arkansas,75.5976399371591,05,087,4501.0
Marion County,Arkansas,75.4429778062734,05,089,4427.0
Miller County,Arkansas,74.6268522519816,05,091,11163.0
Mississippi County,Arkansas,71.4920842695116,05,093,11153.0
Monroe County,Arkansas,72.4674227246369,05,095,1975.0
Montgomery County,Arkansas,75.793052336322,05,097,2648.0
Nevada County,Arkansas,74.2958611849283,05,099,2174.0
Newton County,Arkansas,77.1907959033018,05,101,1934.0
Ouachita County,Arkansas,73.0491101838795,05,103,6319.0
Perry County,Arkansas,75.0236567504255,05,105,2745.0
Phillips County,Arkansas,71.1931915908736,05,107,4706.0
Pike County,Arkansas,75.0824421118564,05,109,2938.0
Poinsett County,Arkansas,71.3031716770786,05,111,6811.0
Polk County,Arkansas,75.2198849618385,05,113,5516.0
Pope County,Arkansas,76.6203759107694,05,115,14892.0
Prairie County,Arkansas,75.966819358482,05,117,2489.0
Pulaski County,Arkansas,76.0611102581848,05,119,95287.0
Randolph County,Arkansas,74.3973999793014,05,121,5033.0
Saint Francis County,Arkansas,74.1021367670649,05,123,5726.0
Saline County,Arkansas,77.1843392125055,05,125,31386.0
Scott County,Arkansas,74.7730329022547,05,127,2539.0
Searcy County,Arkansas,75.2517345364764,05,129,2178.0
Sebastian County,Arkansas,75.9956131141566,05,131,32833.0
Sevier County,Arkansas,75.4897788457826,05,133,4298.0
Sharp County,Arkansas,73.8772637972242,05,135,4435.0
Stone County,Arkansas,76.1304929728617,05,137,3387.0
Union County,Arkansas,73.4174077792713,05,139,10699.0
Van Buren County,Arkansas,76.1831675574109,05,141,4711.0
Washington County,Arkansas,77.990955582861,05,143,53496.0
White County,Arkansas,75.3891115505783,05,145,20476.0
Woodruff County,Arkansas,72.862006974415,05,147,1815.0
Yell County,Arkansas,74.6715621808677,05,149,5608.0
Alameda County,California,82.5117230510974,06,001,383468.0
Alpine County,California,78.6184132405496,06,003,177.0
Amador County,California,79.6700527007408,06,005,9446.0
Butte County,California,77.5510398533407,06,007,51436.0
Calaveras County,California,79.4937097704614,06,009,11776.0
Colusa County,California,79.8121558402712,06,011,5466.0
Contra Costa County,California,82.1166155136634,06,013,282085.0
Del Norte County,California,75.5876660864016,06,015,6039.0
El Dorado County,California,81.7175928361167,06,017,48535.0
Fresno County,California,78.5774233152407,06,019,221080.0
Glenn County,California,77.3237108142528,06,021,7390.0
Humboldt County,California,76.9699850790142,06,023,30101.0
Imperial County,California,80.8834382757586,06,025,33880.0
Inyo County,California,79.4082290287002,06,027,4300.0
Kern County,California,77.1798988763483,06,029,200379.0
Kings County,California,79.5158893403858,06,031,32786.0
Lake County,California,74.9388266144901,06,033,15359.0
Lassen County,California,78.2889851142427,06,035,6141.0
Los Angeles County,California,81.7722051489058,06,037,2207265.0
Madera County,California,79.1324957900949,06,039,34804.0
Marin County,California,85.0172356317939,06,041,65685.0
Mariposa County,California,80.0918795754373,06,043,5019.0
Mendocino County,California,78.8622505182297,06,045,20783.0
Merced County,California,78.6740314276637,06,047,60642.0
Modoc County,California,77.2922317763807,06,049,2173.0
Mono County,California,85.3082290449747,06,051,2524.0
Monterey County,California,82.0510756660361,06,053,91714.0
Napa County,California,81.4546639927278,06,055,33730.0
Nevada County,California,81.1772572867672,06,057,26483.0
Orange County,California,82.7692260205684,06,059,741721.0
Placer County,California,81.8330268106076,06,061,98332.0
Plumas County,California,78.4717776495267,06,063,4859.0
Riverside County,California,80.5162407320043,06,065,524557.0
Sacramento County,California,79.3400394926971,06,067,355363.0
San Benito County,California,81.8119632950539,06,069,14175.0
San Bernardino County,California,78.4608787343935,06,071,481066.0
San Diego County,California,81.8152724349575,06,073,753761.0
San Francisco County,California,83.2321058302004,06,075,172190.0
San Joaquin County,California,78.22543142894,06,077,168502.0
San Luis Obispo County,California,81.3157003484936,06,079,66580.0
San Mateo County,California,84.3845629127664,06,081,183144.0
Santa Barbara County,California,81.7643311735787,06,083,95270.0
Santa Clara County,California,84.2543556639128,06,085,456440.0
Santa Cruz County,California,82.4374330425814,06,087,61058.0
Shasta County,California,76.0083184102708,06,089,46145.0
Sierra County,California,78.7559184759067,06,091,720.0
Siskiyou County,California,76.3397555392635,06,093,11671.0
Solano County,California,79.9136116310706,06,095,107267.0
Sonoma County,California,81.7938284667815,06,097,120415.0
Stanislaus County,California,77.7850070672191,06,099,127767.0
Sutter County,California,78.5169447108835,06,101,23697.0
Tehama County,California,77.2351720137537,06,103,16004.0
Trinity County,California,76.4541995192134,06,105,3477.0
Tulare County,California,78.1677031872242,06,107,104650.0
Tuolumne County,California,78.6328973173773,06,109,13770.0
Ventura County,California,82.0434292248645,06,111,197226.0
Yolo County,California,81.0912989720667,06,113,46152.0
Yuba County,California,75.7914021288201,06,115,18583.0
Alamosa County,Colorado,75.9550396158801,08,003,3474.0
Archuleta County,Colorado,81.8918030047636,08,007,3710.0
Baca County,Colorado,77.3383444138467,08,009,1038.0
Bent County,Colorado,75.9748616124026,08,011,1171.0
Chaffee County,Colorado,81.4641560038579,08,015,5259.0
Cheyenne County,Colorado,78.6879955565073,08,017,484.0
Clear Creek County,Colorado,82.6610229885307,08,019,2869.0
Conejos County,Colorado,76.4373705834421,08,021,1994.0
Costilla County,Colorado,77.0920679641841,08,023,1019.0
Crowley County,Colorado,76.8847458813323,08,025,805.0
Custer County,Colorado,81.3761757630446,08,027,1416.0
Delta County,Colorado,78.0299071880757,08,029,7805.0
Dolores County,Colorado,79.4560888187491,08,033,513.0
Douglas County,Colorado,83.6399311898685,08,035,91322.0
Eagle County,Colorado,88.7167159091399,08,037,12035.0
Elbert County,Colorado,81.8237081925238,08,039,7123.0
El Paso County,Colorado,78.8347552744772,08,041,173199.0
Fremont County,Colorado,77.2051035308431,08,043,11451.0
Garfield County,Colorado,80.6819634064959,08,045,15165.0
Gilpin County,Colorado,81.7945176234942,08,047,1602.0
Grand County,Colorado,84.0098966721527,08,049,3610.0
Gunnison County,Colorado,82.913042229065,08,051,3602.0
Huerfano County,Colorado,75.4585720983573,08,055,1868.0
Jackson County,Colorado,79.59835257654,08,057,367.0
Kiowa County,Colorado,77.3704120148078,08,061,367.0
Kit Carson County,Colorado,79.5622504984928,08,063,2078.0
Lake County,Colorado,82.0248236188546,08,065,2013.0
La Plata County,Colorado,81.9648873514121,08,067,12918.0
Larimer County,Colorado,81.6003124510936,08,069,82842.0
Las Animas County,Colorado,76.5856454888699,08,071,3903.0
Lincoln County,Colorado,78.552506862319,08,073,979.0
Logan County,Colorado,79.4270063355196,08,075,4948.0
Mesa County,Colorado,78.3834696871957,08,077,38356.0
Moffat County,Colorado,78.3900592917377,08,081,3478.0
Montezuma County,Colorado,77.4763661365105,08,083,6861.0
Montrose County,Colorado,79.5886762336159,08,085,11656.0
Morgan County,Colorado,78.2634199069944,08,087,7555.0
Otero County,Colorado,75.1862520954706,08,089,4879.0
Ouray County,Colorado,84.2141800769531,08,091,1348.0
Park County,Colorado,82.8974961064367,08,093,4589.0
Phillips County,Colorado,80.5145148117585,08,095,1084.0
Pitkin County,Colorado,91.3769660058971,08,097,3439.0
Prowers County,Colorado,76.8437289856315,08,099,3233.0
Pueblo County,Colorado,76.4093117151939,08,101,40874.0
Rio Blanco County,Colorado,78.8548637165788,08,103,1582.0
Rio Grande County,Colorado,76.8193945628893,08,105,2789.0
Routt County,Colorado,83.4376463460472,08,107,5894.0
Saguache County,Colorado,79.6752296378427,08,109,1584.0
San Miguel County,Colorado,86.3598650866599,08,113,1897.0
Sedgwick County,Colorado,77.7498097799942,08,115,592.0
Summit County,Colorado,91.6203651627367,08,117,5397.0
Teller County,Colorado,80.6009263302177,08,119,7070.0
Washington County,Colorado,79.4354096367131,08,121,1397.0
Yuma County,Colorado,79.0815160968291,08,125,2710.0
Adams County,Colorado,80.5457104115307,08,001,116273.0
Arapahoe County,Colorado,80.5457104115307,08,005,157078.0
Boulder County,Colorado,80.5457104115307,08,013,73589.0
Broomfield County,Colorado,80.5457104115307,08,014,17498.0
Denver County,Colorado,80.5457104115307,08,031,143098.0
Jefferson County,Colorado,80.5457104115307,08,059,147643.0
Weld County,Colorado,80.5457104115307,08,123,74632.0
Fairfield County,Connecticut,82.7977032113756,09,001,237215.0
Hartford County,Connecticut,80.2331635773284,09,003,225023.0
Litchfield County,Connecticut,80.3658992109622,09,005,48844.0
Middlesex County,Connecticut,81.247531185785,09,007,42841.0
New Haven County,Connecticut,80.122180105688,09,009,204804.0
New London County,Connecticut,79.826808998402,09,011,69306.0
Tolland County,Connecticut,81.7788690174239,09,013,35464.0
Windham County,Connecticut,78.8197586759148,09,015,29443.0
Kent County,Delaware,77.2112341918458,10,001,44677.0
New Castle County,Delaware,78.2865084160653,10,003,131858.0
Sussex County,Delaware,78.5673807823887,10,005,61366.0
Alachua County,Florida,78.4535602220354,12,001,50396.0
Baker County,Florida,74.9514582037514,12,003,6600.0
Bay County,Florida,75.7253025508484,12,005,45243.0
Bradford County,Florida,75.0073944133113,12,007,5921.0
Brevard County,Florida,77.2716340365655,12,009,145729.0
Broward County,Florida,80.4755284438197,12,011,436468.0
Calhoun County,Florida,74.6914495357496,12,013,2873.0
Charlotte County,Florida,80.1348066988875,12,015,48430.0
Citrus County,Florida,75.1336556402493,12,017,38892.0
Clay County,Florida,77.1640126531372,12,019,55688.0
Collier County,Florida,84.9489435983752,12,021,95659.0
Columbia County,Florida,74.9542147993122,12,023,15579.0
