County,State,mean_life_expectancy,State_FIPS,County_FIPS,Black Population
Autauga County,Alabama,76.5932651350438,01,001,10538.0
Baldwin County,Alabama,78.2935223384932,01,003,19718.0
Barbour County,Alabama,74.8145320945807,01,005,12066.0
Bibb County,Alabama,73.9200538034534,01,007,5014.0
Blount County,Alabama,75.0291855488467,01,009,928.0
Bullock County,Alabama,73.9493288862537,01,011,7666.0
Butler County,Alabama,74.1389189035864,01,013,9001.0
Calhoun County,Alabama,73.5629066906819,01,015,23830.0
Chambers County,Alabama,74.7026464205289,01,017,13316.0
Cherokee County,Alabama,74.6131502945787,01,019,1191.0
Chilton County,Alabama,74.5859698133504,01,021,4041.0
Choctaw County,Alabama,74.6284355949225,01,023,5500.0
Clarke County,Alabama,75.0999434901388,01,025,11044.0
Clay County,Alabama,74.701948975265,01,027,2075.0
Cleburne County,Alabama,74.7558638422596,01,029,410.0
Coffee County,Alabama,76.3997264684506,01,031,8733.0
Colbert County,Alabama,74.5331789579054,01,033,8872.0
Conecuh County,Alabama,73.8841768203255,01,035,5919.0
Coosa County,Alabama,75.7384814528474,01,037,3615.0
Covington County,Alabama,74.2115895055701,01,039,5018.0
Crenshaw County,Alabama,74.3548048141269,01,041,3228.0
Cullman County,Alabama,74.5626540622359,01,043,1073.0
Dale County,Alabama,75.5818368193645,01,045,10000.0
Dallas County,Alabama,72.4762524056376,01,047,27693.0
DeKalb County,Alabama,74.9432497939268,01,049,1039.0
Elmore County,Alabama,76.2158567842262,01,051,17449.0
Escambia County,Alabama,73.3131687800953,01,053,11878.0
Etowah County,Alabama,73.3604926263926,01,055,16330.0
Fayette County,Alabama,74.0421749009191,01,057,1948.0
Franklin County,Alabama,74.0661703364282,01,059,1385.0
Geneva County,Alabama,74.3981355513722,01,061,2538.0
Greene County,Alabama,74.0544180583619,01,063,6618.0
Hale County,Alabama,74.195380885004,01,065,8796.0
Henry County,Alabama,75.6447400375483,01,067,4565.0
Houston County,Alabama,76.2430325268057,01,069,28157.0
Jackson County,Alabama,73.6828553298684,01,071,1809.0
Jefferson County,Alabama,74.8621541773249,01,073,283311.0
Lamar County,Alabama,74.8683149184064,01,075,1479.0
Lauderdale County,Alabama,76.2969405417653,01,077,9596.0
Lawrence County,Alabama,74.0450227399105,01,079,3502.0
Lee County,Alabama,77.9139576690325,01,081,36920.0
Limestone County,Alabama,77.6675828538061,01,083,13028.0
Lowndes County,Alabama,72.074118169288,01,085,7522.0
Macon County,Alabama,73.257603254685,01,087,15560.0
Madison County,Alabama,77.7641916190152,01,089,88011.0
Marengo County,Alabama,73.5254347483341,01,091,10348.0
Marion County,Alabama,74.6258695781583,01,093,1070.0
Marshall County,Alabama,74.5877863503167,01,095,2549.0
Mobile County,Alabama,75.3368060857871,01,097,148050.0
Monroe County,Alabama,75.1270770002995,01,099,9026.0
Montgomery County,Alabama,76.4216275471708,01,101,131408.0
Morgan County,Alabama,75.4863635328123,01,103,15230.0
Perry County,Alabama,73.1742532055544,01,105,6491.0
Pickens County,Alabama,74.8142448398232,01,107,8134.0
Pike County,Alabama,75.2422168626359,01,109,12277.0
Randolph County,Alabama,74.6401983680838,01,111,4622.0
Russell County,Alabama,73.8179782797389,01,113,25300.0
Saint Clair County,Alabama,75.2553895649825,01,115,8447.0
Shelby County,Alabama,80.4641938071101,01,117,25878.0
Sumter County,Alabama,74.9804619366111,01,119,9204.0
Talladega County,Alabama,73.8695996345704,01,121,26215.0
Tallapoosa County,Alabama,75.1740848507411,01,123,11123.0
Tuscaloosa County,Alabama,76.6889893454644,01,125,66307.0
Walker County,Alabama,70.6271114963763,01,127,3961.0
Washington County,Alabama,74.8365149840162,01,129,3894.0
Wilcox County,Alabama,71.8708091393013,01,131,7410.0
Winston County,Alabama,74.940147608181,01,133,174.0
Anchorage Municipality,Alaska,79.3865194176634,02,020,16341.0
Bethel Census Area,Alaska,72.7950243111552,02,050,135.0
Bristol Bay Borough,Alaska,76.6332466885107,02,060,5.0
Fairbanks North Star Borough,Alaska,80.6262503620013,02,090,4412.0
Haines Borough,Alaska,83.0150521479304,02,100,0.0
Juneau City and Borough,Alaska,81.2261376714925,02,110,320.0
Kenai Peninsula Borough,Alaska,78.9204662278644,02,122,365.0
Kodiak Island Borough,Alaska,80.7900989550181,02,150,46.0
Matanuska-Susitna Borough,Alaska,79.1898406557226,02,170,1299.0
Nome Census Area,Alaska,70.84535552875,02,180,95.0
North Slope Borough,Alaska,75.9546291142911,02,185,151.0
Sitka City and Borough,Alaska,80.8518144560272,02,220,80.0
Southeast Fairbanks Census Area,Alaska,77.9794410796304,02,240,45.0
Valdez-Cordova Census Area,Alaska,79.5744180540543,02,261,35.0
Wade Hampton Census Area,Alaska,68.5618044992559,02,270,
Northwest Arctic Borough,Alaska,72.7862703824079,02,188,94.0
Aleutians East Borough,Alaska,84.863880134356,02,013,142.0
Aleutians West Census Area,Alaska,84.863880134356,02,016,191.0
Dillingham Census Area,Alaska,74.5502413308315,02,070,79.0
Lake and Peninsula Borough,Alaska,74.5502413308315,02,164,16.0
Denali Borough,Alaska,74.9741404048799,02,068,26.0
Yukon-Koyukuk Census Area,Alaska,74.9741404048799,02,290,4.0
Hoonah-Angoon Census Area,Alaska,81.5456543521652,02,105,68.0
Skagway Municipality,Alaska,81.5456543521652,02,230,44.0
Yakutat City and Borough,Alaska,81.5456543521652,02,282,5.0
Ketchikan Gateway Borough,Alaska,79.753892368488,02,130,104.0
Petersburg Borough,Alaska,79.753892368488,02,195,33.0
Prince of Wales-Hyder Census Area,Alaska,79.753892368488,02,198,29.0
Wrangell City and Borough,Alaska,79.753892368488,02,275,1.0
Apache County,Arizona,72.3284548272921,04,001,373.0
Cochise County,Arizona,77.7795013827217,04,003,5132.0
Coconino County,Arizona,78.79049043438,04,005,1742.0
Gila County,Arizona,74.3478336675243,04,007,375.0
Graham County,Arizona,77.2067923381599,04,009,744.0
Greenlee County,Arizona,78.4893303009505,04,011,209.0
Maricopa County,Arizona,79.7635827048315,04,013,243640.0
Mohave County,Arizona,75.2291349289979,04,015,2217.0
Navajo County,Arizona,73.6982428819168,04,017,1005.0
Pima County,Arizona,78.8273378145992,04,019,36581.0
Pinal County,Arizona,81.4701445906188,04,021,18915.0
Santa Cruz County,Arizona,82.039463073111,04,023,301.0
Yavapai County,Arizona,78.1846564541411,04,025,1495.0
La Paz County,Arizona,81.4353901669475,04,012,200.0
Yuma County,Arizona,81.4353901669475,04,027,4533.0
Arkansas County,Arkansas,74.0251497586038,05,001,4636.0
Ashley County,Arkansas,74.2895051923306,05,003,5150.0
Baxter County,Arkansas,76.2501239643624,05,005,67.0
Benton County,Arkansas,79.69562751172,05,007,4541.0
Boone County,Arkansas,76.4606951241037,05,009,125.0
Bradley County,Arkansas,74.0787319215763,05,011,3135.0
Calhoun County,Arkansas,75.0215094185301,05,013,1125.0
Carroll County,Arkansas,77.2842160355692,05,015,289.0
Chicot County,Arkansas,73.6861573372926,05,017,5724.0
Clark County,Arkansas,76.0630306037432,05,019,5434.0
Clay County,Arkansas,73.1902475268155,05,021,100.0
Cleburne County,Arkansas,75.9718803756163,05,023,98.0
Cleveland County,Arkansas,75.1716757513491,05,025,1040.0
Columbia County,Arkansas,74.5558798297109,05,027,8592.0
Conway County,Arkansas,74.9230500819947,05,029,2167.0
Craighead County,Arkansas,76.4586434664692,05,031,15614.0
Crawford County,Arkansas,76.0994700780118,05,033,993.0
Crittenden County,Arkansas,73.0267848799303,05,035,23352.0
Cross County,Arkansas,73.4524804330144,05,037,3141.0
Dallas County,Arkansas,73.9958868828713,05,039,3148.0
Desha County,Arkansas,72.7220178284176,05,041,5456.0
Drew County,Arkansas,75.3221847381784,05,043,5289.0
Faulkner County,Arkansas,76.6906424011415,05,045,14094.0
Franklin County,Arkansas,74.8382795580183,05,047,174.0
Fulton County,Arkansas,75.0356374627702,05,049,58.0
Garland County,Arkansas,74.8562256903252,05,051,8092.0
Grant County,Arkansas,75.6041085997915,05,053,482.0
Greene County,Arkansas,74.3358069408924,05,055,864.0
Hempstead County,Arkansas,75.5311036861403,05,057,6582.0
Hot Spring County,Arkansas,74.4833685843654,05,059,3834.0
Howard County,Arkansas,74.3708884718481,05,061,2779.0
Independence County,Arkansas,76.1679910478133,05,063,720.0
Izard County,Arkansas,75.6157370549392,05,065,248.0
Jackson County,Arkansas,73.4717805117145,05,067,2091.0
Jefferson County,Arkansas,73.4261899123358,05,069,39165.0
Johnson County,Arkansas,75.9836214076058,05,071,421.0
Lafayette County,Arkansas,74.9707697442814,05,073,2448.0
Lawrence County,Arkansas,74.1619647316862,05,075,186.0
Lee County,Arkansas,73.6550632062585,05,077,5108.0
Lincoln County,Arkansas,75.1174601445946,05,079,4106.0
Little River County,Arkansas,74.2296480855239,05,081,2710.0
Logan County,Arkansas,74.5390519713844,05,083,298.0
Lonoke County,Arkansas,75.1530127524346,05,085,4110.0
Madison County,Arkansas,75.8570084978955,05,087,49.0
Marion County,Arkansas,75.6545986398168,05,089,80.0
Miller County,Arkansas,75.0245849048596,05,091,10789.0
Mississippi County,Arkansas,71.6047392412473,05,093,14212.0
Monroe County,Arkansas,72.5085008717615,05,095,3030.0
Montgomery County,Arkansas,75.8260867646292,05,097,30.0
Nevada County,Arkansas,74.3619052994291,05,099,2884.0
Newton County,Arkansas,77.4202686543232,05,101,2.0
Ouachita County,Arkansas,73.4591112390394,05,103,9923.0
Perry County,Arkansas,75.1914833175535,05,105,69.0
Phillips County,Arkansas,71.3872806812049,05,107,11750.0
Pike County,Arkansas,75.2543244823106,05,109,439.0
Poinsett County,Arkansas,71.448323467462,05,111,1093.0
Polk County,Arkansas,75.318879330763,05,113,95.0
Pope County,Arkansas,76.7648866733951,05,115,1909.0
Prairie County,Arkansas,76.3100595930086,05,117,1017.0
Pulaski County,Arkansas,76.2703323632758,05,119,144802.0
Randolph County,Arkansas,74.5934682592182,05,121,192.0
Saint Francis County,Arkansas,74.2825629644221,05,123,13845.0
Saline County,Arkansas,77.3055666277896,05,125,8518.0
Scott County,Arkansas,74.8636036332918,05,127,25.0
Searcy County,Arkansas,75.4159073702129,05,129,48.0
Sebastian County,Arkansas,76.1656763127211,05,131,8642.0
Sevier County,Arkansas,75.6975365722476,05,133,827.0
Sharp County,Arkansas,73.8715952603263,05,135,143.0
Stone County,Arkansas,76.3093521708669,05,137,11.0
Union County,Arkansas,73.5506121344898,05,139,12887.0
Van Buren County,Arkansas,76.0940936040922,05,141,101.0
Washington County,Arkansas,78.0991138391832,05,143,8545.0
White County,Arkansas,75.5567414461608,05,145,3434.0
Woodruff County,Arkansas,72.9480766180175,05,147,1839.0
Yell County,Arkansas,74.9235318658026,05,149,526.0
Alameda County,California,82.7575999201849,06,001,175751.0
Alpine County,California,78.6485788538821,06,003,9.0
Amador County,California,79.8862333173767,06,005,904.0
Butte County,California,77.74205624894,06,007,3461.0
Calaveras County,California,79.652233484278,06,009,315.0
Colusa County,California,79.8519517516367,06,011,327.0
Contra Costa County,California,82.3343582015746,06,013,99642.0
Del Norte County,California,75.6423735250373,06,015,940.0
El Dorado County,California,81.9417323021439,06,017,1516.0
Fresno County,California,78.7315724036983,06,019,46782.0
Glenn County,California,77.4985091634692,06,021,230.0
Humboldt County,California,77.103231884233,06,023,1506.0
Imperial County,California,81.0043587502323,06,025,4489.0
Inyo County,California,79.7078188792565,06,027,153.0
Kern County,California,77.2937032261976,06,029,48550.0
Kings County,California,79.6146493630519,06,031,9642.0
Lake County,California,74.991217511911,06,033,1447.0
Lassen County,California,78.2284119036475,06,035,2686.0
Los Angeles County,California,81.972558307764,06,037,820478.0
Madera County,California,79.3974531940033,06,039,4949.0
Marin County,California,85.1494474193505,06,041,5767.0
Mariposa County,California,80.1801056836494,06,043,253.0
Mendocino County,California,79.077233019805,06,045,628.0
Merced County,California,78.8420147049498,06,047,8645.0
Modoc County,California,77.2373424971755,06,049,136.0
Mono County,California,85.4852438391621,06,051,111.0
Monterey County,California,82.2537544267071,06,053,11367.0
Napa County,California,81.66511692599,06,055,2883.0
Nevada County,California,81.3041858848551,06,057,570.0
Orange County,California,82.9944118033005,06,059,55591.0
Placer County,California,82.0887926135161,06,061,6626.0
Plumas County,California,78.6325377024891,06,063,166.0
Riverside County,California,80.7191290565484,06,065,156836.0
Sacramento County,California,79.4935137170957,06,067,149891.0
San Benito County,California,81.9286772500934,06,069,491.0
San Bernardino County,California,78.5801556964033,06,071,179292.0
San Diego County,California,82.0170756619688,06,073,166750.0
San Francisco County,California,83.5138158609691,06,075,45556.0
San Joaquin County,California,78.3915151066575,06,077,51931.0
San Luis Obispo County,California,81.5052105883313,06,079,5319.0
San Mateo County,California,84.7023442849213,06,081,17784.0
Santa Barbara County,California,81.8166907378361,06,083,8984.0
Santa Clara County,California,84.5063120740832,06,085,47992.0
Santa Cruz County,California,82.7177673079809,06,087,2904.0
Shasta County,California,76.2390119338471,06,089,2088.0
Sierra County,California,78.8775588444232,06,091,2.0
Siskiyou County,California,76.2690959628399,06,093,695.0
Solano County,California,80.0436361786558,06,095,61526.0
Sonoma County,California,82.0820448341027,06,097,8269.0
Stanislaus County,California,77.8966215595777,06,099,16547.0
Sutter County,California,78.6026819687963,06,101,1827.0
Tehama County,California,77.3220982796968,06,103,530.0
Trinity County,California,76.6003438081553,06,105,127.0
Tulare County,California,78.4413170202644,06,107,7201.0
Tuolumne County,California,78.8406628636061,06,109,984.0
Ventura County,California,82.2820614093944,06,111,15594.0
Yolo County,California,81.315994065652,06,113,5847.0
Yuba County,California,76.0772917446634,06,115,2621.0
Alamosa County,Colorado,75.8122663850422,08,003,144.0
Archuleta County,Colorado,82.1853597930904,08,007,230.0
Baca County,Colorado,77.5452423013832,08,009,34.0
Bent County,Colorado,76.0410177047456,08,011,238.0
