County,State,mean_life_expectancy,State_FIPS,County_FIPS,Bachelor's Degree or Higher (%)
Autauga County,Alabama,76.0923839492951,01,001,23.9
Baldwin County,Alabama,77.9590260303945,01,003,28.9
Barbour County,Alabama,75.723760010315,01,005,12.9
Bibb County,Alabama,74.0704786684836,01,007,9.2
Blount County,Alabama,75.57623817677,01,009,11.5
Bullock County,Alabama,73.9667452558383,01,011,10.8
Butler County,Alabama,74.1879513563979,01,013,13.3
Calhoun County,Alabama,73.7500629106712,01,015,16.7
Chambers County,Alabama,74.4744393001101,01,017,13.7
Cherokee County,Alabama,74.8083588255097,01,019,12.8
Chilton County,Alabama,74.361687582335,01,021,12.8
Choctaw County,Alabama,74.767407753043,01,023,11.8
Clarke County,Alabama,75.234900184891,01,025,11.1
Clay County,Alabama,74.7573360142862,01,027,6.3
Cleburne County,Alabama,74.1228766542021,01,029,8.5
Coffee County,Alabama,76.7812212244236,01,031,23.9
Colbert County,Alabama,74.7421988900332,01,033,16.8
Conecuh County,Alabama,73.8726045151823,01,035,8.4
Coosa County,Alabama,75.2580877653134,01,037,5.3
Covington County,Alabama,74.8659701913572,01,039,14.2
Crenshaw County,Alabama,74.4189555245288,01,041,9.6
Cullman County,Alabama,74.9300732935393,01,043,15.1
Dale County,Alabama,75.9998085962609,01,045,17.5
Dallas County,Alabama,72.1686309532854,01,047,12.7
DeKalb County,Alabama,74.7318781453857,01,049,10.2
Elmore County,Alabama,75.9399909370708,01,051,20.4
Escambia County,Alabama,73.7808302047218,01,053,11.4
Etowah County,Alabama,73.3708247850727,01,055,15.1
Fayette County,Alabama,74.0659626546655,01,057,12.7
Franklin County,Alabama,73.5137577154115,01,059,10.0
Geneva County,Alabama,75.0218977493571,01,061,10.3
Greene County,Alabama,74.4811078615176,01,063,7.2
Hale County,Alabama,74.1560323615994,01,065,11.7
Henry County,Alabama,75.7543594558265,01,067,15.6
Houston County,Alabama,76.559115914522,01,069,20.6
Jackson County,Alabama,73.5264035395202,01,071,11.8
Jefferson County,Alabama,74.9798554080244,01,073,30.8
Lamar County,Alabama,74.7116839103121,01,075,10.7
Lauderdale County,Alabama,76.1300402688184,01,077,23.4
Lawrence County,Alabama,73.989537746666,01,079,12.0
Lee County,Alabama,77.5595991086487,01,081,33.5
Limestone County,Alabama,77.4754459389285,01,083,22.5
Lowndes County,Alabama,72.2634055675833,01,085,13.1
Macon County,Alabama,73.4904632643591,01,087,16.3
Madison County,Alabama,77.8536736827048,01,089,41.8
Marengo County,Alabama,74.0363714016051,01,091,14.7
Marion County,Alabama,74.4921559001086,01,093,10.9
Marshall County,Alabama,74.1039393352051,01,095,16.5
Mobile County,Alabama,75.1117597992232,01,097,20.1
Monroe County,Alabama,75.0245488974323,01,099,9.9
Montgomery County,Alabama,76.1126905968678,01,101,30.5
Morgan County,Alabama,75.7548165522007,01,103,20.8
Perry County,Alabama,72.5637425616024,01,105,7.1
Pickens County,Alabama,74.4392811093029,01,107,8.9
Pike County,Alabama,75.2623836523974,01,109,23.8
Randolph County,Alabama,74.7053091696992,01,111,11.8
Russell County,Alabama,74.3805861878772,01,113,14.8
Saint Clair County,Alabama,75.1216644950582,01,115,15.0
Shelby County,Alabama,79.9186609893026,01,117,42.0
Sumter County,Alabama,74.4570441053706,01,119,16.2
Talladega County,Alabama,73.6869492872818,01,121,11.7
Tallapoosa County,Alabama,75.1270284243972,01,123,17.3
Tuscaloosa County,Alabama,76.2841722904781,01,125,25.6
Walker County,Alabama,70.7322477452283,01,127,10.8
Washington County,Alabama,74.6503643642396,01,129,7.4
Wilcox County,Alabama,72.0305770620779,01,131,9.3
Winston County,Alabama,74.5222642002393,01,133,11.2
Anchorage Municipality,Alaska,78.9022024656191,02,020,31.0
Bethel Census Area,Alaska,72.9844076508492,02,050,8.9
Bristol Bay Borough,Alaska,75.8752123759168,02,060,18.6
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,26.5
Haines Borough,Alaska,81.5832545334811,02,100,26.3
Juneau City and Borough,Alaska,80.0410654674188,02,110,35.7
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,21.4
Kodiak Island Borough,Alaska,79.5249195452452,02,150,16.9
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,19.2
Nome Census Area,Alaska,71.1118591784878,02,180,13.6
North Slope Borough,Alaska,75.4534450228025,02,185,11.8
Sitka City and Borough,Alaska,79.8800680903336,02,220,28.9
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,22.1
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,18.8
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,3.4
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,12.8
Aleutians East Borough,Alaska,83.6895218542177,02,013,11.0
Aleutians West Census Area,Alaska,83.6895218542177,02,016,14.8
Dillingham Census Area,Alaska,74.0829453697083,02,070,12.1
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,11.3
Denali Borough,Alaska,73.8895242313275,02,068,21.3
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,8.0
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,29.6
Skagway Municipality,Alaska,80.6002714993476,02,230,34.3
Yakutat City and Borough,Alaska,80.6002714993476,02,282,17.4
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,22.4
Petersburg Borough,Alaska,78.483859022547,02,195,25.4
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,15.2
Wrangell City and Borough,Alaska,78.483859022547,02,275,17.5
Apache County,Arizona,73.5730101249103,04,001,8.4
Cochise County,Arizona,78.4493453995009,04,003,23.8
Coconino County,Arizona,79.1262342389113,04,005,31.8
Gila County,Arizona,75.2769023094933,04,007,18.3
Graham County,Arizona,77.4673057827607,04,009,13.0
Greenlee County,Arizona,78.8069444314949,04,011,13.1
Maricopa County,Arizona,80.1983661565339,04,013,31.3
Mohave County,Arizona,75.4575819953017,04,015,12.3
Navajo County,Arizona,74.9438441304313,04,017,14.5
Pima County,Arizona,79.1994643325826,04,019,31.2
Pinal County,Arizona,81.00600317497,04,021,17.3
Santa Cruz County,Arizona,82.1001879296229,04,023,22.6
Yavapai County,Arizona,78.6665178423471,04,025,26.1
La Paz County,Arizona,81.3387718155153,04,012,11.2
Yuma County,Arizona,81.3387718155153,04,027,13.7
Arkansas County,Arkansas,73.8595673933612,05,001,14.0
Ashley County,Arkansas,74.4883652123264,05,003,11.0
Baxter County,Arkansas,76.2516267748183,05,005,18.1
Benton County,Arkansas,79.4059652057882,05,007,31.5
Boone County,Arkansas,76.5795522414594,05,009,15.5
Bradley County,Arkansas,74.0452396036787,05,011,11.0
Calhoun County,Arkansas,75.0978238246715,05,013,10.5
Carroll County,Arkansas,77.1207588475348,05,015,16.5
Chicot County,Arkansas,73.7092556075907,05,017,9.7
Clark County,Arkansas,75.5507566291671,05,019,22.5
Clay County,Arkansas,73.4648065193879,05,021,7.8
Cleburne County,Arkansas,76.2661790660477,05,023,19.0
Cleveland County,Arkansas,75.3480894669705,05,025,14.0
Columbia County,Arkansas,74.6838399967277,05,027,21.9
Conway County,Arkansas,75.4448351198573,05,029,15.2
Craighead County,Arkansas,76.2131160171002,05,031,23.8
Crawford County,Arkansas,75.743439597931,05,033,14.8
Crittenden County,Arkansas,73.0028156081488,05,035,13.6
Cross County,Arkansas,73.6777390034632,05,037,9.5
Dallas County,Arkansas,73.9263258901165,05,039,10.5
Desha County,Arkansas,73.4276736608831,05,041,10.3
Drew County,Arkansas,75.5138970499214,05,043,18.8
Faulkner County,Arkansas,76.9073679000959,05,045,26.4
Franklin County,Arkansas,75.0304629963768,05,047,13.0
Fulton County,Arkansas,75.4479638785258,05,049,9.1
Garland County,Arkansas,75.0910563247615,05,051,22.9
Grant County,Arkansas,75.8549997601848,05,053,14.9
Greene County,Arkansas,74.5883419533341,05,055,13.6
Hempstead County,Arkansas,75.0816457515582,05,057,13.2
Hot Spring County,Arkansas,74.674457659159,05,059,12.7
Howard County,Arkansas,74.5248817797813,05,061,13.9
Independence County,Arkansas,75.818962809451,05,063,14.1
Izard County,Arkansas,75.5224554466382,05,065,12.1
Jackson County,Arkansas,73.4906835570058,05,067,8.8
Jefferson County,Arkansas,73.7452633122832,05,069,14.5
Johnson County,Arkansas,76.0184647706335,05,071,16.1
Lafayette County,Arkansas,74.2310473910241,05,073,13.0
Lawrence County,Arkansas,74.1199788657354,05,075,9.9
Lee County,Arkansas,73.7502943427827,05,077,4.1
Lincoln County,Arkansas,75.4553403866795,05,079,5.5
Little River County,Arkansas,74.1885922604194,05,081,7.9
Logan County,Arkansas,74.7690105799881,05,083,10.6
Lonoke County,Arkansas,75.2359220612144,05,085,18.4
Madison County,Arkansas,75.6663513769671,05,087,8.6
Marion County,Arkansas,75.5962916062646,05,089,11.8
Miller County,Arkansas,74.8835906326357,05,091,9.3
Mississippi County,Arkansas,72.1102865682895,05,093,12.6
Monroe County,Arkansas,72.8831990296179,05,095,10.9
Montgomery County,Arkansas,76.3127945367472,05,097,13.9
Nevada County,Arkansas,74.2558254291586,05,099,14.8
Newton County,Arkansas,77.256810854711,05,101,11.4
Ouachita County,Arkansas,73.4859440403868,05,103,16.9
Perry County,Arkansas,75.2161291747456,05,105,14.9
Phillips County,Arkansas,71.3295020847569,05,107,11.9
Pike County,Arkansas,75.3612335128047,05,109,11.2
Poinsett County,Arkansas,71.8549037872847,05,111,8.7
Polk County,Arkansas,75.2614485975633,05,113,10.7
Pope County,Arkansas,76.6058991104863,05,115,20.2
Prairie County,Arkansas,75.782559047161,05,117,8.8
Pulaski County,Arkansas,76.1795129989355,05,119,32.6
Randolph County,Arkansas,74.9895162117781,05,121,14.0
Saint Francis County,Arkansas,74.2474039903728,05,123,9.5
Saline County,Arkansas,77.3960857547918,05,125,22.8
Scott County,Arkansas,75.2749649430301,05,127,9.6
Searcy County,Arkansas,76.0184922982395,05,129,10.3
Sebastian County,Arkansas,75.8356293882159,05,131,20.6
Sevier County,Arkansas,75.1099628253174,05,133,6.8
Sharp County,Arkansas,74.3655114172071,05,135,10.6
Stone County,Arkansas,76.4680154726822,05,137,15.4
Union County,Arkansas,73.531738985156,05,139,16.8
Van Buren County,Arkansas,76.3230678398837,05,141,12.6
Washington County,Arkansas,78.0525791787306,05,143,30.0
White County,Arkansas,75.3684739400756,05,145,18.8
Woodruff County,Arkansas,72.9691657863222,05,147,8.3
Yell County,Arkansas,74.9489492833161,05,149,11.0
Alameda County,California,81.9574601824784,06,001,42.0
Alpine County,California,79.1446091671374,06,003,26.8
Amador County,California,79.8676286856863,06,005,20.0
Butte County,California,77.9166897330305,06,007,25.7
Calaveras County,California,79.7392007377838,06,009,21.2
Colusa County,California,80.0718304385206,06,011,13.1
Contra Costa County,California,81.7294599306854,06,013,40.3
Del Norte County,California,75.9903836947179,06,015,13.5
El Dorado County,California,81.4213825961216,06,017,33.9
Fresno County,California,78.6231883737308,06,019,18.9
Glenn County,California,77.838340878587,06,021,13.4
Humboldt County,California,77.0034274971952,06,023,26.0
Imperial County,California,80.9437764733412,06,025,12.3
Inyo County,California,79.4013711406659,06,027,23.7
Kern County,California,77.4155560118422,06,029,14.7
Kings County,California,79.3394443531957,06,031,10.4
Lake County,California,75.2601471981006,06,033,17.2
Lassen County,California,78.5878680298779,06,035,9.9
Los Angeles County,California,81.6088919970855,06,037,30.2
Madera County,California,79.0356091221892,06,039,13.7
Marin County,California,84.3889101013875,06,041,53.5
Mariposa County,California,80.4146626674398,06,043,19.4
Mendocino County,California,78.7539965198557,06,045,21.0
Merced County,California,78.7699495167401,06,047,12.3
Modoc County,California,77.9703785616707,06,049,17.9
Mono County,California,85.1387867187453,06,051,30.7
Monterey County,California,82.0187429129939,06,053,22.1
Napa County,California,81.1951616905384,06,055,30.7
Nevada County,California,81.3087317219083,06,057,34.7
Orange County,California,82.5275699941024,06,059,39.0
Placer County,California,81.5788607115974,06,061,37.5
Plumas County,California,78.5240261319388,06,063,24.6
Riverside County,California,80.5356107538776,06,065,21.2
Sacramento County,California,79.2359862466345,06,067,28.4
San Benito County,California,81.8447025218421,06,069,18.7
San Bernardino County,California,78.6008851539483,06,071,18.0
San Diego County,California,81.6354754382568,06,073,35.9
San Francisco County,California,82.7273768509478,06,075,53.8
San Joaquin County,California,78.2052741778494,06,077,17.6
San Luis Obispo County,California,81.4165855283812,06,079,31.6
San Mateo County,California,83.8167556579334,06,081,44.2
Santa Barbara County,California,81.762921966888,06,083,31.6
Santa Clara County,California,83.7459727060519,06,085,49.5
Santa Cruz County,California,81.7431879819541,06,087,36.6
Shasta County,California,76.1366803244793,06,089,19.8
Sierra County,California,79.1154203499916,06,091,17.2
Siskiyou County,California,76.7123533175491,06,093,24.4
Solano County,California,79.7765697132744,06,095,22.9
Sonoma County,California,81.3537531397856,06,097,31.5
