County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Owner)
Autauga County,Alabama,75.8778642323899,01,001,372.0
Baldwin County,Alabama,77.9130697620398,01,003,917.0
Barbour County,Alabama,74.9198636240141,01,005,284.0
Bibb County,Alabama,73.6673305057905,01,007,209.0
Blount County,Alabama,75.0352199305904,01,009,376.0
Bullock County,Alabama,74.0743945438457,01,011,225.0
Butler County,Alabama,73.7224421194177,01,013,212.0
Calhoun County,Alabama,73.2983281711204,01,015,988.0
Chambers County,Alabama,74.35653924479,01,017,516.0
Cherokee County,Alabama,74.35852627411,01,019,177.0
Chilton County,Alabama,74.0413531729133,01,021,416.0
Choctaw County,Alabama,74.2486999564165,01,023,324.0
Clarke County,Alabama,74.5765529742926,01,025,360.0
Clay County,Alabama,74.369383765865,01,027,74.0
Cleburne County,Alabama,73.9771106499581,01,029,197.0
Coffee County,Alabama,76.3011829926155,01,031,329.0
Colbert County,Alabama,74.3929774045908,01,033,450.0
Conecuh County,Alabama,73.4218703928667,01,035,233.0
Coosa County,Alabama,75.1413818724986,01,037,145.0
Covington County,Alabama,74.1371294582595,01,039,355.0
Crenshaw County,Alabama,74.0180136364953,01,041,184.0
Cullman County,Alabama,74.3769894915807,01,043,526.0
Dale County,Alabama,75.5523047608571,01,045,422.0
Dallas County,Alabama,71.9735127187965,01,047,554.0
DeKalb County,Alabama,74.4934976817947,01,049,323.0
Elmore County,Alabama,75.7757161449512,01,051,569.0
Escambia County,Alabama,73.1630074988594,01,053,278.0
Etowah County,Alabama,73.053355135026,01,055,980.0
Fayette County,Alabama,73.6581554932797,01,057,230.0
Franklin County,Alabama,73.3754326341656,01,059,158.0
Geneva County,Alabama,74.4234456628163,01,061,227.0
Greene County,Alabama,73.9562928242995,01,063,173.0
Hale County,Alabama,73.7872404003688,01,065,326.0
Henry County,Alabama,75.4295227396512,01,067,302.0
Houston County,Alabama,76.107335428337,01,069,753.0
Jackson County,Alabama,73.4224281684067,01,071,395.0
Jefferson County,Alabama,74.6861744174914,01,073,5638.0
Lamar County,Alabama,74.3621045612881,01,075,112.0
Lauderdale County,Alabama,76.0319979262066,01,077,1014.0
Lawrence County,Alabama,73.765357848758,01,079,274.0
Lee County,Alabama,77.5109882075979,01,081,647.0
Limestone County,Alabama,77.2763641772968,01,083,558.0
Lowndes County,Alabama,71.8951633690497,01,085,289.0
Macon County,Alabama,73.090134567349,01,087,413.0
Madison County,Alabama,77.5122550397981,01,089,2362.0
Marengo County,Alabama,73.54245764648,01,091,297.0
Marion County,Alabama,74.0145601745605,01,093,225.0
Marshall County,Alabama,74.0554552221729,01,095,557.0
Mobile County,Alabama,74.8448680449495,01,097,3225.0
Monroe County,Alabama,74.7048197454091,01,099,199.0
Montgomery County,Alabama,75.9247713547993,01,101,1613.0
Morgan County,Alabama,75.2816176346909,01,103,626.0
Perry County,Alabama,72.2207426684408,01,105,147.0
Pickens County,Alabama,74.3841278449026,01,107,307.0
Pike County,Alabama,74.9075976437267,01,109,204.0
Randolph County,Alabama,74.1995203731576,01,111,215.0
Russell County,Alabama,73.8166201926909,01,113,615.0
Saint Clair County,Alabama,74.931099486946,01,115,591.0
Shelby County,Alabama,79.9329869213868,01,117,1089.0
Sumter County,Alabama,74.3710053760309,01,119,311.0
Talladega County,Alabama,73.4265194965138,01,121,800.0
Tallapoosa County,Alabama,74.8367340685609,01,123,427.0
Tuscaloosa County,Alabama,76.1222396683925,01,125,1397.0
Walker County,Alabama,70.313647599106,01,127,739.0
Washington County,Alabama,74.2666042086814,01,129,129.0
Wilcox County,Alabama,71.4893330327934,01,131,176.0
Winston County,Alabama,74.3483369616355,01,133,354.0
Anchorage Municipality,Alaska,78.9414080782189,02,020,1208.0
Bethel Census Area,Alaska,72.4470915674431,02,050,1647.0
Bristol Bay Borough,Alaska,75.6282235384974,02,060,11.0
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,334.0
Haines Borough,Alaska,81.3439033397237,02,100,44.0
Juneau City and Borough,Alaska,80.1511541046263,02,110,142.0
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,436.0
Kodiak Island Borough,Alaska,79.6808969333594,02,150,103.0
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,376.0
Nome Census Area,Alaska,70.7266373275761,02,180,954.0
North Slope Borough,Alaska,75.2944708808568,02,185,434.0
Sitka City and Borough,Alaska,80.0851648320793,02,220,108.0
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,90.0
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,111.0
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,628.0
Aleutians East Borough,Alaska,83.9668552562973,02,013,74.0
Aleutians West Census Area,Alaska,83.9668552562973,02,016,48.0
Dillingham Census Area,Alaska,73.902430273866,02,070,296.0
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,135.0
Denali Borough,Alaska,73.7545978405956,02,068,3.0
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,627.0
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,188.0
Skagway Municipality,Alaska,80.6333971268856,02,230,5.0
Yakutat City and Borough,Alaska,80.6333971268856,02,282,11.0
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,134.0
Petersburg Borough,Alaska,78.7599035617588,02,195,72.0
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,164.0
Wrangell City and Borough,Alaska,78.7599035617588,02,275,30.0
Apache County,Arizona,72.5861795747435,04,001,1671.0
Cochise County,Arizona,77.8381814457557,04,003,976.0
Coconino County,Arizona,78.7310637809859,04,005,860.0
Gila County,Arizona,74.5194372043746,04,007,764.0
Graham County,Arizona,77.0588505436379,04,009,319.0
Greenlee County,Arizona,78.2700423686553,04,011,65.0
Maricopa County,Arizona,79.7975632543799,04,013,20654.0
Mohave County,Arizona,75.0984277272029,04,015,1387.0
Navajo County,Arizona,74.0172421905699,04,017,1586.0
Pima County,Arizona,78.7473891386961,04,019,7091.0
Pinal County,Arizona,80.8872234047816,04,021,2535.0
Santa Cruz County,Arizona,81.6928524316121,04,023,211.0
Yavapai County,Arizona,78.2013767088911,04,025,1217.0
La Paz County,Arizona,81.1323584179148,04,012,292.0
Yuma County,Arizona,81.1323584179148,04,027,1710.0
Arkansas County,Arkansas,73.5078340747071,05,001,170.0
Ashley County,Arkansas,74.1018929294341,05,003,169.0
Baxter County,Arkansas,75.9668160004689,05,005,247.0
Benton County,Arkansas,79.3662392360665,05,007,886.0
Boone County,Arkansas,76.2052538764821,05,009,285.0
Bradley County,Arkansas,73.6321012263139,05,011,92.0
Calhoun County,Arkansas,74.2742607709339,05,013,51.0
Carroll County,Arkansas,76.8819075049595,05,015,298.0
Chicot County,Arkansas,73.3238474544558,05,017,213.0
Clark County,Arkansas,75.3882863851655,05,019,122.0
Clay County,Arkansas,72.9811894014708,05,021,125.0
Cleburne County,Arkansas,75.8127585008705,05,023,170.0
Cleveland County,Arkansas,74.8939886154834,05,025,87.0
Columbia County,Arkansas,74.0855795655613,05,027,170.0
Conway County,Arkansas,74.754414371743,05,029,188.0
Craighead County,Arkansas,76.0817250967884,05,031,522.0
Crawford County,Arkansas,75.6766406592927,05,033,349.0
Crittenden County,Arkansas,72.5637861678559,05,035,348.0
Cross County,Arkansas,73.2244878594942,05,037,127.0
Dallas County,Arkansas,73.4422555480321,05,039,153.0
Desha County,Arkansas,72.6462159118589,05,041,190.0
Drew County,Arkansas,75.1951468080834,05,043,82.0
Faulkner County,Arkansas,76.4874032503551,05,045,540.0
Franklin County,Arkansas,74.4845723172756,05,047,92.0
Fulton County,Arkansas,74.9094662928843,05,049,50.0
Garland County,Arkansas,74.6472657226993,05,051,666.0
Grant County,Arkansas,75.4770090781045,05,053,74.0
Greene County,Arkansas,74.1589164965496,05,055,251.0
Hempstead County,Arkansas,75.1979646501176,05,057,175.0
Hot Spring County,Arkansas,74.4999020548917,05,059,266.0
Howard County,Arkansas,73.932743414837,05,061,91.0
Independence County,Arkansas,75.597642844104,05,063,242.0
Izard County,Arkansas,75.3232023880092,05,065,146.0
Jackson County,Arkansas,73.2755006173174,05,067,93.0
Jefferson County,Arkansas,73.3573657986794,05,069,782.0
Johnson County,Arkansas,75.708328154088,05,071,188.0
Lafayette County,Arkansas,74.1087285476435,05,073,80.0
Lawrence County,Arkansas,73.8666511091755,05,075,80.0
Lee County,Arkansas,73.2898101789483,05,077,123.0
Lincoln County,Arkansas,74.8737212942846,05,079,141.0
Little River County,Arkansas,74.0887659563583,05,081,73.0
Logan County,Arkansas,74.3392486202055,05,083,150.0
Lonoke County,Arkansas,74.8597538055158,05,085,353.0
