County,State,mean_life_expectancy,State_FIPS,County_FIPS,Disability Rate
Autauga County,Alabama,75.836928054027,01,001,15.3
Baldwin County,Alabama,77.8587885068867,01,003,14.0
Barbour County,Alabama,75.6039658679806,01,005,20.3
Bibb County,Alabama,73.8813807110977,01,007,16.3
Blount County,Alabama,75.6352536319274,01,009,16.8
Bullock County,Alabama,74.4021306908516,01,011,18.5
Butler County,Alabama,73.935514642706,01,013,20.7
Calhoun County,Alabama,73.6916993651565,01,015,18.9
Chambers County,Alabama,74.3709084353389,01,017,21.1
Cherokee County,Alabama,74.7690226049665,01,019,21.7
Chilton County,Alabama,74.2037941937705,01,021,17.4
Choctaw County,Alabama,74.7667739361553,01,023,24.8
Clarke County,Alabama,75.3078949980348,01,025,18.3
Clay County,Alabama,74.5125281044463,01,027,20.0
Cleburne County,Alabama,74.2119718397456,01,029,18.9
Coffee County,Alabama,76.8029854382398,01,031,17.3
Colbert County,Alabama,74.7012544694018,01,033,19.7
Conecuh County,Alabama,73.8578396157111,01,035,22.0
Coosa County,Alabama,75.0708584990442,01,037,20.1
Covington County,Alabama,74.939706372746,01,039,21.9
Crenshaw County,Alabama,74.4540874550923,01,041,19.3
Cullman County,Alabama,74.9509513238576,01,043,17.1
Dale County,Alabama,76.1296959155196,01,045,19.7
Dallas County,Alabama,72.2967105227705,01,047,21.3
DeKalb County,Alabama,74.7966732959206,01,049,15.9
Elmore County,Alabama,75.8412881424909,01,051,14.9
Escambia County,Alabama,73.8523605614612,01,053,20.3
Etowah County,Alabama,73.3079475598584,01,055,20.0
Fayette County,Alabama,74.057058159905,01,057,25.2
Franklin County,Alabama,73.349841367943,01,059,19.3
Geneva County,Alabama,75.2540134208833,01,061,22.9
Greene County,Alabama,74.5251950347399,01,063,23.0
Hale County,Alabama,74.2120689147012,01,065,21.5
Henry County,Alabama,75.9013490151937,01,067,18.9
Houston County,Alabama,76.6049969181304,01,069,17.0
Jackson County,Alabama,73.6075996652594,01,071,18.7
Jefferson County,Alabama,75.0012975222472,01,073,14.2
Lamar County,Alabama,74.594659571128,01,075,22.0
Lauderdale County,Alabama,76.2574810844103,01,077,16.9
Lawrence County,Alabama,74.025639809588,01,079,21.0
Lee County,Alabama,77.641756133286,01,081,11.6
