County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Population
Autauga County,Alabama,76.0246312323304,01,001,55036.0
Baldwin County,Alabama,77.8952429034613,01,003,203360.0
Barbour County,Alabama,74.6572190352659,01,005,26201.0
Bibb County,Alabama,73.6342805287431,01,007,22580.0
Blount County,Alabama,74.8974607079908,01,009,57667.0
Bullock County,Alabama,73.7079253175275,01,011,10478.0
Butler County,Alabama,73.7151229204611,01,013,20126.0
Calhoun County,Alabama,73.3078477077272,01,015,115527.0
Chambers County,Alabama,74.2425871374709,01,017,33895.0
Cherokee County,Alabama,74.3480110237785,01,019,25855.0
Chilton County,Alabama,74.1052560370855,01,021,43805.0
Choctaw County,Alabama,74.2757388369681,01,023,13188.0
Clarke County,Alabama,74.6238045774491,01,025,24625.0
Clay County,Alabama,74.3591398533707,01,027,13407.0
Cleburne County,Alabama,74.0840978801744,01,029,14939.0
Coffee County,Alabama,76.2048720238035,01,031,51073.0
Colbert County,Alabama,74.2982544702841,01,033,54435.0
Conecuh County,Alabama,73.3561349626999,01,035,12649.0
Coosa County,Alabama,75.3441712856155,01,037,10955.0
Covington County,Alabama,74.078109873637,01,039,37519.0
Crenshaw County,Alabama,73.9820921275375,01,041,13866.0
Cullman County,Alabama,74.3545019878194,01,043,81703.0
Dale County,Alabama,75.4733509430588,01,045,49393.0
Dallas County,Alabama,72.03447738714,01,047,40755.0
DeKalb County,Alabama,74.524309920443,01,049,71194.0
Elmore County,Alabama,75.8544515314726,01,051,80989.0
Escambia County,Alabama,73.1026233420298,01,053,37621.0
Etowah County,Alabama,73.023382014908,01,055,103132.0
Fayette County,Alabama,73.6468181376117,01,057,16657.0
Franklin County,Alabama,73.4916922949218,01,059,31507.0
Geneva County,Alabama,74.2527953119664,01,061,26572.0
Greene County,Alabama,73.8570082667757,01,063,8533.0
Hale County,Alabama,73.6467181824322,01,065,14995.0
Henry County,Alabama,75.4887946207952,01,067,17110.0
Houston County,Alabama,76.032673861126,01,069,104108.0
Jackson County,Alabama,73.3946413725398,01,071,52326.0
Jefferson County,Alabama,74.5743774281111,01,073,659460.0
Lamar County,Alabama,74.3774503003945,01,075,14021.0
Lauderdale County,Alabama,76.0388971623086,01,077,92590.0
Lawrence County,Alabama,73.6788440834402,01,079,33288.0
Lee County,Alabama,77.5526205196881,01,081,156597.0
Limestone County,Alabama,77.3036396921757,01,083,91695.0
Lowndes County,Alabama,71.8712681595456,01,085,10362.0
Macon County,Alabama,72.9264822618015,01,087,19358.0
Madison County,Alabama,77.4457800370199,01,089,353213.0
Marengo County,Alabama,73.4699638933891,01,091,19743.0
Marion County,Alabama,74.0260626515723,01,093,30058.0
Marshall County,Alabama,74.044529414402,01,095,94738.0
Mobile County,Alabama,74.832531869489,01,097,414328.0
Monroe County,Alabama,74.6472436418514,01,099,21745.0
Montgomery County,Alabama,75.8639742828833,01,101,227120.0
Morgan County,Alabama,75.2271704532966,01,103,119157.0
Perry County,Alabama,72.388930405107,01,105,9680.0
Pickens County,Alabama,74.4608285703048,01,107,20170.0
Pike County,Alabama,74.9526888282757,01,109,33287.0
Randolph County,Alabama,74.2303989397729,01,111,22530.0
Russell County,Alabama,73.5167015561246,01,113,58480.0
Saint Clair County,Alabama,74.7414911385038,01,115,86937.0
Shelby County,Alabama,79.9439409572104,01,117,208721.0
Sumter County,Alabama,74.3379744715151,01,119,13084.0
Talladega County,Alabama,73.3972425657916,01,121,80888.0
Tallapoosa County,Alabama,74.8751981595403,01,123,40756.0
Tuscaloosa County,Alabama,76.2628239560412,01,125,204424.0
Walker County,Alabama,70.3120931463706,01,127,64927.0
Washington County,Alabama,74.379913964713,01,129,16746.0
Wilcox County,Alabama,71.4192185766012,01,131,10919.0
Winston County,Alabama,74.31731572053,01,133,23968.0
