County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Household Income
Autauga County,Alabama,75.836928054027,01,001,53682
Baldwin County,Alabama,77.8587885068867,01,003,50221
Barbour County,Alabama,75.6039658679806,01,005,32911
Bibb County,Alabama,73.8813807110977,01,007,36447
Blount County,Alabama,75.6352536319274,01,009,44145
Bullock County,Alabama,74.4021306908516,01,011,32033
Butler County,Alabama,73.935514642706,01,013,29918
Calhoun County,Alabama,73.6916993651565,01,015,39962
Chambers County,Alabama,74.3709084353389,01,017,32402
Cherokee County,Alabama,74.7690226049665,01,019,34907
Chilton County,Alabama,74.2037941937705,01,021,41250
Choctaw County,Alabama,74.7667739361553,01,023,33941
Clarke County,Alabama,75.3078949980348,01,025,29357
Clay County,Alabama,74.5125281044463,01,027,34002
Cleburne County,Alabama,74.2119718397456,01,029,38019
Coffee County,Alabama,76.8029854382398,01,031,43768
Colbert County,Alabama,74.7012544694018,01,033,39077
Conecuh County,Alabama,73.8578396157111,01,035,24658
Coosa County,Alabama,75.0708584990442,01,037,37277
Covington County,Alabama,74.939706372746,01,039,35869
Crenshaw County,Alabama,74.4540874550923,01,041,36275
Cullman County,Alabama,74.9509513238576,01,043,38847
Dale County,Alabama,76.1296959155196,01,045,44889
Dallas County,Alabama,72.2967105227705,01,047,26519
DeKalb County,Alabama,74.7966732959206,01,049,37851
Elmore County,Alabama,75.8412881424909,01,051,54766
Escambia County,Alabama,73.8523605614612,01,053,30687
Etowah County,Alabama,73.3079475598584,01,055,38013
Fayette County,Alabama,74.057058159905,01,057,33838
Franklin County,Alabama,73.349841367943,01,059,36415
Geneva County,Alabama,75.2540134208833,01,061,35625
Greene County,Alabama,74.5251950347399,01,063,24226
Hale County,Alabama,74.2120689147012,01,065,30051
Henry County,Alabama,75.9013490151937,01,067,41650
Houston County,Alabama,76.6049969181304,01,069,40948
Jackson County,Alabama,73.6075996652594,01,071,37634
Jefferson County,Alabama,75.0012975222472,01,073,45429
Lamar County,Alabama,74.594659571128,01,075,36028
Lauderdale County,Alabama,76.2574810844103,01,077,42844
Lawrence County,Alabama,74.025639809588,01,079,38551
Lee County,Alabama,77.641756133286,01,081,43542
Limestone County,Alabama,77.4567118555822,01,083,48619
Lowndes County,Alabama,72.451572085185,01,085,26230
Macon County,Alabama,73.4913418644572,01,087,30724
Madison County,Alabama,77.772209501297,01,089,58434
Marengo County,Alabama,74.1333674215399,01,091,35079
Marion County,Alabama,74.2996624676483,01,093,32888
Marshall County,Alabama,74.2650814854454,01,095,39526
Mobile County,Alabama,75.0140519651065,01,097,43028
Monroe County,Alabama,74.9403376152072,01,099,29203
Montgomery County,Alabama,76.0742035748331,01,101,44790
Morgan County,Alabama,75.7687418754051,01,103,44800
Perry County,Alabama,72.4458737373582,01,105,28209
Pickens County,Alabama,74.3989386831643,01,107,28741
Pike County,Alabama,75.3843799599901,01,109,33090
Randolph County,Alabama,74.6272688359767,01,111,35213
Russell County,Alabama,74.4625975354371,01,113,36143
Saint Clair County,Alabama,75.1354509099959,01,115,50786
Shelby County,Alabama,79.7687496224489,01,117,68770
Sumter County,Alabama,74.3343686399483,01,119,22186
Talladega County,Alabama,73.6825216143372,01,121,35439
Tallapoosa County,Alabama,75.2077207940106,01,123,39130
Tuscaloosa County,Alabama,76.1412472106416,01,125,45408
Walker County,Alabama,70.8637922877104,01,127,37566
Washington County,Alabama,74.6734179457892,01,129,42156
Wilcox County,Alabama,72.2374261679305,01,131,23642
Winston County,Alabama,74.2153646411101,01,133,32900
Anchorage Municipality,Alaska,78.7538192744483,02,020,77454
Bethel Census Area,Alaska,72.9162299270473,02,050,51689
Bristol Bay Borough,Alaska,75.4655368308601,02,060,79531
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,69223
Haines Borough,Alaska,80.3402659326086,02,100,52866
Juneau City and Borough,Alaska,79.7513085001443,02,110,81490
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,61793
Kodiak Island Borough,Alaska,79.2674018916655,02,150,68718
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,71037
Nome Census Area,Alaska,71.0874958002656,02,180,49974
North Slope Borough,Alaska,75.2725719185953,02,185,80761
Sitka City and Borough,Alaska,79.5125431994159,02,220,69405
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,56801
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,74878
Wade Hampton Census Area,Alaska,69.129042588567,02,270,40176
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,61607
Aleutians East Borough,Alaska,83.5166512642875,02,013,61250
Aleutians West Census Area,Alaska,83.5166512642875,02,016,81853
Dillingham Census Area,Alaska,73.7920691867546,02,070,54150
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,51786
Denali Borough,Alaska,73.5699219653651,02,068,72500
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,34710
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,49545
Skagway Municipality,Alaska,80.374241032238,02,230,71667
Yakutat City and Borough,Alaska,80.374241032238,02,282,72500
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,62519
Petersburg Borough,Alaska,78.2808420907731,02,195,63934
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,46071
Wrangell City and Borough,Alaska,78.2808420907731,02,275,45841
Apache County,Arizona,73.5831561418625,04,001,31476
Cochise County,Arizona,78.5093583618516,04,003,45755
Coconino County,Arizona,79.1783967754568,04,005,49555
Gila County,Arizona,75.4683450305506,04,007,39954
Graham County,Arizona,77.4666536416568,04,009,44943
Greenlee County,Arizona,78.6626921330292,04,011,47992
Maricopa County,Arizona,80.2239065499369,04,013,53596
Mohave County,Arizona,75.5732188036138,04,015,39200
Navajo County,Arizona,75.2513758313513,04,017,36927
Pima County,Arizona,79.2068381779827,04,019,45841
Pinal County,Arizona,80.9037956408188,04,021,50027
Santa Cruz County,Arizona,82.0079464280884,04,023,37745
Yavapai County,Arizona,78.6615151890778,04,025,42987
La Paz County,Arizona,81.3901815824637,04,012,35776
Yuma County,Arizona,81.3901815824637,04,027,41595
Arkansas County,Arkansas,73.8156973399201,05,001,39633
Ashley County,Arkansas,74.527033712992,05,003,35683
Baxter County,Arkansas,76.2122281368992,05,005,35343
Benton County,Arkansas,79.3617722496715,05,007,54515
Boone County,Arkansas,76.5714079641579,05,009,38506
Bradley County,Arkansas,73.9928167351683,05,011,30409
Calhoun County,Arkansas,75.0101834551434,05,013,30980
Carroll County,Arkansas,76.9212348790936,05,015,36584
Chicot County,Arkansas,73.4958825931558,05,017,26201
Clark County,Arkansas,75.4277256789478,05,019,32721
Clay County,Arkansas,73.4772580278363,05,021,31502
Cleburne County,Arkansas,76.4332102428103,05,023,40246
Cleveland County,Arkansas,75.3899386050606,05,025,39420
Columbia County,Arkansas,74.4778597853245,05,027,35128
Conway County,Arkansas,75.3211173537385,05,029,35225
Craighead County,Arkansas,76.1849034187585,05,031,41393
Crawford County,Arkansas,75.6323094688717,05,033,39479
Crittenden County,Arkansas,73.0807663455022,05,035,37751
Cross County,Arkansas,73.6102929568663,05,037,38085
Dallas County,Arkansas,73.9447963982835,05,039,28931
Desha County,Arkansas,73.1929803551693,05,041,28680
Drew County,Arkansas,75.6142342376879,05,043,31171
Faulkner County,Arkansas,76.874980748974,05,045,50314
Franklin County,Arkansas,74.8461541973117,05,047,36766
Fulton County,Arkansas,75.4429142733183,05,049,35522
Garland County,Arkansas,75.0982760087787,05,051,39162
Grant County,Arkansas,75.6273873667791,05,053,49004
Greene County,Arkansas,74.4557946872778,05,055,38413
Hempstead County,Arkansas,75.0798934829681,05,057,32056
Hot Spring County,Arkansas,74.7699312058851,05,059,41193
Howard County,Arkansas,74.3104978429413,05,061,35879
Independence County,Arkansas,75.55292051348,05,063,35026
Izard County,Arkansas,75.6857060417369,05,065,30661
Jackson County,Arkansas,73.5645257013294,05,067,30284
Jefferson County,Arkansas,73.8804417043154,05,069,37140
Johnson County,Arkansas,76.0679421315981,05,071,31003
Lafayette County,Arkansas,73.9732457610778,05,073,29732
Lawrence County,Arkansas,74.1944235430574,05,075,32239
Lee County,Arkansas,73.6656526371685,05,077,25034
Lincoln County,Arkansas,75.6620100556507,05,079,32697
Little River County,Arkansas,74.1904867610063,05,081,39673
Logan County,Arkansas,74.7110052677721,05,083,34996
Lonoke County,Arkansas,75.2681135595378,05,085,52582
Madison County,Arkansas,75.5147457725886,05,087,35771
Marion County,Arkansas,75.4990392659523,05,089,34494
Miller County,Arkansas,74.9160232473299,05,091,41319
Mississippi County,Arkansas,72.3314425790971,05,093,36428
Monroe County,Arkansas,72.9273164936148,05,095,27263
Montgomery County,Arkansas,76.1909321334472,05,097,31345
Nevada County,Arkansas,74.3108502571174,05,099,33694
Newton County,Arkansas,77.0546342078252,05,101,30038
Ouachita County,Arkansas,73.4215539603755,05,103,32015
Perry County,Arkansas,75.3566377146712,05,105,42455
Phillips County,Arkansas,71.143137921812,05,107,26737
Pike County,Arkansas,75.3219856286797,05,109,32206
