County,State,mean_life_expectancy,State_FIPS,County_FIPS,Hispanic Population
Autauga County,Alabama,75.7292435880376,01,001,1310
Baldwin County,Alabama,77.9271776584132,01,003,7915
Barbour County,Alabama,75.726345615993,01,005,1365
Bibb County,Alabama,73.8549042153188,01,007,419
Blount County,Alabama,75.7031620249924,01,009,4646
Bullock County,Alabama,74.5147146410295,01,011,623
Butler County,Alabama,74.0029270174073,01,013,203
Calhoun County,Alabama,73.7720318613506,01,015,3838
Chambers County,Alabama,74.4618272098825,01,017,555
Cherokee County,Alabama,74.9073645339479,01,019,333
Chilton County,Alabama,74.1680381073103,01,021,3238
Choctaw County,Alabama,75.0330369420346,01,023,83
Clarke County,Alabama,75.3627746026001,01,025,183
Clay County,Alabama,74.5556200097281,01,027,401
Cleburne County,Alabama,74.0892819227667,01,029,313
Coffee County,Alabama,76.8920779757569,01,031,3070
Colbert County,Alabama,74.7919396971864,01,033,1132
Conecuh County,Alabama,73.9629702481659,01,035,38
Coosa County,Alabama,75.1116367329605,01,037,225
Covington County,Alabama,75.0377160434361,01,039,516
Crenshaw County,Alabama,74.4090115093279,01,041,213
Cullman County,Alabama,75.0285246631596,01,043,3402
Dale County,Alabama,76.2376078137941,01,045,2794
Dallas County,Alabama,72.3485612905477,01,047,315
DeKalb County,Alabama,74.9900686798499,01,049,9544
Elmore County,Alabama,75.972036154942,01,051,2091
Escambia County,Alabama,74.0158797821032,01,053,730
Etowah County,Alabama,73.2531150461842,01,055,3503
Fayette County,Alabama,74.2005416942204,01,057,213
Franklin County,Alabama,73.4441492092538,01,059,4649
Geneva County,Alabama,75.2391510545445,01,061,899
Greene County,Alabama,74.6190084135484,01,063,0
Hale County,Alabama,74.1705015045921,01,065,66
Henry County,Alabama,75.8618642097371,01,067,389
Houston County,Alabama,76.6654865118704,01,069,2950
Jackson County,Alabama,73.8971307190983,01,071,1334
Jefferson County,Alabama,74.9923234793925,01,073,24770
Lamar County,Alabama,74.6375257695077,01,075,186
Lauderdale County,Alabama,76.3717334494033,01,077,2065
Lawrence County,Alabama,74.0874083511881,01,079,601
Lee County,Alabama,77.5552230695894,01,081,4668
Limestone County,Alabama,77.5349339425497,01,083,4529
Lowndes County,Alabama,72.5169545782714,01,085,72
Macon County,Alabama,73.472029298343,01,087,274
Madison County,Alabama,77.7777375113583,01,089,14916
Marengo County,Alabama,74.31817729379,01,091,364
Marion County,Alabama,74.3185965980805,01,093,645
Marshall County,Alabama,74.2594225666453,01,095,11174
Mobile County,Alabama,74.9254454523935,01,097,9864
Monroe County,Alabama,75.3055057626381,01,099,224
Montgomery County,Alabama,76.0363412800295,01,101,7887
Morgan County,Alabama,75.7692598409346,01,103,8943
Perry County,Alabama,72.0683801705565,01,105,81
Pickens County,Alabama,74.4214021607815,01,107,320
Pike County,Alabama,75.324182967647,01,109,743
Randolph County,Alabama,74.4748298659528,01,111,636
Russell County,Alabama,74.2849040636452,01,113,2092
Saint Clair County,Alabama,75.1409064937624,01,115,1733
Shelby County,Alabama,79.6179282707985,01,117,11191
Sumter County,Alabama,74.3938821811206,01,119,101
Talladega County,Alabama,73.5547810443691,01,121,1653
Tallapoosa County,Alabama,75.2700066121829,01,123,1006
Tuscaloosa County,Alabama,75.9567690035619,01,125,5860
Walker County,Alabama,71.0086526303479,01,127,1340
Washington County,Alabama,74.7671249776603,01,129,163
Wilcox County,Alabama,72.1727031543216,01,131,21
Winston County,Alabama,74.1868543786886,01,133,648
Anchorage Municipality,Alaska,78.7324733774199,02,020,22473
Bethel Census Area,Alaska,72.9375771624196,02,050,201
Bristol Bay Borough,Alaska,75.4523499871574,02,060,49
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,5898
Haines Borough,Alaska,79.7853560050767,02,100,32
Juneau City and Borough,Alaska,79.6549904893737,02,110,1663
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,1698
Kodiak Island Borough,Alaska,78.9325295918541,02,150,1044
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,3396
Nome Census Area,Alaska,71.2209696012473,02,180,123
North Slope Borough,Alaska,75.1130295005676,02,185,264
Sitka City and Borough,Alaska,79.6650631553651,02,220,441
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,251
Valdez-Cordova Census Area,Alaska,77.7789732408076,02,261,355
Wade Hampton Census Area,Alaska,69.3213264483902,02,270,34
Northwest Arctic Borough,Alaska,73.3099569505481,02,188,66
Aleutians East Borough,Alaska,83.2497136811526,02,013,449
Aleutians West Census Area,Alaska,83.2497136811526,02,016,741
Dillingham Census Area,Alaska,73.8738696625887,02,070,102
Lake and Peninsula Borough,Alaska,73.8738696625887,02,164,19
Denali Borough,Alaska,73.4675000952053,02,068,43
Yukon-Koyukuk Census Area,Alaska,73.4675000952053,02,290,70
Hoonah-Angoon Census Area,Alaska,80.4521604465035,02,105,61
Skagway Municipality,Alaska,80.4521604465035,02,230,11
Yakutat City and Borough,Alaska,80.4521604465035,02,282,14
Ketchikan Gateway Borough,Alaska,78.2747578732582,02,130,559
Petersburg Borough,Alaska,78.2747578732582,02,195,158
Prince of Wales-Hyder Census Area,Alaska,78.2747578732582,02,198,135
Wrangell City and Borough,Alaska,78.2747578732582,02,275,21
Apache County,Arizona,73.8561214396708,04,001,4286
Cochise County,Arizona,78.5680603010476,04,003,42595
Coconino County,Arizona,79.1193751512235,04,005,18106
Gila County,Arizona,75.6097304830814,04,007,9612
Graham County,Arizona,77.4622342675031,04,009,11365
Greenlee County,Arizona,78.7507827120149,04,011,4080
Maricopa County,Arizona,80.2124326116695,04,013,1136308
Mohave County,Arizona,75.5591104853809,04,015,30016
Navajo County,Arizona,75.2738330677208,04,017,11549
Pima County,Arizona,79.2757506659015,04,019,339278
Pinal County,Arizona,80.7659844558082,04,021,106207
Santa Cruz County,Arizona,82.0373373185342,04,023,38905
Yavapai County,Arizona,78.7874029147685,04,025,28767
La Paz County,Arizona,81.3521675862137,04,012,4870
Yuma County,Arizona,81.3521675862137,04,027,117002
Arkansas County,Arkansas,74.1112858269703,05,001,512
Ashley County,Arkansas,74.722530526701,05,003,1067
Baxter County,Arkansas,76.2503312773737,05,005,712
Benton County,Arkansas,79.4131254615631,05,007,34339
Boone County,Arkansas,76.6663467075271,05,009,720
Bradley County,Arkansas,73.9859323033062,05,011,1528
Calhoun County,Arkansas,75.1966838611123,05,013,45
Carroll County,Arkansas,77.1456627462798,05,015,3547
Chicot County,Arkansas,73.5503670607376,05,017,557
Clark County,Arkansas,75.3636248057106,05,019,928
Clay County,Arkansas,73.5541248348346,05,021,223
Cleburne County,Arkansas,76.6484655444559,05,023,536
Cleveland County,Arkansas,75.4329581994689,05,025,147
Columbia County,Arkansas,74.6943200936668,05,027,551
Conway County,Arkansas,75.4217186668425,05,029,771
Craighead County,Arkansas,76.2385197940168,05,031,4270
Crawford County,Arkansas,75.686590417868,05,033,3768
Crittenden County,Arkansas,72.9401979057682,05,035,1049
Cross County,Arkansas,73.6904796145758,05,037,110
Dallas County,Arkansas,73.8830173656563,05,039,192
Desha County,Arkansas,73.3796780724682,05,041,581
Drew County,Arkansas,75.6904108101973,05,043,460
Faulkner County,Arkansas,76.9619590048966,05,045,4397
Franklin County,Arkansas,75.1411510297566,05,047,406
Fulton County,Arkansas,75.5379827898365,05,049,110
Garland County,Arkansas,75.2570452248396,05,051,4643
Grant County,Arkansas,75.6239859974003,05,053,408
Greene County,Arkansas,74.5331879883689,05,055,940
Hempstead County,Arkansas,75.2479397463284,05,057,2678
Hot Spring County,Arkansas,75.1772664311386,05,059,925
Howard County,Arkansas,74.4354857160435,05,061,1338
Independence County,Arkansas,75.5694409162232,05,063,2089
Izard County,Arkansas,75.5978482588757,05,065,207
Jackson County,Arkansas,73.5653078755239,05,067,442
Jefferson County,Arkansas,74.0215400823225,05,069,1236
Johnson County,Arkansas,76.2289901089355,05,071,3121
Lafayette County,Arkansas,74.0803351638509,05,073,132
Lawrence County,Arkansas,74.0776121126324,05,075,160
Lee County,Arkansas,73.6384894525123,05,077,186
Lincoln County,Arkansas,75.7083515136591,05,079,458
Little River County,Arkansas,74.5062487093194,05,081,130
Logan County,Arkansas,74.7473624038807,05,083,527
Lonoke County,Arkansas,75.3274694088,05,085,2261
Madison County,Arkansas,75.4443972571463,05,087,769
Marion County,Arkansas,75.5766832392705,05,089,300
Miller County,Arkansas,74.9195793668671,05,091,1097
Mississippi County,Arkansas,72.4512758602153,05,093,1700
Monroe County,Arkansas,73.4013992674969,05,095,143
Montgomery County,Arkansas,76.4915849838952,05,097,359
Nevada County,Arkansas,74.4070397931647,05,099,238
