County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Age
Autauga County,Alabama,75.836928054027,01,001,37.5
Baldwin County,Alabama,77.8587885068867,01,003,41.5
Barbour County,Alabama,75.6039658679806,01,005,38.3
Bibb County,Alabama,73.8813807110977,01,007,39.4
Blount County,Alabama,75.6352536319274,01,009,39.6
Bullock County,Alabama,74.4021306908516,01,011,39.6
Butler County,Alabama,73.935514642706,01,013,40.6
Calhoun County,Alabama,73.6916993651565,01,015,38.7
Chambers County,Alabama,74.3709084353389,01,017,42.4
Cherokee County,Alabama,74.7690226049665,01,019,45.0
Chilton County,Alabama,74.2037941937705,01,021,38.0
Choctaw County,Alabama,74.7667739361553,01,023,44.2
Clarke County,Alabama,75.3078949980348,01,025,40.3
Clay County,Alabama,74.5125281044463,01,027,42.1
Cleburne County,Alabama,74.2119718397456,01,029,41.3
Coffee County,Alabama,76.8029854382398,01,031,37.8
Colbert County,Alabama,74.7012544694018,01,033,41.7
Conecuh County,Alabama,73.8578396157111,01,035,43.2
Coosa County,Alabama,75.0708584990442,01,037,44.7
Covington County,Alabama,74.939706372746,01,039,42.4
Crenshaw County,Alabama,74.4540874550923,01,041,40.6
Cullman County,Alabama,74.9509513238576,01,043,40.4
Dale County,Alabama,76.1296959155196,01,045,36.1
Dallas County,Alabama,72.2967105227705,01,047,38.0
DeKalb County,Alabama,74.7966732959206,01,049,38.8
Elmore County,Alabama,75.8412881424909,01,051,37.8
Escambia County,Alabama,73.8523605614612,01,053,39.4
Etowah County,Alabama,73.3079475598584,01,055,40.3
Fayette County,Alabama,74.057058159905,01,057,43.5
Franklin County,Alabama,73.349841367943,01,059,38.3
Geneva County,Alabama,75.2540134208833,01,061,41.9
Greene County,Alabama,74.5251950347399,01,063,42.4
Hale County,Alabama,74.2120689147012,01,065,40.7
Henry County,Alabama,75.9013490151937,01,067,42.7
Houston County,Alabama,76.6049969181304,01,069,38.6
Jackson County,Alabama,73.6075996652594,01,071,42.0
Jefferson County,Alabama,75.0012975222472,01,073,37.2
Lamar County,Alabama,74.594659571128,01,075,42.9
Lauderdale County,Alabama,76.2574810844103,01,077,40.8
Lawrence County,Alabama,74.025639809588,01,079,41.2
Lee County,Alabama,77.641756133286,01,081,29.9
Limestone County,Alabama,77.4567118555822,01,083,38.5
Lowndes County,Alabama,72.451572085185,01,085,41.0
Macon County,Alabama,73.4913418644572,01,087,36.8
Madison County,Alabama,77.772209501297,01,089,37.4
Marengo County,Alabama,74.1333674215399,01,091,41.8
Marion County,Alabama,74.2996624676483,01,093,43.5
Marshall County,Alabama,74.2650814854454,01,095,38.4
Mobile County,Alabama,75.0140519651065,01,097,36.7
Monroe County,Alabama,74.9403376152072,01,099,40.4
Montgomery County,Alabama,76.0742035748331,01,101,34.8
Morgan County,Alabama,75.7687418754051,01,103,39.0
Perry County,Alabama,72.4458737373582,01,105,35.8
Pickens County,Alabama,74.3989386831643,01,107,42.1
Pike County,Alabama,75.3843799599901,01,109,31.6
Randolph County,Alabama,74.6272688359767,01,111,41.5
Russell County,Alabama,74.4625975354371,01,113,35.2
Saint Clair County,Alabama,75.1354509099959,01,115,38.9
Shelby County,Alabama,79.7687496224489,01,117,37.3
Sumter County,Alabama,74.3343686399483,01,119,37.2
Talladega County,Alabama,73.6825216143372,01,121,40.0
Tallapoosa County,Alabama,75.2077207940106,01,123,42.0
Tuscaloosa County,Alabama,76.1412472106416,01,125,31.4
Walker County,Alabama,70.8637922877104,01,127,41.8
Washington County,Alabama,74.6734179457892,01,129,39.8
Wilcox County,Alabama,72.2374261679305,01,131,39.0
Winston County,Alabama,74.2153646411101,01,133,43.6
Anchorage Municipality,Alaska,78.7538192744483,02,020,32.8
Bethel Census Area,Alaska,72.9162299270473,02,050,26.2
Bristol Bay Borough,Alaska,75.4655368308601,02,060,40.9
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,30.7
Haines Borough,Alaska,80.3402659326086,02,100,44.0
Juneau City and Borough,Alaska,79.7513085001443,02,110,37.3
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,40.7
Kodiak Island Borough,Alaska,79.2674018916655,02,150,31.9
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,34.7
Nome Census Area,Alaska,71.0874958002656,02,180,27.9
North Slope Borough,Alaska,75.2725719185953,02,185,33.5
Sitka City and Borough,Alaska,79.5125431994159,02,220,38.5
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,35.9
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,38.0
Wade Hampton Census Area,Alaska,69.129042588567,02,270,22.0
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,25.7
Aleutians East Borough,Alaska,83.5166512642875,02,013,41.4
Aleutians West Census Area,Alaska,83.5166512642875,02,016,38.6
Dillingham Census Area,Alaska,73.7920691867546,02,070,28.7
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,29.8
Denali Borough,Alaska,73.5699219653651,02,068,39.2
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,35.3
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,46.4
Skagway Municipality,Alaska,80.374241032238,02,230,44.3
Yakutat City and Borough,Alaska,80.374241032238,02,282,41.0
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,38.7
Petersburg Borough,Alaska,78.2808420907731,02,195,42.4
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,39.4
Wrangell City and Borough,Alaska,78.2808420907731,02,275,53.3
Apache County,Arizona,73.5831561418625,04,001,32.7
Cochise County,Arizona,78.5093583618516,04,003,39.8
Coconino County,Arizona,79.1783967754568,04,005,31.0
Gila County,Arizona,75.4683450305506,04,007,47.9
Graham County,Arizona,77.4666536416568,04,009,31.9
Greenlee County,Arizona,78.6626921330292,04,011,33.6
Maricopa County,Arizona,80.2239065499369,04,013,35.0
Mohave County,Arizona,75.5732188036138,04,015,48.0
Navajo County,Arizona,75.2513758313513,04,017,35.2
Pima County,Arizona,79.2068381779827,04,019,37.8
Pinal County,Arizona,80.9037956408188,04,021,36.1
Santa Cruz County,Arizona,82.0079464280884,04,023,35.7
Yavapai County,Arizona,78.6615151890778,04,025,50.1
La Paz County,Arizona,81.3901815824637,04,012,53.8
Yuma County,Arizona,81.3901815824637,04,027,33.4
Arkansas County,Arkansas,73.8156973399201,05,001,41.1
Ashley County,Arkansas,74.527033712992,05,003,39.7
Baxter County,Arkansas,76.2122281368992,05,005,50.9
Benton County,Arkansas,79.3617722496715,05,007,34.7
Boone County,Arkansas,76.5714079641579,05,009,41.5
Bradley County,Arkansas,73.9928167351683,05,011,40.2
Calhoun County,Arkansas,75.0101834551434,05,013,42.7
Carroll County,Arkansas,76.9212348790936,05,015,44.2
Chicot County,Arkansas,73.4958825931558,05,017,42.4
Clark County,Arkansas,75.4277256789478,05,019,33.5
Clay County,Arkansas,73.4772580278363,05,021,42.9
Cleburne County,Arkansas,76.4332102428103,05,023,46.4
Cleveland County,Arkansas,75.3899386050606,05,025,40.3
Columbia County,Arkansas,74.4778597853245,05,027,36.1
Conway County,Arkansas,75.3211173537385,05,029,40.6
Craighead County,Arkansas,76.1849034187585,05,031,33.1
Crawford County,Arkansas,75.6323094688717,05,033,38.3
Crittenden County,Arkansas,73.0807663455022,05,035,34.4
Cross County,Arkansas,73.6102929568663,05,037,39.4
Dallas County,Arkansas,73.9447963982835,05,039,43.0
Desha County,Arkansas,73.1929803551693,05,041,39.3
Drew County,Arkansas,75.6142342376879,05,043,37.4
Faulkner County,Arkansas,76.874980748974,05,045,31.4
Franklin County,Arkansas,74.8461541973117,05,047,40.9
Fulton County,Arkansas,75.4429142733183,05,049,47.3
Garland County,Arkansas,75.0982760087787,05,051,44.2
Grant County,Arkansas,75.6273873667791,05,053,39.6
Greene County,Arkansas,74.4557946872778,05,055,37.6
Hempstead County,Arkansas,75.0798934829681,05,057,38.8
Hot Spring County,Arkansas,74.7699312058851,05,059,40.1
Howard County,Arkansas,74.3104978429413,05,061,36.9
Independence County,Arkansas,75.55292051348,05,063,38.3
Izard County,Arkansas,75.6857060417369,05,065,47.5
Jackson County,Arkansas,73.5645257013294,05,067,41.2
Jefferson County,Arkansas,73.8804417043154,05,069,37.5
Johnson County,Arkansas,76.0679421315981,05,071,38.6
Lafayette County,Arkansas,73.9732457610778,05,073,43.7
Lawrence County,Arkansas,74.1944235430574,05,075,40.6
Lee County,Arkansas,73.6656526371685,05,077,39.8
Lincoln County,Arkansas,75.6620100556507,05,079,36.9
Little River County,Arkansas,74.1904867610063,05,081,41.3
Logan County,Arkansas,74.7110052677721,05,083,41.9
Lonoke County,Arkansas,75.2681135595378,05,085,35.4
Madison County,Arkansas,75.5147457725886,05,087,40.7
Marion County,Arkansas,75.4990392659523,05,089,50.8
Miller County,Arkansas,74.9160232473299,05,091,37.4
Mississippi County,Arkansas,72.3314425790971,05,093,35.0
Monroe County,Arkansas,72.9273164936148,05,095,43.8
Montgomery County,Arkansas,76.1909321334472,05,097,46.9
Nevada County,Arkansas,74.3108502571174,05,099,41.3
Newton County,Arkansas,77.0546342078252,05,101,46.5
Ouachita County,Arkansas,73.4215539603755,05,103,42.6
Perry County,Arkansas,75.3566377146712,05,105,42.4
Phillips County,Arkansas,71.143137921812,05,107,37.4
Pike County,Arkansas,75.3219856286797,05,109,40.7
Poinsett County,Arkansas,71.7436296549771,05,111,39.8
Polk County,Arkansas,75.1706027573073,05,113,43.4
Pope County,Arkansas,76.5312262614872,05,115,35.3
Prairie County,Arkansas,75.5040076219309,05,117,45.0
Pulaski County,Arkansas,76.2155838234668,05,119,36.0
Randolph County,Arkansas,74.8295050145305,05,121,41.7
Saint Francis County,Arkansas,74.2143402022178,05,123,37.0
Saline County,Arkansas,77.2702721854195,05,125,38.8
Scott County,Arkansas,75.4264942209673,05,127,41.3
Searcy County,Arkansas,75.8170342561347,05,129,46.6
Sebastian County,Arkansas,75.9063008139938,05,131,36.9
Sevier County,Arkansas,74.8024916114451,05,133,34.1
Sharp County,Arkansas,74.4068059903225,05,135,46.6
Stone County,Arkansas,76.4746383103692,05,137,46.9
Union County,Arkansas,73.3950491276234,05,139,39.9
Van Buren County,Arkansas,76.3377657708152,05,141,46.7
Washington County,Arkansas,77.9667709462642,05,143,31.2
White County,Arkansas,75.4804389196206,05,145,36.4
Woodruff County,Arkansas,72.9704729972146,05,147,43.6
Yell County,Arkansas,74.6982071723465,05,149,39.6
Alameda County,California,81.7395666265102,06,001,36.8
Alpine County,California,78.7968439851636,06,003,44.3
Amador County,California,79.7223050305829,06,005,49.1
Butte County,California,78.0043483458703,06,007,37.0
Calaveras County,California,79.7276449490236,06,009,50.0
Colusa County,California,80.1885672391631,06,011,33.9
Contra Costa County,California,81.5819673902927,06,013,38.6
Del Norte County,California,75.9485446226768,06,015,39.1
El Dorado County,California,81.1333632533598,06,017,44.1
Fresno County,California,78.6280024400332,06,019,30.9
Glenn County,California,78.0902335149727,06,021,37.2
Humboldt County,California,77.0385176745656,06,023,37.5
Imperial County,California,81.0040782496188,06,025,31.8
Inyo County,California,79.2667613009441,06,027,45.7
Kern County,California,77.4190857391695,06,029,30.8
Kings County,California,79.4568073221703,06,031,31.1
Lake County,California,75.3296236176337,06,033,45.1
Lassen County,California,78.5887276747557,06,035,37.3
Los Angeles County,California,81.513727949983,06,037,35.1
Madera County,California,78.9675915817164,06,039,33.2
Marin County,California,84.1641989359273,06,041,44.8
Mariposa County,California,80.3362251688537,06,043,50.1
Mendocino County,California,78.6500830383081,06,045,41.8
Merced County,California,78.6838148179829,06,047,30.0
Modoc County,California,77.8998017368993,06,049,46.9
Mono County,California,85.128377239051,06,051,37.2
Monterey County,California,81.9185117287455,06,053,33.0
Napa County,California,81.0720024251202,06,055,39.8
Nevada County,California,81.2593934799348,06,057,48.5
