County,State,mean_life_expectancy,State_FIPS,County_FIPS,Disability Rate
Autauga County,Alabama,76.0246312323304,01,001,18.8
Baldwin County,Alabama,77.8952429034613,01,003,13.7
Barbour County,Alabama,74.6572190352659,01,005,22.1
Bibb County,Alabama,73.6342805287431,01,007,15.9
Blount County,Alabama,74.8974607079908,01,009,14.7
Bullock County,Alabama,73.7079253175275,01,011,17.4
Butler County,Alabama,73.7151229204611,01,013,19.3
Calhoun County,Alabama,73.3078477077272,01,015,20.2
Chambers County,Alabama,74.2425871374709,01,017,17.2
Cherokee County,Alabama,74.3480110237785,01,019,20.5
Chilton County,Alabama,74.1052560370855,01,021,17.4
Choctaw County,Alabama,74.2757388369681,01,023,27.0
Clarke County,Alabama,74.6238045774491,01,025,17.4
Clay County,Alabama,74.3591398533707,01,027,16.9
Cleburne County,Alabama,74.0840978801744,01,029,22.7
Coffee County,Alabama,76.2048720238035,01,031,17.9
Colbert County,Alabama,74.2982544702841,01,033,19.4
Conecuh County,Alabama,73.3561349626999,01,035,22.7
Coosa County,Alabama,75.3441712856155,01,037,22.1
Covington County,Alabama,74.078109873637,01,039,20.6
Crenshaw County,Alabama,73.9820921275375,01,041,20.0
Cullman County,Alabama,74.3545019878194,01,043,16.5
Dale County,Alabama,75.4733509430588,01,045,20.3
Dallas County,Alabama,72.03447738714,01,047,17.6
DeKalb County,Alabama,74.524309920443,01,049,15.5
Elmore County,Alabama,75.8544515314726,01,051,17.3
Escambia County,Alabama,73.1026233420298,01,053,20.0
Etowah County,Alabama,73.023382014908,01,055,19.5
Fayette County,Alabama,73.6468181376117,01,057,26.0
Franklin County,Alabama,73.4916922949218,01,059,17.1
Geneva County,Alabama,74.2527953119664,01,061,21.5
Greene County,Alabama,73.8570082667757,01,063,23.0
Hale County,Alabama,73.6467181824322,01,065,19.8
Henry County,Alabama,75.4887946207952,01,067,20.0
Houston County,Alabama,76.032673861126,01,069,17.8
Jackson County,Alabama,73.3946413725398,01,071,18.3
Jefferson County,Alabama,74.5743774281111,01,073,15.5
Lamar County,Alabama,74.3774503003945,01,075,23.8
Lauderdale County,Alabama,76.0388971623086,01,077,15.2
Lawrence County,Alabama,73.6788440834402,01,079,20.4
Lee County,Alabama,77.5526205196881,01,081,12.2
Limestone County,Alabama,77.3036396921757,01,083,15.1
Lowndes County,Alabama,71.8712681595456,01,085,23.1
Macon County,Alabama,72.9264822618015,01,087,16.3
Madison County,Alabama,77.4457800370199,01,089,13.0
Marengo County,Alabama,73.4699638933891,01,091,23.6
Marion County,Alabama,74.0260626515723,01,093,25.4
Marshall County,Alabama,74.044529414402,01,095,16.2
Mobile County,Alabama,74.832531869489,01,097,14.5
Monroe County,Alabama,74.6472436418514,01,099,15.2
Montgomery County,Alabama,75.8639742828833,01,101,16.2
Morgan County,Alabama,75.2271704532966,01,103,17.3
Perry County,Alabama,72.388930405107,01,105,23.1
Pickens County,Alabama,74.4608285703048,01,107,24.7
Pike County,Alabama,74.9526888282757,01,109,16.4
Randolph County,Alabama,74.2303989397729,01,111,13.6
Russell County,Alabama,73.5167015561246,01,113,17.3
Saint Clair County,Alabama,74.7414911385038,01,115,17.3
Shelby County,Alabama,79.9439409572104,01,117,11.0
Sumter County,Alabama,74.3379744715151,01,119,21.6
Talladega County,Alabama,73.3972425657916,01,121,18.9
Tallapoosa County,Alabama,74.8751981595403,01,123,17.3
Tuscaloosa County,Alabama,76.2628239560412,01,125,11.8
Walker County,Alabama,70.3120931463706,01,127,25.4
Washington County,Alabama,74.379913964713,01,129,24.0
Wilcox County,Alabama,71.4192185766012,01,131,18.1
Winston County,Alabama,74.31731572053,01,133,26.0
Anchorage Municipality,Alaska,78.8427395859197,02,020,10.9
Bethel Census Area,Alaska,72.3773195918739,02,050,10.2
Bristol Bay Borough,Alaska,75.8312576360195,02,060,13.1
Fairbanks North Star Borough,Alaska,79.8531882449376,02,090,11.4
Haines Borough,Alaska,81.6301311834033,02,100,12.9
Juneau City and Borough,Alaska,80.4330971073059,02,110,10.9
Kenai Peninsula Borough,Alaska,78.3677604150779,02,122,14.5
Kodiak Island Borough,Alaska,79.8324510978969,02,150,13.0
Matanuska-Susitna Borough,Alaska,78.4961228596649,02,170,12.1
Nome Census Area,Alaska,70.4964319256222,02,180,10.3
North Slope Borough,Alaska,75.4604638102837,02,185,10.4
Sitka City and Borough,Alaska,80.0877625456278,02,220,11.9
Southeast Fairbanks Census Area,Alaska,77.3779098522792,02,240,15.1
Valdez-Cordova Census Area,Alaska,78.9328153281328,02,261,12.2
Wade Hampton Census Area,Alaska,67.9859126754132,02,270,
Northwest Arctic Borough,Alaska,72.237114207438,02,188,9.7
