County,State,mean_life_expectancy,State_FIPS,County_FIPS,Median Age
Autauga County,Alabama,75.7292435880376,01,001,37.0
Baldwin County,Alabama,77.9271776584132,01,003,41.2
Barbour County,Alabama,75.726345615993,01,005,38.2
Bibb County,Alabama,73.8549042153188,01,007,39.4
Blount County,Alabama,75.7031620249924,01,009,39.1
Bullock County,Alabama,74.5147146410295,01,011,40.7
Butler County,Alabama,74.0029270174073,01,013,40.3
Calhoun County,Alabama,73.7720318613506,01,015,38.7
Chambers County,Alabama,74.4618272098825,01,017,41.4
Cherokee County,Alabama,74.9073645339479,01,019,44.3
Chilton County,Alabama,74.1680381073103,01,021,37.6
Choctaw County,Alabama,75.0330369420346,01,023,44.0
Clarke County,Alabama,75.3627746026001,01,025,39.9
Clay County,Alabama,74.5556200097281,01,027,41.7
Cleburne County,Alabama,74.0892819227667,01,029,41.2
Coffee County,Alabama,76.8920779757569,01,031,37.8
Colbert County,Alabama,74.7919396971864,01,033,41.7
Conecuh County,Alabama,73.9629702481659,01,035,43.3
Coosa County,Alabama,75.1116367329605,01,037,44.4
Covington County,Alabama,75.0377160434361,01,039,42.5
Crenshaw County,Alabama,74.4090115093279,01,041,40.3
Cullman County,Alabama,75.0285246631596,01,043,40.1
Dale County,Alabama,76.2376078137941,01,045,36.0
Dallas County,Alabama,72.3485612905477,01,047,37.3
DeKalb County,Alabama,74.9900686798499,01,049,37.9
Elmore County,Alabama,75.972036154942,01,051,37.7
Escambia County,Alabama,74.0158797821032,01,053,38.7
Etowah County,Alabama,73.2531150461842,01,055,40.2
Fayette County,Alabama,74.2005416942204,01,057,43.1
Franklin County,Alabama,73.4441492092538,01,059,38.3
Geneva County,Alabama,75.2391510545445,01,061,42.2
Greene County,Alabama,74.6190084135484,01,063,41.4
Hale County,Alabama,74.1705015045921,01,065,40.4
Henry County,Alabama,75.8618642097371,01,067,42.9
Houston County,Alabama,76.6654865118704,01,069,38.3
Jackson County,Alabama,73.8971307190983,01,071,41.4
Jefferson County,Alabama,74.9923234793925,01,073,37.0
Lamar County,Alabama,74.6375257695077,01,075,42.6
Lauderdale County,Alabama,76.3717334494033,01,077,40.4
Lawrence County,Alabama,74.0874083511881,01,079,41.0
Lee County,Alabama,77.5552230695894,01,081,29.6
Limestone County,Alabama,77.5349339425497,01,083,38.7
Lowndes County,Alabama,72.5169545782714,01,085,40.7
Macon County,Alabama,73.472029298343,01,087,36.6
Madison County,Alabama,77.7777375113583,01,089,37.3
Marengo County,Alabama,74.31817729379,01,091,41.1
Marion County,Alabama,74.3185965980805,01,093,43.2
Marshall County,Alabama,74.2594225666453,01,095,38.1
Mobile County,Alabama,74.9254454523935,01,097,36.6
Monroe County,Alabama,75.3055057626381,01,099,40.0
Montgomery County,Alabama,76.0363412800295,01,101,34.7
Morgan County,Alabama,75.7692598409346,01,103,38.7
Perry County,Alabama,72.0683801705565,01,105,37.0
