County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate
Autauga County,Alabama,76.0923839492951,01,001,12.8
Baldwin County,Alabama,77.9590260303945,01,003,13.8
Barbour County,Alabama,75.723760010315,01,005,24.1
Bibb County,Alabama,74.0704786684836,01,007,17.0
Blount County,Alabama,75.57623817677,01,009,17.3
Bullock County,Alabama,73.9667452558383,01,011,20.5
Butler County,Alabama,74.1879513563979,01,013,25.9
Calhoun County,Alabama,73.7500629106712,01,015,21.7
Chambers County,Alabama,74.4744393001101,01,017,23.9
Cherokee County,Alabama,74.8083588255097,01,019,21.0
Chilton County,Alabama,74.361687582335,01,021,18.8
Choctaw County,Alabama,74.767407753043,01,023,21.5
Clarke County,Alabama,75.234900184891,01,025,27.0
Clay County,Alabama,74.7573360142862,01,027,18.7
Cleburne County,Alabama,74.1228766542021,01,029,18.1
Coffee County,Alabama,76.7812212244236,01,031,18.8
Colbert County,Alabama,74.7421988900332,01,033,18.3
Conecuh County,Alabama,73.8726045151823,01,035,32.9
Coosa County,Alabama,75.2580877653134,01,037,20.0
Covington County,Alabama,74.8659701913572,01,039,20.1
Crenshaw County,Alabama,74.4189555245288,01,041,17.2
Cullman County,Alabama,74.9300732935393,01,043,18.0
Dale County,Alabama,75.9998085962609,01,045,18.7
Dallas County,Alabama,72.1686309532854,01,047,35.9
DeKalb County,Alabama,74.7318781453857,01,049,20.1
Elmore County,Alabama,75.9399909370708,01,051,12.9
Escambia County,Alabama,73.7808302047218,01,053,26.0
Etowah County,Alabama,73.3708247850727,01,055,19.6
Fayette County,Alabama,74.0659626546655,01,057,20.8
Franklin County,Alabama,73.5137577154115,01,059,24.3
Geneva County,Alabama,75.0218977493571,01,061,22.6
Greene County,Alabama,74.4811078615176,01,063,36.6
Hale County,Alabama,74.1560323615994,01,065,27.9
Henry County,Alabama,75.7543594558265,01,067,14.8
Houston County,Alabama,76.559115914522,01,069,18.4
Jackson County,Alabama,73.5264035395202,01,071,18.2
Jefferson County,Alabama,74.9798554080244,01,073,18.7
Lamar County,Alabama,74.7116839103121,01,075,22.6
Lauderdale County,Alabama,76.1300402688184,01,077,18.7
Lawrence County,Alabama,73.989537746666,01,079,17.1
Lee County,Alabama,77.5595991086487,01,081,23.6
Limestone County,Alabama,77.4754459389285,01,083,14.1
Lowndes County,Alabama,72.2634055675833,01,085,29.3
Macon County,Alabama,73.4904632643591,01,087,26.4
Madison County,Alabama,77.8536736827048,01,089,13.4
Marengo County,Alabama,74.0363714016051,01,091,25.0
Marion County,Alabama,74.4921559001086,01,093,19.4
Marshall County,Alabama,74.1039393352051,01,095,19.9
Mobile County,Alabama,75.1117597992232,01,097,19.9
Monroe County,Alabama,75.0245488974323,01,099,29.2
Montgomery County,Alabama,76.1126905968678,01,101,22.0
Morgan County,Alabama,75.7548165522007,01,103,15.1
Perry County,Alabama,72.5637425616024,01,105,37.4
Pickens County,Alabama,74.4392811093029,01,107,25.6
Pike County,Alabama,75.2623836523974,01,109,27.2
Randolph County,Alabama,74.7053091696992,01,111,23.5
Russell County,Alabama,74.3805861878772,01,113,22.1
Saint Clair County,Alabama,75.1216644950582,01,115,16.1
Shelby County,Alabama,79.9186609893026,01,117,8.6
Sumter County,Alabama,74.4570441053706,01,119,38.5
Talladega County,Alabama,73.6869492872818,01,121,23.4
Tallapoosa County,Alabama,75.1270284243972,01,123,21.1
Tuscaloosa County,Alabama,76.2841722904781,01,125,18.4
Walker County,Alabama,70.7322477452283,01,127,23.0
Washington County,Alabama,74.6503643642396,01,129,15.9
Wilcox County,Alabama,72.0305770620779,01,131,40.6
Winston County,Alabama,74.5222642002393,01,133,22.4
Anchorage Municipality,Alaska,78.9022024656191,02,020,8.3
Bethel Census Area,Alaska,72.9844076508492,02,050,23.7
Bristol Bay Borough,Alaska,75.8752123759168,02,060,7.2
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,8.0
Haines Borough,Alaska,81.5832545334811,02,100,7.7
Juneau City and Borough,Alaska,80.0410654674188,02,110,6.4
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,9.3
Kodiak Island Borough,Alaska,79.5249195452452,02,150,11.4
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,10.2
Nome Census Area,Alaska,71.1118591784878,02,180,27.6
North Slope Borough,Alaska,75.4534450228025,02,185,10.2
Sitka City and Borough,Alaska,79.8800680903336,02,220,8.0
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,13.6
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,9.8
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,33.0
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,22.8
Aleutians East Borough,Alaska,83.6895218542177,02,013,16.4
Aleutians West Census Area,Alaska,83.6895218542177,02,016,8.9
Dillingham Census Area,Alaska,74.0829453697083,02,070,18.1
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,18.0
Denali Borough,Alaska,73.8895242313275,02,068,12.8
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,24.1
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,15.0
Skagway Municipality,Alaska,80.6002714993476,02,230,4.5
Yakutat City and Borough,Alaska,80.6002714993476,02,282,4.7
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,11.5
Petersburg Borough,Alaska,78.483859022547,02,195,9.4
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,15.6
Wrangell City and Borough,Alaska,78.483859022547,02,275,9.9
Apache County,Arizona,73.5730101249103,04,001,35.9
Cochise County,Arizona,78.4493453995009,04,003,17.5
Coconino County,Arizona,79.1262342389113,04,005,23.8
Gila County,Arizona,75.2769023094933,04,007,22.4
Graham County,Arizona,77.4673057827607,04,009,21.7
Greenlee County,Arizona,78.8069444314949,04,011,14.6
Maricopa County,Arizona,80.1983661565339,04,013,17.1
Mohave County,Arizona,75.4575819953017,04,015,19.9
Navajo County,Arizona,74.9438441304313,04,017,30.7
Pima County,Arizona,79.1994643325826,04,019,19.0
Pinal County,Arizona,81.00600317497,04,021,16.8
Santa Cruz County,Arizona,82.1001879296229,04,023,24.4
Yavapai County,Arizona,78.6665178423471,04,025,16.1
La Paz County,Arizona,81.3387718155153,04,012,18.4
Yuma County,Arizona,81.3387718155153,04,027,20.7
Arkansas County,Arkansas,73.8595673933612,05,001,17.7
Ashley County,Arkansas,74.4883652123264,05,003,19.8
Baxter County,Arkansas,76.2516267748183,05,005,14.9
Benton County,Arkansas,79.4059652057882,05,007,11.7
Boone County,Arkansas,76.5795522414594,05,009,16.9
Bradley County,Arkansas,74.0452396036787,05,011,29.4
Calhoun County,Arkansas,75.0978238246715,05,013,16.7
Carroll County,Arkansas,77.1207588475348,05,015,17.9
Chicot County,Arkansas,73.7092556075907,05,017,32.4
Clark County,Arkansas,75.5507566291671,05,019,23.7
Clay County,Arkansas,73.4648065193879,05,021,20.4
Cleburne County,Arkansas,76.2661790660477,05,023,15.9
Cleveland County,Arkansas,75.3480894669705,05,025,18.7
Columbia County,Arkansas,74.6838399967277,05,027,26.8
Conway County,Arkansas,75.4448351198573,05,029,22.7
Craighead County,Arkansas,76.2131160171002,05,031,21.5
Crawford County,Arkansas,75.743439597931,05,033,18.8
Crittenden County,Arkansas,73.0028156081488,05,035,25.9
Cross County,Arkansas,73.6777390034632,05,037,19.4
Dallas County,Arkansas,73.9263258901165,05,039,14.5
Desha County,Arkansas,73.4276736608831,05,041,31.1
Drew County,Arkansas,75.5138970499214,05,043,29.3
Faulkner County,Arkansas,76.9073679000959,05,045,15.1
Franklin County,Arkansas,75.0304629963768,05,047,19.9
Fulton County,Arkansas,75.4479638785258,05,049,20.6
Garland County,Arkansas,75.0910563247615,05,051,22.1
Grant County,Arkansas,75.8549997601848,05,053,11.2
Greene County,Arkansas,74.5883419533341,05,055,17.8
Hempstead County,Arkansas,75.0816457515582,05,057,26.3
Hot Spring County,Arkansas,74.674457659159,05,059,14.5
Howard County,Arkansas,74.5248817797813,05,061,21.0
Independence County,Arkansas,75.818962809451,05,063,23.2
