County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%)
Autauga County,Alabama,76.3458016126412,01,001,88.7
Baldwin County,Alabama,78.1131187069305,01,003,90.3
Barbour County,Alabama,74.7743309934985,01,005,73.0
Bibb County,Alabama,73.7903133744892,01,007,83.2
Blount County,Alabama,75.013449464969,01,009,80.2
Bullock County,Alabama,73.6842860486569,01,011,75.2
Butler County,Alabama,73.9019445955979,01,013,84.6
Calhoun County,Alabama,73.4088629777792,01,015,84.1
Chambers County,Alabama,74.5258741295021,01,017,81.4
Cherokee County,Alabama,74.4293661472186,01,019,80.2
Chilton County,Alabama,74.3574576379216,01,021,82.2
Choctaw County,Alabama,74.5791676770029,01,023,81.4
Clarke County,Alabama,74.8950304256062,01,025,81.2
Clay County,Alabama,74.5316289536644,01,027,75.5
Cleburne County,Alabama,74.3862420952093,01,029,77.4
Coffee County,Alabama,76.3613073583135,01,031,86.2
Colbert County,Alabama,74.531880399761,01,033,84.4
Conecuh County,Alabama,73.5208362803517,01,035,80.8
Coosa County,Alabama,75.5688098046964,01,037,79.6
Covington County,Alabama,74.094051609186,01,039,82.9
Crenshaw County,Alabama,74.1434109951944,01,041,78.4
Cullman County,Alabama,74.4187888904678,01,043,81.8
Dale County,Alabama,75.6212203924387,01,045,85.8
Dallas County,Alabama,72.300300454957,01,047,80.7
DeKalb County,Alabama,74.664298896307,01,049,74.1
Elmore County,Alabama,76.0666411732753,01,051,86.4
Escambia County,Alabama,73.1785510386588,01,053,81.5
Etowah County,Alabama,73.310801891145,01,055,84.5
Fayette County,Alabama,73.7501826390878,01,057,82.4
Franklin County,Alabama,73.6994529156054,01,059,76.8
Geneva County,Alabama,74.2429861050731,01,061,79.1
Greene County,Alabama,74.0541627291715,01,063,75.9
Hale County,Alabama,73.8211347225773,01,065,83.6
Henry County,Alabama,75.5345409164455,01,067,80.2
Houston County,Alabama,76.2003724907021,01,069,85.7
Jackson County,Alabama,73.4860798339663,01,071,82.5
Jefferson County,Alabama,74.8266754858777,01,073,89.7
Lamar County,Alabama,74.6405751275356,01,075,82.4
Lauderdale County,Alabama,76.2332477342409,01,077,87.4
Lawrence County,Alabama,73.8448626457253,01,079,79.0
Lee County,Alabama,77.6449270835747,01,081,90.5
Limestone County,Alabama,77.5937481419663,01,083,84.3
Lowndes County,Alabama,72.0555793694128,01,085,77.5
Macon County,Alabama,73.143855116616,01,087,81.7
Madison County,Alabama,77.6056196958447,01,089,91.1
Marengo County,Alabama,73.5140531961641,01,091,83.8
Marion County,Alabama,74.2254868593688,01,093,79.7
Marshall County,Alabama,74.360519855914,01,095,80.9
Mobile County,Alabama,74.9863591340308,01,097,86.2
Monroe County,Alabama,74.9978896242308,01,099,83.7
Montgomery County,Alabama,76.1656562262215,01,101,85.6
Morgan County,Alabama,75.4261590776826,01,103,83.3
Perry County,Alabama,72.770250342339,01,105,78.1
Pickens County,Alabama,74.6249282141329,01,107,80.6
Pike County,Alabama,75.0187640137986,01,109,81.0
Randolph County,Alabama,74.3982802569113,01,111,78.8
Russell County,Alabama,73.6803490665368,01,113,83.3
Saint Clair County,Alabama,75.0107121083288,01,115,84.8
Shelby County,Alabama,80.205250224518,01,117,92.2
Sumter County,Alabama,74.7139987528402,01,119,84.2
Talladega County,Alabama,73.5793518144223,01,121,81.0
Tallapoosa County,Alabama,74.9365477647865,01,123,80.5
Tuscaloosa County,Alabama,76.5059658159458,01,125,88.4
Walker County,Alabama,70.5636130208947,01,127,80.9
Washington County,Alabama,74.6032396661542,01,129,80.4
Wilcox County,Alabama,71.5241341237713,01,131,76.9
Winston County,Alabama,74.7102062206126,01,133,78.1
Anchorage Municipality,Alaska,79.167117979683,02,020,93.8
Bethel Census Area,Alaska,72.53346154146,02,050,81.4
Bristol Bay Borough,Alaska,76.2417287283227,02,060,94.4
Fairbanks North Star Borough,Alaska,80.2495817828855,02,090,94.5
Haines Borough,Alaska,82.3340851154886,02,100,97.0
Juneau City and Borough,Alaska,80.7356793660287,02,110,96.1
Kenai Peninsula Borough,Alaska,78.641406388572,02,122,92.8
Kodiak Island Borough,Alaska,80.3116543907809,02,150,89.9
Matanuska-Susitna Borough,Alaska,78.8829024347706,02,170,92.4
Nome Census Area,Alaska,70.7530594988732,02,180,84.1
North Slope Borough,Alaska,75.8434189819725,02,185,89.8
Sitka City and Borough,Alaska,80.454277274944,02,220,94.0
Southeast Fairbanks Census Area,Alaska,77.6892419463187,02,240,90.2
Valdez-Cordova Census Area,Alaska,79.0550286546822,02,261,96.0
Wade Hampton Census Area,Alaska,68.2919702704407,02,270,
Northwest Arctic Borough,Alaska,72.6945119305142,02,188,81.9
Aleutians East Borough,Alaska,84.54019994971,02,013,86.4
Aleutians West Census Area,Alaska,84.54019994971,02,016,88.8
Dillingham Census Area,Alaska,74.2728982123458,02,070,87.3
Lake and Peninsula Borough,Alaska,74.2728982123458,02,164,85.5
Denali Borough,Alaska,74.5030411727533,02,068,98.4
Yukon-Koyukuk Census Area,Alaska,74.5030411727533,02,290,85.7
Hoonah-Angoon Census Area,Alaska,81.2101394560811,02,105,91.5
Skagway Municipality,Alaska,81.2101394560811,02,230,93.7
Yakutat City and Borough,Alaska,81.2101394560811,02,282,91.8
Ketchikan Gateway Borough,Alaska,79.3321255610105,02,130,92.7
Petersburg Borough,Alaska,79.3321255610105,02,195,89.7
Prince of Wales-Hyder Census Area,Alaska,79.3321255610105,02,198,90.2
Wrangell City and Borough,Alaska,79.3321255610105,02,275,88.3
Apache County,Arizona,72.3010290005178,04,001,79.6
Cochise County,Arizona,77.8408033972637,04,003,87.2
Coconino County,Arizona,78.8052809079821,04,005,89.6
Gila County,Arizona,74.3746289869468,04,007,85.3
Graham County,Arizona,77.1556460234304,04,009,85.6
Greenlee County,Arizona,78.3645024836664,04,011,89.0
Maricopa County,Arizona,79.7386604099472,04,013,87.4
Mohave County,Arizona,75.0984065448903,04,015,85.3
Navajo County,Arizona,73.7972740690661,04,017,82.8
Pima County,Arizona,78.7518294309296,04,019,88.3
Pinal County,Arizona,81.2155424915528,04,021,85.4
Santa Cruz County,Arizona,81.7071020187176,04,023,75.6
Yavapai County,Arizona,78.051524295411,04,025,90.3
La Paz County,Arizona,81.2378999209795,04,012,77.3
Yuma County,Arizona,81.2378999209795,04,027,72.1
Arkansas County,Arkansas,73.699664085667,05,001,83.0
Ashley County,Arkansas,74.0622583712188,05,003,82.3
Baxter County,Arkansas,76.0355516425297,05,005,88.2
Benton County,Arkansas,79.5515977691344,05,007,88.1
Boone County,Arkansas,76.2920818267331,05,009,87.0
Bradley County,Arkansas,73.9154085027933,05,011,82.0
Calhoun County,Arkansas,74.7753643476493,05,013,82.7
Carroll County,Arkansas,77.2088767175722,05,015,85.8
Chicot County,Arkansas,73.4191359082146,05,017,80.7
Clark County,Arkansas,75.9107071055062,05,019,89.2
Clay County,Arkansas,73.0282818142332,05,021,80.7
Cleburne County,Arkansas,75.8897883042267,05,023,84.7
Cleveland County,Arkansas,74.9601675422995,05,025,88.6
Columbia County,Arkansas,74.3920918341417,05,027,85.0
Conway County,Arkansas,74.8124099395122,05,029,85.9
Craighead County,Arkansas,76.2618331131667,05,031,89.1
Crawford County,Arkansas,76.0303039795828,05,033,85.2
Crittenden County,Arkansas,72.9678543864573,05,035,82.4
Cross County,Arkansas,73.2798919731548,05,037,82.8
Dallas County,Arkansas,73.7130043686649,05,039,83.6
Desha County,Arkansas,72.7276609628183,05,041,78.8
Drew County,Arkansas,75.2211103202167,05,043,85.1
Faulkner County,Arkansas,76.5427391151303,05,045,91.3
Franklin County,Arkansas,74.6633798673886,05,047,82.6
Fulton County,Arkansas,75.0726412158052,05,049,84.6
Garland County,Arkansas,74.6917741981376,05,051,88.4
Grant County,Arkansas,75.3837861639195,05,053,91.5
Greene County,Arkansas,74.2408679220059,05,055,87.3
Hempstead County,Arkansas,75.3276249243193,05,057,81.0
Hot Spring County,Arkansas,74.4739215374817,05,059,85.4
Howard County,Arkansas,74.2175286904666,05,061,82.9
Independence County,Arkansas,75.9418583152842,05,063,85.8
Izard County,Arkansas,75.4317695846984,05,065,85.1
Jackson County,Arkansas,73.3266666408661,05,067,78.9
Jefferson County,Arkansas,73.3590923821139,05,069,86.0
Johnson County,Arkansas,75.8064818743859,05,071,79.4
Lafayette County,Arkansas,74.6587982386832,05,073,81.7
Lawrence County,Arkansas,74.0656088368156,05,075,85.5
Lee County,Arkansas,73.3490156735839,05,077,73.0
Lincoln County,Arkansas,75.1131078790431,05,079,81.3
Little River County,Arkansas,74.1807882572467,05,081,88.2
Logan County,Arkansas,74.4320848649481,05,083,85.1
Lonoke County,Arkansas,74.9345664780834,05,085,88.7
Madison County,Arkansas,75.5976399371591,05,087,79.7
Marion County,Arkansas,75.4429778062734,05,089,86.9
Miller County,Arkansas,74.6268522519816,05,091,86.0
Mississippi County,Arkansas,71.4920842695116,05,093,80.7
Monroe County,Arkansas,72.4674227246369,05,095,77.1
Montgomery County,Arkansas,75.793052336322,05,097,78.2
Nevada County,Arkansas,74.2958611849283,05,099,86.8
Newton County,Arkansas,77.1907959033018,05,101,82.6
Ouachita County,Arkansas,73.0491101838795,05,103,85.6
Perry County,Arkansas,75.0236567504255,05,105,83.4
Phillips County,Arkansas,71.1931915908736,05,107,78.4
Pike County,Arkansas,75.0824421118564,05,109,84.8
Poinsett County,Arkansas,71.3031716770786,05,111,80.6
Polk County,Arkansas,75.2198849618385,05,113,84.6
Pope County,Arkansas,76.6203759107694,05,115,84.8
Prairie County,Arkansas,75.966819358482,05,117,82.2
Pulaski County,Arkansas,76.0611102581848,05,119,90.4
Randolph County,Arkansas,74.3973999793014,05,121,82.7
Saint Francis County,Arkansas,74.1021367670649,05,123,80.6
Saline County,Arkansas,77.1843392125055,05,125,90.4
Scott County,Arkansas,74.7730329022547,05,127,78.9
Searcy County,Arkansas,75.2517345364764,05,129,84.5
Sebastian County,Arkansas,75.9956131141566,05,131,83.2
Sevier County,Arkansas,75.4897788457826,05,133,74.3
Sharp County,Arkansas,73.8772637972242,05,135,83.6
