County,State,mean_life_expectancy,State_FIPS,County_FIPS,No Vehicle (Renter)
Autauga County,Alabama,75.7292435880376,01,001,580
Baldwin County,Alabama,77.9271776584132,01,003,1221
Barbour County,Alabama,75.726345615993,01,005,623
Bibb County,Alabama,73.8549042153188,01,007,127
Blount County,Alabama,75.7031620249924,01,009,471
Bullock County,Alabama,74.5147146410295,01,011,299
Butler County,Alabama,74.0029270174073,01,013,545
Calhoun County,Alabama,73.7720318613506,01,015,1794
Chambers County,Alabama,74.4618272098825,01,017,829
Cherokee County,Alabama,74.9073645339479,01,019,299
Chilton County,Alabama,74.1680381073103,01,021,419
Choctaw County,Alabama,75.0330369420346,01,023,159
Clarke County,Alabama,75.3627746026001,01,025,445
Clay County,Alabama,74.5556200097281,01,027,193
Cleburne County,Alabama,74.0892819227667,01,029,167
Coffee County,Alabama,76.8920779757569,01,031,874
Colbert County,Alabama,74.7919396971864,01,033,814
Conecuh County,Alabama,73.9629702481659,01,035,260
Coosa County,Alabama,75.1116367329605,01,037,129
Covington County,Alabama,75.0377160434361,01,039,554
Crenshaw County,Alabama,74.4090115093279,01,041,259
Cullman County,Alabama,75.0285246631596,01,043,1095
Dale County,Alabama,76.2376078137941,01,045,761
Dallas County,Alabama,72.3485612905477,01,047,1675
DeKalb County,Alabama,74.9900686798499,01,049,516
Elmore County,Alabama,75.972036154942,01,051,506
Escambia County,Alabama,74.0158797821032,01,053,546
Etowah County,Alabama,73.2531150461842,01,055,1426
Fayette County,Alabama,74.2005416942204,01,057,475
Franklin County,Alabama,73.4441492092538,01,059,672
Geneva County,Alabama,75.2391510545445,01,061,385
Greene County,Alabama,74.6190084135484,01,063,297
Hale County,Alabama,74.1705015045921,01,065,397
Henry County,Alabama,75.8618642097371,01,067,311
Houston County,Alabama,76.6654865118704,01,069,1666
Jackson County,Alabama,73.8971307190983,01,071,455
Jefferson County,Alabama,74.9923234793925,01,073,15559
Lamar County,Alabama,74.6375257695077,01,075,290
Lauderdale County,Alabama,76.3717334494033,01,077,1351
Lawrence County,Alabama,74.0874083511881,01,079,351
Lee County,Alabama,77.5552230695894,01,081,1998
Limestone County,Alabama,77.5349339425497,01,083,787
Lowndes County,Alabama,72.5169545782714,01,085,252
Macon County,Alabama,73.472029298343,01,087,789
Madison County,Alabama,77.7777375113583,01,089,4667
Marengo County,Alabama,74.31817729379,01,091,676
Marion County,Alabama,74.3185965980805,01,093,394
Marshall County,Alabama,74.2594225666453,01,095,1056
Mobile County,Alabama,74.9254454523935,01,097,8266
Monroe County,Alabama,75.3055057626381,01,099,517
Montgomery County,Alabama,76.0363412800295,01,101,4993
Morgan County,Alabama,75.7692598409346,01,103,1595
Perry County,Alabama,72.0683801705565,01,105,234
Pickens County,Alabama,74.4214021607815,01,107,655
Pike County,Alabama,75.324182967647,01,109,909
Randolph County,Alabama,74.4748298659528,01,111,528
Russell County,Alabama,74.2849040636452,01,113,1191
Saint Clair County,Alabama,75.1409064937624,01,115,349
Shelby County,Alabama,79.6179282707985,01,117,1111
Sumter County,Alabama,74.3938821811206,01,119,393
Talladega County,Alabama,73.5547810443691,01,121,1450
Tallapoosa County,Alabama,75.2700066121829,01,123,836
Tuscaloosa County,Alabama,75.9567690035619,01,125,3201
Walker County,Alabama,71.0086526303479,01,127,788
Washington County,Alabama,74.7671249776603,01,129,193
Wilcox County,Alabama,72.1727031543216,01,131,170
Winston County,Alabama,74.1868543786886,01,133,296
Anchorage Municipality,Alaska,78.7324733774199,02,020,4751
Bethel Census Area,Alaska,72.9375771624196,02,050,935
Bristol Bay Borough,Alaska,75.4523499871574,02,060,40
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,1638
Haines Borough,Alaska,79.7853560050767,02,100,53
Juneau City and Borough,Alaska,79.6549904893737,02,110,764
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,752
Kodiak Island Borough,Alaska,78.9325295918541,02,150,306
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,696
Nome Census Area,Alaska,71.2209696012473,02,180,794
North Slope Borough,Alaska,75.1130295005676,02,185,618
Sitka City and Borough,Alaska,79.6650631553651,02,220,323
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,70
Valdez-Cordova Census Area,Alaska,77.7789732408076,02,261,142
Wade Hampton Census Area,Alaska,69.3213264483902,02,270,455
Northwest Arctic Borough,Alaska,73.3099569505481,02,188,619
Aleutians East Borough,Alaska,83.2497136811526,02,013,43
Aleutians West Census Area,Alaska,83.2497136811526,02,016,126
Dillingham Census Area,Alaska,73.8738696625887,02,070,214
Lake and Peninsula Borough,Alaska,73.8738696625887,02,164,127
Denali Borough,Alaska,73.4675000952053,02,068,8
Yukon-Koyukuk Census Area,Alaska,73.4675000952053,02,290,353
Hoonah-Angoon Census Area,Alaska,80.4521604465035,02,105,121
Skagway Municipality,Alaska,80.4521604465035,02,230,17
Yakutat City and Borough,Alaska,80.4521604465035,02,282,17
Ketchikan Gateway Borough,Alaska,78.2747578732582,02,130,611
Petersburg Borough,Alaska,78.2747578732582,02,195,96
Prince of Wales-Hyder Census Area,Alaska,78.2747578732582,02,198,113
Wrangell City and Borough,Alaska,78.2747578732582,02,275,90
Apache County,Arizona,73.8561214396708,04,001,379
Cochise County,Arizona,78.5680603010476,04,003,2176
Coconino County,Arizona,79.1193751512235,04,005,1671
Gila County,Arizona,75.6097304830814,04,007,960
Graham County,Arizona,77.4622342675031,04,009,518
Greenlee County,Arizona,78.7507827120149,04,011,112
Maricopa County,Arizona,80.2124326116695,04,013,71594
Mohave County,Arizona,75.5591104853809,04,015,2825
Navajo County,Arizona,75.2738330677208,04,017,1426
Pima County,Arizona,79.2757506659015,04,019,24641
Pinal County,Arizona,80.7659844558082,04,021,3587
Santa Cruz County,Arizona,82.0373373185342,04,023,593
Yavapai County,Arizona,78.7874029147685,04,025,2986
La Paz County,Arizona,81.3521675862137,04,012,460
Yuma County,Arizona,81.3521675862137,04,027,2579
Arkansas County,Arkansas,74.1112858269703,05,001,433
Ashley County,Arkansas,74.722530526701,05,003,384
Baxter County,Arkansas,76.2503312773737,05,005,438
Benton County,Arkansas,79.4131254615631,05,007,2356
Boone County,Arkansas,76.6663467075271,05,009,598
Bradley County,Arkansas,73.9859323033062,05,011,182
Calhoun County,Arkansas,75.1966838611123,05,013,45
Carroll County,Arkansas,77.1456627462798,05,015,294
Chicot County,Arkansas,73.5503670607376,05,017,442
Clark County,Arkansas,75.3636248057106,05,019,408
Clay County,Arkansas,73.5541248348346,05,021,280
Cleburne County,Arkansas,76.6484655444559,05,023,178
Cleveland County,Arkansas,75.4329581994689,05,025,72
Columbia County,Arkansas,74.6943200936668,05,027,541
Conway County,Arkansas,75.4217186668425,05,029,306
Craighead County,Arkansas,76.2385197940168,05,031,2086
Crawford County,Arkansas,75.686590417868,05,033,722
Crittenden County,Arkansas,72.9401979057682,05,035,1803
Cross County,Arkansas,73.6904796145758,05,037,261
Dallas County,Arkansas,73.8830173656563,05,039,339
Desha County,Arkansas,73.3796780724682,05,041,609
Drew County,Arkansas,75.6904108101973,05,043,282
Faulkner County,Arkansas,76.9619590048966,05,045,1547
Franklin County,Arkansas,75.1411510297566,05,047,261
Fulton County,Arkansas,75.5379827898365,05,049,77
Garland County,Arkansas,75.2570452248396,05,051,1976
Grant County,Arkansas,75.6239859974003,05,053,135
Greene County,Arkansas,74.5331879883689,05,055,668
Hempstead County,Arkansas,75.2479397463284,05,057,448
Hot Spring County,Arkansas,75.1772664311386,05,059,476
Howard County,Arkansas,74.4354857160435,05,061,340
Independence County,Arkansas,75.5694409162232,05,063,489
Izard County,Arkansas,75.5978482588757,05,065,152
Jackson County,Arkansas,73.5653078755239,05,067,429
Jefferson County,Arkansas,74.0215400823225,05,069,1512
Johnson County,Arkansas,76.2289901089355,05,071,289
Lafayette County,Arkansas,74.0803351638509,05,073,171
Lawrence County,Arkansas,74.0776121126324,05,075,254
Lee County,Arkansas,73.6384894525123,05,077,513
Lincoln County,Arkansas,75.7083515136591,05,079,172
Little River County,Arkansas,74.5062487093194,05,081,218
Logan County,Arkansas,74.7473624038807,05,083,218
Lonoke County,Arkansas,75.3274694088,05,085,793
Madison County,Arkansas,75.4443972571463,05,087,126
Marion County,Arkansas,75.5766832392705,05,089,123
Miller County,Arkansas,74.9195793668671,05,091,960
Mississippi County,Arkansas,72.4512758602153,05,093,1286
Monroe County,Arkansas,73.4013992674969,05,095,386
