County,State,mean_life_expectancy,State_FIPS,County_FIPS,Gini Index
Autauga County,Alabama,76.5932651350438,01,001,0.4542
Baldwin County,Alabama,78.2935223384932,01,003,0.4587
Barbour County,Alabama,74.8145320945807,01,005,0.4883
Bibb County,Alabama,73.9200538034534,01,007,0.4487
Blount County,Alabama,75.0291855488467,01,009,0.457
Bullock County,Alabama,73.9493288862537,01,011,0.4731
Butler County,Alabama,74.1389189035864,01,013,0.4619
Calhoun County,Alabama,73.5629066906819,01,015,0.4633
Chambers County,Alabama,74.7026464205289,01,017,0.423
Cherokee County,Alabama,74.6131502945787,01,019,0.4515
Chilton County,Alabama,74.5859698133504,01,021,0.4719
Choctaw County,Alabama,74.6284355949225,01,023,0.469
Clarke County,Alabama,75.0999434901388,01,025,0.5158
Clay County,Alabama,74.701948975265,01,027,0.4615
Cleburne County,Alabama,74.7558638422596,01,029,0.457
Coffee County,Alabama,76.3997264684506,01,031,0.4327
Colbert County,Alabama,74.5331789579054,01,033,0.4467
Conecuh County,Alabama,73.8841768203255,01,035,0.4296
Coosa County,Alabama,75.7384814528474,01,037,0.4515
Covington County,Alabama,74.2115895055701,01,039,0.4598
Crenshaw County,Alabama,74.3548048141269,01,041,0.4921
Cullman County,Alabama,74.5626540622359,01,043,0.4416
Dale County,Alabama,75.5818368193645,01,045,0.4479
Dallas County,Alabama,72.4762524056376,01,047,0.4691
DeKalb County,Alabama,74.9432497939268,01,049,0.4723
Elmore County,Alabama,76.2158567842262,01,051,0.4413
Escambia County,Alabama,73.3131687800953,01,053,0.4818
Etowah County,Alabama,73.3604926263926,01,055,0.4594
Fayette County,Alabama,74.0421749009191,01,057,0.461
Franklin County,Alabama,74.0661703364282,01,059,0.4276
Geneva County,Alabama,74.3981355513722,01,061,0.44
Greene County,Alabama,74.0544180583619,01,063,0.5115
Hale County,Alabama,74.195380885004,01,065,0.4994
Henry County,Alabama,75.6447400375483,01,067,0.4407
Houston County,Alabama,76.2430325268057,01,069,0.4832
Jackson County,Alabama,73.6828553298684,01,071,0.4516
Jefferson County,Alabama,74.8621541773249,01,073,0.5009
Lamar County,Alabama,74.8683149184064,01,075,0.472
Lauderdale County,Alabama,76.2969405417653,01,077,0.4601
Lawrence County,Alabama,74.0450227399105,01,079,0.4409
Lee County,Alabama,77.9139576690325,01,081,0.5026
Limestone County,Alabama,77.6675828538061,01,083,0.4454
Lowndes County,Alabama,72.074118169288,01,085,0.5064
Macon County,Alabama,73.257603254685,01,087,0.5095
Madison County,Alabama,77.7641916190152,01,089,0.462
Marengo County,Alabama,73.5254347483341,01,091,0.5495
Marion County,Alabama,74.6258695781583,01,093,0.4587
Marshall County,Alabama,74.5877863503167,01,095,0.4707
Mobile County,Alabama,75.3368060857871,01,097,0.476
Monroe County,Alabama,75.1270770002995,01,099,0.5495
Montgomery County,Alabama,76.4216275471708,01,101,0.4928
Morgan County,Alabama,75.4863635328123,01,103,0.4526
Perry County,Alabama,73.1742532055544,01,105,0.4938
Pickens County,Alabama,74.8142448398232,01,107,0.4907
Pike County,Alabama,75.2422168626359,01,109,0.5367
Randolph County,Alabama,74.6401983680838,01,111,0.4815
Russell County,Alabama,73.8179782797389,01,113,0.4661
Saint Clair County,Alabama,75.2553895649825,01,115,0.4065
Shelby County,Alabama,80.4641938071101,01,117,0.4392
Sumter County,Alabama,74.9804619366111,01,119,0.5289
Talladega County,Alabama,73.8695996345704,01,121,0.467
Tallapoosa County,Alabama,75.1740848507411,01,123,0.4689
Tuscaloosa County,Alabama,76.6889893454644,01,125,0.4677
Walker County,Alabama,70.6271114963763,01,127,0.4522
Washington County,Alabama,74.8365149840162,01,129,0.4989
Wilcox County,Alabama,71.8708091393013,01,131,0.4887
Winston County,Alabama,74.940147608181,01,133,0.4752
Anchorage Municipality,Alaska,79.3865194176634,02,020,0.4298
Bethel Census Area,Alaska,72.7950243111552,02,050,0.4502
Bristol Bay Borough,Alaska,76.6332466885107,02,060,0.3916
Fairbanks North Star Borough,Alaska,80.6262503620013,02,090,0.4094
Haines Borough,Alaska,83.0150521479304,02,100,0.3985
Juneau City and Borough,Alaska,81.2261376714925,02,110,0.3985
Kenai Peninsula Borough,Alaska,78.9204662278644,02,122,0.4393
Kodiak Island Borough,Alaska,80.7900989550181,02,150,0.372
Matanuska-Susitna Borough,Alaska,79.1898406557226,02,170,0.422
Nome Census Area,Alaska,70.84535552875,02,180,0.4301
North Slope Borough,Alaska,75.9546291142911,02,185,0.4094
Sitka City and Borough,Alaska,80.8518144560272,02,220,0.4185
Southeast Fairbanks Census Area,Alaska,77.9794410796304,02,240,0.4058
Valdez-Cordova Census Area,Alaska,79.5744180540543,02,261,0.413
Wade Hampton Census Area,Alaska,68.5618044992559,02,270,
Northwest Arctic Borough,Alaska,72.7862703824079,02,188,0.4469
Aleutians East Borough,Alaska,84.863880134356,02,013,0.4068
Aleutians West Census Area,Alaska,84.863880134356,02,016,0.3514
Dillingham Census Area,Alaska,74.5502413308315,02,070,0.4271
Lake and Peninsula Borough,Alaska,74.5502413308315,02,164,0.4259
Denali Borough,Alaska,74.9741404048799,02,068,0.3486
