County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Population
Autauga County,Alabama,76.3458016126412,01,001,55200.0
Baldwin County,Alabama,78.1131187069305,01,003,208107.0
Barbour County,Alabama,74.7743309934985,01,005,25782.0
Bibb County,Alabama,73.7903133744892,01,007,22527.0
Blount County,Alabama,75.013449464969,01,009,57645.0
Bullock County,Alabama,73.6842860486569,01,011,10352.0
Butler County,Alabama,73.9019445955979,01,013,20025.0
Calhoun County,Alabama,73.4088629777792,01,015,115098.0
Chambers County,Alabama,74.5258741295021,01,017,33826.0
Cherokee County,Alabama,74.4293661472186,01,019,25853.0
Chilton County,Alabama,74.3574576379216,01,021,43930.0
Choctaw County,Alabama,74.5791676770029,01,023,13075.0
Clarke County,Alabama,74.8950304256062,01,025,24387.0
Clay County,Alabama,74.5316289536644,01,027,13378.0
Cleburne County,Alabama,74.3862420952093,01,029,14938.0
Coffee County,Alabama,76.3613073583135,01,031,51288.0
Colbert County,Alabama,74.531880399761,01,033,54495.0
Conecuh County,Alabama,73.5208362803517,01,035,12514.0
Coosa County,Alabama,75.5688098046964,01,037,10855.0
Covington County,Alabama,74.094051609186,01,039,37351.0
Crenshaw County,Alabama,74.1434109951944,01,041,13865.0
Cullman County,Alabama,74.4187888904678,01,043,82313.0
Dale County,Alabama,75.6212203924387,01,045,49255.0
Dallas County,Alabama,72.300300454957,01,047,40029.0
DeKalb County,Alabama,74.664298896307,01,049,71200.0
Elmore County,Alabama,76.0666411732753,01,051,81212.0
Escambia County,Alabama,73.1785510386588,01,053,37328.0
Etowah County,Alabama,73.310801891145,01,055,102939.0
Fayette County,Alabama,73.7501826390878,01,057,16585.0
Franklin County,Alabama,73.6994529156054,01,059,31542.0
Geneva County,Alabama,74.2429861050731,01,061,26491.0
Greene County,Alabama,74.0541627291715,01,063,8426.0
Hale County,Alabama,73.8211347225773,01,065,14887.0
Henry County,Alabama,75.5345409164455,01,067,17124.0
Houston County,Alabama,76.2003724907021,01,069,104352.0
Jackson County,Alabama,73.4860798339663,01,071,52094.0
Jefferson County,Alabama,74.8266754858777,01,073,659892.0
Lamar County,Alabama,74.6405751275356,01,075,13933.0
Lauderdale County,Alabama,76.2332477342409,01,077,92585.0
Lawrence County,Alabama,73.8448626457253,01,079,33171.0
Lee County,Alabama,77.6449270835747,01,081,159287.0
Limestone County,Alabama,77.5937481419663,01,083,93052.0
Lowndes County,Alabama,72.0555793694128,01,085,10236.0
Macon County,Alabama,73.143855116616,01,087,19054.0
Madison County,Alabama,77.6056196958447,01,089,357560.0
Marengo County,Alabama,73.5140531961641,01,091,19538.0
Marion County,Alabama,74.2254868593688,01,093,29965.0
Marshall County,Alabama,74.360519855914,01,095,95145.0
Mobile County,Alabama,74.9863591340308,01,097,414659.0
Monroe County,Alabama,74.9978896242308,01,099,21512.0
Montgomery County,Alabama,76.1656562262215,01,101,226941.0
Morgan County,Alabama,75.4261590776826,01,103,119122.0
Perry County,Alabama,72.770250342339,01,105,9486.0
Pickens County,Alabama,74.6249282141329,01,107,20298.0
Pike County,Alabama,75.0187640137986,01,109,33403.0
Randolph County,Alabama,74.3982802569113,01,111,22574.0
