County,State,mean_life_expectancy,State_FIPS,County_FIPS,Bachelor's Degree or Higher (%)
Autauga County,Alabama,75.7292435880376,01,001,24.4
Baldwin County,Alabama,77.9271776584132,01,003,29.3
Barbour County,Alabama,75.726345615993,01,005,13.0
Bibb County,Alabama,73.8549042153188,01,007,8.2
Blount County,Alabama,75.7031620249924,01,009,12.0
Bullock County,Alabama,74.5147146410295,01,011,9.3
Butler County,Alabama,74.0029270174073,01,013,12.2
Calhoun County,Alabama,73.7720318613506,01,015,16.3
Chambers County,Alabama,74.4618272098825,01,017,11.7
Cherokee County,Alabama,74.9073645339479,01,019,11.9
Chilton County,Alabama,74.1680381073103,01,021,11.3
Choctaw County,Alabama,75.0330369420346,01,023,13.1
Clarke County,Alabama,75.3627746026001,01,025,12.2
Clay County,Alabama,74.5556200097281,01,027,7.3
Cleburne County,Alabama,74.0892819227667,01,029,8.5
Coffee County,Alabama,76.8920779757569,01,031,24.1
Colbert County,Alabama,74.7919396971864,01,033,17.8
Conecuh County,Alabama,73.9629702481659,01,035,9.9
Coosa County,Alabama,75.1116367329605,01,037,8.1
Covington County,Alabama,75.0377160434361,01,039,13.4
Crenshaw County,Alabama,74.4090115093279,01,041,9.1
Cullman County,Alabama,75.0285246631596,01,043,13.7
Dale County,Alabama,76.2376078137941,01,045,18.1
Dallas County,Alabama,72.3485612905477,01,047,10.8
DeKalb County,Alabama,74.9900686798499,01,049,9.3
Elmore County,Alabama,75.972036154942,01,051,20.5
Escambia County,Alabama,74.0158797821032,01,053,10.9
Etowah County,Alabama,73.2531150461842,01,055,15.0
Fayette County,Alabama,74.2005416942204,01,057,10.9
Franklin County,Alabama,73.4441492092538,01,059,11.3
Geneva County,Alabama,75.2391510545445,01,061,9.9
Greene County,Alabama,74.6190084135484,01,063,7.1
Hale County,Alabama,74.1705015045921,01,065,10.3
Henry County,Alabama,75.8618642097371,01,067,13.7
Houston County,Alabama,76.6654865118704,01,069,20.2
Jackson County,Alabama,73.8971307190983,01,071,13.1
Jefferson County,Alabama,74.9923234793925,01,073,30.0
Lamar County,Alabama,74.6375257695077,01,075,8.6
Lauderdale County,Alabama,76.3717334494033,01,077,22.3
Lawrence County,Alabama,74.0874083511881,01,079,13.8
Lee County,Alabama,77.5552230695894,01,081,31.9
Limestone County,Alabama,77.5349339425497,01,083,21.1
Lowndes County,Alabama,72.5169545782714,01,085,13.0
Macon County,Alabama,73.472029298343,01,087,16.6
Madison County,Alabama,77.7777375113583,01,089,41.2
Marengo County,Alabama,74.31817729379,01,091,16.5
Marion County,Alabama,74.3185965980805,01,093,7.7
Marshall County,Alabama,74.2594225666453,01,095,16.6
Mobile County,Alabama,74.9254454523935,01,097,19.1
Monroe County,Alabama,75.3055057626381,01,099,8.7
Montgomery County,Alabama,76.0363412800295,01,101,30.8
Morgan County,Alabama,75.7692598409346,01,103,21.2
Perry County,Alabama,72.0683801705565,01,105,11.3
Pickens County,Alabama,74.4214021607815,01,107,8.3
Pike County,Alabama,75.324182967647,01,109,23.2
Randolph County,Alabama,74.4748298659528,01,111,9.7
Russell County,Alabama,74.2849040636452,01,113,13.3
Saint Clair County,Alabama,75.1409064937624,01,115,14.0
Shelby County,Alabama,79.6179282707985,01,117,42.9
Sumter County,Alabama,74.3938821811206,01,119,13.9
Talladega County,Alabama,73.5547810443691,01,121,11.8
Tallapoosa County,Alabama,75.2700066121829,01,123,15.3
Tuscaloosa County,Alabama,75.9567690035619,01,125,24.2
Walker County,Alabama,71.0086526303479,01,127,10.4
Washington County,Alabama,74.7671249776603,01,129,6.9
Wilcox County,Alabama,72.1727031543216,01,131,11.4
Winston County,Alabama,74.1868543786886,01,133,11.6
Anchorage Municipality,Alaska,78.7324733774199,02,020,31.5
Bethel Census Area,Alaska,72.9375771624196,02,050,8.6
Bristol Bay Borough,Alaska,75.4523499871574,02,060,17.9
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,25.0
Haines Borough,Alaska,79.7853560050767,02,100,29.9
Juneau City and Borough,Alaska,79.6549904893737,02,110,35.1
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,21.4
Kodiak Island Borough,Alaska,78.9325295918541,02,150,22.2
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,18.9
Nome Census Area,Alaska,71.2209696012473,02,180,13.8
North Slope Borough,Alaska,75.1130295005676,02,185,15.0
Sitka City and Borough,Alaska,79.6650631553651,02,220,32.1
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,22.4
Valdez-Cordova Census Area,Alaska,77.7789732408076,02,261,21.2
Wade Hampton Census Area,Alaska,69.3213264483902,02,270,5.0
Northwest Arctic Borough,Alaska,73.3099569505481,02,188,9.9
Aleutians East Borough,Alaska,83.2497136811526,02,013,13.4
Aleutians West Census Area,Alaska,83.2497136811526,02,016,10.3
Dillingham Census Area,Alaska,73.8738696625887,02,070,14.2
Lake and Peninsula Borough,Alaska,73.8738696625887,02,164,13.7
Denali Borough,Alaska,73.4675000952053,02,068,14.3
Yukon-Koyukuk Census Area,Alaska,73.4675000952053,02,290,7.1
Hoonah-Angoon Census Area,Alaska,80.4521604465035,02,105,24.4
Skagway Municipality,Alaska,80.4521604465035,02,230,21.7
Yakutat City and Borough,Alaska,80.4521604465035,02,282,36.5
Ketchikan Gateway Borough,Alaska,78.2747578732582,02,130,20.9
Petersburg Borough,Alaska,78.2747578732582,02,195,22.5
Prince of Wales-Hyder Census Area,Alaska,78.2747578732582,02,198,15.9
Wrangell City and Borough,Alaska,78.2747578732582,02,275,22.8
Apache County,Arizona,73.8561214396708,04,001,8.7
Cochise County,Arizona,78.5680603010476,04,003,23.3
Coconino County,Arizona,79.1193751512235,04,005,30.1
Gila County,Arizona,75.6097304830814,04,007,17.6
Graham County,Arizona,77.4622342675031,04,009,13.0
Greenlee County,Arizona,78.7507827120149,04,011,13.4
Maricopa County,Arizona,80.2124326116695,04,013,30.9
Mohave County,Arizona,75.5591104853809,04,015,12.9
Navajo County,Arizona,75.2738330677208,04,017,14.6
Pima County,Arizona,79.2757506659015,04,019,30.8
Pinal County,Arizona,80.7659844558082,04,021,17.5
Santa Cruz County,Arizona,82.0373373185342,04,023,22.5
Yavapai County,Arizona,78.7874029147685,04,025,26.3
La Paz County,Arizona,81.3521675862137,04,012,10.7
Yuma County,Arizona,81.3521675862137,04,027,13.9
Arkansas County,Arkansas,74.1112858269703,05,001,12.9
Ashley County,Arkansas,74.722530526701,05,003,11.1
Baxter County,Arkansas,76.2503312773737,05,005,16.5
Benton County,Arkansas,79.4131254615631,05,007,30.3
Boone County,Arkansas,76.6663467075271,05,009,15.7
Bradley County,Arkansas,73.9859323033062,05,011,11.6
Calhoun County,Arkansas,75.1966838611123,05,013,4.1
Carroll County,Arkansas,77.1456627462798,05,015,16.4
Chicot County,Arkansas,73.5503670607376,05,017,11.3
Clark County,Arkansas,75.3636248057106,05,019,21.8
Clay County,Arkansas,73.5541248348346,05,021,8.1
Cleburne County,Arkansas,76.6484655444559,05,023,17.9
Cleveland County,Arkansas,75.4329581994689,05,025,12.2
Columbia County,Arkansas,74.6943200936668,05,027,20.0
Conway County,Arkansas,75.4217186668425,05,029,12.3
Craighead County,Arkansas,76.2385197940168,05,031,23.2
Crawford County,Arkansas,75.686590417868,05,033,13.6
Crittenden County,Arkansas,72.9401979057682,05,035,14.0
Cross County,Arkansas,73.6904796145758,05,037,9.2
Dallas County,Arkansas,73.8830173656563,05,039,8.1
Desha County,Arkansas,73.3796780724682,05,041,11.6
Drew County,Arkansas,75.6904108101973,05,043,22.2
Faulkner County,Arkansas,76.9619590048966,05,045,25.4
Franklin County,Arkansas,75.1411510297566,05,047,13.0
