County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate
Autauga County,Alabama,76.0037780188588,01,001,7.6
Baldwin County,Alabama,77.883491815899,01,003,7.5
Barbour County,Alabama,75.0673228497808,01,005,17.6
Bibb County,Alabama,73.9292406132677,01,007,8.3
Blount County,Alabama,75.4045795365122,01,009,7.7
Bullock County,Alabama,73.9942587358532,01,011,18.0
Butler County,Alabama,73.8747097831596,01,013,10.9
Calhoun County,Alabama,73.4914898222883,01,015,12.3
Chambers County,Alabama,74.3558450542163,01,017,8.9
Cherokee County,Alabama,74.3869269438084,01,019,7.9
Chilton County,Alabama,74.1846042084152,01,021,9.1
Choctaw County,Alabama,74.4079125158607,01,023,13.6
Clarke County,Alabama,75.0600852353112,01,025,19.4
Clay County,Alabama,74.5433505768891,01,027,9.4
Cleburne County,Alabama,73.9868040627659,01,029,8.3
Coffee County,Alabama,76.3605391350353,01,031,7.1
Colbert County,Alabama,74.4371800102949,01,033,9.0
Conecuh County,Alabama,73.5347778763338,01,035,22.6
Coosa County,Alabama,75.1708542815166,01,037,17.0
Covington County,Alabama,74.5258130018285,01,039,11.2
Crenshaw County,Alabama,74.3461382236033,01,041,9.7
Cullman County,Alabama,74.594611891369,01,043,7.3
Dale County,Alabama,75.8955853753065,01,045,10.9
Dallas County,Alabama,72.0822622575986,01,047,16.4
DeKalb County,Alabama,74.708246577618,01,049,7.7
Elmore County,Alabama,75.7371836971991,01,051,8.3
Escambia County,Alabama,73.4683660064676,01,053,15.6
Etowah County,Alabama,73.1955443341744,01,055,9.0
Fayette County,Alabama,73.9431045571677,01,057,10.0
Franklin County,Alabama,73.589235938182,01,059,9.8
Geneva County,Alabama,74.6570847479417,01,061,11.2
Greene County,Alabama,74.2538349549859,01,063,20.4
Hale County,Alabama,73.9653852957873,01,065,13.3
Henry County,Alabama,75.6190349537947,01,067,8.1
Houston County,Alabama,76.3382467172531,01,069,8.3
Jackson County,Alabama,73.4843045744864,01,071,10.1
Jefferson County,Alabama,74.806564666839,01,073,9.1
Lamar County,Alabama,74.4774859000498,01,075,10.2
Lauderdale County,Alabama,75.9992408194207,01,077,7.1
Lawrence County,Alabama,73.7066029348587,01,079,9.8
Lee County,Alabama,77.5898607027561,01,081,7.3
Limestone County,Alabama,77.3894821829376,01,083,7.8
