County,State,mean_life_expectancy,State_FIPS,County_FIPS,High School Degree or Higher (%)
Autauga County,Alabama,76.0923839492951,01,001,85.6
Baldwin County,Alabama,77.9590260303945,01,003,87.6
Barbour County,Alabama,75.723760010315,01,005,71.6
Bibb County,Alabama,74.0704786684836,01,007,75.5
Blount County,Alabama,75.57623817677,01,009,76.2
Bullock County,Alabama,73.9667452558383,01,011,65.2
Butler County,Alabama,74.1879513563979,01,013,74.3
Calhoun County,Alabama,73.7500629106712,01,015,80.6
Chambers County,Alabama,74.4744393001101,01,017,74.1
Cherokee County,Alabama,74.8083588255097,01,019,80.9
Chilton County,Alabama,74.361687582335,01,021,74.8
Choctaw County,Alabama,74.767407753043,01,023,72.3
Clarke County,Alabama,75.234900184891,01,025,81.4
Clay County,Alabama,74.7573360142862,01,027,71.6
Cleburne County,Alabama,74.1228766542021,01,029,72.6
Coffee County,Alabama,76.7812212244236,01,031,81.9
Colbert County,Alabama,74.7421988900332,01,033,82.7
Conecuh County,Alabama,73.8726045151823,01,035,68.8
Coosa County,Alabama,75.2580877653134,01,037,73.2
Covington County,Alabama,74.8659701913572,01,039,79.7
Crenshaw County,Alabama,74.4189555245288,01,041,74.9
Cullman County,Alabama,74.9300732935393,01,043,80.4
Dale County,Alabama,75.9998085962609,01,045,84.8
Dallas County,Alabama,72.1686309532854,01,047,77.6
DeKalb County,Alabama,74.7318781453857,01,049,71.0
Elmore County,Alabama,75.9399909370708,01,051,84.3
Escambia County,Alabama,73.7808302047218,01,053,73.6
Etowah County,Alabama,73.3708247850727,01,055,81.5
Fayette County,Alabama,74.0659626546655,01,057,76.2
Franklin County,Alabama,73.5137577154115,01,059,74.2
Geneva County,Alabama,75.0218977493571,01,061,78.3
Greene County,Alabama,74.4811078615176,01,063,69.2
Hale County,Alabama,74.1560323615994,01,065,76.4
Henry County,Alabama,75.7543594558265,01,067,78.4
Houston County,Alabama,76.559115914522,01,069,83.9
Jackson County,Alabama,73.5264035395202,01,071,74.8
Jefferson County,Alabama,74.9798554080244,01,073,86.3
Lamar County,Alabama,74.7116839103121,01,075,75.8
Lauderdale County,Alabama,76.1300402688184,01,077,84.4
Lawrence County,Alabama,73.989537746666,01,079,78.2
Lee County,Alabama,77.5595991086487,01,081,87.1
Limestone County,Alabama,77.4754459389285,01,083,81.9
Lowndes County,Alabama,72.2634055675833,01,085,69.7
Macon County,Alabama,73.4904632643591,01,087,80.5
Madison County,Alabama,77.8536736827048,01,089,90.4
Marengo County,Alabama,74.0363714016051,01,091,80.5
Marion County,Alabama,74.4921559001086,01,093,71.4
Marshall County,Alabama,74.1039393352051,01,095,75.5
Mobile County,Alabama,75.1117597992232,01,097,84.0
Monroe County,Alabama,75.0245488974323,01,099,75.6
Montgomery County,Alabama,76.1126905968678,01,101,83.7
Morgan County,Alabama,75.7548165522007,01,103,80.7
Perry County,Alabama,72.5637425616024,01,105,67.4
Pickens County,Alabama,74.4392811093029,01,107,77.8
Pike County,Alabama,75.2623836523974,01,109,81.3
Randolph County,Alabama,74.7053091696992,01,111,71.7
Russell County,Alabama,74.3805861878772,01,113,81.6
Saint Clair County,Alabama,75.1216644950582,01,115,81.1
Shelby County,Alabama,79.9186609893026,01,117,90.5
Sumter County,Alabama,74.4570441053706,01,119,80.3
Talladega County,Alabama,73.6869492872818,01,121,76.5
Tallapoosa County,Alabama,75.1270284243972,01,123,77.8
Tuscaloosa County,Alabama,76.2841722904781,01,125,85.2
Walker County,Alabama,70.7322477452283,01,127,74.8
Washington County,Alabama,74.6503643642396,01,129,81.3
Wilcox County,Alabama,72.0305770620779,01,131,76.6
Winston County,Alabama,74.5222642002393,01,133,73.1
Anchorage Municipality,Alaska,78.9022024656191,02,020,92.5
Bethel Census Area,Alaska,72.9844076508492,02,050,79.5
Bristol Bay Borough,Alaska,75.8752123759168,02,060,89.8
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,93.2
Haines Borough,Alaska,81.5832545334811,02,100,93.8
Juneau City and Borough,Alaska,80.0410654674188,02,110,94.6
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,93.5
Kodiak Island Borough,Alaska,79.5249195452452,02,150,91.6
Matanuska-Susitna Borough,Alaska,78.3611817093364,02,170,91.5
Nome Census Area,Alaska,71.1118591784878,02,180,85.1
North Slope Borough,Alaska,75.4534450228025,02,185,89.9
Sitka City and Borough,Alaska,79.8800680903336,02,220,91.4
Southeast Fairbanks Census Area,Alaska,77.5604698374025,02,240,92.8
Valdez-Cordova Census Area,Alaska,78.5290646419212,02,261,89.2
Wade Hampton Census Area,Alaska,69.0577479184401,02,270,80.1
Northwest Arctic Borough,Alaska,73.3054263814092,02,188,79.3
Aleutians East Borough,Alaska,83.6895218542177,02,013,77.5
Aleutians West Census Area,Alaska,83.6895218542177,02,016,86.4
Dillingham Census Area,Alaska,74.0829453697083,02,070,84.2
Lake and Peninsula Borough,Alaska,74.0829453697083,02,164,85.1
Denali Borough,Alaska,73.8895242313275,02,068,97.2
Yukon-Koyukuk Census Area,Alaska,73.8895242313275,02,290,81.2
Hoonah-Angoon Census Area,Alaska,80.6002714993476,02,105,91.5
Skagway Municipality,Alaska,80.6002714993476,02,230,97.0
Yakutat City and Borough,Alaska,80.6002714993476,02,282,91.1
Ketchikan Gateway Borough,Alaska,78.483859022547,02,130,92.0
Petersburg Borough,Alaska,78.483859022547,02,195,96.3
Prince of Wales-Hyder Census Area,Alaska,78.483859022547,02,198,91.6
Wrangell City and Borough,Alaska,78.483859022547,02,275,89.0
Apache County,Arizona,73.5730101249103,04,001,75.4
Cochise County,Arizona,78.4493453995009,04,003,85.6
Coconino County,Arizona,79.1262342389113,04,005,87.4
Gila County,Arizona,75.2769023094933,04,007,83.5
Graham County,Arizona,77.4673057827607,04,009,83.4
Greenlee County,Arizona,78.8069444314949,04,011,85.8
Maricopa County,Arizona,80.1983661565339,04,013,86.1
Mohave County,Arizona,75.4575819953017,04,015,83.1
Navajo County,Arizona,74.9438441304313,04,017,81.0
Pima County,Arizona,79.1994643325826,04,019,87.5
Pinal County,Arizona,81.00600317497,04,021,83.2
Santa Cruz County,Arizona,82.1001879296229,04,023,76.9
Yavapai County,Arizona,78.6665178423471,04,025,89.5
La Paz County,Arizona,81.3387718155153,04,012,73.4
Yuma County,Arizona,81.3387718155153,04,027,71.7
Arkansas County,Arkansas,73.8595673933612,05,001,82.8
Ashley County,Arkansas,74.4883652123264,05,003,84.8
Baxter County,Arkansas,76.2516267748183,05,005,87.4
Benton County,Arkansas,79.4059652057882,05,007,85.9
Boone County,Arkansas,76.5795522414594,05,009,82.2
Bradley County,Arkansas,74.0452396036787,05,011,74.8
Calhoun County,Arkansas,75.0978238246715,05,013,83.5
Carroll County,Arkansas,77.1207588475348,05,015,81.5
Chicot County,Arkansas,73.7092556075907,05,017,76.3
Clark County,Arkansas,75.5507566291671,05,019,83.8
Clay County,Arkansas,73.4648065193879,05,021,75.2
Cleburne County,Arkansas,76.2661790660477,05,023,83.4
Cleveland County,Arkansas,75.3480894669705,05,025,83.9
Columbia County,Arkansas,74.6838399967277,05,027,84.7
Conway County,Arkansas,75.4448351198573,05,029,82.9
Craighead County,Arkansas,76.2131160171002,05,031,85.6
Crawford County,Arkansas,75.743439597931,05,033,85.5
Crittenden County,Arkansas,73.0028156081488,05,035,79.5
Cross County,Arkansas,73.6777390034632,05,037,76.7
Dallas County,Arkansas,73.9263258901165,05,039,84.5
Desha County,Arkansas,73.4276736608831,05,041,75.9
Drew County,Arkansas,75.5138970499214,05,043,83.5
Faulkner County,Arkansas,76.9073679000959,05,045,88.7
