County,State,mean_life_expectancy,State_FIPS,County_FIPS,Poverty Rate
Autauga County,Alabama,75.836928054027,01,001,12.1
Baldwin County,Alabama,77.8587885068867,01,003,13.9
Barbour County,Alabama,75.6039658679806,01,005,26.7
Bibb County,Alabama,73.8813807110977,01,007,18.1
Blount County,Alabama,75.6352536319274,01,009,15.8
Bullock County,Alabama,74.4021306908516,01,011,21.6
Butler County,Alabama,73.935514642706,01,013,28.4
Calhoun County,Alabama,73.6916993651565,01,015,21.9
Chambers County,Alabama,74.3709084353389,01,017,24.1
Cherokee County,Alabama,74.7690226049665,01,019,21.2
Chilton County,Alabama,74.2037941937705,01,021,19.5
Choctaw County,Alabama,74.7667739361553,01,023,21.5
Clarke County,Alabama,75.3078949980348,01,025,29.3
Clay County,Alabama,74.5125281044463,01,027,19.0
Cleburne County,Alabama,74.2119718397456,01,029,18.4
Coffee County,Alabama,76.8029854382398,01,031,18.6
Colbert County,Alabama,74.7012544694018,01,033,17.9
Conecuh County,Alabama,73.8578396157111,01,035,32.7
Coosa County,Alabama,75.0708584990442,01,037,20.9
Covington County,Alabama,74.939706372746,01,039,20.0
Crenshaw County,Alabama,74.4540874550923,01,041,19.1
Cullman County,Alabama,74.9509513238576,01,043,18.8
Dale County,Alabama,76.1296959155196,01,045,17.4
Dallas County,Alabama,72.2967105227705,01,047,35.5
DeKalb County,Alabama,74.7966732959206,01,049,19.9
Elmore County,Alabama,75.8412881424909,01,051,13.4
Escambia County,Alabama,73.8523605614612,01,053,25.4
Etowah County,Alabama,73.3079475598584,01,055,19.0
Fayette County,Alabama,74.057058159905,01,057,19.9
Franklin County,Alabama,73.349841367943,01,059,21.9
Geneva County,Alabama,75.2540134208833,01,061,21.2
Greene County,Alabama,74.5251950347399,01,063,32.9
Hale County,Alabama,74.2120689147012,01,065,26.6
Henry County,Alabama,75.9013490151937,01,067,14.4
Houston County,Alabama,76.6049969181304,01,069,18.0
Jackson County,Alabama,73.6075996652594,01,071,16.0
Jefferson County,Alabama,75.0012975222472,01,073,18.0
Lamar County,Alabama,74.594659571128,01,075,22.3
Lauderdale County,Alabama,76.2574810844103,01,077,17.2
Lawrence County,Alabama,74.025639809588,01,079,17.5
Lee County,Alabama,77.641756133286,01,081,22.0
Limestone County,Alabama,77.4567118555822,01,083,14.7
Lowndes County,Alabama,72.451572085185,01,085,26.7
Macon County,Alabama,73.4913418644572,01,087,27.3
Madison County,Alabama,77.772209501297,01,089,12.8
Marengo County,Alabama,74.1333674215399,01,091,24.0
Marion County,Alabama,74.2996624676483,01,093,20.9
Marshall County,Alabama,74.2650814854454,01,095,19.5
Mobile County,Alabama,75.0140519651065,01,097,19.8
Monroe County,Alabama,74.9403376152072,01,099,28.6
Montgomery County,Alabama,76.0742035748331,01,101,21.2
Morgan County,Alabama,75.7687418754051,01,103,15.7
Perry County,Alabama,72.4458737373582,01,105,25.6
Pickens County,Alabama,74.3989386831643,01,107,27.2
Pike County,Alabama,75.3843799599901,01,109,27.6
Randolph County,Alabama,74.6272688359767,01,111,24.5
Russell County,Alabama,74.4625975354371,01,113,22.0
Saint Clair County,Alabama,75.1354509099959,01,115,15.2
Shelby County,Alabama,79.7687496224489,01,117,7.9
Sumter County,Alabama,74.3343686399483,01,119,38.0
Talladega County,Alabama,73.6825216143372,01,121,22.9
Tallapoosa County,Alabama,75.2077207940106,01,123,19.8
Tuscaloosa County,Alabama,76.1412472106416,01,125,18.9
Walker County,Alabama,70.8637922877104,01,127,20.9
Washington County,Alabama,74.6734179457892,01,129,18.4
Wilcox County,Alabama,72.2374261679305,01,131,39.2
Winston County,Alabama,74.2153646411101,01,133,24.0
Anchorage Municipality,Alaska,78.7538192744483,02,020,7.9
Bethel Census Area,Alaska,72.9162299270473,02,050,22.8
Bristol Bay Borough,Alaska,75.4655368308601,02,060,7.9
Fairbanks North Star Borough,Alaska,79.2875377464225,02,090,8.4
Haines Borough,Alaska,80.3402659326086,02,100,7.8
Juneau City and Borough,Alaska,79.7513085001443,02,110,6.2
Kenai Peninsula Borough,Alaska,78.3295603866331,02,122,8.6
Kodiak Island Borough,Alaska,79.2674018916655,02,150,11.7
Matanuska-Susitna Borough,Alaska,78.1712241323719,02,170,9.9
Nome Census Area,Alaska,71.0874958002656,02,180,27.7
North Slope Borough,Alaska,75.2725719185953,02,185,10.3
Sitka City and Borough,Alaska,79.5125431994159,02,220,10.0
Southeast Fairbanks Census Area,Alaska,77.1481963302165,02,240,13.3
Valdez-Cordova Census Area,Alaska,78.0507317723694,02,261,8.3
Wade Hampton Census Area,Alaska,69.129042588567,02,270,31.4
Northwest Arctic Borough,Alaska,73.0243042513836,02,188,22.0
Aleutians East Borough,Alaska,83.5166512642875,02,013,16.7
Aleutians West Census Area,Alaska,83.5166512642875,02,016,9.2
Dillingham Census Area,Alaska,73.7920691867546,02,070,18.1
Lake and Peninsula Borough,Alaska,73.7920691867546,02,164,21.1
Denali Borough,Alaska,73.5699219653651,02,068,11.4
Yukon-Koyukuk Census Area,Alaska,73.5699219653651,02,290,24.2
Hoonah-Angoon Census Area,Alaska,80.374241032238,02,105,14.9
Skagway Municipality,Alaska,80.374241032238,02,230,5.5
Yakutat City and Borough,Alaska,80.374241032238,02,282,5.9
Ketchikan Gateway Borough,Alaska,78.2808420907731,02,130,10.2
Petersburg Borough,Alaska,78.2808420907731,02,195,13.5
Prince of Wales-Hyder Census Area,Alaska,78.2808420907731,02,198,15.1
Wrangell City and Borough,Alaska,78.2808420907731,02,275,9.5
Apache County,Arizona,73.5831561418625,04,001,36.2
Cochise County,Arizona,78.5093583618516,04,003,17.1
Coconino County,Arizona,79.1783967754568,04,005,23.0
Gila County,Arizona,75.4683450305506,04,007,21.6
Graham County,Arizona,77.4666536416568,04,009,22.3
Greenlee County,Arizona,78.6626921330292,04,011,16.0
Maricopa County,Arizona,80.2239065499369,04,013,16.7
Mohave County,Arizona,75.5732188036138,04,015,19.4
Navajo County,Arizona,75.2513758313513,04,017,30.3
Pima County,Arizona,79.2068381779827,04,019,19.2
Pinal County,Arizona,80.9037956408188,04,021,15.6
Santa Cruz County,Arizona,82.0079464280884,04,023,26.3
Yavapai County,Arizona,78.6615151890778,04,025,15.8
La Paz County,Arizona,81.3901815824637,04,012,19.4
Yuma County,Arizona,81.3901815824637,04,027,20.2
Arkansas County,Arkansas,73.8156973399201,05,001,15.8
Ashley County,Arkansas,74.527033712992,05,003,18.9
Baxter County,Arkansas,76.2122281368992,05,005,15.5
Benton County,Arkansas,79.3617722496715,05,007,12.2
Boone County,Arkansas,76.5714079641579,05,009,16.6
Bradley County,Arkansas,73.9928167351683,05,011,31.3
Calhoun County,Arkansas,75.0101834551434,05,013,14.9
Carroll County,Arkansas,76.9212348790936,05,015,18.8
Chicot County,Arkansas,73.4958825931558,05,017,33.0
Clark County,Arkansas,75.4277256789478,05,019,24.3
Clay County,Arkansas,73.4772580278363,05,021,20.2
Cleburne County,Arkansas,76.4332102428103,05,023,15.8
Cleveland County,Arkansas,75.3899386050606,05,025,17.7
Columbia County,Arkansas,74.4778597853245,05,027,25.4
Conway County,Arkansas,75.3211173537385,05,029,24.0
Craighead County,Arkansas,76.1849034187585,05,031,20.6
Crawford County,Arkansas,75.6323094688717,05,033,20.2
Crittenden County,Arkansas,73.0807663455022,05,035,26.3
Cross County,Arkansas,73.6102929568663,05,037,17.4
Dallas County,Arkansas,73.9447963982835,05,039,19.7
Desha County,Arkansas,73.1929803551693,05,041,30.1
Drew County,Arkansas,75.6142342376879,05,043,28.5
Faulkner County,Arkansas,76.874980748974,05,045,14.6
Franklin County,Arkansas,74.8461541973117,05,047,20.5
Fulton County,Arkansas,75.4429142733183,05,049,18.7
Garland County,Arkansas,75.0982760087787,05,051,20.7
Grant County,Arkansas,75.6273873667791,05,053,9.9
Greene County,Arkansas,74.4557946872778,05,055,17.1
Hempstead County,Arkansas,75.0798934829681,05,057,27.4
Hot Spring County,Arkansas,74.7699312058851,05,059,14.2
Howard County,Arkansas,74.3104978429413,05,061,23.2
Independence County,Arkansas,75.55292051348,05,063,23.7
Izard County,Arkansas,75.6857060417369,05,065,18.7
Jackson County,Arkansas,73.5645257013294,05,067,28.4
Jefferson County,Arkansas,73.8804417043154,05,069,23.9
Johnson County,Arkansas,76.0679421315981,05,071,20.1
Lafayette County,Arkansas,73.9732457610778,05,073,24.1
Lawrence County,Arkansas,74.1944235430574,05,075,25.4
Lee County,Arkansas,73.6656526371685,05,077,31.5
Lincoln County,Arkansas,75.6620100556507,05,079,27.0
Little River County,Arkansas,74.1904867610063,05,081,14.0
Logan County,Arkansas,74.7110052677721,05,083,17.6
Lonoke County,Arkansas,75.2681135595378,05,085,13.2
Madison County,Arkansas,75.5147457725886,05,087,22.6
Marion County,Arkansas,75.4990392659523,05,089,18.9
Miller County,Arkansas,74.9160232473299,05,091,19.5
Mississippi County,Arkansas,72.3314425790971,05,093,24.9
Monroe County,Arkansas,72.9273164936148,05,095,28.8
Montgomery County,Arkansas,76.1909321334472,05,097,22.0
Nevada County,Arkansas,74.3108502571174,05,099,26.5
Newton County,Arkansas,77.0546342078252,05,101,23.5
Ouachita County,Arkansas,73.4215539603755,05,103,23.1
Perry County,Arkansas,75.3566377146712,05,105,15.6
Phillips County,Arkansas,71.143137921812,05,107,33.5
Pike County,Arkansas,75.3219856286797,05,109,24.8
Poinsett County,Arkansas,71.7436296549771,05,111,28.1
Polk County,Arkansas,75.1706027573073,05,113,23.1
Pope County,Arkansas,76.5312262614872,05,115,19.3
Prairie County,Arkansas,75.5040076219309,05,117,21.2
Pulaski County,Arkansas,76.2155838234668,05,119,17.2
Randolph County,Arkansas,74.8295050145305,05,121,21.8
Saint Francis County,Arkansas,74.2143402022178,05,123,28.4
Saline County,Arkansas,77.2702721854195,05,125,8.6
Scott County,Arkansas,75.4264942209673,05,127,20.0
Searcy County,Arkansas,75.8170342561347,05,129,26.1
Sebastian County,Arkansas,75.9063008139938,05,131,21.2
Sevier County,Arkansas,74.8024916114451,05,133,24.4
Sharp County,Arkansas,74.4068059903225,05,135,23.9
Stone County,Arkansas,76.4746383103692,05,137,25.5
Union County,Arkansas,73.3950491276234,05,139,21.5
Van Buren County,Arkansas,76.3377657708152,05,141,24.5
Washington County,Arkansas,77.9667709462642,05,143,20.7
White County,Arkansas,75.4804389196206,05,145,17.5
Woodruff County,Arkansas,72.9704729972146,05,147,24.3
Yell County,Arkansas,74.6982071723465,05,149,22.7
Alameda County,California,81.7395666265102,06,001,12.5
Alpine County,California,78.7968439851636,06,003,16.6
Amador County,California,79.7223050305829,06,005,12.6
Butte County,California,78.0043483458703,06,007,20.4
Calaveras County,California,79.7276449490236,06,009,10.9
Colusa County,California,80.1885672391631,06,011,12.5
Contra Costa County,California,81.5819673902927,06,013,10.5
Del Norte County,California,75.9485446226768,06,015,21.8
El Dorado County,California,81.1333632533598,06,017,9.0
