County,State,mean_life_expectancy,State_FIPS,County_FIPS,Unemployment Rate
Autauga County,Alabama,75.7292435880376,01,001,8.6
Baldwin County,Alabama,77.9271776584132,01,003,8.5
Barbour County,Alabama,75.726345615993,01,005,13.5
Bibb County,Alabama,73.8549042153188,01,007,10.5
Blount County,Alabama,75.7031620249924,01,009,10.0
Bullock County,Alabama,74.5147146410295,01,011,14.3
Butler County,Alabama,74.0029270174073,01,013,13.8
Calhoun County,Alabama,73.7720318613506,01,015,13.3
Chambers County,Alabama,74.4618272098825,01,017,16.0
Cherokee County,Alabama,74.9073645339479,01,019,10.5
Chilton County,Alabama,74.1680381073103,01,021,11.3
Choctaw County,Alabama,75.0330369420346,01,023,15.6
Clarke County,Alabama,75.3627746026001,01,025,16.7
Clay County,Alabama,74.5556200097281,01,027,11.7
Cleburne County,Alabama,74.0892819227667,01,029,12.3
Coffee County,Alabama,76.8920779757569,01,031,7.6
Colbert County,Alabama,74.7919396971864,01,033,8.7
Conecuh County,Alabama,73.9629702481659,01,035,23.6
Coosa County,Alabama,75.1116367329605,01,037,13.8
Covington County,Alabama,75.0377160434361,01,039,10.2
Crenshaw County,Alabama,74.4090115093279,01,041,8.6
Cullman County,Alabama,75.0285246631596,01,043,9.2
Dale County,Alabama,76.2376078137941,01,045,8.8
Dallas County,Alabama,72.3485612905477,01,047,19.4
DeKalb County,Alabama,74.9900686798499,01,049,11.0
Elmore County,Alabama,75.972036154942,01,051,8.5
Escambia County,Alabama,74.0158797821032,01,053,15.0
Etowah County,Alabama,73.2531150461842,01,055,11.3
Fayette County,Alabama,74.2005416942204,01,057,8.1
Franklin County,Alabama,73.4441492092538,01,059,9.3
Geneva County,Alabama,75.2391510545445,01,061,9.7
Greene County,Alabama,74.6190084135484,01,063,23.8
Hale County,Alabama,74.1705015045921,01,065,15.9
Henry County,Alabama,75.8618642097371,01,067,12.7
Houston County,Alabama,76.6654865118704,01,069,7.8
Jackson County,Alabama,73.8971307190983,01,071,8.1
Jefferson County,Alabama,74.9923234793925,01,073,10.0
Lamar County,Alabama,74.6375257695077,01,075,9.5
Lauderdale County,Alabama,76.3717334494033,01,077,9.1
Lawrence County,Alabama,74.0874083511881,01,079,11.5
Lee County,Alabama,77.5552230695894,01,081,9.7
Limestone County,Alabama,77.5349339425497,01,083,8.9
Lowndes County,Alabama,72.5169545782714,01,085,17.6
Macon County,Alabama,73.472029298343,01,087,16.5
Madison County,Alabama,77.7777375113583,01,089,9.3
Marengo County,Alabama,74.31817729379,01,091,10.6
Marion County,Alabama,74.3185965980805,01,093,10.9
Marshall County,Alabama,74.2594225666453,01,095,9.1
Mobile County,Alabama,74.9254454523935,01,097,11.1
Monroe County,Alabama,75.3055057626381,01,099,14.8
Montgomery County,Alabama,76.0363412800295,01,101,8.7
Morgan County,Alabama,75.7692598409346,01,103,11.0
Perry County,Alabama,72.0683801705565,01,105,19.1
Pickens County,Alabama,74.4214021607815,01,107,14.5
Pike County,Alabama,75.324182967647,01,109,9.7
Randolph County,Alabama,74.4748298659528,01,111,11.6
Russell County,Alabama,74.2849040636452,01,113,11.7
Saint Clair County,Alabama,75.1409064937624,01,115,10.7
Shelby County,Alabama,79.6179282707985,01,117,6.4
Sumter County,Alabama,74.3938821811206,01,119,19.0
Talladega County,Alabama,73.5547810443691,01,121,14.5
Tallapoosa County,Alabama,75.2700066121829,01,123,11.6
Tuscaloosa County,Alabama,75.9567690035619,01,125,8.0
Walker County,Alabama,71.0086526303479,01,127,13.7
Washington County,Alabama,74.7671249776603,01,129,18.0
Wilcox County,Alabama,72.1727031543216,01,131,24.5
Winston County,Alabama,74.1868543786886,01,133,9.8
Anchorage Municipality,Alaska,78.7324733774199,02,020,7.3
Bethel Census Area,Alaska,72.9375771624196,02,050,17.9
Bristol Bay Borough,Alaska,75.4523499871574,02,060,6.9
Fairbanks North Star Borough,Alaska,79.1951142874763,02,090,6.7
Haines Borough,Alaska,79.7853560050767,02,100,9.0
Juneau City and Borough,Alaska,79.6549904893737,02,110,5.1
Kenai Peninsula Borough,Alaska,78.364214012236,02,122,8.9
Kodiak Island Borough,Alaska,78.9325295918541,02,150,5.9
Matanuska-Susitna Borough,Alaska,78.153605044223,02,170,10.5
Nome Census Area,Alaska,71.2209696012473,02,180,17.8
North Slope Borough,Alaska,75.1130295005676,02,185,12.3
Sitka City and Borough,Alaska,79.6650631553651,02,220,6.3
Southeast Fairbanks Census Area,Alaska,77.5612030905116,02,240,9.3
Valdez-Cordova Census Area,Alaska,77.7789732408076,02,261,7.4
Wade Hampton Census Area,Alaska,69.3213264483902,02,270,27.2
Northwest Arctic Borough,Alaska,73.3099569505481,02,188,26.2
Aleutians East Borough,Alaska,83.2497136811526,02,013,3.1
Aleutians West Census Area,Alaska,83.2497136811526,02,016,3.6
Dillingham Census Area,Alaska,73.8738696625887,02,070,14.5
Lake and Peninsula Borough,Alaska,73.8738696625887,02,164,8.9
Denali Borough,Alaska,73.4675000952053,02,068,2.8
Yukon-Koyukuk Census Area,Alaska,73.4675000952053,02,290,22.6
Hoonah-Angoon Census Area,Alaska,80.4521604465035,02,105,12.7
Skagway Municipality,Alaska,80.4521604465035,02,230,7.6
Yakutat City and Borough,Alaska,80.4521604465035,02,282,4.4
Ketchikan Gateway Borough,Alaska,78.2747578732582,02,130,8.4
Petersburg Borough,Alaska,78.2747578732582,02,195,4.5
Prince of Wales-Hyder Census Area,Alaska,78.2747578732582,02,198,11.4
Wrangell City and Borough,Alaska,78.2747578732582,02,275,6.0
Apache County,Arizona,73.8561214396708,04,001,19.6
Cochise County,Arizona,78.5680603010476,04,003,9.2
Coconino County,Arizona,79.1193751512235,04,005,8.4
Gila County,Arizona,75.6097304830814,04,007,9.2
Graham County,Arizona,77.4622342675031,04,009,11.4
Greenlee County,Arizona,78.7507827120149,04,011,10.8
Maricopa County,Arizona,80.2124326116695,04,013,9.0
Mohave County,Arizona,75.5591104853809,04,015,14.2
Navajo County,Arizona,75.2738330677208,04,017,17.1
Pima County,Arizona,79.2757506659015,04,019,10.1
Pinal County,Arizona,80.7659844558082,04,021,11.5
Santa Cruz County,Arizona,82.0373373185342,04,023,14.0
Yavapai County,Arizona,78.7874029147685,04,025,10.2
La Paz County,Arizona,81.3521675862137,04,012,8.6
Yuma County,Arizona,81.3521675862137,04,027,13.0
Arkansas County,Arkansas,74.1112858269703,05,001,7.3
Ashley County,Arkansas,74.722530526701,05,003,9.8
Baxter County,Arkansas,76.2503312773737,05,005,9.6
Benton County,Arkansas,79.4131254615631,05,007,5.2
Boone County,Arkansas,76.6663467075271,05,009,8.3
Bradley County,Arkansas,73.9859323033062,05,011,7.5
Calhoun County,Arkansas,75.1966838611123,05,013,7.9
Carroll County,Arkansas,77.1456627462798,05,015,8.2
Chicot County,Arkansas,73.5503670607376,05,017,11.8
Clark County,Arkansas,75.3636248057106,05,019,11.5
Clay County,Arkansas,73.5541248348346,05,021,13.2
Cleburne County,Arkansas,76.6484655444559,05,023,10.4
Cleveland County,Arkansas,75.4329581994689,05,025,11.8
Columbia County,Arkansas,74.6943200936668,05,027,12.5
Conway County,Arkansas,75.4217186668425,05,029,9.2
Craighead County,Arkansas,76.2385197940168,05,031,8.7
Crawford County,Arkansas,75.686590417868,05,033,7.6
Crittenden County,Arkansas,72.9401979057682,05,035,12.8
Cross County,Arkansas,73.6904796145758,05,037,8.6
Dallas County,Arkansas,73.8830173656563,05,039,10.3
Desha County,Arkansas,73.3796780724682,05,041,13.7
Drew County,Arkansas,75.6904108101973,05,043,12.0
Faulkner County,Arkansas,76.9619590048966,05,045,7.8
Franklin County,Arkansas,75.1411510297566,05,047,10.5
Fulton County,Arkansas,75.5379827898365,05,049,11.3
Garland County,Arkansas,75.2570452248396,05,051,9.5
Grant County,Arkansas,75.6239859974003,05,053,7.6
Greene County,Arkansas,74.5331879883689,05,055,9.0
Hempstead County,Arkansas,75.2479397463284,05,057,8.8
Hot Spring County,Arkansas,75.1772664311386,05,059,9.7
Howard County,Arkansas,74.4354857160435,05,061,7.9
Independence County,Arkansas,75.5694409162232,05,063,8.5
Izard County,Arkansas,75.5978482588757,05,065,11.2
Jackson County,Arkansas,73.5653078755239,05,067,11.4
Jefferson County,Arkansas,74.0215400823225,05,069,13.3
Johnson County,Arkansas,76.2289901089355,05,071,7.2
Lafayette County,Arkansas,74.0803351638509,05,073,14.6
Lawrence County,Arkansas,74.0776121126324,05,075,9.2
Lee County,Arkansas,73.6384894525123,05,077,18.1
Lincoln County,Arkansas,75.7083515136591,05,079,11.7
Little River County,Arkansas,74.5062487093194,05,081,7.1
Logan County,Arkansas,74.7473624038807,05,083,8.5
Lonoke County,Arkansas,75.3274694088,05,085,7.8
Madison County,Arkansas,75.4443972571463,05,087,8.9
Marion County,Arkansas,75.5766832392705,05,089,9.7
Miller County,Arkansas,74.9195793668671,05,091,8.9
Mississippi County,Arkansas,72.4512758602153,05,093,12.2
Monroe County,Arkansas,73.4013992674969,05,095,11.5
Montgomery County,Arkansas,76.4915849838952,05,097,7.5
Nevada County,Arkansas,74.4070397931647,05,099,14.7
Newton County,Arkansas,76.7236904779886,05,101,5.7
Ouachita County,Arkansas,73.5602288399878,05,103,12.7
Perry County,Arkansas,75.7867157635549,05,105,7.3
Phillips County,Arkansas,71.4555730297611,05,107,18.4
Pike County,Arkansas,75.1998731244048,05,109,10.2
Poinsett County,Arkansas,71.7720566278047,05,111,14.4
Polk County,Arkansas,75.3955378678301,05,113,6.8
Pope County,Arkansas,76.7352799147921,05,115,6.8
Prairie County,Arkansas,75.5176517686095,05,117,4.0
Pulaski County,Arkansas,76.1575310521574,05,119,8.1
