County,State,mean_life_expectancy,State_FIPS,County_FIPS,Bachelor's Degree or Higher (%)
Autauga County,Alabama,75.8778642323899,01,001,24.6
Baldwin County,Alabama,77.9130697620398,01,003,29.5
Barbour County,Alabama,74.9198636240141,01,005,12.9
Bibb County,Alabama,73.6673305057905,01,007,12.0
Blount County,Alabama,75.0352199305904,01,009,13.0
Bullock County,Alabama,74.0743945438457,01,011,10.3
Butler County,Alabama,73.7224421194177,01,013,16.1
Calhoun County,Alabama,73.2983281711204,01,015,17.7
Chambers County,Alabama,74.35653924479,01,017,12.5
Cherokee County,Alabama,74.35852627411,01,019,14.0
Chilton County,Alabama,74.0413531729133,01,021,14.9
Choctaw County,Alabama,74.2486999564165,01,023,12.0
Clarke County,Alabama,74.5765529742926,01,025,12.1
Clay County,Alabama,74.369383765865,01,027,11.1
Cleburne County,Alabama,73.9771106499581,01,029,11.5
Coffee County,Alabama,76.3011829926155,01,031,23.7
Colbert County,Alabama,74.3929774045908,01,033,18.5
Conecuh County,Alabama,73.4218703928667,01,035,8.7
Coosa County,Alabama,75.1413818724986,01,037,9.9
Covington County,Alabama,74.1371294582595,01,039,14.9
Crenshaw County,Alabama,74.0180136364953,01,041,14.6
Cullman County,Alabama,74.3769894915807,01,043,15.0
Dale County,Alabama,75.5523047608571,01,045,16.1
Dallas County,Alabama,71.9735127187965,01,047,13.8
DeKalb County,Alabama,74.4934976817947,01,049,11.4
Elmore County,Alabama,75.7757161449512,01,051,22.2
Escambia County,Alabama,73.1630074988594,01,053,11.6
Etowah County,Alabama,73.053355135026,01,055,16.5
Fayette County,Alabama,73.6581554932797,01,057,14.1
Franklin County,Alabama,73.3754326341656,01,059,12.4
Geneva County,Alabama,74.4234456628163,01,061,11.7
Greene County,Alabama,73.9562928242995,01,063,10.0
Hale County,Alabama,73.7872404003688,01,065,14.0
Henry County,Alabama,75.4295227396512,01,067,16.1
Houston County,Alabama,76.107335428337,01,069,21.0
Jackson County,Alabama,73.4224281684067,01,071,12.6
Jefferson County,Alabama,74.6861744174914,01,073,31.4
Lamar County,Alabama,74.3621045612881,01,075,13.1
Lauderdale County,Alabama,76.0319979262066,01,077,21.7
Lawrence County,Alabama,73.765357848758,01,079,10.3
Lee County,Alabama,77.5109882075979,01,081,34.4
Limestone County,Alabama,77.2763641772968,01,083,23.3
Lowndes County,Alabama,71.8951633690497,01,085,12.3
Macon County,Alabama,73.090134567349,01,087,20.0
Madison County,Alabama,77.5122550397981,01,089,40.7
Marengo County,Alabama,73.54245764648,01,091,14.8
Marion County,Alabama,74.0145601745605,01,093,12.5
Marshall County,Alabama,74.0554552221729,01,095,16.6
Mobile County,Alabama,74.8448680449495,01,097,22.5
Monroe County,Alabama,74.7048197454091,01,099,12.4
Montgomery County,Alabama,75.9247713547993,01,101,31.5
Morgan County,Alabama,75.2816176346909,01,103,21.4
Perry County,Alabama,72.2207426684408,01,105,14.5
Pickens County,Alabama,74.3841278449026,01,107,11.1
Pike County,Alabama,74.9075976437267,01,109,24.0
Randolph County,Alabama,74.1995203731576,01,111,15.4
Russell County,Alabama,73.8166201926909,01,113,17.0
Saint Clair County,Alabama,74.931099486946,01,115,16.1
Shelby County,Alabama,79.9329869213868,01,117,41.4
Sumter County,Alabama,74.3710053760309,01,119,18.1
Talladega County,Alabama,73.4265194965138,01,121,13.1
Tallapoosa County,Alabama,74.8367340685609,01,123,17.3
Tuscaloosa County,Alabama,76.1222396683925,01,125,29.4
Walker County,Alabama,70.313647599106,01,127,10.5
Washington County,Alabama,74.2666042086814,01,129,9.6
Wilcox County,Alabama,71.4893330327934,01,131,11.3
Winston County,Alabama,74.3483369616355,01,133,13.1
Anchorage Municipality,Alaska,78.9414080782189,02,020,34.3
Bethel Census Area,Alaska,72.4470915674431,02,050,11.4
Bristol Bay Borough,Alaska,75.6282235384974,02,060,19.1
Fairbanks North Star Borough,Alaska,79.6767828494726,02,090,33.4
Haines Borough,Alaska,81.3439033397237,02,100,40.4
Juneau City and Borough,Alaska,80.1511541046263,02,110,39.4
Kenai Peninsula Borough,Alaska,78.4498058809908,02,122,23.7
Kodiak Island Borough,Alaska,79.6808969333594,02,150,24.8
Matanuska-Susitna Borough,Alaska,78.425444432157,02,170,20.6
Nome Census Area,Alaska,70.7266373275761,02,180,13.9
North Slope Borough,Alaska,75.2944708808568,02,185,14.2
Sitka City and Borough,Alaska,80.0851648320793,02,220,32.4
Southeast Fairbanks Census Area,Alaska,77.453426696203,02,240,19.2
Valdez-Cordova Census Area,Alaska,78.4894852204936,02,261,30.1
Wade Hampton Census Area,Alaska,68.2374433774828,02,270,
Northwest Arctic Borough,Alaska,72.3150672257676,02,188,10.8
Aleutians East Borough,Alaska,83.9668552562973,02,013,11.9
Aleutians West Census Area,Alaska,83.9668552562973,02,016,15.7
Dillingham Census Area,Alaska,73.902430273866,02,070,17.6
Lake and Peninsula Borough,Alaska,73.902430273866,02,164,12.5
Denali Borough,Alaska,73.7545978405956,02,068,38.5
Yukon-Koyukuk Census Area,Alaska,73.7545978405956,02,290,12.3
Hoonah-Angoon Census Area,Alaska,80.6333971268856,02,105,24.3
Skagway Municipality,Alaska,80.6333971268856,02,230,33.7
Yakutat City and Borough,Alaska,80.6333971268856,02,282,19.7
Ketchikan Gateway Borough,Alaska,78.7599035617588,02,130,23.8
Petersburg Borough,Alaska,78.7599035617588,02,195,25.0
Prince of Wales-Hyder Census Area,Alaska,78.7599035617588,02,198,15.8
Wrangell City and Borough,Alaska,78.7599035617588,02,275,20.3
Apache County,Arizona,72.5861795747435,04,001,11.1
Cochise County,Arizona,77.8381814457557,04,003,23.2
Coconino County,Arizona,78.7310637809859,04,005,34.2
Gila County,Arizona,74.5194372043746,04,007,17.7
Graham County,Arizona,77.0588505436379,04,009,13.3
Greenlee County,Arizona,78.2700423686553,04,011,12.2
Maricopa County,Arizona,79.7975632543799,04,013,31.0
Mohave County,Arizona,75.0984277272029,04,015,11.9
Navajo County,Arizona,74.0172421905699,04,017,14.5
Pima County,Arizona,78.7473891386961,04,019,30.8
Pinal County,Arizona,80.8872234047816,04,021,18.5
Santa Cruz County,Arizona,81.6928524316121,04,023,22.5
Yavapai County,Arizona,78.2013767088911,04,025,25.5
La Paz County,Arizona,81.1323584179148,04,012,10.4
Yuma County,Arizona,81.1323584179148,04,027,14.4
Arkansas County,Arkansas,73.5078340747071,05,001,14.4
Ashley County,Arkansas,74.1018929294341,05,003,13.6
Baxter County,Arkansas,75.9668160004689,05,005,17.7
Benton County,Arkansas,79.3662392360665,05,007,30.7
Boone County,Arkansas,76.2052538764821,05,009,15.0
Bradley County,Arkansas,73.6321012263139,05,011,14.2
Calhoun County,Arkansas,74.2742607709339,05,013,12.0
Carroll County,Arkansas,76.8819075049595,05,015,17.7
Chicot County,Arkansas,73.3238474544558,05,017,13.1
Clark County,Arkansas,75.3882863851655,05,019,24.7
Clay County,Arkansas,72.9811894014708,05,021,11.3
Cleburne County,Arkansas,75.8127585008705,05,023,15.4
Cleveland County,Arkansas,74.8939886154834,05,025,15.7
Columbia County,Arkansas,74.0855795655613,05,027,21.9
Conway County,Arkansas,74.754414371743,05,029,16.9
Craighead County,Arkansas,76.0817250967884,05,031,25.4
Crawford County,Arkansas,75.6766406592927,05,033,13.5
Crittenden County,Arkansas,72.5637861678559,05,035,17.4
Cross County,Arkansas,73.2244878594942,05,037,14.7
Dallas County,Arkansas,73.4422555480321,05,039,12.7
Desha County,Arkansas,72.6462159118589,05,041,13.2
Drew County,Arkansas,75.1951468080834,05,043,19.8
Faulkner County,Arkansas,76.4874032503551,05,045,29.1
Franklin County,Arkansas,74.4845723172756,05,047,13.0
Fulton County,Arkansas,74.9094662928843,05,049,11.0
Garland County,Arkansas,74.6472657226993,05,051,20.6
Grant County,Arkansas,75.4770090781045,05,053,19.8
Greene County,Arkansas,74.1589164965496,05,055,16.4
Hempstead County,Arkansas,75.1979646501176,05,057,12.6
Hot Spring County,Arkansas,74.4999020548917,05,059,13.5
Howard County,Arkansas,73.932743414837,05,061,15.7
Independence County,Arkansas,75.597642844104,05,063,17.6
Izard County,Arkansas,75.3232023880092,05,065,12.4
Jackson County,Arkansas,73.2755006173174,05,067,8.6
Jefferson County,Arkansas,73.3573657986794,05,069,17.0
Johnson County,Arkansas,75.708328154088,05,071,15.9
Lafayette County,Arkansas,74.1087285476435,05,073,13.7
Lawrence County,Arkansas,73.8666511091755,05,075,13.4
Lee County,Arkansas,73.2898101789483,05,077,8.2
Lincoln County,Arkansas,74.8737212942846,05,079,7.8
Little River County,Arkansas,74.0887659563583,05,081,9.7
Logan County,Arkansas,74.3392486202055,05,083,13.0
Lonoke County,Arkansas,74.8597538055158,05,085,19.5
Madison County,Arkansas,75.3760684364268,05,087,11.3
Marion County,Arkansas,75.2302699143187,05,089,15.3
Miller County,Arkansas,74.464750313759,05,091,14.5
Mississippi County,Arkansas,71.5808568937905,05,093,12.6
Monroe County,Arkansas,72.5512464018065,05,095,9.1
Montgomery County,Arkansas,75.7333292628795,05,097,12.5
Nevada County,Arkansas,74.1305169224004,05,099,15.1
Newton County,Arkansas,76.8481553354379,05,101,14.8
Ouachita County,Arkansas,72.9330993978912,05,103,16.6
Perry County,Arkansas,74.9408602678681,05,105,10.6
Phillips County,Arkansas,71.0370074249924,05,107,11.7
Pike County,Arkansas,74.8391656898764,05,109,14.8
Poinsett County,Arkansas,71.2771472412706,05,111,9.6
Polk County,Arkansas,74.8970397900164,05,113,12.3
Pope County,Arkansas,76.4300136434993,05,115,21.3
Prairie County,Arkansas,75.5071739186967,05,117,13.0
Pulaski County,Arkansas,75.8807017523375,05,119,32.9
Randolph County,Arkansas,74.4503944893886,05,121,13.7
Saint Francis County,Arkansas,74.2814678477732,05,123,10.4
Saline County,Arkansas,77.1945795984751,05,125,24.5
Scott County,Arkansas,74.7762367047787,05,127,10.6
Searcy County,Arkansas,75.209341850468,05,129,14.4
Sebastian County,Arkansas,75.7412578528108,05,131,18.8
Sevier County,Arkansas,75.0335734317659,05,133,9.4
Sharp County,Arkansas,73.8718009909941,05,135,10.1
Stone County,Arkansas,75.9810049570156,05,137,14.4
Union County,Arkansas,73.1547114216788,05,139,19.2
Van Buren County,Arkansas,76.1235890134709,05,141,13.6
