County,State,mean_life_expectancy,State_FIPS,County_FIPS,Total Occupied Households
Autauga County,Alabama,76.0246312323304,01,001,21054.0
Baldwin County,Alabama,77.8952429034613,01,003,76133.0
Barbour County,Alabama,74.6572190352659,01,005,9191.0
Bibb County,Alabama,73.6342805287431,01,007,6916.0
Blount County,Alabama,74.8974607079908,01,009,20690.0
Bullock County,Alabama,73.7079253175275,01,011,3670.0
Butler County,Alabama,73.7151229204611,01,013,7050.0
Calhoun County,Alabama,73.3078477077272,01,015,45099.0
Chambers County,Alabama,74.2425871374709,01,017,13694.0
Cherokee County,Alabama,74.3480110237785,01,019,10795.0
Chilton County,Alabama,74.1052560370855,01,021,16768.0
Choctaw County,Alabama,74.2757388369681,01,023,5463.0
Clarke County,Alabama,74.6238045774491,01,025,9602.0
Clay County,Alabama,74.3591398533707,01,027,5338.0
Cleburne County,Alabama,74.0840978801744,01,029,5773.0
Coffee County,Alabama,76.2048720238035,01,031,19620.0
Colbert County,Alabama,74.2982544702841,01,033,21983.0
Conecuh County,Alabama,73.3561349626999,01,035,4716.0
Coosa County,Alabama,75.3441712856155,01,037,4204.0
Covington County,Alabama,74.078109873637,01,039,15285.0
Crenshaw County,Alabama,73.9820921275375,01,041,5358.0
Cullman County,Alabama,74.3545019878194,01,043,31097.0
Dale County,Alabama,75.4733509430588,01,045,18825.0
Dallas County,Alabama,72.03447738714,01,047,16487.0
DeKalb County,Alabama,74.524309920443,01,049,25482.0
Elmore County,Alabama,75.8544515314726,01,051,29115.0
Escambia County,Alabama,73.1026233420298,01,053,13226.0
Etowah County,Alabama,73.023382014908,01,055,39061.0
Fayette County,Alabama,73.6468181376117,01,057,6955.0
Franklin County,Alabama,73.4916922949218,01,059,11533.0
Geneva County,Alabama,74.2527953119664,01,061,10693.0
Greene County,Alabama,73.8570082667757,01,063,3025.0
Hale County,Alabama,73.6467181824322,01,065,5664.0
Henry County,Alabama,75.4887946207952,01,067,6727.0
Houston County,Alabama,76.032673861126,01,069,39560.0
Jackson County,Alabama,73.3946413725398,01,071,20368.0
Jefferson County,Alabama,74.5743774281111,01,073,261390.0
Lamar County,Alabama,74.3774503003945,01,075,6019.0
Lauderdale County,Alabama,76.0388971623086,01,077,38634.0
Lawrence County,Alabama,73.6788440834402,01,079,13056.0
Lee County,Alabama,77.5526205196881,01,081,59001.0
Limestone County,Alabama,77.3036396921757,01,083,32386.0
Lowndes County,Alabama,71.8712681595456,01,085,4309.0
Macon County,Alabama,72.9264822618015,01,087,7852.0
Madison County,Alabama,77.4457800370199,01,089,142253.0
Marengo County,Alabama,73.4699638933891,01,091,7975.0
Marion County,Alabama,74.0260626515723,01,093,12453.0
Marshall County,Alabama,74.044529414402,01,095,34588.0
Mobile County,Alabama,74.832531869489,01,097,153794.0
Monroe County,Alabama,74.6472436418514,01,099,8207.0
Montgomery County,Alabama,75.8639742828833,01,101,89776.0
Morgan County,Alabama,75.2271704532966,01,103,45904.0
Perry County,Alabama,72.388930405107,01,105,3039.0
Pickens County,Alabama,74.4608285703048,01,107,7620.0
Pike County,Alabama,74.9526888282757,01,109,12284.0
Randolph County,Alabama,74.2303989397729,01,111,8867.0
Russell County,Alabama,73.5167015561246,01,113,22690.0
Saint Clair County,Alabama,74.7414911385038,01,115,32486.0
Shelby County,Alabama,79.9439409572104,01,117,76868.0
Sumter County,Alabama,74.3379744715151,01,119,5073.0
Talladega County,Alabama,73.3972425657916,01,121,31651.0
Tallapoosa County,Alabama,74.8751981595403,01,123,16369.0
Tuscaloosa County,Alabama,76.2628239560412,01,125,71507.0
Walker County,Alabama,70.3120931463706,01,127,25143.0
Washington County,Alabama,74.379913964713,01,129,6001.0
Wilcox County,Alabama,71.4192185766012,01,131,3841.0
Winston County,Alabama,74.31731572053,01,133,9439.0
Anchorage Municipality,Alaska,78.8427395859197,02,020,106012.0
Bethel Census Area,Alaska,72.3773195918739,02,050,4524.0
Bristol Bay Borough,Alaska,75.8312576360195,02,060,358.0
Fairbanks North Star Borough,Alaska,79.8531882449376,02,090,36396.0
Haines Borough,Alaska,81.6301311834033,02,100,1087.0
Juneau City and Borough,Alaska,80.4330971073059,02,110,12273.0
Kenai Peninsula Borough,Alaska,78.3677604150779,02,122,21779.0
Kodiak Island Borough,Alaska,79.8324510978969,02,150,4538.0
Matanuska-Susitna Borough,Alaska,78.4961228596649,02,170,30613.0
Nome Census Area,Alaska,70.4964319256222,02,180,2897.0
North Slope Borough,Alaska,75.4604638102837,02,185,2041.0
Sitka City and Borough,Alaska,80.0877625456278,02,220,3545.0
Southeast Fairbanks Census Area,Alaska,77.3779098522792,02,240,2139.0
Valdez-Cordova Census Area,Alaska,78.9328153281328,02,261,2849.0
Wade Hampton Census Area,Alaska,67.9859126754132,02,270,
Northwest Arctic Borough,Alaska,72.237114207438,02,188,1849.0
Aleutians East Borough,Alaska,84.1950647120622,02,013,812.0
Aleutians West Census Area,Alaska,84.1950647120622,02,016,1218.0
Dillingham Census Area,Alaska,73.937488710631,02,070,1405.0
Lake and Peninsula Borough,Alaska,73.937488710631,02,164,408.0
Denali Borough,Alaska,73.9553492576129,02,068,678.0
Yukon-Koyukuk Census Area,Alaska,73.9553492576129,02,290,1959.0
Hoonah-Angoon Census Area,Alaska,80.749870087287,02,105,802.0
Skagway Municipality,Alaska,80.749870087287,02,230,423.0
Yakutat City and Borough,Alaska,80.749870087287,02,282,255.0
Ketchikan Gateway Borough,Alaska,78.870520839502,02,130,5270.0
Petersburg Borough,Alaska,78.870520839502,02,195,1255.0
Prince of Wales-Hyder Census Area,Alaska,78.870520839502,02,198,2315.0
Wrangell City and Borough,Alaska,78.870520839502,02,275,1084.0
Apache County,Arizona,72.2408515337713,04,001,19530.0
Cochise County,Arizona,77.7961940778469,04,003,49160.0
Coconino County,Arizona,78.5702279856415,04,005,47588.0
Gila County,Arizona,74.1269913666399,04,007,21585.0
Graham County,Arizona,76.9440705172127,04,009,10976.0
Greenlee County,Arizona,78.1978326048683,04,011,3364.0
Maricopa County,Arizona,79.6563218537266,04,013,1489533.0
Mohave County,Arizona,74.9338228939162,04,015,83902.0
Navajo County,Arizona,73.8300467164729,04,017,34251.0
Pima County,Arizona,78.6548008107775,04,019,398530.0
Pinal County,Arizona,80.8637745945733,04,021,133513.0
Santa Cruz County,Arizona,81.5659007827293,04,023,15568.0
Yavapai County,Arizona,78.0019889385203,04,025,94343.0
La Paz County,Arizona,81.1244263390012,04,012,8798.0
Yuma County,Arizona,81.1244263390012,04,027,71670.0
Arkansas County,Arkansas,73.5043452669212,05,001,7692.0
Ashley County,Arkansas,73.9253722421542,05,003,8182.0
Baxter County,Arkansas,75.9597914129396,05,005,18398.0
Benton County,Arkansas,79.3162674700135,05,007,90906.0
Boone County,Arkansas,76.1204721411668,05,009,14887.0
Bradley County,Arkansas,73.6787408686852,05,011,4566.0
Calhoun County,Arkansas,74.5306926339902,05,013,2061.0
Carroll County,Arkansas,76.8382013939385,05,015,10832.0
Chicot County,Arkansas,73.3117463375035,05,017,4323.0
Clark County,Arkansas,75.5224420894244,05,019,8820.0
Clay County,Arkansas,72.8559680875974,05,021,6428.0
Cleburne County,Arkansas,75.7051992678076,05,023,10646.0
Cleveland County,Arkansas,74.8589626853021,05,025,3292.0
Columbia County,Arkansas,74.1079710416384,05,027,9337.0
Conway County,Arkansas,74.695878166784,05,029,8185.0
Craighead County,Arkansas,76.2037097312571,05,031,39838.0
Crawford County,Arkansas,75.7157396241204,05,033,23870.0
Crittenden County,Arkansas,72.6251939385932,05,035,18659.0
Cross County,Arkansas,73.1602124341335,05,037,6726.0
Dallas County,Arkansas,73.3735532648729,05,039,3144.0
Desha County,Arkansas,72.4752962604024,05,041,5230.0
Drew County,Arkansas,75.0673773726032,05,043,7038.0
Faulkner County,Arkansas,76.4182309752644,05,045,43835.0
Franklin County,Arkansas,74.4373222870369,05,047,6862.0
Fulton County,Arkansas,74.9193229812661,05,049,5117.0
Garland County,Arkansas,74.6309366391751,05,051,40062.0
Grant County,Arkansas,75.3698091973697,05,053,6851.0
Greene County,Arkansas,74.0996452052536,05,055,16821.0
Hempstead County,Arkansas,75.1266368361279,05,057,7930.0
Hot Spring County,Arkansas,74.2281769368533,05,059,12291.0
Howard County,Arkansas,73.8919511396459,05,061,5042.0
Independence County,Arkansas,75.5988097794403,05,063,14288.0
Izard County,Arkansas,75.2554983306065,05,065,5189.0
Jackson County,Arkansas,73.2398331665973,05,067,6179.0
Jefferson County,Arkansas,73.2238480770967,05,069,27377.0
Johnson County,Arkansas,75.7108320235838,05,071,9900.0
Lafayette County,Arkansas,74.2582687145754,05,073,2860.0
Lawrence County,Arkansas,73.9055411200017,05,075,6584.0
Lee County,Arkansas,73.2670721314187,05,077,3541.0
Lincoln County,Arkansas,75.0420292899519,05,079,3928.0
Little River County,Arkansas,73.9743483215101,05,081,5300.0
Logan County,Arkansas,74.1726732947248,05,083,8269.0
Lonoke County,Arkansas,74.7455691325912,05,085,26281.0
Madison County,Arkansas,75.378985437541,05,087,6190.0
Marion County,Arkansas,75.3737129535053,05,089,6663.0
Miller County,Arkansas,74.5960792199951,05,091,17020.0
Mississippi County,Arkansas,71.5351089249095,05,093,17238.0
Monroe County,Arkansas,72.3393690870887,05,095,3328.0
Montgomery County,Arkansas,75.5774666116489,05,097,3855.0
Nevada County,Arkansas,74.3732482286084,05,099,3452.0
Newton County,Arkansas,76.8726224396483,05,101,3152.0
Ouachita County,Arkansas,73.0094683982827,05,103,10016.0
Perry County,Arkansas,74.861123428865,05,105,3692.0
Phillips County,Arkansas,70.8005258788541,05,107,7823.0
Pike County,Arkansas,74.8235342597713,05,109,4313.0
Poinsett County,Arkansas,71.2947589568639,05,111,9483.0
Polk County,Arkansas,74.9129378159319,05,113,8058.0
Pope County,Arkansas,76.4551101144576,05,115,23147.0
Prairie County,Arkansas,75.6587388048142,05,117,3920.0
Pulaski County,Arkansas,75.9533402339039,05,119,155435.0
Randolph County,Arkansas,74.2064157916112,05,121,7339.0
Saint Francis County,Arkansas,73.8843994351379,05,123,9325.0
Saline County,Arkansas,77.0482054817958,05,125,43314.0
Scott County,Arkansas,74.5707790005597,05,127,3972.0
Searcy County,Arkansas,75.1238268500902,05,129,3336.0
Sebastian County,Arkansas,75.7092329887143,05,131,50301.0
Sevier County,Arkansas,75.1584300484602,05,133,5984.0
Sharp County,Arkansas,73.7064588321029,05,135,7296.0
Stone County,Arkansas,75.9079573999317,05,137,4910.0
Union County,Arkansas,73.1884317266028,05,139,16189.0
Van Buren County,Arkansas,75.8846063202913,05,141,6867.0
Washington County,Arkansas,77.8764673272239,05,143,84460.0
White County,Arkansas,75.2058017632126,05,145,29217.0
Woodruff County,Arkansas,72.5933855023363,05,147,2874.0
Yell County,Arkansas,74.3862031980413,05,149,7555.0
Alameda County,California,82.2321212212249,06,001,569070.0
Alpine County,California,78.482947059558,06,003,304.0
Amador County,California,79.561891234368,06,005,14185.0
Butte County,California,77.4463014291207,06,007,86167.0
Calaveras County,California,79.2676567852879,06,009,17812.0
Colusa County,California,79.6638098917847,06,011,7047.0
Contra Costa County,California,81.8386853778645,06,013,389597.0
Del Norte County,California,75.224334811417,06,015,9683.0
El Dorado County,California,81.4568941950275,06,017,68084.0
Fresno County,California,78.4585384790352,06,019,301824.0
Glenn County,California,77.3696017734108,06,021,9936.0
Humboldt County,California,76.7555796001307,06,023,53966.0
Imperial County,California,80.687419950022,06,025,45198.0
Inyo County,California,79.1997381604918,06,027,8026.0
Kern County,California,77.0176146674043,06,029,264993.0
Kings County,California,79.3358097827458,06,031,42349.0
Lake County,California,74.8494787542705,06,033,26327.0
Lassen County,California,78.2363152612242,06,035,9441.0
Los Angeles County,California,81.5691962087237,06,037,3295198.0
Madera County,California,78.9228141273425,06,039,44458.0
Marin County,California,84.670403001944,06,041,104846.0
Mariposa County,California,79.9818431293211,06,043,7434.0
Mendocino County,California,78.6518521214148,06,045,34182.0
Merced County,California,78.3750954459993,06,047,79261.0
Modoc County,California,77.1077065159972,06,049,3638.0
Mono County,California,84.9580737678398,06,051,4899.0
Monterey County,California,81.9472905883429,06,053,125939.0
Napa County,California,81.2829692549916,06,055,49044.0
Nevada County,California,81.0166977108918,06,057,40386.0
Orange County,California,82.5543904647591,06,059,1024976.0
Placer County,California,81.548378960557,06,061,138564.0
Plumas County,California,78.2532986991761,06,063,8287.0
Riverside County,California,80.3363218283084,06,065,711724.0
Sacramento County,California,79.0940358645218,06,067,532050.0
San Benito County,California,81.6550155032969,06,069,17440.0
San Bernardino County,California,78.317187547423,06,071,623642.0
San Diego County,California,81.6258744799118,06,073,1111739.0
San Francisco County,California,83.0357041460174,06,075,358772.0
San Joaquin County,California,78.0359896860733,06,077,223808.0
San Luis Obispo County,California,81.2020517524637,06,079,105044.0
San Mateo County,California,84.1096902566921,06,081,261796.0
Santa Barbara County,California,81.5801518841513,06,083,144015.0
Santa Clara County,California,83.9917895786546,06,085,630451.0
Santa Cruz County,California,82.0605857508508,06,087,95536.0
Shasta County,California,75.806788638393,06,089,70486.0
Sierra County,California,78.5719149965786,06,091,1208.0
Siskiyou County,California,76.1862354494511,06,093,19018.0
Solano County,California,79.6451278217147,06,095,147352.0
Sonoma County,California,81.5679359147788,06,097,190058.0
Stanislaus County,California,77.7149198210095,06,099,171324.0
Sutter County,California,78.3763386412633,06,101,32188.0
Tehama County,California,76.9976036049311,06,103,23712.0
Trinity County,California,76.3456287127584,06,105,5462.0
Tulare County,California,77.9753506021237,06,107,135144.0
Tuolumne County,California,78.5900358024682,06,109,22267.0
Ventura County,California,81.841533815838,06,111,270046.0
Yolo County,California,80.9056635823379,06,113,72845.0
Yuba County,California,75.8408352670592,06,115,25880.0
Alamosa County,Colorado,75.8311324798402,08,003,6049.0
Archuleta County,Colorado,81.6145512749235,08,007,5553.0
Baca County,Colorado,77.0260592657618,08,009,1603.0
Bent County,Colorado,75.8224499656267,08,011,1760.0
Chaffee County,Colorado,81.2092487110115,08,015,7900.0
Cheyenne County,Colorado,78.6333421783932,08,017,776.0
Clear Creek County,Colorado,82.3124381664765,08,019,4374.0
Conejos County,Colorado,76.2573666245659,08,021,2992.0
Costilla County,Colorado,76.8592293656779,08,023,1568.0
Crowley County,Colorado,76.9641943181852,08,025,1215.0
Custer County,Colorado,81.092782954152,08,027,2093.0
Delta County,Colorado,77.8313362534641,08,029,12119.0
Dolores County,Colorado,79.1893045710591,08,033,707.0
Douglas County,Colorado,83.4025879459957,08,035,113799.0
Eagle County,Colorado,88.4392672602876,08,037,17765.0
Elbert County,Colorado,81.6581733388672,08,039,8866.0
El Paso County,Colorado,78.7742109882968,08,041,249745.0
Fremont County,Colorado,77.0933471771635,08,043,16762.0
Garfield County,Colorado,80.4969076123098,08,045,21055.0
Gilpin County,Colorado,81.4969326961949,08,047,2603.0
Grand County,Colorado,83.5333558735278,08,049,5724.0
Gunnison County,Colorado,82.5366935871018,08,051,6495.0
Huerfano County,Colorado,75.4892545704702,08,055,3173.0
Jackson County,Colorado,79.4480965120346,08,057,597.0
Kiowa County,Colorado,77.3252924655834,08,061,576.0
Kit Carson County,Colorado,79.2392184006058,08,063,2995.0
Lake County,Colorado,81.6061753881909,08,065,3324.0
La Plata County,Colorado,81.6864546006773,08,067,21818.0
Larimer County,Colorado,81.4508729730401,08,069,130502.0
Las Animas County,Colorado,76.2626774559932,08,071,6327.0
Lincoln County,Colorado,78.5091614921194,08,073,1477.0
Logan County,Colorado,79.1781984236642,08,075,8151.0
Mesa County,Colorado,78.3133657029401,08,077,60562.0
Moffat County,Colorado,78.1807357406007,08,081,5103.0
Montezuma County,Colorado,77.2643320455981,08,083,10520.0
Montrose County,Colorado,79.379514628823,08,085,16951.0
Morgan County,Colorado,78.04532580758,08,087,10599.0
Otero County,Colorado,75.0071650698003,08,089,7490.0
Ouray County,Colorado,83.8987068625614,08,091,2204.0
Park County,Colorado,82.6462895795416,08,093,7389.0
Phillips County,Colorado,80.1789952228355,08,095,1696.0
Pitkin County,Colorado,90.704592150593,08,097,7340.0
