County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,10076
Baldwin County,Alabama,01,003,17733
Barbour County,Alabama,01,005,12675
Bibb County,Alabama,01,007,4937
Blount County,Alabama,01,009,818
Bullock County,Alabama,01,011,7614
Butler County,Alabama,01,013,9024
Calhoun County,Alabama,01,015,24385
Chambers County,Alabama,01,017,13737
Cherokee County,Alabama,01,019,1257
Chilton County,Alabama,01,021,4358
Choctaw County,Alabama,01,023,5888
Clarke County,Alabama,01,025,11336
Clay County,Alabama,01,027,2090
Cleburne County,Alabama,01,029,530
Coffee County,Alabama,01,031,8563
Colbert County,Alabama,01,033,8853
Conecuh County,Alabama,01,035,5856
Coosa County,Alabama,01,037,3424
Covington County,Alabama,01,039,4799
Crenshaw County,Alabama,01,041,3172
Cullman County,Alabama,01,043,917
Dale County,Alabama,01,045,9690
Dallas County,Alabama,01,047,29630
DeKalb County,Alabama,01,049,1293
Elmore County,Alabama,01,051,16365
Escambia County,Alabama,01,053,12370
Etowah County,Alabama,01,055,15862
Fayette County,Alabama,01,057,1952
Franklin County,Alabama,01,059,1485
Geneva County,Alabama,01,061,2554
Greene County,Alabama,01,063,7217
Hale County,Alabama,01,065,9219
Henry County,Alabama,01,067,4741
Houston County,Alabama,01,069,26349
Jackson County,Alabama,01,071,1732
Jefferson County,Alabama,01,073,278565
Lamar County,Alabama,01,075,1687
Lauderdale County,Alabama,01,077,9353
Lawrence County,Alabama,01,079,3726
Lee County,Alabama,01,081,33267
Limestone County,Alabama,01,083,10872
Lowndes County,Alabama,01,085,8201
Macon County,Alabama,01,087,16882
Madison County,Alabama,01,089,81606
Marengo County,Alabama,01,091,10765
Marion County,Alabama,01,093,1253
Marshall County,Alabama,01,095,1469
Mobile County,Alabama,01,097,143681
Monroe County,Alabama,01,099,9522
Montgomery County,Alabama,01,101,126372
Morgan County,Alabama,01,103,14305
Perry County,Alabama,01,105,7097
Pickens County,Alabama,01,107,8063
Pike County,Alabama,01,109,12010
Randolph County,Alabama,01,111,4643
Russell County,Alabama,01,113,23219
Saint Clair County,Alabama,01,115,7688
Shelby County,Alabama,01,117,22153
Sumter County,Alabama,01,119,9912
Talladega County,Alabama,01,121,26208
Tallapoosa County,Alabama,01,123,11415
Tuscaloosa County,Alabama,01,125,59287
Walker County,Alabama,01,127,3644
Washington County,Alabama,01,129,4211
Wilcox County,Alabama,01,131,8402
Winston County,Alabama,01,133,173
Anchorage Municipality,Alaska,02,020,17339
Bethel Census Area,Alaska,02,050,97
Bristol Bay Borough,Alaska,02,060,1
Fairbanks North Star Borough,Alaska,02,090,4577
Haines Borough,Alaska,02,100,10
Juneau City and Borough,Alaska,02,110,366
Kenai Peninsula Borough,Alaska,02,122,352
Kodiak Island Borough,Alaska,02,150,90
Matanuska-Susitna Borough,Alaska,02,170,838
Nome Census Area,Alaska,02,180,91
North Slope Borough,Alaska,02,185,40
Sitka City and Borough,Alaska,02,220,72
Southeast Fairbanks Census Area,Alaska,02,240,111
Valdez-Cordova Census Area,Alaska,02,261,38
Wade Hampton Census Area,Alaska,02,270,15
Northwest Arctic Borough,Alaska,02,188,46
Aleutians East Borough,Alaska,02,013,383
Aleutians West Census Area,Alaska,02,016,362
Dillingham Census Area,Alaska,02,070,18
Lake and Peninsula Borough,Alaska,02,164,7
Denali Borough,Alaska,02,068,13
Yukon-Koyukuk Census Area,Alaska,02,290,8
Hoonah-Angoon Census Area,Alaska,02,105,9
Skagway Municipality,Alaska,02,230,0
Yakutat City and Borough,Alaska,02,282,39
Ketchikan Gateway Borough,Alaska,02,130,37
Petersburg Borough,Alaska,02,195,60
Prince of Wales-Hyder Census Area,Alaska,02,198,11
Wrangell City and Borough,Alaska,02,275,3
Apache County,Arizona,04,001,279
Cochise County,Arizona,04,003,4971
Coconino County,Arizona,04,005,1846
Gila County,Arizona,04,007,306
Graham County,Arizona,04,009,760
Greenlee County,Arizona,04,011,79
Maricopa County,Arizona,04,013,199310
Mohave County,Arizona,04,015,2284
Navajo County,Arizona,04,017,476
Pima County,Arizona,04,019,35791
Pinal County,Arizona,04,021,17847
Santa Cruz County,Arizona,04,023,259
Yavapai County,Arizona,04,025,1293
La Paz County,Arizona,04,012,196
Yuma County,Arizona,04,027,4330
Arkansas County,Arkansas,05,001,4735
Ashley County,Arkansas,05,003,5513
Baxter County,Arkansas,05,005,160
Benton County,Arkansas,05,007,2840
Boone County,Arkansas,05,009,101
Bradley County,Arkansas,05,011,3207
Calhoun County,Arkansas,05,013,1344
Carroll County,Arkansas,05,015,46
Chicot County,Arkansas,05,017,6291
Clark County,Arkansas,05,019,5509
Clay County,Arkansas,05,021,35
Cleburne County,Arkansas,05,023,174
Cleveland County,Arkansas,05,025,1126
Columbia County,Arkansas,05,027,8949
Conway County,Arkansas,05,029,2497
Craighead County,Arkansas,05,031,13317
Crawford County,Arkansas,05,033,849
Crittenden County,Arkansas,05,035,25497
Cross County,Arkansas,05,037,3924
Dallas County,Arkansas,05,039,3326
Desha County,Arkansas,05,041,6131
Drew County,Arkansas,05,043,5290
Faulkner County,Arkansas,05,045,12326
Franklin County,Arkansas,05,047,188
Fulton County,Arkansas,05,049,22
Garland County,Arkansas,05,051,7978
Grant County,Arkansas,05,053,433
Greene County,Arkansas,05,055,299
Hempstead County,Arkansas,05,057,6671
Hot Spring County,Arkansas,05,059,3803
Howard County,Arkansas,05,061,2944
Independence County,Arkansas,05,063,986
Izard County,Arkansas,05,065,138
Jackson County,Arkansas,05,067,2914
Jefferson County,Arkansas,05,069,41980
Johnson County,Arkansas,05,071,474
Lafayette County,Arkansas,05,073,2809
Lawrence County,Arkansas,05,075,132
Lee County,Arkansas,05,077,5795
Lincoln County,Arkansas,05,079,4115
Little River County,Arkansas,05,081,2588
Logan County,Arkansas,05,083,412
Lonoke County,Arkansas,05,085,4311
Madison County,Arkansas,05,087,24
Marion County,Arkansas,05,089,34
Miller County,Arkansas,05,091,10453
Mississippi County,Arkansas,05,093,15703
Monroe County,Arkansas,05,095,3314
Montgomery County,Arkansas,05,097,55
Nevada County,Arkansas,05,099,2756
Newton County,Arkansas,05,101,23
Ouachita County,Arkansas,05,103,10331
Perry County,Arkansas,05,105,290
Phillips County,Arkansas,05,107,13281
Pike County,Arkansas,05,109,353
Poinsett County,Arkansas,05,111,1853
Polk County,Arkansas,05,113,22
Pope County,Arkansas,05,115,1982
Prairie County,Arkansas,05,117,1085
Pulaski County,Arkansas,05,119,136311
Randolph County,Arkansas,05,121,82
Saint Francis County,Arkansas,05,123,14416
Saline County,Arkansas,05,125,5521
Scott County,Arkansas,05,127,16
Searcy County,Arkansas,05,129,32
Sebastian County,Arkansas,05,131,7273
Sevier County,Arkansas,05,133,736
Sharp County,Arkansas,05,135,57
Stone County,Arkansas,05,137,13
Union County,Arkansas,05,139,13575
Van Buren County,Arkansas,05,141,169
Washington County,Arkansas,05,143,7172
White County,Arkansas,05,145,3340
Woodruff County,Arkansas,05,147,1995
Yell County,Arkansas,05,149,457
Alameda County,California,06,001,185467
Alpine County,California,06,003,7
Amador County,California,06,005,923
Butte County,California,06,007,2963
Calaveras County,California,06,009,386
Colusa County,California,06,011,193
Contra Costa County,California,06,013,97061
Del Norte County,California,06,015,908
El Dorado County,California,06,017,1705
Fresno County,California,06,019,47790
Glenn County,California,06,021,220
Humboldt County,California,06,023,1632
Imperial County,California,06,025,5421
Inyo County,California,06,027,178
Kern County,California,06,029,47548
Kings County,California,06,031,10253
Lake County,California,06,033,1557
Lassen County,California,06,035,2856
Los Angeles County,California,06,037,833477
Madera County,California,06,039,5114
Marin County,California,06,041,7258
Mariposa County,California,06,043,158
Mendocino County,California,06,045,636
Merced County,California,06,047,9611
Modoc County,California,06,049,125
Mono County,California,06,051,59
Monterey County,California,06,053,12422
Napa County,California,06,055,2944
Nevada County,California,06,057,412
Orange County,California,06,059,49836
Placer County,California,06,061,4317
Plumas County,California,06,063,238
Riverside County,California,06,065,138881
Sacramento County,California,06,067,144617
San Benito County,California,06,069,734
San Bernardino County,California,06,071,179372
San Diego County,California,06,073,158843
San Francisco County,California,06,075,47992
San Joaquin County,California,06,077,49901
San Luis Obispo County,California,06,079,5942
San Mateo County,California,06,081,19886
Santa Barbara County,California,06,083,8482
Santa Clara County,California,06,085,47869
Santa Cruz County,California,06,087,2599
Shasta County,California,06,089,1691
Sierra County,California,06,091,18
Siskiyou County,California,06,093,574
Solano County,California,06,095,58536
Sonoma County,California,06,097,7648
Stanislaus County,California,06,099,14635
Sutter County,California,06,101,1735
Tehama County,California,06,103,442
Trinity County,California,06,105,127
Tulare County,California,06,107,7503
Tuolumne County,California,06,109,1156
Ventura County,California,06,111,15179
Yolo County,California,06,113,5145
Yuba County,California,06,115,2190
Alamosa County,Colorado,08,003,219
Archuleta County,Colorado,08,007,60
Baca County,Colorado,08,009,20
Bent County,Colorado,08,011,663
Chaffee County,Colorado,08,015,396
Cheyenne County,Colorado,08,017,6
Clear Creek County,Colorado,08,019,51
Conejos County,Colorado,08,021,10
Costilla County,Colorado,08,023,0
Crowley County,Colorado,08,025,412
Custer County,Colorado,08,027,35
Delta County,Colorado,08,029,384
Dolores County,Colorado,08,033,0
Douglas County,Colorado,08,035,2824
Eagle County,Colorado,08,037,254
Elbert County,Colorado,08,039,56
El Paso County,Colorado,08,041,37622
Fremont County,Colorado,08,043,2984
Garfield County,Colorado,08,045,594
Gilpin County,Colorado,08,047,26
Grand County,Colorado,08,049,87
Gunnison County,Colorado,08,051,85
Huerfano County,Colorado,08,055,92
Jackson County,Colorado,08,057,1
Kiowa County,Colorado,08,061,2
Kit Carson County,Colorado,08,063,247
Lake County,Colorado,08,065,74
La Plata County,Colorado,08,067,240
Larimer County,Colorado,08,069,2590
Las Animas County,Colorado,08,071,156
Lincoln County,Colorado,08,073,531
Logan County,Colorado,08,075,294
Mesa County,Colorado,08,077,976
Moffat County,Colorado,08,081,32
Montezuma County,Colorado,08,083,79
Montrose County,Colorado,08,085,223
Morgan County,Colorado,08,087,744
Otero County,Colorado,08,089,103
Ouray County,Colorado,08,091,0
Park County,Colorado,08,093,5
Phillips County,Colorado,08,095,22
Pitkin County,Colorado,08,097,165
Prowers County,Colorado,08,099,38
Pueblo County,Colorado,08,101,3387
Rio Blanco County,Colorado,08,103,32
Rio Grande County,Colorado,08,105,62
Routt County,Colorado,08,107,100
Saguache County,Colorado,08,109,18
San Miguel County,Colorado,08,113,12
Sedgwick County,Colorado,08,115,7
Summit County,Colorado,08,117,204
Teller County,Colorado,08,119,208
Washington County,Colorado,08,121,30
Yuma County,Colorado,08,125,3
Adams County,Colorado,08,001,14314
Arapahoe County,Colorado,08,005,58642
Boulder County,Colorado,08,013,2598
Broomfield County,Colorado,08,014,534
Denver County,Colorado,08,031,61992
Jefferson County,Colorado,08,059,5669
Weld County,Colorado,08,123,2535
Fairfield County,Connecticut,09,001,102414
Hartford County,Connecticut,09,003,118531
Litchfield County,Connecticut,09,005,2331
Middlesex County,Connecticut,09,007,7794
New Haven County,Connecticut,09,009,108359
New London County,Connecticut,09,011,15242
Tolland County,Connecticut,09,013,4624
Windham County,Connecticut,09,015,2373
Kent County,Delaware,10,001,39802
New Castle County,Delaware,10,003,130133
Sussex County,Delaware,10,005,25029
Alachua County,Florida,12,001,50198
Baker County,Florida,12,003,3772
Bay County,Florida,12,005,17593
Bradford County,Florida,12,007,5525
Brevard County,Florida,12,009,54822
Broward County,Florida,12,011,484677
Calhoun County,Florida,12,013,2088
Charlotte County,Florida,12,015,9192
Citrus County,Florida,12,017,4184
Clay County,Florida,12,019,19434
Collier County,Florida,12,021,22168
Columbia County,Florida,12,023,11891
Miami-Dade County,Florida,12,086,480201
DeSoto County,Florida,12,027,4575
Dixie County,Florida,12,029,1405
Duval County,Florida,12,031,256737
Escambia County,Florida,12,033,66610
Flagler County,Florida,12,035,10906
Franklin County,Florida,12,037,1810
Gadsden County,Florida,12,039,25952
Gilchrist County,Florida,12,041,969
Glades County,Florida,12,043,1654
Gulf County,Florida,12,045,2909
Hamilton County,Florida,12,047,5199
Hardee County,Florida,12,049,2265
Hendry County,Florida,12,051,4901
Hernando County,Florida,12,053,9170
Highlands County,Florida,12,055,9474
Hillsborough County,Florida,12,057,212004
Holmes County,Florida,12,059,1095
Indian River County,Florida,12,061,12611
Jackson County,Florida,12,063,12981
Jefferson County,Florida,12,065,5319
Lafayette County,Florida,12,067,1309
Lake County,Florida,12,069,29086
Lee County,Florida,12,071,53045
Leon County,Florida,12,073,85281
Levy County,Florida,12,075,3806
Liberty County,Florida,12,077,1441
Madison County,Florida,12,079,7339
Manatee County,Florida,12,081,29569
Marion County,Florida,12,083,42291
Martin County,Florida,12,085,8275
Monroe County,Florida,12,087,5040
Nassau County,Florida,12,089,4888
Okaloosa County,Florida,12,091,16841
Okeechobee County,Florida,12,093,3553
Orange County,Florida,12,095,242680
Osceola County,Florida,12,097,31241
