County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,168
Baldwin County,Alabama,01,003,1090
Barbour County,Alabama,01,005,87
Bibb County,Alabama,01,007,40
Blount County,Alabama,01,009,255
Bullock County,Alabama,01,011,24
Butler County,Alabama,01,013,28
Calhoun County,Alabama,01,015,513
Chambers County,Alabama,01,017,17
Cherokee County,Alabama,01,019,198
Chilton County,Alabama,01,021,242
Choctaw County,Alabama,01,023,0
Clarke County,Alabama,01,025,483
Clay County,Alabama,01,027,59
Cleburne County,Alabama,01,029,32
Coffee County,Alabama,01,031,417
Colbert County,Alabama,01,033,337
Conecuh County,Alabama,01,035,122
Coosa County,Alabama,01,037,0
Covington County,Alabama,01,039,81
Crenshaw County,Alabama,01,041,116
Cullman County,Alabama,01,043,544
Dale County,Alabama,01,045,121
Dallas County,Alabama,01,047,37
DeKalb County,Alabama,01,049,1089
Elmore County,Alabama,01,051,294
Escambia County,Alabama,01,053,1384
Etowah County,Alabama,01,055,426
Fayette County,Alabama,01,057,30
Franklin County,Alabama,01,059,291
Geneva County,Alabama,01,061,50
Greene County,Alabama,01,063,31
Hale County,Alabama,01,065,45
Henry County,Alabama,01,067,0
Houston County,Alabama,01,069,451
Jackson County,Alabama,01,071,656
Jefferson County,Alabama,01,073,1147
Lamar County,Alabama,01,075,36
Lauderdale County,Alabama,01,077,401
Lawrence County,Alabama,01,079,1794
Lee County,Alabama,01,081,502
Limestone County,Alabama,01,083,480
Lowndes County,Alabama,01,085,31
Macon County,Alabama,01,087,45
Madison County,Alabama,01,089,1894
Marengo County,Alabama,01,091,32
Marion County,Alabama,01,093,58
Marshall County,Alabama,01,095,705
Mobile County,Alabama,01,097,3033
Monroe County,Alabama,01,099,293
Montgomery County,Alabama,01,101,767
Morgan County,Alabama,01,103,1077
Perry County,Alabama,01,105,24
Pickens County,Alabama,01,107,14
Pike County,Alabama,01,109,269
Randolph County,Alabama,01,111,76
Russell County,Alabama,01,113,106
Saint Clair County,Alabama,01,115,315
Shelby County,Alabama,01,117,551
Sumter County,Alabama,01,119,0
Talladega County,Alabama,01,121,216
Tallapoosa County,Alabama,01,123,34
Tuscaloosa County,Alabama,01,125,514
Walker County,Alabama,01,127,198
Washington County,Alabama,01,129,1374
Wilcox County,Alabama,01,131,0
Winston County,Alabama,01,133,70
Anchorage Municipality,Alaska,02,020,18360
Bethel Census Area,Alaska,02,050,13598
Bristol Bay Borough,Alaska,02,060,339
Fairbanks North Star Borough,Alaska,02,090,6784
Haines Borough,Alaska,02,100,117
Juneau City and Borough,Alaska,02,110,3294
Kenai Peninsula Borough,Alaska,02,122,4071
Kodiak Island Borough,Alaska,02,150,2271
Matanuska-Susitna Borough,Alaska,02,170,3642
Nome Census Area,Alaska,02,180,6877
North Slope Borough,Alaska,02,185,6685
Sitka City and Borough,Alaska,02,220,1661
Southeast Fairbanks Census Area,Alaska,02,240,642
Valdez-Cordova Census Area,Alaska,02,261,1636
Wade Hampton Census Area,Alaska,02,270,6802
Northwest Arctic Borough,Alaska,02,188,6036
Aleutians East Borough,Alaska,02,013,456
Aleutians West Census Area,Alaska,02,016,464
Dillingham Census Area,Alaska,02,070,3285
Lake and Peninsula Borough,Alaska,02,164,1099
Denali Borough,Alaska,02,068,43
Yukon-Koyukuk Census Area,Alaska,02,290,3885
Hoonah-Angoon Census Area,Alaska,02,105,840
Skagway Municipality,Alaska,02,230,22
Yakutat City and Borough,Alaska,02,282,339
Ketchikan Gateway Borough,Alaska,02,130,1781
Petersburg Borough,Alaska,02,195,504
Prince of Wales-Hyder Census Area,Alaska,02,198,2158
Wrangell City and Borough,Alaska,02,275,429
Apache County,Arizona,04,001,51339
Cochise County,Arizona,04,003,1381
Coconino County,Arizona,04,005,35894
Gila County,Arizona,04,007,7821
Graham County,Arizona,04,009,5373
Greenlee County,Arizona,04,011,214
Maricopa County,Arizona,04,013,68540
Mohave County,Arizona,04,015,3429
Navajo County,Arizona,04,017,46059
Pima County,Arizona,04,019,30789
Pinal County,Arizona,04,021,17961
Santa Cruz County,Arizona,04,023,405
Yavapai County,Arizona,04,025,4083
La Paz County,Arizona,04,012,2444
Yuma County,Arizona,04,027,2604
Arkansas County,Arkansas,05,001,140
Ashley County,Arkansas,05,003,57
Baxter County,Arkansas,05,005,255
Benton County,Arkansas,05,007,3438
Boone County,Arkansas,05,009,252
Bradley County,Arkansas,05,011,143
Calhoun County,Arkansas,05,013,0
Carroll County,Arkansas,05,015,209
Chicot County,Arkansas,05,017,0
Clark County,Arkansas,05,019,63
Clay County,Arkansas,05,021,122
Cleburne County,Arkansas,05,023,109
Cleveland County,Arkansas,05,025,22
Columbia County,Arkansas,05,027,52
Conway County,Arkansas,05,029,152
Craighead County,Arkansas,05,031,310
Crawford County,Arkansas,05,033,867
Crittenden County,Arkansas,05,035,26
Cross County,Arkansas,05,037,46
Dallas County,Arkansas,05,039,0
Desha County,Arkansas,05,041,94
Drew County,Arkansas,05,043,0
Faulkner County,Arkansas,05,045,429
Franklin County,Arkansas,05,047,147
Fulton County,Arkansas,05,049,150
Garland County,Arkansas,05,051,522
Grant County,Arkansas,05,053,14
Greene County,Arkansas,05,055,224
Hempstead County,Arkansas,05,057,164
Hot Spring County,Arkansas,05,059,79
Howard County,Arkansas,05,061,110
Independence County,Arkansas,05,063,195
Izard County,Arkansas,05,065,17
Jackson County,Arkansas,05,067,108
Jefferson County,Arkansas,05,069,322
Johnson County,Arkansas,05,071,224
Lafayette County,Arkansas,05,073,6
Lawrence County,Arkansas,05,075,148
Lee County,Arkansas,05,077,147
Lincoln County,Arkansas,05,079,62
Little River County,Arkansas,05,081,194
Logan County,Arkansas,05,083,221
Lonoke County,Arkansas,05,085,350
Madison County,Arkansas,05,087,137
Marion County,Arkansas,05,089,177
Miller County,Arkansas,05,091,243
Mississippi County,Arkansas,05,093,63
Monroe County,Arkansas,05,095,40
Montgomery County,Arkansas,05,097,221
Nevada County,Arkansas,05,099,26
Newton County,Arkansas,05,101,37
Ouachita County,Arkansas,05,103,81
Perry County,Arkansas,05,105,23
Phillips County,Arkansas,05,107,0
Pike County,Arkansas,05,109,145
Poinsett County,Arkansas,05,111,74
Polk County,Arkansas,05,113,368
Pope County,Arkansas,05,115,428
Prairie County,Arkansas,05,117,37
Pulaski County,Arkansas,05,119,1207
Randolph County,Arkansas,05,121,50
Saint Francis County,Arkansas,05,123,108
Saline County,Arkansas,05,125,643
Scott County,Arkansas,05,127,100
Searcy County,Arkansas,05,129,125
Sebastian County,Arkansas,05,131,1064
Sevier County,Arkansas,05,133,276
Sharp County,Arkansas,05,135,133
Stone County,Arkansas,05,137,7
Union County,Arkansas,05,139,115
Van Buren County,Arkansas,05,141,192
Washington County,Arkansas,05,143,2553
White County,Arkansas,05,145,286
Woodruff County,Arkansas,05,147,6
Yell County,Arkansas,05,149,37
Alameda County,California,06,001,7497
Alpine County,California,06,003,277
Amador County,California,06,005,574
Butte County,California,06,007,2869
Calaveras County,California,06,009,777
Colusa County,California,06,011,383
Contra Costa County,California,06,013,4382
Del Norte County,California,06,015,1519
El Dorado County,California,06,017,1649
Fresno County,California,06,019,9276
Glenn County,California,06,021,751
Humboldt County,California,06,023,7700
Imperial County,California,06,025,2759
Inyo County,California,06,027,1884
Kern County,California,06,029,8367
Kings County,California,06,031,1931
Lake County,California,06,033,1430
Lassen County,California,06,035,1283
Los Angeles County,California,06,037,47794
Madera County,California,06,039,2385
Marin County,California,06,041,684
Mariposa County,California,06,043,375
Mendocino County,California,06,045,4197
Merced County,California,06,047,2533
Modoc County,California,06,049,345
Mono County,California,06,051,674
Monterey County,California,06,053,3612
Napa County,California,06,055,1152
Nevada County,California,06,057,1461
Orange County,California,06,059,13004
Placer County,California,06,061,3087
Plumas County,California,06,063,592
Riverside County,California,06,065,20289
Sacramento County,California,06,067,13402
San Benito County,California,06,069,755
San Bernardino County,California,06,071,19575
San Diego County,California,06,073,20427
San Francisco County,California,06,075,3994
San Joaquin County,California,06,077,7083
San Luis Obispo County,California,06,079,2539
San Mateo County,California,06,081,2776
Santa Barbara County,California,06,083,4162
Santa Clara County,California,06,085,9905
Santa Cruz County,California,06,087,1134
Shasta County,California,06,089,3993
Sierra County,California,06,091,9
Siskiyou County,California,06,093,1351
Solano County,California,06,095,2578
Sonoma County,California,06,097,5457
Stanislaus County,California,06,099,4994
Sutter County,California,06,101,1230
Tehama County,California,06,103,1388
Trinity County,California,06,105,229
Tulare County,California,06,107,5062
Tuolumne County,California,06,109,838
Ventura County,California,06,111,9881
Yolo County,California,06,113,2047
Yuba County,California,06,115,1327
Alamosa County,Colorado,08,003,147
Archuleta County,Colorado,08,007,22
Baca County,Colorado,08,009,25
Bent County,Colorado,08,011,204
Chaffee County,Colorado,08,015,95
Cheyenne County,Colorado,08,017,3
Clear Creek County,Colorado,08,019,47
Conejos County,Colorado,08,021,77
Costilla County,Colorado,08,023,16
Crowley County,Colorado,08,025,117
Custer County,Colorado,08,027,52
Delta County,Colorado,08,029,247
Dolores County,Colorado,08,033,51
Douglas County,Colorado,08,035,727
Eagle County,Colorado,08,037,92
Elbert County,Colorado,08,039,198
El Paso County,Colorado,08,041,5297
Fremont County,Colorado,08,043,863
Garfield County,Colorado,08,045,272
Gilpin County,Colorado,08,047,41
Grand County,Colorado,08,049,14
Gunnison County,Colorado,08,051,647
Huerfano County,Colorado,08,055,44
Jackson County,Colorado,08,057,12
Kiowa County,Colorado,08,061,4
Kit Carson County,Colorado,08,063,33
Lake County,Colorado,08,065,112
La Plata County,Colorado,08,067,2912
Larimer County,Colorado,08,069,1770
Las Animas County,Colorado,08,071,286
Lincoln County,Colorado,08,073,72
Logan County,Colorado,08,075,131
