County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,169.0
Baldwin County,Alabama,01,003,1668.0
Barbour County,Alabama,01,005,54.0
Bibb County,Alabama,01,007,82.0
Blount County,Alabama,01,009,212.0
Bullock County,Alabama,01,011,110.0
Butler County,Alabama,01,013,13.0
Calhoun County,Alabama,01,015,413.0
Chambers County,Alabama,01,017,95.0
Cherokee County,Alabama,01,019,125.0
Chilton County,Alabama,01,021,254.0
Choctaw County,Alabama,01,023,4.0
Clarke County,Alabama,01,025,14.0
Clay County,Alabama,01,027,120.0
Cleburne County,Alabama,01,029,43.0
Coffee County,Alabama,01,031,542.0
Colbert County,Alabama,01,033,404.0
Conecuh County,Alabama,01,035,21.0
Coosa County,Alabama,01,037,9.0
Covington County,Alabama,01,039,124.0
Crenshaw County,Alabama,01,041,113.0
Cullman County,Alabama,01,043,350.0
Dale County,Alabama,01,045,257.0
Dallas County,Alabama,01,047,16.0
DeKalb County,Alabama,01,049,963.0
Elmore County,Alabama,01,051,281.0
Escambia County,Alabama,01,053,1371.0
Etowah County,Alabama,01,055,729.0
Fayette County,Alabama,01,057,0.0
Franklin County,Alabama,01,059,291.0
Geneva County,Alabama,01,061,179.0
Greene County,Alabama,01,063,54.0
Hale County,Alabama,01,065,25.0
Henry County,Alabama,01,067,5.0
Houston County,Alabama,01,069,403.0
Jackson County,Alabama,01,071,573.0
Jefferson County,Alabama,01,073,1550.0
Lamar County,Alabama,01,075,45.0
Lauderdale County,Alabama,01,077,339.0
Lawrence County,Alabama,01,079,1730.0
Lee County,Alabama,01,081,166.0
Limestone County,Alabama,01,083,724.0
Lowndes County,Alabama,01,085,9.0
Macon County,Alabama,01,087,55.0
Madison County,Alabama,01,089,2172.0
Marengo County,Alabama,01,091,11.0
Marion County,Alabama,01,093,128.0
Marshall County,Alabama,01,095,654.0
Mobile County,Alabama,01,097,2545.0
Monroe County,Alabama,01,099,274.0
Montgomery County,Alabama,01,101,404.0
Morgan County,Alabama,01,103,669.0
Perry County,Alabama,01,105,7.0
Pickens County,Alabama,01,107,22.0
Pike County,Alabama,01,109,213.0
Randolph County,Alabama,01,111,48.0
Russell County,Alabama,01,113,213.0
Saint Clair County,Alabama,01,115,241.0
Shelby County,Alabama,01,117,468.0
Sumter County,Alabama,01,119,68.0
Talladega County,Alabama,01,121,294.0
Tallapoosa County,Alabama,01,123,176.0
Tuscaloosa County,Alabama,01,125,346.0
Walker County,Alabama,01,127,100.0
Washington County,Alabama,01,129,1270.0
Wilcox County,Alabama,01,131,6.0
Winston County,Alabama,01,133,65.0
Anchorage Municipality,Alaska,02,020,21682.0
Bethel Census Area,Alaska,02,050,14847.0
Bristol Bay Borough,Alaska,02,060,317.0
Fairbanks North Star Borough,Alaska,02,090,6847.0
Haines Borough,Alaska,02,100,194.0
Juneau City and Borough,Alaska,02,110,3611.0
Kenai Peninsula Borough,Alaska,02,122,4229.0
Kodiak Island Borough,Alaska,02,150,1825.0
Matanuska-Susitna Borough,Alaska,02,170,5193.0
Nome Census Area,Alaska,02,180,7257.0
North Slope Borough,Alaska,02,185,5084.0
Sitka City and Borough,Alaska,02,220,1262.0
Southeast Fairbanks Census Area,Alaska,02,240,794.0
Valdez-Cordova Census Area,Alaska,02,261,1342.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,6311.0
Aleutians East Borough,Alaska,02,013,1273.0
Aleutians West Census Area,Alaska,02,016,680.0
Dillingham Census Area,Alaska,02,070,3627.0
Lake and Peninsula Borough,Alaska,02,164,879.0
Denali Borough,Alaska,02,068,50.0
Yukon-Koyukuk Census Area,Alaska,02,290,3869.0
Hoonah-Angoon Census Area,Alaska,02,105,839.0
Skagway Municipality,Alaska,02,230,69.0
Yakutat City and Borough,Alaska,02,282,198.0
Ketchikan Gateway Borough,Alaska,02,130,1942.0
Petersburg Borough,Alaska,02,195,235.0
Prince of Wales-Hyder Census Area,Alaska,02,198,2632.0
Wrangell City and Borough,Alaska,02,275,548.0
Apache County,Arizona,04,001,52488.0
Cochise County,Arizona,04,003,1548.0
Coconino County,Arizona,04,005,36850.0
Gila County,Arizona,04,007,8419.0
Graham County,Arizona,04,009,4974.0
Greenlee County,Arizona,04,011,379.0
Maricopa County,Arizona,04,013,78683.0
Mohave County,Arizona,04,015,4830.0
Navajo County,Arizona,04,017,47642.0
Pima County,Arizona,04,019,34765.0
Pinal County,Arizona,04,021,20386.0
Santa Cruz County,Arizona,04,023,217.0
Yavapai County,Arizona,04,025,3762.0
La Paz County,Arizona,04,012,2609.0
Yuma County,Arizona,04,027,2630.0
Arkansas County,Arkansas,05,001,3.0
Ashley County,Arkansas,05,003,49.0
Baxter County,Arkansas,05,005,207.0
Benton County,Arkansas,05,007,3752.0
Boone County,Arkansas,05,009,395.0
Bradley County,Arkansas,05,011,183.0
Calhoun County,Arkansas,05,013,7.0
Carroll County,Arkansas,05,015,202.0
Chicot County,Arkansas,05,017,44.0
Clark County,Arkansas,05,019,74.0
Clay County,Arkansas,05,021,75.0
Cleburne County,Arkansas,05,023,181.0
Cleveland County,Arkansas,05,025,32.0
Columbia County,Arkansas,05,027,74.0
Conway County,Arkansas,05,029,71.0
Craighead County,Arkansas,05,031,580.0
Crawford County,Arkansas,05,033,1233.0
Crittenden County,Arkansas,05,035,141.0
Cross County,Arkansas,05,037,7.0
Dallas County,Arkansas,05,039,32.0
Desha County,Arkansas,05,041,27.0
Drew County,Arkansas,05,043,18.0
Faulkner County,Arkansas,05,045,443.0
Franklin County,Arkansas,05,047,360.0
Fulton County,Arkansas,05,049,103.0
Garland County,Arkansas,05,051,758.0
Grant County,Arkansas,05,053,38.0
Greene County,Arkansas,05,055,157.0
Hempstead County,Arkansas,05,057,56.0
Hot Spring County,Arkansas,05,059,102.0
Howard County,Arkansas,05,061,33.0
Independence County,Arkansas,05,063,100.0
Izard County,Arkansas,05,065,197.0
Jackson County,Arkansas,05,067,31.0
Jefferson County,Arkansas,05,069,169.0
Johnson County,Arkansas,05,071,61.0
Lafayette County,Arkansas,05,073,20.0
Lawrence County,Arkansas,05,075,88.0
Lee County,Arkansas,05,077,21.0
Lincoln County,Arkansas,05,079,57.0
Little River County,Arkansas,05,081,164.0
Logan County,Arkansas,05,083,231.0
Lonoke County,Arkansas,05,085,366.0
Madison County,Arkansas,05,087,171.0
Marion County,Arkansas,05,089,199.0
Miller County,Arkansas,05,091,502.0
Mississippi County,Arkansas,05,093,18.0
Monroe County,Arkansas,05,095,0.0
Montgomery County,Arkansas,05,097,241.0
Nevada County,Arkansas,05,099,6.0
Newton County,Arkansas,05,101,122.0
Ouachita County,Arkansas,05,103,56.0
